날짜,시가,고가,저가,종가,거래량,등락률
2020-11-02,12150,12650,11700,12100,33792,1.680672268907563
2020-11-03,12400,12400,11950,12100,20444,0.0
2020-11-04,12200,12300,11200,11300,55636,-6.6115702479338845
2020-11-05,11400,11600,11250,11600,22057,2.6548672566371683
2020-11-06,11700,12200,11250,11400,44019,-1.7241379310344827
2020-11-09,11600,12250,11450,11900,49577,4.385964912280701
2020-11-10,12100,12100,11600,11800,12365,-0.8403361344537815
2020-11-11,11950,12100,11500,11850,29962,0.423728813559322
2020-11-12,11900,11900,11600,11700,16830,-1.2658227848101267
2020-11-13,11700,12000,11500,11550,21121,-1.282051282051282
2020-11-16,11600,11800,11200,11550,37474,0.0
2020-11-17,11600,11700,11350,11400,20520,-1.2987012987012987
2020-11-18,11800,11850,11500,11700,36914,2.631578947368421
2020-11-19,11500,11600,11400,11550,14898,-1.282051282051282
2020-11-20,11600,13250,11550,12150,257555,5.194805194805195
2020-11-23,12000,12300,11850,11900,45280,-2.05761316872428
2020-11-24,12000,12250,11650,11900,40615,0.0
2020-11-25,11900,11900,11400,11500,58783,-3.361344537815126
2020-11-26,11400,12400,11300,11700,67887,1.7391304347826086
2020-11-27,11700,11750,11400,11450,19303,-2.1367521367521367
2020-11-30,11450,11500,11000,11050,28171,-3.4934497816593884
