날짜,시가,고가,저가,종가,거래량,등락률
2020-10-05,6565,6652,6565,6615,80248,-1.0175071075864133
2020-10-06,6613,6623,6555,6586,49411,-0.4383975812547241
2020-10-07,6596,6605,6527,6606,112340,0.3036744609778318
2020-10-08,6614,6614,6575,6615,81654,0.13623978201634876
2020-10-12,6614,6643,6566,6596,44319,-0.2872260015117158
2020-10-13,6604,6604,6555,6576,82031,-0.3032140691328078
2020-10-14,6565,6613,6555,6576,77474,0.0
2020-10-15,6575,6614,6565,6615,106348,0.5930656934306568
2020-10-16,6584,6632,6574,6634,107131,0.2872260015117158
2020-10-19,6632,6701,6584,6673,108008,0.5878806150135665
2020-10-20,6671,6728,6661,6721,101922,0.7193166491832759
2020-10-21,6739,6866,6719,6858,111206,2.0383871447701236
2020-10-22,6867,6915,6837,6897,136005,0.5686789151356081
2020-10-23,6925,6982,6886,6975,154013,1.1309264897781643
2020-10-26,7070,7070,6944,6984,105709,0.12903225806451613
2020-10-27,6983,7033,6614,6927,129475,-0.816151202749141
2020-10-28,6954,6954,6827,6907,57185,-0.28872527789808
2020-10-29,6809,6926,6809,6888,81273,-0.2750832488779499
2020-10-30,6886,6992,6886,6975,150176,1.2630662020905923
