날짜,시가,고가,저가,종가,거래량,등락률
2024-03-04,4910,5340,4910,5090,117137,4.08997955010225
2024-03-05,4950,5290,4860,4910,60389,-3.536345776031434
2024-03-06,4910,4910,4750,4785,34098,-2.5458248472505094
2024-03-07,4800,4865,4715,4810,14538,0.522466039707419
2024-03-08,4810,5050,4805,4885,22517,1.5592515592515594
2024-03-11,4820,4880,4790,4800,10788,-1.7400204708290685
2024-03-12,4850,4980,4785,4850,20453,1.0416666666666665
2024-03-13,4900,4900,4750,4760,19417,-1.8556701030927836
2024-03-14,4800,4800,4690,4740,24795,-0.42016806722689076
2024-03-15,4740,4900,4690,4785,13451,0.949367088607595
2024-03-18,4795,4825,4705,4725,17447,-1.2539184952978055
2024-03-19,4725,4880,4715,4755,16912,0.6349206349206349
2024-03-20,4820,4820,4680,4690,7441,-1.3669821240799158
2024-03-21,4695,4980,4625,4670,26581,-0.42643923240938164
2024-03-22,4730,4935,4685,4770,23752,2.141327623126338
2024-03-25,4720,4820,4720,4800,10874,0.628930817610063
2024-03-26,4810,5090,4800,4995,70741,4.0625
2024-03-27,6350,6490,5630,6490,2094215,29.929929929929934
2024-03-28,7400,8030,6010,6190,2884678,-4.622496147919876
2024-03-29,6200,6200,5760,5890,386035,-4.846526655896607
