시가,고가,저가,종가,거래량,거래대금,상장시가총액
700.89,701.15,694.22,694.64,40174382,112628851725,20026266146310
696.78,704.02,692.37,695.53,51026459,157302662295,20053096708815
692.37,696.76,684.25,685.08,30175102,124110146140,19751753368775
691.13,695.54,685.39,686.74,35703112,111442231695,19799996102695
678.05,678.81,662.62,669.01,61729435,236371170555,19305053321200
677.4,682.75,676.54,682.72,41340080,158104773875,19713211953235
682.59,688.61,678.41,688.03,40663545,142101453990,19866729922160
688.13,697.19,686.91,694.93,30086960,128127615925,20065987778250
697.59,699.46,693.96,697.67,76443511,275031193050,20161079740900
699.69,705.1,697.87,704.8,50871981,198303770550,20367109400490
703.99,705.18,699.07,700.39,37798761,154509006385,20239449924830
703.59,706.91,697.94,698.35,32036719,129458549270,20180561572970
698.08,699.0,692.98,693.41,22812701,94418642400,20038202683945
695.02,698.57,690.49,691.26,22470972,89883331535,19976081374830
693.17,698.42,691.6,698.01,57749932,242235967555,20174314027440
695.06,696.63,690.6,696.25,42364874,176117032105,20123346627150
682.4,687.69,678.42,681.85,36354651,165749763210,19707504583270
683.97,683.97,675.98,675.98,28308149,127797878895,19538210953425
676.76,678.2,662.9,664.79,40091837,157617675440,19214855945810
667.03,667.86,649.21,649.76,46590486,174313188570,18780443470020
642.42,645.67,628.94,645.67,32016369,169382429005,18662514541280
646.08,654.06,644.69,650.5,23350792,112521512275,18802361306450
653.87,655.32,649.01,652.66,42438146,221650124425,18868029141495
657.87,672.76,657.13,670.9,130225348,438561852950,19396039618610
672.78,673.92,661.3,666.33,48241745,182298338265,19262723803775
663.52,666.64,659.56,665.99,22435475,97301727710,19253039740400
667.47,677.24,664.99,676.34,43793237,208628787660,19554294189300
677.14,679.09,672.19,677.71,23382300,112091585580,19539276654015
679.6,683.89,673.02,674.38,61796712,232139222300,19442370270095
675.33,676.25,667.96,670.69,41502110,196857582470,19335620904570
673.5,674.42,667.01,672.42,44230480,176308072540,19385720399050
671.77,673.71,664.67,667.09,36555240,140197589510,19495222530650
669.7,671.14,658.44,661.13,25228954,120597902000,19320947325990
662.68,665.23,653.26,654.72,25932144,120911738970,19134229283070
647.81,651.22,641.85,641.85,35745864,140314727710,18757498565120
630.14,632.95,612.29,612.97,56783036,167216497625,17914320974151
615.32,627.32,614.95,625.63,24925512,110987192696,18302034566155
619.35,627.76,616.17,625.17,21306623,89573929381,18288326010750
624.65,634.6,622.89,624.52,22185680,91901145019,18268816834140
618.99,621.48,605.17,608.82,26726468,137119007677,17810096999963
609.09,616.75,601.49,612.58,20239640,83738121800,17920658997318
620.28,623.41,612.54,614.52,16237639,80284075627,17977196220896
616.32,623.74,615.99,621.93,15298582,73455393861,18194350018947
626.14,629.83,620.62,629.76,18331994,77326465507,18423243834240
625.28,628.19,616.41,620.37,16557504,90658345026,18148664283019
607.35,607.35,593.34,594.71,22293614,105870802620,17397903110105
592.12,597.32,587.75,595.36,30963732,157692623103,17416680178106
597.35,598.06,570.32,573.14,43917790,178195090756,16766704560166
567.65,569.25,524.95,531.36,42504969,168773263741,15544440740710
525.88,525.88,461.95,494.73,59743305,205623042761,14472207077690
509.62,510.67,488.72,492.76,48139941,135596873136,14414452870278
463.94,494.78,463.94,485.92,34040497,111990027209,14214599440324
488.99,488.99,453.54,453.6,35064258,115246780490,13269005266795
464.05,464.24,403.15,410.64,44613636,146634620691,12011529659650
409.02,433.83,401.62,433.83,60556742,143088357416,12690156241244
403.77,420.48,399.25,408.44,31300017,90525212376,11947472206993
414.49,435.33,407.08,435.33,28961310,87886840393,12758479517370
449.35,464.86,448.02,461.47,43542377,131713074476,13524507339425
458.17,477.0,453.86,464.31,48132944,143602449419,13607642002529
480.99,490.08,457.46,473.88,67576002,204226091151,13888394364166
458.62,470.38,452.87,468.02,28689597,97351837249,13717229275014
474.22,487.59,472.5,485.03,53975108,226444386432,14290891992574
480.4,515.33,478.26,489.09,57069893,237015214148,14410165399436
489.71,497.58,471.43,488.11,29276046,125497653578,14381558788212
491.05,508.64,486.15,492.58,37158324,167796349610,14513029699875
499.14,513.9,497.74,513.43,40048342,147378514428,15127046202857
525.42,530.95,516.9,529.09,39670594,167537281191,15588540230179
523.9,533.26,516.22,522.89,39518424,143972884911,15406251030827
531.29,535.97,525.02,531.18,31651816,131867106023,15650304965336
533.81,544.26,521.53,535.92,40530146,225423344913,15789640302523
535.52,536.0,527.09,527.09,57948124,249918397884,15529472045951
535.07,542.03,532.41,534.51,65719185,287391780454,15748328194549
527.7,539.44,519.17,536.43,35771941,207142030737,15805240540426
540.62,547.08,539.06,545.33,45907699,214812452406,16067595546003
548.1,572.83,546.8,565.95,48107444,313795909873,16675092619679
565.73,566.67,535.87,553.73,68367758,380638605947,16314895445587
550.75,552.06,536.77,550.64,37331970,173971903249,16223965515404
551.56,554.56,548.92,550.54,26577599,130340988860,16221111547412
547.03,548.99,537.9,542.13,93013293,329074190029,15973378754079
