날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2021-01-04,12662.5,12662.5,12340.34,12412.61,15613077,210450572985,36811722083620
2021-01-05,12414.14,12483.52,12167.92,12463.95,15852843,208422035335,36962309693095
2021-01-06,12458.23,12607.04,12354.34,12499.99,25389215,216778139410,37067772274690
2021-01-07,12568.99,13213.74,12568.99,13142.49,162324568,784060950655,38954583542610
2021-01-08,13250.95,13250.95,12959.33,13175.47,76440958,436250363305,39049415864010
2021-01-11,13176.68,13578.02,12852.29,13019.87,45947641,482698707240,38588489363500
2021-01-12,13028.35,13203.95,12827.21,13012.59,22589925,242186915575,38569162545525
2021-01-13,13070.79,13321.36,13061.29,13260.03,58208367,333069947555,39295219183530
2021-01-14,13264.15,13447.38,13231.78,13388.91,30471721,256860082440,39672719473490
2021-01-15,13430.96,13517.12,13094.85,13112.74,14400975,178141307440,38861609144115
2021-01-18,13103.94,13103.94,12523.77,12617.24,14055772,204011697090,37405012308910
2021-01-19,12617.24,12768.79,12544.15,12751.04,10037352,147795477585,37798526537490
2021-01-20,12738.12,12798.7,12467.97,12581.02,10621825,178196283305,37300837451945
2021-01-21,12592.84,12712.42,12541.75,12704.7,9201349,137262038815,37667808084670
2021-01-22,12708.26,12708.26,12447.79,12447.79,10247672,163616236525,36908795628500
2021-01-25,12416.96,12628.29,12344.31,12604.5,12906182,151197111160,37369350152370
2021-01-26,12606.39,12642.59,12373.58,12375.82,12468802,149822818115,36697992750090
2021-01-27,12423.48,12474.28,12206.31,12206.31,9501388,131539947565,36201247861285
2021-01-28,12205.44,12205.44,11856.15,11972.11,11243231,158519000390,35507365964795
2021-01-29,12012.73,12030.13,11524.98,11596.24,15085590,184431148905,34399640422180
2021-02-01,11559.89,11847.55,11521.91,11694.24,8987794,124963667255,34691346986910
2021-02-02,11706.73,11973.21,11706.73,11898.06,12168441,125247211150,35290008448140
2021-02-03,11899.27,12012.21,11794.67,11819.16,8250956,107188340315,35060602036690
2021-02-04,11829.58,11845.95,11532.33,11604.97,9972344,130678088450,34433147610890
2021-02-05,11616.11,11762.67,11582.02,11739.62,10128662,116755563631,34824315039120
2021-02-08,11760.07,11957.11,11758.04,11887.73,8405665,120103188410,35267738618895
2021-02-09,11895.14,12047.5,11869.82,11991.2,21673467,172227505010,35573874781480
2021-02-10,11988.96,11997.23,11851.96,11892.98,9666950,126256335485,35286124529540
2021-02-15,11928.02,12099.29,11928.02,12026.92,8510070,113655609230,35681636387715
2021-02-16,12029.45,12097.27,11971.35,12030.26,7571921,91629569590,35691370107515
2021-02-17,12005.5,12464.5,12001.2,12425.78,65826474,335311624070,36848499934020
2021-02-18,12423.82,12454.43,12185.21,12185.21,22013910,179151992355,36138898830795
2021-02-19,12216.49,12301.69,12013.32,12254.89,53675285,289414874650,36339677825305
2021-02-22,12284.87,12860.8,12284.87,12773.27,53417685,447726084956,37859860458895
2021-02-23,12802.65,13017.25,12652.94,12690.81,42207026,341607085985,37624951698790
2021-02-24,12693.2,12825.04,12269.41,12276.34,22264192,232312682805,36405752288410
2021-02-25,12323.9,12625.93,12323.9,12553.37,15249291,152437857450,37218835846165
2021-02-26,12583.59,12598.23,12357.55,12416.04,36128321,270502198029,36811760189735
2021-03-02,12490.54,12815.9,12490.54,12815.9,14398715,224563228390,37989352852850
2021-03-03,12771.31,12953.37,12737.72,12923.85,9820071,148316789350,38307109976065
2021-03-04,12935.39,12951.1,12727.15,12829.08,12852364,145384670300,38029504458715
2021-03-05,12840.38,13156.05,12767.34,13118.82,32200369,295874229745,38878180443530
2021-03-08,13135.39,13345.36,13093.53,13223.4,21823463,220492853620,39192513419005
2021-03-09,13337.67,13507.27,13241.48,13409.55,23702538,266177100055,39745617641495
2021-03-10,13295.35,13475.57,13183.54,13420.29,12234271,184131328910,39778441403965
2021-03-11,13437.99,13573.13,13233.25,13299.21,10679975,187477216495,39422159782890
2021-03-12,13297.74,13297.74,13066.76,13142.03,10748127,147731254705,38957206597620
2021-03-15,13160.53,13328.05,13129.5,13323.52,11726055,121119046425,39493938823005
2021-03-16,13278.87,13313.69,13205.32,13263.66,11733418,127924856660,39317431903590
2021-03-17,13262.13,13299.05,13134.04,13249.83,8815460,107513865222,39277108953140
2021-03-18,13250.74,13250.74,13095.66,13104.15,11457419,132726712700,38848630012430
2021-03-19,13104.15,13275.24,13005.92,13047.37,24117443,251224881000,38680845338135
2021-03-22,13043.25,13143.48,12947.58,13089.03,7983645,94474645730,38805830312065
2021-03-23,13087.35,13152.49,12892.45,12924.48,9271856,98380942605,38320502234595
2021-03-24,12907.62,12940.72,12751.77,12807.13,15469223,125170105210,37978818311150
