날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,1355.68,1362.53,1347.81,1352.56,2371450,16099797405,7610331253685
2018-01-03,1347.07,1361.58,1346.75,1351.07,2278437,17905134410,7601321275550
2018-01-04,1355.08,1359.22,1334.09,1334.83,2286122,18908629200,7507553491605
2018-01-05,1341.09,1342.08,1332.76,1336.74,1754125,12802898265,7516877863245
2018-01-08,1346.74,1370.23,1337.15,1368.23,1825170,15380747875,7697075067825
2018-01-09,1361.7,1365.62,1350.47,1358.24,1921390,14861145585,7638143834920
2018-01-10,1359.61,1376.97,1351.64,1371.41,1349068,14208098715,7709013205700
2018-01-11,1378.99,1379.71,1356.08,1365.62,1724796,12129595770,7676936476275
2018-01-12,1368.18,1383.81,1355.64,1367.19,1983214,14351739570,7686737118730
2018-01-15,1374.68,1375.37,1362.59,1372.11,1630569,13792563720,7714486861765
2018-01-16,1369.39,1372.7,1356.95,1362.67,1745945,14054537370,7661381015155
2018-01-17,1357.98,1363.26,1350.01,1357.43,1510484,12641392555,7631813729965
2018-01-18,1358.22,1363.65,1349.19,1354.02,1607442,12803404225,7612878485310
2018-01-19,1353.11,1373.94,1353.11,1373.57,1464909,13191628720,7721870212520
2018-01-22,1378.11,1378.91,1358.39,1378.37,2248653,20138925470,7749301105325
2018-01-23,1379.36,1400.46,1369.94,1394.91,3325519,23419041155,7843020336530
2018-01-24,1398.83,1423.72,1398.75,1423.72,1981818,19014443065,8005096751275
2018-01-25,1418.91,1453.37,1418.91,1449.23,2651514,21982014560,8151839805895
2018-01-26,1455.48,1507.21,1455.48,1498.18,3078678,36055359385,8424375152865
2018-01-29,1510.41,1540.37,1510.41,1538.78,7503799,49063340110,8653439022080
2018-01-30,1546.56,1559.66,1521.89,1541.47,5244196,37160676665,8667442021850
2018-01-31,1528.97,1529.21,1484.21,1524.83,3978984,30668294190,8573793942140
2018-02-01,1523.04,1538.59,1519.36,1534.94,4595033,35783343130,8632822632830
2018-02-02,1532.01,1534.66,1490.01,1494.72,3975037,29052053295,8406191920750
2018-02-05,1481.72,1491.65,1449.47,1455.72,3086096,23189003280,8187399432840
2018-02-06,1419.89,1450.18,1394.54,1443.05,5494597,46161631770,8115982615360
2018-02-07,1448.06,1457.94,1399.28,1399.97,2869003,26384503285,7876417456005
2018-02-08,1385.97,1412.35,1385.97,1399.9,2218120,19818615720,7876482671560
2018-02-09,1373.16,1413.63,1371.61,1398.37,3057391,22102337725,7868779482175
2018-02-12,1393.88,1395.94,1370.1,1376.25,2256870,17460133275,7744533366365
2018-02-13,1372.37,1375.85,1339.32,1341.1,1847510,17919762575,7547360291190
2018-02-14,1347.7,1363.1,1343.37,1363.1,1491700,17677646710,7670322336670
2018-02-19,1373.41,1375.29,1361.66,1370.47,1244610,12035551080,7710879137035
2018-02-20,1366.37,1375.43,1354.96,1355.35,1236177,11139420025,7624870002925
2018-02-21,1355.94,1367.71,1352.46,1358.55,1279681,9693356265,7643459549180
2018-02-22,1352.03,1355.27,1342.62,1347.61,1311866,10020842020,7582810923460
2018-02-23,1351.46,1355.48,1344.05,1355.19,1822775,12975376205,7626763564285
2018-02-26,1359.13,1359.98,1346.77,1355.12,1482263,11185586310,7692940453845
2018-02-27,1380.51,1382.75,1359.57,1371.69,1322347,13903574930,7786200781560
2018-02-28,1368.09,1387.29,1357.98,1369.28,1663710,22385299155,7772811551365
2018-03-02,1352.5,1361.53,1336.51,1348.23,1760356,19975472695,7654249507105
2018-03-05,1345.09,1361.89,1339.33,1339.33,1500676,16517260930,7603525918250
2018-03-06,1347.04,1358.02,1336.82,1343.34,1658637,13234911375,7626045950840
2018-03-07,1345.2,1346.04,1322.88,1324.34,1759626,14944908715,7519063831905
2018-03-08,1332.78,1333.5,1308.27,1325.22,1811518,17312060705,7523874440805
2018-03-09,1325.65,1365.51,1323.94,1358.27,2199806,21085330940,7710946475725
2018-03-12,1358.05,1366.74,1348.07,1359.05,1300105,14850722805,7715549438100
2018-03-13,1350.83,1350.83,1334.75,1335.37,1203428,14171635910,7580321695485
2018-03-14,1334.45,1334.74,1319.08,1325.65,1664759,12833201255,7525106502935
2018-03-15,1326.1,1365.1,1316.0,1362.54,1560036,15633443800,7733897969230
2018-03-16,1367.34,1367.34,1336.9,1339.35,2571000,18226433505,7603174868845
2018-03-19,1341.83,1360.06,1340.31,1353.38,1807516,15205106485,7682474710950
2018-03-20,1353.03,1360.6,1344.94,1350.9,1834440,13308821175,7668539951990
2018-03-21,1346.32,1352.44,1333.56,1336.98,1377335,11446343405,7589480619045
2018-03-22,1335.24,1349.8,1326.18,1334.2,1260142,10830473660,7573809144385
2018-03-23,1322.87,1333.2,1308.49,1318.9,2098304,20698210215,7487165264755
2018-03-26,1320.87,1333.13,1292.93,1319.48,1334949,18742144735,7490605220415
2018-03-27,1324.26,1353.39,1319.17,1330.87,1152126,15584656210,7555523840885
2018-03-28,1327.17,1359.1,1321.28,1354.08,1342355,20048132585,7686588076650
2018-03-29,1352.56,1355.15,1319.05,1352.53,1270006,14371369265,7677460503935
2018-03-30,1357.13,1380.06,1344.05,1376.07,1405279,13122680440,7810495910650
2018-04-02,1372.8,1386.0,1345.73,1354.12,1843684,30860989580,7686126953365
2018-04-03,1344.85,1349.52,1335.38,1341.37,1923916,31316783105,7613992964980
2018-04-04,1335.58,1341.34,1319.35,1320.61,1928513,23557162420,7496231109935
2018-04-05,1340.43,1348.9,1324.98,1333.49,1602605,16143613860,7568992071570
2018-04-06,1340.91,1347.81,1328.37,1343.35,1994268,15627808995,7624548763010
2018-04-09,1339.83,1339.83,1325.43,1334.67,1892204,17366623885,7575242002735
2018-04-10,1332.74,1347.23,1316.17,1343.18,1523312,18518565400,7623160891695
2018-04-11,1337.26,1342.72,1330.32,1334.97,1742199,14873335595,7576835324165
2018-04-12,1338.12,1346.76,1332.73,1337.94,1544120,13739227820,7593580385265
2018-04-13,1339.22,1340.65,1323.03,1331.88,1421237,14354159610,7559657155065
2018-04-16,1330.06,1335.86,1321.47,1327.23,1373584,14545352520,7532965954900
2018-04-17,1327.46,1337.63,1321.38,1334.16,1211707,12667161945,7572115771520
2018-04-18,1344.46,1409.47,1342.36,1399.83,4296161,57847711005,7943611887220
2018-04-19,1428.61,1575.73,1424.07,1508.69,14466427,200205263980,8560293221610
2018-04-20,1511.54,1558.57,1462.26,1523.37,7740719,132084410505,8642855577740
2018-04-23,1563.28,1627.66,1520.14,1537.82,17970290,199129074975,8725618414115
2018-04-24,1532.54,1543.7,1516.04,1526.81,6142967,66220473770,8663466804220
2018-04-25,1522.34,1532.06,1496.1,1496.1,5784719,56779806700,8490572645305
2018-04-26,1514.85,1575.13,1507.93,1534.1,4604040,70373599695,8706994862355
2018-04-27,1543.48,1586.99,1509.25,1516.19,6740889,99545146380,8605518214020
2018-04-30,1562.09,1704.39,1555.8,1695.15,15264151,213810596525,9618323217350
2018-05-02,1733.31,1855.36,1691.81,1769.06,18457727,257310556325,10037063145250
2018-05-03,1731.15,1752.24,1691.19,1703.92,8121867,177330587975,9668328078490
2018-05-04,1701.37,1802.44,1688.44,1793.36,9817537,197373648400,10177644379260
2018-05-08,1760.38,1805.7,1745.96,1761.41,7492173,159180643740,9999394508070
2018-05-09,1780.63,1793.01,1710.76,1754.45,6619777,112214275755,9961043622040
2018-05-10,1788.57,1829.2,1779.19,1809.44,5485086,185655690505,10273375665660
2018-05-11,1804.31,1864.93,1771.32,1848.61,14771164,234147378365,10493239309480
2018-05-14,1877.41,2087.22,1863.61,2036.26,25763223,364991958820,11558058276360
2018-05-15,2038.04,2106.24,1994.04,2014.52,16466209,352639302550,11435431320615
2018-05-16,1883.84,1996.44,1856.63,1870.79,15645829,346966576525,10616756768335
2018-05-17,1893.13,2028.7,1888.05,1960.13,26242516,455657540635,11127354863565
2018-05-18,2016.05,2027.41,1919.65,1980.42,11428178,285795184175,11246778678600
2018-05-21,1970.79,1984.48,1922.54,1958.13,7145157,174472727940,11129198693780
2018-05-23,1897.76,1958.58,1851.13,1918.72,8840070,225358896270,10912385941180
2018-05-24,1957.71,1968.47,1849.6,1876.38,11703182,200045382810,10661661053305
2018-05-25,1860.77,1860.77,1633.16,1738.54,15969369,301391673790,9883738872550
2018-05-28,1763.72,2120.58,1763.72,2111.46,16452893,272293975625,12005897284655
2018-05-29,2082.69,2157.33,2017.99,2034.04,14190431,441987873165,11563425908715
2018-05-30,2044.19,2071.38,1995.11,2026.05,7657506,250069668810,11515748233940
2018-05-31,2075.44,2114.16,2011.97,2030.56,11303277,326554486285,11540867687450
2018-06-01,2031.21,2031.21,1957.08,1988.34,7053408,194147542825,11297012640890
2018-06-04,2059.48,2060.72,1904.75,1922.45,6759151,237909337090,10919478476900
2018-06-05,1897.31,1945.08,1819.23,1940.51,9435024,296764789820,11025617384445
2018-06-07,1927.32,1937.9,1877.36,1877.36,4914929,140150750945,10666369161960
2018-06-08,1903.37,1903.75,1846.96,1848.01,4961515,130039867975,10498187684545
2018-06-11,1856.86,1971.08,1856.86,1971.08,12854030,308134149930,11196784164620
2018-06-12,1950.62,1998.43,1848.31,1877.15,13517669,534490258370,10662140441390
2018-06-14,1810.51,1820.88,1758.72,1774.97,7265480,179432238905,10080225369575
2018-06-15,1787.82,1830.09,1783.23,1792.55,6021248,203742497710,10179890679065
2018-06-18,1796.05,1834.58,1783.05,1801.97,10525174,133235931855,10233396058260
2018-06-19,1818.94,1861.27,1804.02,1808.77,6437911,135797971345,10272519183705
2018-06-20,1781.74,1827.14,1757.98,1826.62,3555031,78874193240,10373700109180
2018-06-21,1816.37,1825.8,1755.49,1760.06,17798851,135981016285,9996819280100
2018-06-22,1774.67,1788.82,1703.77,1759.69,7565245,110323628455,9993537483930
2018-06-25,1741.77,1771.41,1719.52,1762.95,4128892,81789490085,10013013468455
2018-06-26,1745.88,1772.06,1694.24,1698.9,3540239,74057479090,9649898052695
2018-06-27,1698.67,1708.89,1640.03,1647.6,4159278,100436383680,9357411417675
2018-06-28,1645.51,1663.82,1591.26,1603.87,3854301,69600867965,9108676373505
2018-06-29,1647.96,1708.09,1623.6,1686.87,10393136,263644450375,9582505318865
2018-07-02,1679.17,1680.99,1592.44,1592.87,5568563,107087684480,9050330354275
2018-07-03,1618.55,1643.33,1575.65,1617.46,4978679,124201509485,9190705326100
2018-07-04,1604.88,1642.44,1602.83,1631.84,2653354,70800896240,9271560434725
2018-07-05,1630.69,1633.48,1585.59,1604.63,3198688,68692191705,9117077577955
2018-07-06,1607.21,1624.94,1594.47,1624.94,3042740,66379109840,9231921727265
2018-07-09,1597.45,1599.83,1557.45,1562.78,4255451,79599432270,8878274029450
2018-07-10,1574.48,1587.32,1571.6,1571.6,2679209,48381198730,8928891835230
2018-07-11,1562.25,1654.17,1520.25,1622.33,11314860,150914157565,9214967150170
2018-07-12,1624.04,1628.26,1591.35,1592.8,5296178,149116928475,9046776580950
2018-07-13,1616.83,1632.27,1587.34,1600.45,4953699,97425300420,9091564220200
2018-07-16,1616.49,1617.71,1577.17,1590.54,3285810,61339253670,9035251892345
2018-07-17,1595.38,1599.62,1569.96,1570.08,2767552,42606756995,8919568329425
2018-07-18,1569.84,1569.94,1506.19,1507.38,5036449,65914772915,8563134824620
2018-07-19,1505.92,1509.94,1472.77,1482.1,4225391,61684205240,8418943816030
2018-07-20,1489.42,1495.06,1463.5,1474.7,3617713,67519187635,8377353022655
2018-07-23,1469.89,1477.34,1442.66,1446.79,3086933,35058607175,8217168711520
2018-07-24,1460.07,1546.79,1458.26,1531.96,9846335,195320273770,8702954853640
2018-07-25,1550.77,1595.57,1528.17,1566.41,8539023,248288482735,8897604171920
2018-07-26,1572.69,1641.85,1571.25,1600.6,8012332,200846613430,9091569042975
