날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,1048.77,1050.37,1040.87,1041.63,19590563,303100813846,173881086440522
2017-01-03,1045.24,1050.93,1041.08,1049.81,23640700,485228639477,175237784567277
2017-01-04,1052.89,1062.83,1051.42,1062.83,26030888,500265358887,177388987482439
2017-01-05,1063.31,1066.73,1060.77,1063.52,25327581,439277413070,177506145536953
2017-01-06,1062.43,1069.4,1061.56,1066.3,29511611,399675292265,178027913985046
2017-01-09,1065.63,1065.86,1051.83,1051.87,21314069,435221747913,175628336162343
2017-01-10,1048.21,1051.38,1046.37,1050.71,41099239,410143583792,175438390998198
2017-01-11,1048.77,1062.85,1048.15,1059.27,29130927,484095925694,176851705187839
2017-01-12,1061.84,1068.05,1057.16,1061.61,26752426,515813743735,177234736388736
2017-01-13,1060.76,1065.39,1059.43,1062.47,20202523,427040994608,177385434957276
2017-01-16,1066.53,1066.53,1055.1,1062.56,26012303,463812879579,177403807734276
2017-01-17,1061.25,1063.12,1056.49,1057.71,24894875,464484735738,176607309497009
2017-01-18,1059.18,1059.39,1049.04,1055.82,29150126,423167229571,176300789107249
2017-01-19,1061.64,1067.26,1057.58,1058.73,23409698,572389229752,176793324681894
2017-01-20,1056.66,1062.86,1055.4,1055.96,21112327,455257089765,176338436898441
2017-01-23,1053.83,1054.53,1047.89,1047.89,21443887,436417129961,175002055152881
2017-01-24,1049.2,1050.18,1042.36,1044.74,16829978,486836143176,174494632191160
2017-01-25,1047.0,1050.19,1032.89,1034.16,24342266,511284475206,172730971304989
2017-01-26,1034.01,1043.79,1029.51,1039.74,19540089,607309652875,173666341550100
2017-01-31,1037.06,1042.17,1035.4,1037.5,23170917,507364827326,173289831882080
2017-02-01,1041.46,1051.44,1040.81,1050.21,29098024,523858859350,175386019159655
2017-02-02,1047.81,1058.4,1044.83,1046.3,50969401,657478659790,174729842176272
2017-02-03,1047.89,1049.59,1041.46,1046.31,26138585,605892302045,174726627024670
2017-02-06,1051.85,1053.77,1046.28,1047.62,22043034,532595352654,174934713910621
2017-02-07,1047.49,1052.82,1044.26,1052.82,23171015,616838855974,175796095397971
2017-02-08,1051.28,1051.42,1043.38,1050.14,23544002,495543914215,175334533897188
2017-02-09,1047.63,1048.23,1043.95,1046.27,23008646,555166791105,174691273182576
2017-02-10,1051.14,1056.11,1048.4,1055.09,26846492,560284602037,176159897498916
2017-02-13,1058.91,1062.35,1054.66,1059.53,18192822,389291770284,176899715081320
2017-02-14,1055.78,1056.25,1048.75,1055.49,23079513,532661230618,176230920347874
2017-02-15,1057.01,1065.33,1055.17,1063.99,22982622,469142330554,177408832701093
2017-02-16,1062.85,1064.55,1055.62,1059.3,17828512,432893473594,176618141807632
2017-02-17,1056.38,1060.04,1053.87,1055.82,12917181,398413153542,176035128956288
2017-02-20,1054.69,1054.79,1046.21,1050.33,15832611,378122092792,175137449772472
2017-02-21,1050.66,1060.04,1049.72,1059.56,19722882,426611520882,176664702199837
2017-02-22,1059.78,1064.72,1058.29,1060.26,16547544,469973742328,176791873584556
