날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,296.0,299.13,295.33,296.77,14023578,46010099803,6030060215200
2018-01-03,295.54,297.5,294.4,296.9,20189148,62510698163,6032601586515
2018-01-04,297.13,297.54,292.13,292.63,9003667,35785922757,5945936653365
2018-01-05,294.07,295.68,291.17,293.22,10730570,41617971862,5957949568590
2018-01-08,296.08,296.08,292.58,293.81,11715285,47106428582,5969883177070
2018-01-09,294.61,295.26,293.1,294.57,6601777,29924821528,5984803937955
2018-01-10,296.06,300.54,295.25,300.29,6279776,32733316951,6100113815005
2018-01-11,299.52,300.93,296.71,299.86,4888368,24144523510,6091204938325
2018-01-12,300.38,302.24,298.66,299.1,5828551,28513377342,6076143700240
2018-01-15,299.39,299.87,294.5,295.4,5039594,24766519144,6022165772065
2018-01-16,296.24,297.64,293.97,297.35,4334455,21973622466,6061456224755
2018-01-17,296.37,297.2,293.37,293.66,4849910,24243764147,5998604094025
2018-01-18,294.0,295.93,293.19,295.34,4264782,21303944578,6033541056605
2018-01-19,295.56,301.97,295.23,299.68,7592832,39130686796,6121312749055
2018-01-22,300.85,304.8,299.66,304.4,4981534,31133777997,6217686331315
2018-01-23,305.68,306.97,304.15,306.06,4868469,29210360822,6251547906735
2018-01-24,305.82,308.18,305.43,307.99,3551709,20308853926,6291124036185
2018-01-25,306.92,311.68,306.43,311.15,4444631,28130592060,6355430010465
2018-01-26,310.78,314.49,310.71,313.98,3790356,24085542642,6412878852875
2018-01-29,313.42,316.5,312.12,313.76,3625410,27782143773,6432166537870
2018-01-30,314.35,314.97,305.36,308.11,5423583,36829798908,6316911705485
2018-01-31,306.31,308.23,302.27,307.05,4022559,25850329752,6295093505815
2018-02-01,306.85,308.56,304.47,307.92,9901168,30489943936,6313124294585
2018-02-02,308.01,309.32,305.1,306.06,24469591,51027470766,6275212549280
2018-02-05,304.94,305.12,297.04,297.71,7305075,25621331583,6104665553145
2018-02-06,291.66,294.43,287.58,294.1,5886886,28061339144,6033136027475
2018-02-07,296.18,297.11,288.07,288.46,4878394,24737980625,5917978281535
2018-02-08,287.69,293.22,287.62,291.98,35082869,76290758041,5990677568195
2018-02-09,286.54,292.87,286.11,292.3,35679252,86113462986,5996536458770
2018-02-12,292.11,292.5,286.24,290.08,14019613,47496540695,5951110758835
2018-02-13,290.66,291.64,285.22,288.29,60375852,141795176507,5914869981740
2018-02-14,288.59,288.81,277.71,279.96,15978904,63157665499,5744687512960
2018-02-19,281.32,282.68,279.35,280.61,7225516,26638862727,5757057283905
2018-02-20,280.57,280.89,276.46,276.52,13642384,31039850958,5673749601350
2018-02-21,277.49,279.94,277.2,278.77,7456349,23428554170,5719219153695
2018-02-22,278.36,280.89,276.92,280.89,37713915,79657976342,5762794457965
2018-02-23,281.22,282.47,280.37,282.39,19300764,54761150303,5792898961395
2018-02-26,283.61,284.22,280.99,282.46,25237939,53592725689,5794208476930
2018-02-27,282.34,283.59,280.35,281.58,8135051,28339902122,5776198809290
2018-02-28,280.88,282.12,278.0,279.95,11766031,32154795718,5743318515880
