시가,고가,저가,종가,거래량,거래대금,상장시가총액
289.71,291.83,288.17,291.06,13106777,24927077566,5940815111220
292.44,294.0,289.91,292.89,10442592,27596504332,5977930760235
289.49,290.48,285.63,288.2,6572631,22353118380,5882307945530
288.33,291.17,286.53,288.07,6720773,29204498378,5879582165495
285.32,285.79,276.39,278.73,7830564,31898616109,5689520774895
282.51,284.98,281.86,284.23,7123635,25647963336,5801212927525
286.0,289.98,285.18,289.66,3740268,31169392616,5911837522625
289.6,295.74,288.24,292.4,8308101,35276339948,5967545293300
293.0,294.07,287.7,288.27,7072418,31540707372,5883622207315
288.64,291.95,288.29,291.89,8222747,21924110213,5957265248330
291.73,292.87,289.9,290.76,8621600,24670837195,5934263282320
290.86,293.33,290.39,290.77,4155969,19907697341,5934345112600
291.07,292.61,283.56,283.84,3757328,25804547496,5793547318715
285.08,286.48,280.94,282.43,4589414,23697715296,5764889183360
282.16,284.77,280.14,284.35,6233790,49902136390,5803657991535
283.62,287.52,282.8,285.83,11797329,41236813945,5833947535060
276.84,277.18,262.43,268.35,65343129,183008532827,5478691650790
271.02,271.42,267.03,268.57,86011649,156565074925,5482947671605
268.88,269.34,260.75,261.76,31948805,74298543417,5344599572305
263.38,263.86,258.94,259.04,68208786,120190942422,5289459066625
253.15,264.91,252.11,264.67,59264970,120512689986,5403695224870
265.23,265.23,258.9,260.45,20981158,54620395087,5317780263555
261.98,262.52,257.52,258.91,28737164,55036082776,5286696400735
260.37,263.33,259.93,261.72,20446140,44685790399,5343762091945
261.97,262.51,256.71,259.22,13632695,31613422617,5292952590765
258.22,260.0,257.56,259.06,11113844,27734776690,5289703872555
260.25,263.78,260.23,263.34,13050288,33436482999,5376522940370
263.04,266.31,259.45,265.4,39115406,74597981101,5418401987570
265.51,266.4,261.58,263.58,15322902,36064627019,5381406357485
262.77,263.16,259.42,260.15,10030643,23472651718,5312472686430
260.03,263.6,257.66,263.46,9607381,29014464937,5379525910870
263.76,263.76,257.99,258.69,14919800,30647415800,5282556414465
259.58,260.84,256.0,257.59,49767805,71507174439,5260255944915
258.03,258.66,250.29,251.0,28519623,54664871733,5125775797695
249.34,250.78,246.34,246.43,15195185,32153891414,5033033754860
240.57,241.1,234.81,235.62,18224637,47116537730,4812949328330
235.33,246.13,235.04,245.44,16407824,39239680286,5012133292735
240.16,244.87,239.9,242.12,7058348,23077116818,4954822582485
242.09,246.56,240.25,240.67,8423664,25199692159,4925154610962
236.51,238.22,230.91,232.81,13421420,35459955152,4764909282090
233.32,236.24,230.2,231.46,6546593,26377927401,4737660471424
235.02,239.5,234.64,235.69,13554519,32464802841,4823780747652
234.81,241.27,234.02,240.44,7563591,24494539517,4920323631750
242.67,247.08,240.48,246.02,8956126,32255439394,5033757561595
243.89,247.46,242.45,244.4,107189149,149843610750,5000916820635
241.53,241.79,231.68,234.36,36588002,63817312562,4795951142839
230.72,235.23,228.42,233.89,17383318,38445476297,4786689339866
235.94,237.58,226.03,228.07,13842731,34107296790,4668228058159
225.41,227.11,212.99,216.98,15074722,40089761818,4441670951617
209.79,210.08,188.96,203.46,21933034,52120884682,4165098198874
207.71,208.21,198.72,199.31,11059130,32455235305,4079712282399
191.26,201.14,188.18,197.99,11947045,30593545872,4052390510874
200.3,203.75,191.46,191.46,36757958,63967023177,3919469423692
193.34,195.79,167.34,169.07,19945235,42683131620,3461812545216
174.07,183.39,167.58,183.39,12924749,37625462626,3752681141793
174.88,174.88,163.27,163.32,12773947,28003845882,3343163160388
166.7,176.41,164.52,176.24,8292093,26051161898,3606610543966
182.57,186.49,179.29,186.49,11328333,27083409380,3815428754007
188.91,198.03,187.45,191.96,15845144,35645715950,3927300558957
199.11,199.2,189.58,193.34,17265967,35843296244,3956172774622
188.29,194.56,186.57,194.03,11402982,24680830512,3970239290172
196.64,198.63,193.98,197.62,25098237,48566409123,4044519357271
196.66,201.79,193.97,194.82,16521455,30934620884,3987527146173
195.97,198.34,191.38,198.3,11132513,21711604122,4058325635992
199.2,202.0,197.37,200.88,15426596,29042257403,4111070070480
201.85,208.07,201.43,207.63,26166747,53028839077,4248303234927
211.07,213.08,207.29,212.62,82984661,111455247706,4349712624701
212.03,215.81,208.47,213.33,27200616,52273466356,4364216877314
216.32,218.08,213.9,217.9,20171637,39838722136,4457345028934
218.38,219.74,212.95,218.85,46072721,68465864097,4477073224435
219.24,219.37,214.41,214.41,14248879,25262491370,4387201386218
215.99,222.41,215.92,220.77,22783229,43564151597,4517448290005
219.22,225.64,215.84,224.41,33690266,70948388506,4591786225432
227.69,234.48,227.63,231.75,16500908,46859737050,4741251981273
233.69,238.72,233.23,234.85,28027721,68541329376,4804969832428
234.25,235.3,222.02,228.66,26995294,63482760892,4678631654160
225.81,231.21,223.09,231.03,12354255,32000537095,4726677064652
232.72,234.8,231.04,234.25,21743607,49761857062,4792227583406
232.74,233.36,225.96,229.03,52898352,109894092514,4685927972675
230.08,236.98,229.47,236.22,20794143,55957601010,4832527531025
237.18,238.67,233.84,237.38,13844904,35997941284,4855896030464
237.75,238.28,233.6,234.95,15788666,43189272017,4806650086945
232.26,234.81,230.84,231.75,12906277,34887658502,4741707524268
235.4,235.4,231.35,233.65,16775656,37049737174,4780678757881
233.75,238.17,233.41,237.3,21135200,50182394884,4856402046577
239.02,241.53,237.29,241.31,27583479,65338294701,4939082039515
239.6,242.05,235.31,241.51,16093232,75166027293,4943135891310
242.45,242.45,233.46,235.45,13753279,43038807049,4819976771831
231.69,239.26,231.02,239.26,38553708,109572275521,4897540659183
236.85,238.41,234.09,235.08,10465749,35041306685,4812130435905
236.17,242.05,235.84,240.67,19903260,52568957446,4925807073434
240.96,241.08,236.68,237.8,13174648,30406687694,4867506377522
241.17,243.36,238.46,238.96,10235223,36362922774,4891565965266
239.02,243.64,238.83,243.2,12155682,35429527960,4977831734599
243.94,246.11,241.47,241.9,9178409,36997881226,4951523328962
243.01,244.45,236.73,238.34,17266760,38765478435,4878886523325
239.96,241.07,237.36,239.34,34074243,57755431321,4899177204805
239.67,243.91,239.17,241.86,83052561,180535491709,4950644514945
243.2,250.94,243.2,249.9,91560688,185148523291,5113992440314
253.36,253.85,241.6,244.78,127027969,231015054699,5009149190417
244.01,247.64,241.78,244.44,77719950,139145951550,5001998784664
244.03,247.23,243.75,247.22,84514225,132659394455,5058815023250
248.29,250.63,246.72,250.63,57854273,109231550727,5128184656330
252.94,256.5,252.75,254.25,66735043,146011448693,5201922882570
256.29,256.8,251.52,251.89,207271662,331019112971,5154060439655
253.01,253.88,251.12,251.93,47596447,92518131697,5155049295365
253.47,257.14,253.05,254.83,23888756,65154385028,5214025635605
255.15,258.02,252.21,257.06,24157049,65083914664,5259565058675
259.26,261.59,257.13,259.0,17274326,58556412862,5299289323615
