날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,1761.72,1801.58,1752.78,1795.64,19788528,286712277061,122245263274653
2017-01-03,1800.71,1833.5,1798.25,1828.97,20220411,470831262629,124431190980947
2017-01-04,1830.93,1845.49,1822.86,1827.35,20720005,510840393437,124368281152236
2017-01-05,1828.23,1838.16,1817.33,1836.37,23610434,394164533628,125024241613042
2017-01-06,1827.17,1828.1,1809.88,1815.13,18236670,316919385310,123561156372188
2017-01-09,1818.52,1819.32,1803.25,1811.22,16304970,315041396922,123220770110365
2017-01-10,1803.0,1823.39,1802.28,1819.9,16295106,293492599535,123826954667670
2017-01-11,1803.51,1819.89,1796.4,1809.28,13636590,366614105180,123065746148801
2017-01-12,1814.13,1830.28,1805.97,1817.16,16864324,317761697598,123519390083678
2017-01-13,1819.31,1826.22,1810.94,1820.98,16009629,266566630699,123709876266904
2017-01-16,1824.95,1826.89,1805.1,1820.09,12667403,247908348799,123432118075943
2017-01-17,1818.95,1837.83,1815.56,1832.46,20804600,374049950407,124297594973286
2017-01-18,1830.55,1849.02,1820.43,1842.36,18416892,346938900722,127065712077675
2017-01-19,1834.56,1842.46,1810.08,1819.77,15220167,294510667734,125664980563092
2017-01-20,1812.49,1824.85,1804.13,1814.73,44984092,360921573787,125172000363771
2017-01-23,1812.87,1817.77,1785.95,1787.85,19282003,279101016218,123464412753932
2017-01-24,1786.11,1788.58,1757.24,1767.46,19313139,377663648561,122093441995840
2017-01-25,1767.85,1770.65,1722.41,1722.41,18232740,440033132403,119078721275091
2017-01-26,1723.82,1732.49,1711.15,1728.52,13118204,347950095301,119489564131048
2017-01-31,1705.43,1705.76,1663.14,1663.14,21623262,589872538042,115110367057836
2017-02-01,1668.01,1687.4,1668.01,1681.54,17039433,384518844015,116261574176290
2017-02-02,1677.8,1689.01,1658.24,1662.9,28557360,476651840147,114972861461354
2017-02-03,1666.05,1680.74,1656.7,1664.04,23760074,437091863263,115095860838499
2017-02-06,1671.49,1679.57,1655.0,1656.98,16250939,313805014390,114668951876018
2017-02-07,1661.97,1678.7,1658.56,1677.42,19489176,379958682104,116005347407599
2017-02-08,1675.51,1679.12,1662.85,1676.64,24576683,426883027498,115953776332403
2017-02-09,1676.71,1686.63,1665.89,1678.14,16628355,357269054462,116046975372248
2017-02-10,1685.07,1692.52,1674.91,1684.46,25670020,449895238461,116587093393576
2017-02-13,1692.26,1692.94,1681.58,1687.69,12319777,314100530793,116778108355524
2017-02-14,1696.16,1703.67,1689.27,1701.04,12427968,325183004150,117568101841014
2017-02-15,1712.99,1740.11,1711.12,1731.98,13090440,397041122797,119711968598223
2017-02-16,1741.41,1759.48,1739.9,1749.44,19288295,472232809077,120993305062498
2017-02-17,1741.84,1760.29,1730.32,1755.18,15023808,337473722265,121335470561725
2017-02-20,1752.8,1759.25,1747.54,1757.35,13781520,274121729178,121549776526836
2017-02-21,1756.68,1774.98,1755.08,1771.44,14461648,334224883374,122443398586037
2017-02-22,1771.59,1780.79,1754.2,1776.91,17679667,420073413426,122801468948849
2017-02-23,1783.18,1784.29,1753.76,1760.55,21046703,462678363894,121685387431880
2017-02-24,1762.23,1771.49,1756.55,1768.99,13291881,269230472202,122245663216053
2017-02-27,1775.37,1779.56,1763.78,1771.34,16158713,247487598394,122400596614714
2017-02-28,1771.2,1786.36,1753.27,1781.6,18031695,466270514547,123108447359553
2017-03-02,1787.79,1795.4,1757.21,1761.51,17283323,547959770274,121906116118586
2017-03-03,1751.18,1751.18,1715.07,1718.89,15197651,472629465681,118945962912031
