시가,고가,저가,종가,거래량,거래대금,상장시가총액
1418.9,1422.52,1381.89,1385.61,36981110,353903911781,94518341427330
1392.63,1433.04,1381.53,1420.16,39872963,511841891416,96888121963186
1417.05,1471.92,1417.05,1467.68,28493239,562502726383,100071303648645
1478.37,1479.09,1454.61,1462.71,25149979,349204719434,99730019062366
1474.83,1478.82,1428.31,1435.59,27028121,402126811975,97941021403499
1439.16,1480.51,1438.02,1473.22,30204137,447050680203,100527416317870
1466.38,1470.04,1447.77,1460.32,25382734,424902433379,99677233313966
1465.13,1471.76,1450.14,1456.26,55919784,363039725786,99416623712487
1451.03,1465.85,1443.2,1452.07,20563217,282221922959,99078951298409
1462.35,1502.31,1461.59,1496.83,49831731,478582261922,102187657592973
1494.65,1502.54,1479.97,1498.08,27645863,320532940361,102258191312194
1497.3,1517.1,1490.41,1506.95,45675749,456794102043,102973399269959
1512.39,1535.85,1511.22,1534.6,90071879,711718814777,104832382258085
1539.69,1556.85,1518.61,1523.01,86352694,752642364384,103961153478726
1524.56,1532.56,1511.1,1525.14,38304628,413562100290,104177287137454
1519.57,1552.29,1519.57,1550.37,35952356,398689026130,105872398097393
1533.55,1548.64,1517.11,1546.7,25177404,434562828554,105707450181233
1533.26,1545.87,1526.95,1532.03,32026386,490350723882,104718832445043
1555.72,1559.98,1536.11,1541.65,34472102,586918147905,105262680011128
1539.06,1558.62,1535.72,1554.96,34736848,549645253627,106196658256995
1558.69,1576.55,1547.77,1576.55,32602081,442691819812,107594462043263
1582.57,1600.78,1567.81,1575.98,54577611,1080565457525,107564450971726
1565.06,1570.09,1544.1,1549.42,36543808,832143084313,105894086809373
1553.5,1554.58,1532.15,1536.51,24744700,498675482961,104926623401662
1530.51,1538.39,1526.58,1529.48,26287405,405498862657,104478044278564
1536.91,1557.33,1532.95,1546.03,21194133,394466732581,105685037905364
1553.34,1563.67,1543.54,1553.02,34581522,460056800149,106312000656562
1553.09,1556.51,1517.22,1521.66,33967668,443251942788,104049397867145
1515.19,1519.16,1480.6,1510.95,34251664,605630747961,103277332324415
1506.17,1514.6,1495.06,1502.73,30445266,351375299558,102600693937343
1501.12,1505.13,1480.62,1499.64,21969371,341969285224,102401859859162
1500.46,1500.46,1487.15,1490.03,25552085,298453330301,101658467118789
1496.95,1514.48,1488.08,1492.42,17815260,403716464003,101830974419171
1497.22,1520.7,1494.53,1513.55,24023651,476547994377,103235089140495
1514.15,1525.51,1512.67,1516.2,23013822,306280607029,103386625112958
1521.68,1532.52,1513.07,1522.38,16785779,332318981962,103732310955682
1527.26,1541.82,1523.24,1525.91,27068815,560752836309,104043041514772
1555.09,1573.75,1551.93,1568.29,18541590,582326605416,107016503087187
1564.94,1574.93,1545.73,1546.37,23142797,612859365390,105503229109564
1539.41,1541.44,1505.88,1513.57,19986580,565541735148,103263219124797
1499.75,1506.52,1487.44,1506.52,14767861,341759078653,102800778409191
1502.65,1524.5,1496.44,1517.43,14535468,344341295104,103537942279017
1530.11,1537.02,1491.22,1501.96,26706082,424881040855,102583583444416
1491.66,1492.43,1455.81,1458.87,21743408,335022162143,99667514387194
1453.33,1468.52,1445.56,1466.25,20806248,262909905542,100109254713387
1477.59,1494.6,1477.59,1491.99,26862984,314279767590,101932144088309
1494.79,1498.36,1455.62,1478.58,37723627,383479133855,100974643173007
1487.07,1489.15,1440.77,1456.57,22471962,501258716104,99372898921977
1460.76,1486.53,1459.29,1478.87,33202304,581221662495,100865132193430
1484.88,1508.27,1483.6,1505.08,13898295,264893986364,102684686544248
1497.98,1513.01,1491.77,1505.72,16129852,240883287327,102749542369729
1491.25,1506.03,1482.91,1506.03,38307734,306205893910,102733056878015
1502.95,1514.46,1478.04,1492.98,36920065,347171224470,101951380570860
1492.76,1505.84,1476.59,1491.23,23755374,325307494608,101865332589662
1468.55,1476.61,1447.91,1447.91,27531957,369978129756,98905571006226
1458.5,1465.27,1452.55,1455.16,20018610,282932104679,99388191981190
1456.57,1459.27,1446.03,1450.63,19458020,267164892756,99045658898238
1446.96,1450.46,1436.65,1444.34,44609305,280079390118,98599837761879
