날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2022-01-03,381.05,381.38,376.04,376.5,25839069,198606156861,70106620306945
2022-01-04,375.77,378.22,373.49,377.58,169214877,380978259439,70302021543935
2022-01-05,375.77,377.12,372.7,375.51,108964844,346127241134,69913826149720
2022-01-06,372.77,374.8,370.27,370.65,66745825,279910558841,69008809543555
2022-01-07,370.83,374.3,370.02,373.49,47696082,229889586689,69540908425940
2022-01-10,372.43,374.36,367.61,368.46,40917585,311446578827,68607047334975
2022-01-11,367.89,370.93,364.1,365.98,130043957,356129042597,68144168178404
2022-01-12,367.66,373.85,367.38,373.81,35741797,298112490229,69598528636662
2022-01-13,372.81,375.71,372.55,374.07,63941847,348939216394,69645541230340
2022-01-14,372.7,372.72,368.45,368.91,64544255,301380083459,68687674880449
2022-01-17,369.0,369.24,363.08,364.82,31645405,234205430961,67923950926176
2022-01-18,365.77,366.4,358.56,359.46,31581765,220754888126,66926403770236
2022-01-19,357.65,362.34,356.14,360.89,27657186,235398921095,67190137177209
2022-01-20,362.0,363.07,358.03,362.27,23435973,185274490128,67444737344664
2022-01-21,359.68,361.02,357.1,359.87,45471300,240755909586,67002992674716
2022-01-24,359.4,360.54,350.9,351.9,32880475,227899904563,65520996986780
2022-01-25,351.5,351.57,340.41,343.29,63546783,380597083094,63919083735689
2022-01-26,344.14,347.0,341.09,342.62,32341643,210168088628,63792799059774
2022-01-27,342.62,343.92,327.64,327.64,32815421,327035597234,61009508355657
2022-01-28,330.92,342.18,327.82,341.64,33392138,258203898939,63614862122475
2022-02-03,345.4,350.45,345.4,347.48,38831648,235926883749,64700441404733
2022-02-04,347.41,355.36,346.56,355.27,28544556,232538492192,66149700357611
2022-02-07,353.7,354.76,350.61,353.63,22576467,238867018031,65844054983702
2022-02-08,357.11,360.23,352.62,355.41,66457583,329001486571,66172788331653
2022-02-09,357.54,359.02,354.67,358.24,44964434,342677748251,66698801989340
2022-02-10,360.15,362.22,358.4,360.17,32247293,383926556442,67058391373732
2022-02-11,356.21,358.09,354.44,354.65,42096689,258429172455,66032017381264
2022-02-14,352.28,353.25,347.99,351.43,45854889,304734669682,65433713839890
2022-02-15,352.16,352.79,346.71,348.26,39475234,233188271732,64844083944720
2022-02-16,351.6,354.89,351.16,354.33,56506095,288337143342,65982371888265
2022-02-17,355.2,361.02,351.38,355.89,50302676,370130768589,66271733907357
2022-02-18,352.49,358.98,352.15,357.65,26821936,186196240081,66598314120986
2022-02-21,353.72,357.95,351.6,357.31,29279829,191114957533,66532404989625
2022-02-22,352.47,355.17,349.75,351.6,25330281,232878581907,65465916218013
2022-02-23,353.97,356.02,352.66,354.78,26019243,230131368032,66058043887890
2022-02-24,351.81,353.82,348.29,349.75,62078383,452631435598,65121627802769
2022-02-25,352.47,354.46,351.12,353.15,30983421,375051242777,65754795278135
2022-02-28,352.69,357.82,351.74,357.8,23323018,254753156692,66618765862416
2022-03-02,358.27,361.9,357.37,359.59,24024774,269171885200,66953844015131
2022-03-03,362.08,365.84,361.22,365.82,37527145,335738196519,68111356283127
2022-03-04,365.69,365.69,360.75,362.63,25868943,257225603377,67518009237406
2022-03-07,360.86,361.11,355.23,357.62,36447015,421063480733,66586429807924
2022-03-08,355.51,356.9,352.75,353.1,43241591,396966820597,65746310295968
2022-03-10,359.46,366.93,358.44,364.39,29508936,423148654233,67852338989252
2022-03-11,365.08,371.56,363.42,370.82,31995009,460414244293,69047585834079
2022-03-14,371.54,375.56,364.77,365.31,26019418,379084203742,68021761447921
2022-03-15,362.55,366.14,361.84,363.04,126639029,281573577978,67603948076239
2022-03-16,366.22,369.9,363.13,369.21,47984234,291039876438,68749955908612
2022-03-17,372.88,374.62,368.95,369.17,57767010,288375319664,68744573293910
2022-03-18,370.58,372.66,369.07,370.48,127839114,487046276929,68987770641851
2022-03-21,372.46,373.77,368.74,369.88,55393086,339008283155,68872938907901
