날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,2283.03,2292.31,2242.68,2269.31,7203899,5522096810,979830859212
2017-01-03,2277.7,2300.71,2234.03,2263.55,7295250,7224850956,977342657720
2017-01-04,2281.01,2283.76,2217.62,2222.55,4680646,5776829884,959637605003
2017-01-05,2226.4,2254.4,2211.48,2238.65,15556590,7514390852,966592107151
2017-01-06,2240.44,2248.97,2223.81,2242.72,5186192,4146779668,968346745152
2017-01-09,2241.26,2252.4,2212.93,2241.67,9026935,8205930546,967895642818
2017-01-10,2236.7,2245.45,2183.9,2204.72,5469579,5847619980,951942227692
2017-01-11,2213.66,2251.83,2207.06,2225.85,34299062,13629432881,961064116438
2017-01-12,2228.78,2242.27,2185.37,2197.3,9499227,6004509722,948736431248
2017-01-13,2195.21,2216.14,2171.07,2199.74,7513233,4527176992,949789611131
2017-01-16,2194.92,2194.92,2146.56,2152.8,6269444,4937761212,929524033167
2017-01-17,2150.39,2166.34,2131.58,2134.36,4090875,2766717863,921560310935
2017-01-18,2128.02,2168.2,2125.64,2167.95,4975849,3420663734,936063060851
2017-01-19,2186.59,2189.77,2146.64,2155.84,2549694,2949032854,930835634085
2017-01-20,2172.11,2193.12,2111.28,2111.28,5411404,10252881185,911595743987
2017-01-23,2117.7,2120.86,2074.61,2077.75,6359417,4737802536,897119331189
2017-01-24,2068.06,2075.85,2036.15,2053.56,6105779,5638895583,891668725275
2017-01-25,2066.22,2069.99,2032.62,2043.18,3715881,2557939029,887160814625
2017-01-26,2050.76,2104.36,2030.19,2077.76,19087528,8953882722,902174759825
2017-01-31,2070.5,2086.58,2058.44,2081.31,14032841,6863886693,903719869000
2017-02-01,2099.2,2099.2,2076.88,2096.37,8132716,6258678610,910258999525
2017-02-02,2110.6,2192.29,2104.59,2118.51,132305789,46068825273,919869806075
2017-02-03,2119.16,2119.16,2033.0,2047.59,23395463,10636457597,889078266300
2017-02-06,2052.98,2068.51,2015.53,2023.19,24320042,10547433144,878482149500
2017-02-07,2023.88,2038.36,2009.76,2021.45,16785783,7178851146,877725888375
2017-02-08,2032.92,2035.85,1997.01,2016.25,13785497,6252926500,875469324250
2017-02-09,2008.77,2014.65,1968.27,1989.21,13048348,6454793556,863727056550
2017-02-10,1993.6,2013.51,1982.12,1992.21,10006858,4548806880,865032526975
2017-02-13,1997.33,2024.83,1982.46,2018.77,10322507,4449710570,876561006975
2017-02-14,2010.64,2028.78,1999.17,2028.78,8534626,4012169020,880910697025
2017-02-15,2032.95,2040.2,2016.85,2030.39,11359681,4589653257,881607801300
2017-02-16,2007.73,2018.84,1990.31,2011.72,18659719,7376617749,873503858550
2017-02-17,2001.56,2054.36,1998.66,2047.71,19762476,7644453374,889129276650
2017-02-20,2045.79,2063.1,2034.8,2050.21,7604880,3167466878,890212888700
2017-02-21,2048.36,2051.01,2011.65,2019.96,5425991,3787557527,877080232525
2017-02-22,2024.82,2029.1,1975.34,2006.64,5095313,4156358860,871298111050
2017-02-23,1999.32,2015.16,1985.97,1997.37,29071976,10761448481,867272429300
2017-02-24,2007.03,2027.85,1956.48,1972.42,11011805,7061205088,856436673750
2017-02-27,1968.36,2006.97,1964.73,1991.07,14077773,6500287179,864537310325
2017-02-28,1986.46,2008.23,1981.1,1995.16,7004453,4229590571,866313568225
2017-03-02,2008.8,2017.99,1983.73,2002.41,4788436,3060031260,869460486275
2017-03-03,2002.78,2011.25,1974.27,1996.03,9166979,7220257106,866691058050
2017-03-06,2005.4,2060.69,1995.26,2054.92,13460187,29723910444,892261579175
2017-03-07,2054.67,2081.2,2037.84,2081.2,5699580,5469907637,903670159775
2017-03-08,2083.49,2097.17,2068.65,2077.75,4319383,7364218176,902174191675
2017-03-09,2068.07,2099.93,2064.8,2082.59,6049124,4854370882,904272523950
2017-03-10,2076.61,2098.87,2057.83,2095.03,8065684,6930765866,909677091025
2017-03-13,2104.18,2127.43,2102.98,2123.59,6658198,6040411303,922076129275
2017-03-14,2126.2,2135.48,2110.24,2115.06,4105987,4573852023,918370770525
2017-03-15,2114.66,2135.36,2090.47,2096.56,24540580,99614002795,1292216440875
2017-03-16,2114.92,2144.24,2106.73,2144.24,14869751,31872157348,1321604087950
2017-03-17,2149.01,2169.24,2120.14,2158.77,8620177,34355112047,1330554295500
2017-03-20,2155.42,2167.75,2113.2,2116.6,6616921,13867906387,1304568404925
2017-03-21,2124.97,2128.47,2091.43,2111.3,10669086,18544839991,1301301129200
2017-03-22,2106.3,2113.34,2067.47,2075.05,6459068,11127294976,1278958990150
2017-03-23,2083.39,2088.37,2049.42,2053.54,10153879,10512128637,1265697072700
2017-03-24,2055.74,2063.19,2019.0,2040.11,8978155,13295823847,1257421838600
2017-03-27,2068.07,2075.9,2034.27,2040.46,49747952,22708687365,1257637625650
2017-03-28,2057.99,2076.39,2052.51,2070.01,22018596,12397019917,1275848526225
2017-03-29,2094.48,2182.07,2071.49,2179.71,327283118,128944108364,1343460844250
2017-03-30,2195.73,2239.66,2177.38,2213.72,360613280,158428807617,1364425663350
2017-03-31,2228.2,2228.2,2185.88,2210.83,150700939,69125829483,1362642683300
2017-04-03,2211.49,2262.8,2195.69,2253.42,130958099,61677294842,1388892735000
2017-04-04,2242.17,2242.17,2154.48,2159.59,112148868,50231498908,1331064559150
2017-04-05,2180.36,2231.18,2171.69,2209.07,191625956,80425667584,1361560599000
2017-04-06,2223.89,2223.89,2167.2,2183.38,90393811,39472325683,1345727358075
2017-04-07,2172.95,2212.06,2163.49,2202.01,33920241,17675962635,1357207387800
2017-04-10,2224.95,2232.01,2158.47,2171.12,53793462,25150349688,1338170507100
2017-04-11,2165.01,2185.89,2140.35,2179.37,35838852,18192026081,1343253215650
