시가,고가,저가,종가,거래량,거래대금,상장시가총액
11060.73,11060.73,10852.92,10946.65,18345297,274763891374,76545795792870
11023.24,11069.88,10778.09,10818.49,20534277,272901682883,75650661678499
10625.72,10697.51,10536.63,10543.17,17175322,256248689614,73724511222500
10647.42,10750.6,10578.61,10738.97,20346176,236184421420,75085806484261
10533.18,10597.61,10320.9,10434.02,24275688,385909006447,72951505731908
10679.07,10733.75,10620.25,10679.14,17085523,260037828087,74665352028160
10727.83,10932.05,10608.27,10905.82,23163958,335190561700,76273967395734
10952.14,11051.78,10928.06,11012.7,11762544,242138236373,77018042649127
11038.39,11075.91,10857.33,10904.63,12243490,259657714231,76259144450436
10884.41,10940.54,10838.37,10874.81,15530369,187392278407,76054962532363
10851.68,11077.35,10787.88,10950.14,54616383,531792659555,76566190033126
10943.26,10967.44,10772.7,10830.39,17010743,305042156487,75757057797782
10856.4,10870.04,10779.51,10806.4,39029901,349070909729,75609841257967
10877.5,10939.92,10696.13,10708.17,234998804,614638506272,74906646747387
10750.82,10996.71,10741.56,10991.04,119688749,662933828516,77018970105839
11163.27,11353.88,11004.22,11240.92,85941342,730809407711,78922975053238
11156.49,11357.34,11156.49,11306.86,205164875,975300374584,79412365854872
11326.93,11326.93,11149.56,11225.4,73091017,502363259397,78838061243206
11234.97,11301.96,11072.4,11125.18,57248128,456398966038,78142840825514
11174.85,11227.01,10902.3,10902.3,46088111,409315140286,76587083552644
10704.49,10896.92,10570.59,10850.35,48534840,435813538731,76219253909391
10936.45,11071.21,10923.89,11038.07,27845165,322378813463,77543520941274
11117.22,11138.95,10950.41,10980.48,70547081,645998596650,77159882692649
11120.28,11569.58,11102.36,11515.12,147112689,1170747191405,80922150136549
11563.89,11595.71,11394.2,11460.04,192318630,968536181300,80580050460959
11438.64,11657.16,11314.41,11591.31,54802400,490343134780,81507905856454
11696.02,11751.22,11518.03,11585.66,50251087,464079249105,81463613731664
11619.44,11673.03,11499.14,11602.54,30918714,317468168318,81573586990809
11663.21,11739.57,11607.2,11641.82,58968088,609725948930,81824882103374
11633.1,11710.46,11621.47,11665.15,29707048,341985151530,81973247723984
11701.01,11758.92,11623.72,11645.08,30370970,404181737490,81791143379704
11574.09,11629.4,11500.63,11538.71,87444690,828626718435,81051375797914
11622.71,11640.38,11385.64,11445.83,108365097,1053470777630,80416484535149
11484.34,11538.15,11242.68,11299.12,86810499,848506374300,79385688435224
11193.16,11239.52,11075.28,11086.86,96274441,838578567985,77887425748591
10792.55,10926.2,10568.29,10568.29,109340622,913335407135,74222567669970
10542.7,10853.75,10542.7,10850.6,45008787,510706302099,76203861752466
10652.82,10939.48,10642.96,10867.53,42966396,499721644038,76321682130136
10882.77,10963.58,10751.05,10833.98,58385173,474275459269,76096221881850
10682.19,10759.05,10462.23,10565.78,43098761,517223932143,74187986404200
10651.86,10792.1,10467.77,10775.4,30208224,397477151474,75648017629699
11008.98,11165.63,10860.49,10887.93,104460814,918389469702,76473024084890
10879.36,11057.34,10879.36,11015.65,72875497,691780096192,77368011618990
11129.57,11354.55,11044.64,11336.87,96672844,989615019219,79591629356068
11182.14,11324.75,11135.02,11187.2,87573644,772351807663,78561007603540
11034.82,11299.79,10991.93,11110.24,75619305,899226219440,78038874158603
10976.39,11270.91,10889.22,11270.82,71383494,892745936027,79121461091265
11447.27,11451.99,10808.03,10922.04,66122078,767945959278,76681186238435
10843.7,11021.96,10453.72,10699.76,80705912,984432874665,75118839843115
10271.38,10597.55,9507.49,10294.39,108169309,1664502454911,72248252315452
10661.15,10661.15,9938.91,9938.91,75300085,1159648687910,69752654063437
9579.96,10086.21,9547.72,9898.02,62188466,1073040486791,69446206786949
10056.82,10078.73,9416.76,9416.76,122733307,1343810074012,66095314958109
9749.48,9749.48,8384.67,8545.51,68537356,1245511499459,59985998018873
8916.6,9547.28,8733.22,9510.22,82463267,1324250845838,66778851985357
9127.57,10226.1,9068.8,9914.42,95367121,2128167984260,69516000672098
10207.07,10712.08,10207.07,10622.62,83989377,1698393988823,74501211865767
10925.04,10978.06,10424.97,10716.62,108327489,1787343504559,75192162952190
10656.56,10932.32,10521.12,10633.74,163313031,2391200848759,74619927441484
10960.28,11097.04,10348.64,10683.34,252023942,3373939311657,74963094179276
10555.4,10932.41,10555.4,10925.2,138502065,1872968367760,76676195838892
