날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2022-01-03,17239.47,17456.5,17230.1,17397.56,17183344,538592266821,137180745072574
2022-01-04,17294.71,17389.08,16999.01,17036.28,14713035,618905439003,134332822436478
2022-01-05,16897.2,16897.2,16446.51,16520.93,30165924,863593682374,130268779653902
2022-01-06,16265.88,16439.62,15923.01,15954.95,43741299,788816918353,125806338052347
2022-01-07,16007.6,16300.36,16007.6,16192.98,13392637,450281547059,127687481521449
2022-01-10,16293.18,16383.56,16065.69,16172.26,10917949,434671368304,127509515130994
2022-01-11,16314.87,16507.67,16297.96,16351.39,20858684,752797818092,128902606561828
2022-01-12,16530.53,16760.4,16422.92,16613.75,11422301,624165496495,130976884622581
2022-01-13,16607.23,16607.23,16315.29,16482.51,21668759,494800907766,129942492939615
2022-01-14,16187.25,16265.16,15779.61,15848.04,18449390,1024744477864,124979355580121
2022-01-17,15725.01,15856.63,15306.87,15343.43,17019115,850453871071,121013882102397
2022-01-18,15447.22,15541.22,14945.32,14989.17,17770261,806940544623,118209924459509
2022-01-19,14848.61,15292.71,14787.97,15135.89,11823705,575799221062,119355906664762
2022-01-20,15123.74,15226.4,15011.34,15193.13,14322720,369761544968,119826606767291
2022-01-21,15187.72,15373.79,15051.15,15112.78,12321827,434199545764,119454081725268
2022-01-24,15041.02,15122.93,14890.34,14994.06,23462877,751684139178,118508647089532
2022-01-25,15021.71,15047.52,14399.95,14412.89,25838162,880705272791,113972305439355
2022-01-26,14422.75,14541.41,14136.98,14136.98,15856275,590408182279,111797098619825
2022-01-27,14136.98,14171.97,13400.41,13406.05,24389338,947939090381,106019843851549
2022-01-28,13337.71,13970.42,13330.71,13854.84,19476001,632065574205,109569422796951
2022-02-03,14057.89,14619.83,14057.89,14444.39,32993333,889894561522,114230946139937
2022-02-04,14407.82,14679.41,14342.65,14507.46,25576288,813227189457,114725637913527
2022-02-07,14557.61,14560.94,14246.66,14430.62,33481530,1266522416386,114121357719562
2022-02-08,14678.43,15112.09,14442.22,14802.46,30044518,990026028251,117051977615367
2022-02-09,14779.49,14779.49,14480.02,14550.1,48477238,997576308187,115060669381570
