날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2023-01-02,5807.82,5861.11,5763.24,5777.72,182208560,3479748949009,1214269737653381
2023-01-03,5791.55,5791.55,5655.45,5747.29,208384321,4251304942413,1208018528388960
2023-01-04,5712.36,5861.1,5687.88,5842.77,165744805,4588230525031,1228689626270438
2023-01-05,5883.02,5899.35,5802.25,5832.99,198014146,4622801832318,1228078126738491
2023-01-06,5807.46,5933.14,5806.92,5906.54,232549573,4435664368253,1243083394289080
2023-01-09,5975.24,6079.15,5967.14,6076.32,198744759,4773482148641,1278336696587220
2023-01-10,6075.86,6137.35,6060.12,6077.55,219183651,4514071829354,1278687584583758
2023-01-11,6112.57,6141.78,6085.66,6118.63,232948709,4248830259566,1286801901346816
2023-01-12,6168.82,6170.01,6105.82,6135.59,256267339,5317120451575,1290440205952664
2023-01-13,6161.68,6207.18,6151.96,6168.96,343777991,4328521585843,1297392003092090
2023-01-16,6180.67,6208.29,6162.19,6178.81,204883624,3845692978639,1299563272516974
2023-01-17,6184.4,6194.44,6103.86,6123.32,292154715,3884281568116,1288153098221984
2023-01-18,6126.68,6136.04,6049.7,6082.21,163220094,3445789091099,1279559982935293
2023-01-19,6051.61,6119.4,6051.61,6119.4,177590097,3624203155313,1287685431076954
2023-01-20,6125.19,6167.56,6096.58,6167.56,135300432,3182355860499,1297906780363411
2023-01-25,6267.64,6285.76,6252.19,6275.3,193648083,4385631913267,1320567480924543
2023-01-26,6302.05,6407.28,6262.37,6407.28,230919119,5746565988048,1348093972014546
2023-01-27,6428.94,6481.71,6398.77,6439.45,197955080,5805349346211,1355408491336978
2023-01-30,6448.37,6468.23,6343.75,6363.08,213321923,6804073884103,1339320920264064
2023-01-31,6364.97,6382.16,6292.05,6296.89,250510140,7315391748411,1324068154008134
2023-02-01,6366.57,6374.14,6320.38,6370.41,241395348,5823841199288,1339785917715682
2023-02-02,6467.69,6483.23,6403.54,6454.07,261940197,6038324381220,1357157609075983
2023-02-03,6446.83,6486.55,6425.54,6471.82,218005727,4812789398684,1361052971824176
2023-02-06,6416.28,6444.29,6353.04,6353.24,229125827,4778915464836,1335639384573245
2023-02-07,6361.57,6419.12,6344.06,6397.43,222058428,5115879115724,1344664483119462
2023-02-08,6443.95,6485.1,6430.16,6474.34,202317740,4927697584822,1361509289715116
2023-02-09,6442.45,6501.45,6431.23,6492.26,307826051,5623768193148,1365241042724163
2023-02-10,6456.29,6465.33,6412.2,6453.34,326979203,5013043451846,1357196991771696
2023-02-13,6433.79,6437.78,6378.3,6412.99,232870219,4727511332829,1350273472477171
2023-02-14,6463.89,6499.08,6439.29,6461.55,197499491,4495332386847,1360605214077678
2023-02-15,6494.5,6497.63,6371.75,6382.93,221806869,5935881615746,1344186336315651
2023-02-16,6426.25,6537.0,6418.42,6536.63,216232029,6279679527225,1375918173405380
2023-02-17,6457.02,6512.96,6442.03,6452.32,328571356,6182453999595,1358306512225120
2023-02-20,6458.65,6473.02,6375.6,6446.11,220574798,5651441013538,1357026713877773
2023-02-21,6452.19,6473.47,6423.41,6456.15,237969472,5056893203599,1358680564244637
2023-02-22,6375.24,6394.23,6331.45,6338.41,260258351,6201995041924,1334351354794385
2023-02-23,6374.08,6422.33,6342.28,6392.9,192068674,5100288143779,1345630192766153
2023-02-24,6410.81,6429.85,6340.74,6343.13,227251260,4952870240183,1334577092690405
2023-02-27,6289.18,6292.74,6224.74,6280.16,181834824,4528833364921,1321004051459711
2023-02-28,6326.23,6365.28,6294.28,6307.1,245384428,6188500122205,1326383642414745
2023-03-02,6319.87,6404.72,6319.87,6371.07,268673836,7251407698486,1339791957941552
2023-03-03,6404.91,6413.38,6370.27,6403.23,246521493,6039027373328,1346005560603720
2023-03-06,6462.22,6499.98,6425.99,6495.51,276118780,7698637770993,1365617765077080
