날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2020-01-02,1741.01,1743.08,1718.44,1718.92,5297023,36260030611,21653604888091
2020-01-03,1729.6,1747.41,1727.53,1733.05,7533569,54086633530,21817372843758
2020-01-06,1717.86,1718.86,1691.22,1693.88,8577423,50579668235,21346692930383
2020-01-07,1698.88,1709.1,1690.64,1698.82,9487039,55157032134,21406370151290
2020-01-08,1679.26,1679.48,1648.73,1656.71,14990138,78961526779,20892360114567
2020-01-09,1684.56,1687.33,1667.02,1679.4,8842782,57575419519,21161753452992
2020-01-10,1679.78,1685.68,1672.0,1684.73,7417440,47525360193,21233105043017
2020-01-13,1682.99,1692.13,1674.87,1691.49,8931643,43112130896,21319716614963
2020-01-14,1700.89,1734.89,1697.6,1734.54,19300623,97636755179,21831327244210
2020-01-15,1731.73,1732.37,1717.19,1726.12,7990547,43636676969,21732002500436
2020-01-16,1724.55,1725.97,1710.43,1722.52,5716319,41534646731,21691659960687
2020-01-17,1727.79,1737.46,1721.74,1725.97,9208306,47243566620,21732571296697
2020-01-20,1730.55,1747.39,1725.16,1733.64,8181315,45761532497,21821505712349
2020-01-21,1739.91,1740.09,1715.12,1715.43,6057898,36246857986,21603950934993
2020-01-22,1714.38,1733.59,1709.96,1733.59,6491020,41111646775,21814884040608
2020-01-23,1725.25,1725.64,1699.44,1702.35,7393104,53392652884,21437602154844
2020-01-28,1659.09,1667.65,1617.11,1624.44,13119319,89006703741,20499643321360
2020-01-29,1632.57,1633.44,1619.65,1630.08,7069576,48409891042,20577336755422
2020-01-30,1628.9,1637.38,1610.69,1619.42,14317408,78024548330,20444016955177
2020-01-31,1626.23,1633.43,1596.21,1596.21,12076625,75081692071,20160087912171
2020-02-03,1568.9,1593.24,1558.91,1586.41,9854217,55456221325,20038823187252
2020-02-04,1586.19,1606.42,1585.41,1597.21,8539370,61515151294,20168725556802
2020-02-05,1609.03,1620.0,1603.34,1611.53,8941646,55557751397,20342430065264
2020-02-06,1626.59,1666.97,1624.59,1665.03,11533735,66395518359,20986697535025
2020-02-07,1661.85,1663.39,1629.64,1636.67,7203075,44778994458,20649980561835
2020-02-10,1624.82,1625.92,1608.3,1616.96,6641959,40468993007,20418472274041
2020-02-11,1627.37,1634.74,1618.74,1624.72,6199238,37628807965,20509957827893
2020-02-12,1627.47,1630.7,1610.18,1624.76,7452931,48717826115,20507285896223
2020-02-13,1630.63,1635.12,1611.49,1617.31,7729350,54930673044,20415849963115
2020-02-14,1615.68,1628.96,1611.2,1616.45,5272520,38210483344,20402203286920
2020-02-17,1617.69,1617.91,1599.68,1602.8,5549351,42097085220,20224843449763
2020-02-18,1596.47,1603.39,1590.3,1596.19,6429230,43797683919,20142187105265
2020-02-19,1604.55,1606.04,1585.71,1596.63,5558126,42191574010,20146561788652
2020-02-20,1599.59,1604.1,1579.6,1581.24,5891306,42058771982,19966549827218
2020-02-21,1565.79,1568.55,1554.63,1556.42,8049039,47108115077,19663427714179
2020-02-24,1523.19,1529.32,1497.23,1498.61,12188771,70354709941,18963074858575
2020-02-25,1496.43,1536.95,1493.53,1528.43,8660717,57356772479,19323307831570
2020-02-26,1509.86,1532.63,1505.53,1524.92,7563239,49803954020,19277089286216
2020-02-27,1523.77,1531.86,1504.98,1513.87,8154928,49225232207,19135796893972
2020-02-28,1489.8,1496.0,1462.62,1467.8,15844067,81488386212,18568210502724
2020-03-02,1469.09,1476.82,1444.02,1460.56,9495846,57028616081,18493385344205
2020-03-03,1494.47,1500.34,1477.87,1480.27,9430238,63082135421,18753532450131
2020-03-04,1479.05,1524.12,1479.05,1518.26,9135826,59362309075,19214441479175
2020-03-05,1536.44,1551.77,1523.44,1547.02,11115895,58515991344,19566219541708
2020-03-06,1524.71,1528.97,1511.53,1522.4,10731962,58450680208,19260941430298
2020-03-09,1488.75,1492.55,1455.16,1461.78,12676327,67162926677,18523282843161
2020-03-10,1450.52,1468.48,1440.79,1468.48,11805739,65864741432,18592178204868
2020-03-11,1470.84,1484.22,1425.64,1437.05,11659812,70774840282,18216524791518
2020-03-12,1432.86,1433.16,1344.75,1365.6,19438102,103001995271,17333197368648
2020-03-13,1293.93,1320.83,1223.76,1296.74,27378285,124914452238,16455886342526
2020-03-16,1319.74,1322.05,1263.97,1263.97,16919686,78537210251,16056248659703
2020-03-17,1199.6,1259.18,1194.72,1222.07,22516664,89008407039,15522821403574
2020-03-18,1238.91,1239.52,1151.31,1151.31,19707423,87982415976,14669256402230
2020-03-19,1165.11,1168.19,968.59,982.95,37755944,133390084926,12575652269866
2020-03-20,1011.88,1046.04,977.21,1045.83,30946601,121686624636,13345892848706
2020-03-23,983.86,984.08,935.66,941.36,25828575,95431249897,12038383184094
2020-03-24,970.46,1052.5,950.23,1047.22,26681225,101095910065,13339926326282
2020-03-25,1101.31,1199.94,1094.35,1199.67,37291218,156211441148,15198702462436
2020-03-26,1202.49,1242.96,1176.09,1205.11,26697837,123144292833,15286988750110
2020-03-27,1273.44,1287.59,1203.31,1236.94,23410926,117239002176,15699080832259
2020-03-30,1190.16,1268.62,1182.35,1263.17,15888683,82865239359,15997898484047
2020-03-31,1284.45,1314.15,1273.75,1290.31,20580915,106894185184,16333608651702
2020-04-01,1274.74,1299.86,1218.32,1219.14,17121008,91800252536,15485454399209
2020-04-02,1219.05,1247.86,1185.07,1245.59,14768371,74193547432,15796974592162
2020-04-03,1246.81,1255.76,1206.15,1219.2,16123062,79941049476,15481477867088
2020-04-06,1232.58,1281.83,1229.35,1277.27,18131736,93409948129,16187497553702
