날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,4681.52,4754.05,4659.97,4746.49,11487422,112767843675,50622504345827
2017-01-03,4753.24,4753.24,4677.2,4708.56,15810622,166529332616,50217850536300
2017-01-04,4714.4,4721.41,4683.31,4699.49,17700797,167938167490,50121337357130
2017-01-05,4699.94,4711.91,4609.77,4630.8,32429423,235301497870,49388999723095
2017-01-06,4654.25,4683.75,4624.31,4663.45,16828443,188254479075,49737300831870
2017-01-09,4653.55,4659.23,4572.04,4595.56,19855780,192974600960,49013296898340
2017-01-10,4586.02,4635.86,4578.46,4625.42,9015643,151090477045,49331268993975
2017-01-11,4710.89,4918.4,4704.82,4917.81,14577593,392624860440,52448784708665
2017-01-12,4944.99,4988.54,4900.89,4917.5,14902007,243820255915,52445522879785
2017-01-13,4899.88,4978.46,4885.11,4957.67,19290914,248510320960,52873872822350
2017-01-16,4978.5,4978.59,4899.2,4931.72,28464492,281662086461,52597841911565
2017-01-17,4947.91,4982.63,4911.04,4915.54,16482380,233965294045,52424806001020
2017-01-18,4928.41,4948.09,4880.38,4934.7,45477551,298475179030,52629175902335
2017-01-19,4968.06,5061.96,4960.67,5037.48,21131058,338951529952,53725821238800
2017-01-20,4986.84,4986.97,4940.15,4958.8,31693479,414238524850,52886610968100
2017-01-23,4947.92,4973.46,4896.59,4922.39,13089149,190730036925,52498231225445
2017-01-24,4917.76,4937.21,4871.8,4933.73,13248974,200592384818,52618987527720
2017-01-25,4970.08,4970.49,4843.64,4862.83,10081944,193860834675,51863364960595
2017-01-26,4835.68,4988.18,4816.42,4923.29,11206105,269034088425,52507999414280
2017-01-31,4892.81,4944.04,4861.44,4868.26,18712269,222074225561,51921589171690
2017-02-01,4859.12,4992.22,4859.12,4988.49,13818067,208442477054,53203216135540
2017-02-02,4939.46,4962.78,4898.23,4898.23,25676686,242473251992,52240375100320
2017-02-03,4926.91,4947.44,4792.56,4844.41,19773395,296044486659,51666507969265
2017-02-06,4863.44,4875.68,4771.97,4795.68,10729375,158418402273,51146691243971
2017-02-07,4785.55,4809.64,4733.86,4755.73,12379729,272194327958,50720537746399
2017-02-08,4740.09,4752.88,4674.27,4724.6,9432963,245520560045,50388677891243
2017-02-09,4734.43,4800.63,4719.37,4774.6,9288034,219999928151,50921756306804
2017-02-10,4817.47,4829.46,4797.18,4801.89,14199760,234171758178,51212594501535
2017-02-13,4853.53,4888.9,4843.39,4865.7,13691939,238722666394,51893024397486
2017-02-14,4923.56,4969.05,4915.27,4917.08,30440410,313782312099,52440939739685
2017-02-15,4924.29,4961.97,4898.79,4938.84,10767768,179045779330,52672963177125
2017-02-16,4900.07,4920.85,4878.83,4911.01,22073383,235395102050,52376154542350
2017-02-17,4890.4,4954.55,4886.83,4941.88,10296358,197842746964,52705265462450
2017-02-20,4942.49,4954.91,4901.15,4924.98,12547761,166687714844,52525320587440
2017-02-21,4946.44,5016.62,4944.63,4992.14,7988444,222301103364,53241431836915
2017-02-22,4985.81,5035.84,4974.69,5023.98,7860217,181073473717,53580775649890
2017-02-23,5011.78,5011.78,4960.04,4977.27,32118102,253502853125,53082941913680
2017-02-24,4928.1,4938.58,4815.93,4840.19,12842373,274392533915,51621090224680
2017-02-27,4834.4,4901.44,4820.36,4854.09,8814889,161135681240,51769145356620
2017-02-28,4883.27,4950.69,4878.6,4878.6,7613561,203534925955,52030386642050
2017-03-02,4985.02,5014.61,4925.41,4974.27,10525772,311785577199,53050253396685
2017-03-03,4928.82,4951.38,4891.67,4902.77,8975670,180806543100,52287765137600
2017-03-06,4916.47,4923.1,4851.67,4890.36,10269226,203159182045,52155877368320
2017-03-07,4897.37,4915.74,4861.62,4891.53,10219471,157938684470,52168693471995
2017-03-08,4881.26,4971.73,4870.68,4920.38,8573612,224450353575,52477516599785
2017-03-09,4924.67,4933.33,4867.82,4868.22,21958286,378778898225,51921098428455
2017-03-10,4840.5,4865.42,4794.35,4839.71,25751818,440301244195,51616584789525
2017-03-13,4820.3,4852.17,4765.98,4802.73,15940131,276799244960,51222582875280
2017-03-14,4831.61,4857.67,4773.81,4779.09,10142236,219007338810,50970364446925
2017-03-15,4778.96,4803.6,4740.51,4748.91,12061990,218282522160,50648469122700
2017-03-16,4841.09,4936.04,4841.09,4936.04,10688604,287138131110,52643721519730
2017-03-17,4937.88,4981.36,4912.56,4946.33,7718468,211332939440,52753277254965
2017-03-20,4951.17,5002.45,4951.17,4983.87,12414013,208402188285,53153401115065
2017-03-21,4996.82,5002.15,4924.79,4939.19,19123905,213795617240,52677705736845
2017-03-22,4789.87,4843.5,4771.3,4776.6,12478901,330030796440,50945107969005
2017-03-23,4810.62,4853.2,4782.45,4814.57,9792533,225119929685,51348755302335
2017-03-24,4821.75,4832.01,4737.89,4771.22,16765360,326170651450,50886356450875
2017-03-27,4727.15,4734.1,4670.72,4683.86,17323375,355229696030,49954841162235
2017-03-28,4744.1,4747.28,4684.59,4739.28,12870099,261659262305,50545744333025
2017-03-29,4785.41,4840.9,4770.76,4830.63,11069904,277117832068,51519549533615
2017-03-30,4857.94,4858.41,4815.37,4833.88,7279364,267712792898,51553963946515
2017-03-31,4913.88,4934.84,4870.37,4907.92,9317601,282544590180,52343548159225
2017-04-03,4889.68,4899.6,4765.19,4775.02,9615101,239959047535,50927119766875
2017-04-04,4742.76,4759.55,4692.09,4701.84,10961052,208525618150,50146638470115
2017-04-05,4722.45,4762.1,4671.29,4744.84,10890890,175482904448,50605051848430
2017-04-06,4697.09,4718.51,4672.57,4697.56,9557198,181021083480,50100834019005
2017-04-07,4698.87,4733.18,4684.72,4696.14,8515074,160842953905,50085528335360
2017-04-10,4682.24,4690.95,4639.15,4661.41,8539998,144776562325,49714714082405
2017-04-11,4676.3,4706.9,4647.72,4649.35,7320723,143680362980,49586215047740
2017-04-12,4659.84,4718.05,4659.84,4683.89,6588614,169752912395,49954596790150
2017-04-13,4632.84,4632.84,4542.91,4573.29,6634894,253370584120,48775362490125
