시가,고가,저가,종가,거래량,거래대금,상장시가총액
4596.07,4652.49,4586.09,4621.52,20121706,193635566260,53157521772930
4620.49,4728.37,4612.43,4722.51,20194226,283386572310,54318148028240
4733.63,4832.46,4728.92,4804.39,21689721,490464692625,55258942659850
4812.56,4972.72,4789.44,4913.44,79334129,780679715350,56512603967030
4884.45,4927.96,4841.25,4918.31,27928719,380290170580,56568593066260
4905.19,4952.1,4877.48,4898.33,23826988,263700311940,56339075899250
4859.44,4889.18,4803.05,4848.55,20161300,264656714150,55766535780820
4870.22,4941.94,4858.42,4941.08,17480132,258158222540,56830537624855
5003.34,5064.3,4975.17,5006.52,94625257,724290861710,57583702983715
4973.54,4973.54,4900.49,4908.7,35342309,359273180845,56458742642755
4897.0,4904.57,4794.76,4813.73,121260376,768790701490,55367255380965
4814.43,4814.43,4703.78,4731.14,28433771,299045459685,54417912817440
4670.54,4821.66,4667.2,4725.0,38128498,357379371450,54347031022110
4761.2,4827.78,4719.97,4737.95,29509258,324297347560,54498079683700
4700.91,4707.68,4651.77,4699.93,29798762,300897980660,54063620669270
4686.37,4700.69,4535.97,4549.35,31927599,286609779252,52333942663753
4522.11,4533.86,4428.84,4440.26,79699261,501752905783,51079760791915
4475.78,4506.48,4431.9,4471.02,47506099,313897889627,51433316109150
4471.02,4475.34,4273.13,4287.61,27568831,329807434367,49323369414492
4344.48,4412.89,4260.44,4399.64,23639707,264708153332,50612455022863
4487.43,4534.23,4449.95,4476.99,23063348,263665485934,51501993718965
4483.44,4538.49,4455.68,4520.56,17027901,202831810529,52003265388415
4510.51,4527.97,4426.68,4518.44,11597082,182962520285,51979093245980
4561.89,4581.99,4444.36,4478.2,14368051,219294860550,51516567795123
4536.69,4672.76,4530.2,4665.33,41269596,397092069583,53668388354802
4674.79,4681.56,4620.86,4633.3,26947949,286599379083,53299967337954
4626.4,4763.39,4616.85,4714.2,23348220,338769734374,54230015732845
4681.58,4684.79,4611.76,4646.52,123602491,650105102336,53451280918270
4659.09,4666.71,4551.31,4569.06,53806648,408285258613,52560413989130
4617.41,4617.41,4559.4,4606.8,24859987,226595123285,52994665271941
4634.93,4668.05,4567.98,4629.35,39301290,305440801759,53253996626409
4568.53,4644.54,4539.37,4644.42,18076365,185542034769,53427334269165
4593.15,4641.22,4567.43,4633.63,26107324,208458965290,53303138498415
4584.24,4594.9,4540.37,4591.0,34842388,267755602211,52812718893295
4595.87,4645.04,4567.22,4621.98,110559295,589405733680,53169322085014
4582.55,4638.73,4547.91,4599.43,87809331,516262403581,52909192504579
4603.09,4615.01,4566.95,4589.19,75338577,446528554467,52783051623294
4594.41,4721.25,4567.71,4721.25,27024712,296550984117,54301655302681
4728.1,4801.76,4722.68,4777.11,43309118,392008637112,54944104716450
4814.28,4869.74,4786.94,4831.28,69322671,491194812715,55567224478314
4865.51,4908.65,4809.55,4897.51,132130013,687051363864,56328886269077
4878.23,4892.63,4831.87,4843.72,47089102,437166595065,55709438924157
4805.81,4831.95,4659.85,4662.48,55551276,628225144895,53625473565505
4751.16,4760.53,4693.87,4760.53,20906336,311538476653,54754127958172
4741.38,4770.49,4715.34,4754.53,18661976,212204751824,54685699099201
4795.94,4902.59,4775.18,4840.3,61743871,508432275734,55670375941743
4808.7,4809.58,4738.3,4747.38,30009813,272030179202,54602429799789
4784.84,4784.84,4688.0,4753.61,21682829,234610029283,54674325955088
4816.72,4826.76,4762.85,4762.85,22556358,251566812667,54780799512806
4815.71,4894.39,4783.98,4804.27,59787433,480050250833,55256877825203
4831.99,4847.29,4793.2,4808.57,30722445,239950684866,55306040915285
4839.84,4904.39,4831.86,4882.03,25530511,278400872232,56150426110422
4951.99,5097.81,4951.99,5088.56,148857039,1153409522610,58525540866715
5079.0,5079.0,4992.74,5055.72,78375612,623127968299,58148080636597
5042.9,5053.37,4980.17,5001.45,26870199,271527727142,57524090598878
4980.59,5014.28,4915.54,5001.67,223678634,987345494979,57538020277731
5014.98,5018.12,4967.79,4991.17,253088523,1137369220861,57420077384763
