시가,고가,저가,종가,거래량,거래대금,상장시가총액
295.58,298.35,295.02,297.16,5991766,263650753870,40477488555560
297.15,301.13,295.08,300.62,6612385,215581122250,40778361538690
299.32,301.56,297.51,299.58,11572751,367312291370,40512477625090
295.85,307.37,294.28,303.06,14690908,399598779030,40597271634030
304.06,305.71,301.25,304.57,7785878,239396977860,40748317243010
304.17,306.53,301.85,303.09,8602172,320693473940,40506664372090
302.72,304.03,297.42,298.36,7551643,252748012250,39853536657080
299.32,300.24,296.3,299.25,18000531,482630018050,40174399171800
298.48,301.05,297.2,299.38,11027549,308729240880,40174920226870
296.4,296.92,291.25,292.42,9801168,252917016400,39345006757830
291.26,291.66,287.01,288.32,12434084,298737893380,38843255414260
288.91,289.44,278.57,280.13,17274797,396073471410,37826685715980
277.64,285.47,276.67,281.62,11118881,258105314040,37947236463190
281.66,286.19,281.66,284.63,12676168,250758750300,38387101629930
282.39,284.28,277.33,279.01,11912063,366731249080,37816161050200
279.01,281.5,273.32,273.84,10430854,271394746870,37029747731720
274.53,274.92,264.79,266.16,9758322,252556099290,36019995285650
267.81,270.03,263.83,263.83,7819709,239469445280,35744722204660
263.83,265.22,250.79,252.46,9235562,283577906630,34178752108570
255.54,266.21,249.76,265.13,10965314,332032815540,35587620238910
268.68,271.6,267.07,269.2,7646317,202139443070,36179019672980
268.63,276.08,268.09,275.53,10275303,229780691430,36988246143280
275.39,275.39,269.41,271.61,7188795,206913698620,36506010377600
273.14,274.89,267.2,269.93,5992822,188707895560,36267293798230
272.9,279.53,272.34,279.53,7325624,209551361110,37428967640050
280.12,280.34,276.52,278.26,5726426,180916541630,37179491438230
274.31,276.24,272.35,273.01,5975639,166973343610,36622897809350
268.92,270.16,264.53,265.25,6073511,168140852520,35572597656790
266.01,268.09,261.07,263.22,4999903,134167110200,35292410838210
267.68,271.07,267.37,270.2,4445761,131968517890,36344781896750
271.47,278.25,267.84,272.78,6436960,218718935790,36663295092820
269.37,278.63,268.73,278.34,6277768,301052615410,37469708515980
273.68,282.01,272.64,280.67,6276707,235550487670,37692713070860
276.44,278.72,273.08,274.79,5805516,203220969340,36923996061320
276.52,282.19,275.35,280.73,9378758,200834678720,37617194698570
277.28,279.53,273.9,275.84,10324907,249063090870,36945147312310
278.89,281.54,277.72,280.27,7653870,217432316590,37587510663490
281.21,286.98,279.48,284.92,10258906,415962862480,38107945341860
284.84,288.17,283.33,286.68,6828518,220325653330,38350888816990
289.2,296.67,289.2,296.67,13384708,444329751420,39642111378440
295.39,300.39,294.87,299.38,15017985,367882038510,39842182123800
296.67,301.74,295.65,299.42,16045416,406550389510,39676064960310
297.9,299.73,289.96,291.13,14922661,454826520630,38446917145920
297.79,301.96,296.17,301.96,23289980,727937967060,39756385201650
302.36,306.93,299.72,306.93,18953267,590050680490,40315627408810
306.71,312.65,305.46,307.86,19899465,570343617740,40178849449000
304.53,305.59,297.35,298.04,13931270,393875945160,39002219855400
301.05,301.41,296.15,301.41,11167638,292659232770,39441319384290
304.73,305.83,298.11,300.79,11846160,377162521740,39686287074750
300.99,303.2,297.58,301.04,10059681,297490057610,39689668092140
302.73,303.07,296.89,297.94,7653329,258988255540,39309009641270
298.0,303.63,297.99,303.3,6620842,224641122240,39870228737610
303.69,305.7,302.08,305.42,6868444,254937389140,40259457322000
303.64,306.75,302.68,306.69,6849172,282406872070,40530272563890
308.75,309.86,304.02,307.19,7267609,347058368160,40694916674310
306.96,312.0,305.82,310.38,9625769,282021750280,40988188807390
310.61,311.31,303.43,304.95,13948757,340235676550,40604485714160
306.49,306.91,303.16,303.6,11964507,276388969250,40293243530980
303.68,306.89,303.62,305.67,7015687,199254819860,40648477333150
303.76,304.28,301.51,303.46,6349124,197991587160,40308604608220
302.96,304.19,299.31,300.49,7738482,237599129190,40209855124040
302.21,302.57,298.18,300.05,5607835,172517939760,40173687372670
298.19,299.83,296.1,298.36,6053481,214539255900,39950698705190
295.69,295.69,290.21,291.78,7351518,247093084830,39234471717260
293.55,299.16,292.02,298.72,7514487,422818335160,39310870756070
296.07,297.94,292.44,293.15,4912484,267586521770,38278979475660
290.44,293.24,288.55,290.14,5130472,167383806041,37953928456510
291.82,293.08,289.38,292.74,4071107,132507710010,38247275830190
293.27,293.87,291.53,292.3,6915313,227879518470,38353653354730
290.02,292.88,289.44,291.17,5005073,152508674850,38265216156320
290.9,295.01,289.31,289.5,4380076,157916534580,38047341404390
291.26,292.44,290.1,291.74,3794146,127714363930,38254054775440
291.36,291.36,285.34,286.3,5542515,170168320660,37555977008140
287.37,292.26,287.37,291.06,5574426,175809904370,38263248324210
288.31,289.36,285.33,288.57,5805927,162928511630,37778779975230
283.62,285.73,280.7,282.9,7634838,229457127080,37221826634950
285.22,288.13,283.79,286.55,6409113,207239630040,37690607606380
281.57,290.31,280.58,288.55,6985033,218458561290,37981169765300
290.84,299.8,287.94,299.8,18516756,332846143480,40384602768700
298.2,299.4,296.42,297.95,7089920,179640239710,40269200525160
295.47,300.32,294.33,297.78,5380591,147746703310,40189089023030
297.78,300.13,295.83,295.91,6538177,243861639690,40028209500700
296.43,300.09,295.76,297.47,7749568,282681666090,40235816199850
293.71,296.71,291.97,295.81,6644017,230169577140,40026690151390
294.23,296.2,287.59,289.79,7587158,218862275800,39184084801270
284.7,286.86,279.21,286.26,8055855,250909112290,38695218253890
284.51,286.18,278.85,280.3,6227086,182835234580,37852541675720
278.25,282.42,274.73,274.9,7771634,216987575410,37106458918460
278.32,283.71,277.73,283.22,4903205,151361263410,38151702835860
284.75,285.54,279.68,280.33,3555829,121086132710,37813396443990
281.53,285.68,280.55,282.63,5602006,168720203530,38090090963020
283.12,283.16,275.75,276.85,5818857,196167827390,37465287433560
