날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2020-01-02,1402.44,1404.18,1372.15,1373.93,7681536,425453604185,146347005581830
2020-01-03,1378.86,1383.82,1359.8,1369.16,10704344,563640736185,145810865396000
2020-01-06,1361.99,1369.49,1355.6,1359.28,6916441,302847223015,144659882749415
2020-01-07,1369.18,1379.75,1366.27,1375.88,7516837,482070245047,146488172300950
2020-01-08,1353.7,1363.3,1338.75,1343.98,10439989,554907793239,143088861554460
2020-01-09,1353.69,1362.35,1337.85,1347.76,12289756,675359156971,143668585032365
2020-01-10,1349.64,1356.8,1343.52,1348.67,9921055,522298571103,143763501916675
2020-01-13,1344.91,1363.09,1344.78,1360.65,9476546,519429579021,145172182557020
2020-01-14,1368.53,1373.37,1361.47,1368.18,10373875,563368912331,145854353450100
2020-01-15,1365.82,1373.75,1360.87,1369.87,8279892,395488132735,146150906741905
2020-01-16,1373.96,1383.06,1371.39,1380.05,18447129,560996393957,147133454765705
2020-01-17,1379.94,1393.08,1375.7,1377.31,10007982,384256513568,146857630443460
2020-01-20,1383.65,1387.71,1371.58,1374.15,9010504,532802332081,146708369634160
2020-01-21,1372.6,1373.66,1357.69,1359.06,7440380,472769881730,145135497600375
2020-01-22,1363.77,1400.86,1360.83,1400.09,11926016,847095036960,149252236759150
2020-01-23,1413.01,1426.26,1402.41,1419.82,14278713,1016750483890,151274980471890
2020-01-28,1388.76,1394.6,1373.67,1377.57,16832732,1032452877495,146613047376455
2020-01-29,1381.08,1383.46,1360.54,1375.63,10994086,702520632675,146414648242270
2020-01-30,1372.11,1376.94,1346.78,1352.38,10778738,616065218095,143922502994845
2020-01-31,1358.92,1362.92,1326.24,1326.24,10757832,566597916605,141165044892285
2020-02-03,1300.81,1322.69,1289.93,1314.02,12821351,712455874600,139832838512175
2020-02-04,1316.36,1328.89,1309.07,1323.18,11384373,630299908213,140917748331310
2020-02-05,1324.52,1326.21,1313.74,1316.68,11360753,558423043315,140208952547180
2020-02-06,1330.96,1378.68,1330.55,1373.69,13380574,735025699390,146144408674560
