날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,703.04,705.14,697.8,698.96,6714978,127158265420,130349839592700
2017-01-03,700.4,708.24,695.29,708.06,12567160,247010405742,131624418213630
2017-01-04,709.12,719.45,706.14,719.45,16772286,293519548010,133712243335170
2017-01-05,712.81,714.86,706.01,708.14,27302762,739816246035,131884656562520
2017-01-06,704.14,709.12,702.89,709.1,11931701,287788324815,132027419350280
2017-01-09,707.37,707.37,702.19,703.98,10728960,222033254390,131078138015480
2017-01-10,701.92,705.86,700.6,703.68,11516155,246369882745,130853022297470
2017-01-11,701.55,712.88,700.44,711.0,21301075,353792848480,132364657866350
2017-01-12,712.31,716.07,710.57,714.94,17073070,317170070635,132777816525980
2017-01-13,712.59,715.52,709.21,712.63,17543768,290686220695,132452906000050
2017-01-16,716.7,728.02,715.74,723.29,16658551,372052880561,134237675292940
2017-01-17,725.91,737.26,722.89,735.7,22567868,396387250026,136524329896400
2017-01-18,732.67,741.23,731.21,738.14,15843496,330058691983,137016421037920
2017-01-19,734.88,739.84,730.64,731.71,14184796,272684929838,135910525237350
2017-01-20,729.21,736.49,729.21,730.65,15311682,247492692805,138729911382930
2017-01-23,730.95,732.39,721.78,721.78,11889191,252465616445,136913051904230
2017-01-24,722.16,723.78,718.4,719.88,11311241,238600122950,136466930898550
2017-01-25,724.27,728.53,720.34,725.31,14373397,327544533467,137222464097530
2017-01-26,727.19,736.64,723.75,732.86,20611483,387198575490,138406644040280
2017-01-31,731.57,741.13,730.28,731.63,16798643,349065163646,138263129695100
2017-02-01,733.66,738.84,729.83,736.79,13925420,300012902600,138949622547640
2017-02-02,732.57,738.72,729.6,732.26,17214623,326251527807,137944123482080
2017-02-03,733.46,742.21,732.81,737.54,13771449,317597118248,138956921942700
2017-02-06,747.41,753.58,744.85,744.85,28062901,424580463610,140464662582820
2017-02-07,745.33,748.14,739.71,748.14,14417121,259397629208,141302359153570
2017-02-08,746.39,748.0,738.12,745.2,14861210,300079207462,140850424153560
2017-02-09,743.66,754.89,742.85,748.13,15652888,331779986630,141306774120430
