시가,고가,저가,종가,거래량,거래대금,상장시가총액
371.55,382.07,371.31,381.57,361886757,20828370493095,1784090577127965
381.47,387.72,378.67,387.72,470868837,20755374346434,1812771676767455
388.05,393.17,383.6,384.62,429077337,22700275121526,1796879691590095
386.22,397.06,386.22,393.79,460331917,20865124437686,1836630326396780
394.87,412.14,394.87,410.9,499112018,34756755069426,1916277931751530
412.53,425.76,403.23,410.24,545782057,37379963637404,1916523199554880
409.88,411.04,396.11,406.92,362364717,24623958345963,1901278805074785
407.05,412.89,404.76,410.4,303667329,19059128104342,1914300756388190
410.45,411.6,407.53,409.8,284702447,18495731422750,1914187534594205
410.38,415.3,400.53,400.63,279520880,17436391345142,1873887676290135
399.82,400.15,390.46,391.85,289243338,17355190753399,1829257129745665
391.84,404.38,391.84,402.4,259933858,17238118030260,1877750837103850
405.14,409.91,400.31,405.2,259501502,18866564217586,1890817927321200
406.62,411.87,406.43,411.48,302482033,19221375820233,1919753455988560
411.99,415.09,408.97,408.97,269257473,19087641760593,1906677284829355
409.51,418.72,409.31,418.3,231210711,15579793120515,1946841161207015
417.68,418.33,407.55,408.6,236600961,17683990602283,1905216412733550
409.02,414.41,405.4,406.03,205609157,15862484812790,1894408305573945
405.2,405.2,396.15,399.38,242941275,17045041427519,1862131125654130
400.56,403.66,385.79,387.52,305296720,19988783240743,1806590480900670
387.69,398.95,383.87,398.86,235012200,16507131552374,1856010014040640
400.33,409.85,400.16,404.0,219043953,14870544709619,1880734477796075
405.85,410.47,403.35,408.5,248282011,17682008997158,1902626558876370
409.28,409.58,399.7,402.41,263572408,15763960679697,1874714427508660
403.82,407.82,401.82,407.2,221559610,14279825740198,1895801374501160
406.08,408.11,402.06,402.75,229540785,14799180082229,1874954583867940
404.03,408.16,401.78,401.81,201526571,13028304381459,1870819516248100
402.36,406.1,399.14,404.58,184756562,13044073819272,1880248203894995
405.91,412.38,405.91,410.79,191241854,12793708161329,1909248674492245
411.35,415.26,410.48,412.74,176073456,11414531836243,1918881359137970
412.69,412.74,405.87,408.42,230412028,11314338833916,1898443992544650
408.1,409.45,401.74,401.74,181374243,11247156002441,1868915711805630
402.34,405.57,396.08,405.26,246865672,12696494558587,1883818184680470
406.28,409.62,400.89,401.05,272967210,13439639081202,1866296351363660
399.71,403.51,395.06,400.03,228354649,12888970693523,1861183816874535
400.05,403.51,390.21,390.4,252631827,16032722062527,1816634460234495
394.38,405.0,394.38,404.98,200314619,12834481961619,1882511815672250
403.5,403.5,389.7,393.08,297499163,17563746287620,1827208160521655
394.29,405.01,394.29,397.69,229886741,14775745105483,1847454776250725
397.45,403.46,395.62,403.46,198308092,10721120291171,1871541767261925
402.52,402.52,394.9,397.89,214045345,12508718659634,1845424379344685
396.95,397.3,389.49,395.7,293665559,12688486638005,1835900255036020
396.66,399.81,391.19,391.71,216887933,10571238947083,1817595162469640
390.9,392.57,382.82,389.33,313260974,14237792759195,1805614744177285
389.98,394.68,386.03,387.14,172526940,10480470493971,1794975276770610
388.05,396.92,388.05,394.69,231925366,12046610288373,1829208372455740
396.82,401.04,396.82,399.77,184655332,9215290624970,1854014902884295
400.19,401.64,397.5,398.35,161313087,8170210674558,1846074604378205
399.05,401.76,398.18,401.07,155155466,9139881683633,1858498973820840
401.12,401.38,395.03,397.79,132771769,9538639208554,1844578617024295
398.85,404.26,398.85,400.72,164055494,10708189306908,1857822276546080
