날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2020-01-02,0.0,0.0,0.0,290.35,0,0,0
2020-01-03,0.0,0.0,0.0,290.74,0,0,0
2020-01-06,0.0,0.0,0.0,288.43,0,0,0
2020-01-07,0.0,0.0,0.0,291.23,0,0,0
2020-01-08,0.0,0.0,0.0,289.42,0,0,0
2020-01-09,0.0,0.0,0.0,294.41,0,0,0
2020-01-10,0.0,0.0,0.0,297.06,0,0,0
2020-01-13,0.0,0.0,0.0,300.13,0,0,0
2020-01-14,0.0,0.0,0.0,301.53,0,0,0
2020-01-15,0.0,0.0,0.0,299.74,0,0,0
2020-01-16,0.0,0.0,0.0,302.78,0,0,0
2020-01-17,0.0,0.0,0.0,303.3,0,0,0
2020-01-20,0.0,0.0,0.0,305.58,0,0,0
2020-01-21,0.0,0.0,0.0,302.11,0,0,0
2020-01-22,0.0,0.0,0.0,306.08,0,0,0
2020-01-23,0.0,0.0,0.0,302.33,0,0,0
2020-01-28,0.0,0.0,0.0,292.77,0,0,0
2020-01-29,0.0,0.0,0.0,293.98,0,0,0
2020-01-30,0.0,0.0,0.0,288.37,0,0,0
2020-01-31,0.0,0.0,0.0,284.53,0,0,0
2020-02-03,0.0,0.0,0.0,285.05,0,0,0
2020-02-04,0.0,0.0,0.0,290.68,0,0,0
2020-02-05,0.0,0.0,0.0,292.02,0,0,0
2020-02-06,0.0,0.0,0.0,300.65,0,0,0
2020-02-07,0.0,0.0,0.0,298.21,0,0,0
2020-02-10,0.0,0.0,0.0,296.24,0,0,0
2020-02-11,0.0,0.0,0.0,299.28,0,0,0
2020-02-12,0.0,0.0,0.0,301.54,0,0,0
2020-02-13,0.0,0.0,0.0,300.93,0,0,0
2020-02-14,0.0,0.0,0.0,303.01,0,0,0
2020-02-17,0.0,0.0,0.0,302.76,0,0,0
2020-02-18,0.0,0.0,0.0,297.74,0,0,0
2020-02-19,0.0,0.0,0.0,298.33,0,0,0
2020-02-20,0.0,0.0,0.0,296.65,0,0,0
2020-02-21,0.0,0.0,0.0,292.42,0,0,0
2020-02-24,0.0,0.0,0.0,281.02,0,0,0
2020-02-25,0.0,0.0,0.0,284.24,0,0,0
2020-02-26,0.0,0.0,0.0,279.94,0,0,0
2020-02-27,0.0,0.0,0.0,277.09,0,0,0
2020-02-28,0.0,0.0,0.0,268.02,0,0,0
2020-03-02,0.0,0.0,0.0,270.37,0,0,0
2020-03-03,0.0,0.0,0.0,271.56,0,0,0
2020-03-04,0.0,0.0,0.0,278.13,0,0,0
2020-03-05,0.0,0.0,0.0,281.38,0,0,0
2020-03-06,0.0,0.0,0.0,275.1,0,0,0
2020-03-09,0.0,0.0,0.0,263.11,0,0,0
2020-03-10,0.0,0.0,0.0,264.67,0,0,0
2020-03-11,0.0,0.0,0.0,257.01,0,0,0
2020-03-12,0.0,0.0,0.0,247.62,0,0,0
2020-03-13,0.0,0.0,0.0,240.65,0,0,0
2020-03-16,0.0,0.0,0.0,232.97,0,0,0
2020-03-17,0.0,0.0,0.0,226.89,0,0,0
2020-03-18,0.0,0.0,0.0,215.83,0,0,0
2020-03-19,0.0,0.0,0.0,199.28,0,0,0
2020-03-20,0.0,0.0,0.0,213.67,0,0,0
2020-03-23,0.0,0.0,0.0,201.87,0,0,0
2020-03-24,0.0,0.0,0.0,220.34,0,0,0
2020-03-25,0.0,0.0,0.0,232.89,0,0,0
2020-03-26,0.0,0.0,0.0,229.34,0,0,0
