날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,617.1,625.74,614.85,624.84,1758917,88926346190,32280012306210
2017-01-03,626.03,630.5,622.63,629.73,2946092,128157274250,32458843859090
2017-01-04,630.3,632.62,626.61,628.18,2346103,104129010210,32368526620790
2017-01-05,629.55,632.1,626.84,631.93,2132813,93377282970,32559242554400
2017-01-06,628.34,630.74,625.81,629.74,3543158,123102512770,32484805160690
2017-01-09,630.74,631.03,621.39,622.23,2217815,102674206550,32103894837420
2017-01-10,619.72,621.07,614.51,618.26,2043394,87330364900,31855228393010
2017-01-11,617.02,626.58,616.78,622.19,2133411,94043000710,32084800443340
2017-01-12,622.8,632.59,622.56,632.59,3190082,119157062360,32594360931800
2017-01-13,632.61,632.66,627.74,630.9,1828000,74583332410,32508674941480
2017-01-16,632.07,632.21,625.65,629.18,1757654,79924349900,32459365822830
2017-01-17,627.74,631.71,624.85,628.32,1673459,81281414090,32457587098440
2017-01-18,628.92,630.02,623.66,627.81,1715374,75540739880,32436139236880
2017-01-19,627.01,632.48,624.18,626.33,2357168,96007435890,32312805874270
2017-01-20,627.04,631.66,625.69,630.18,1732269,96397686890,32540055621360
2017-01-23,628.89,634.44,625.76,631.31,1822575,82824805490,32603713644150
2017-01-24,632.19,632.3,618.22,621.16,2161059,104460206640,31982604390230
2017-01-25,621.23,622.76,606.27,606.63,2096829,107842420905,31254042864340
2017-01-26,609.44,610.14,603.09,608.54,1834010,85282084150,31316495317060
2017-01-31,607.34,607.34,599.63,602.87,3446979,101279176460,30964397493250
2017-02-01,605.76,609.28,602.09,606.76,2369975,97115691645,31150328931000
2017-02-02,606.98,615.01,605.84,608.73,6466968,155029733605,31145400377930
2017-02-03,598.63,603.9,590.94,596.18,5371856,233470958650,30568124080350
2017-02-06,596.48,598.72,591.32,591.93,4333585,132472708890,30434801765810
2017-02-07,593.46,596.79,590.53,592.77,2841452,96960590990,30411982715830
2017-02-08,592.33,592.41,584.71,588.62,3208006,135777741450,30255441570980
2017-02-09,589.3,593.21,588.48,591.34,2697594,121824702820,30469749375910
2017-02-10,595.72,596.36,590.48,591.07,7931435,207622151090,30459565743430
2017-02-13,595.0,597.11,590.42,595.7,6672188,150581909270,30726742431550
2017-02-14,598.28,601.48,593.25,600.77,3956421,126561372100,30946987993510
2017-02-15,603.13,609.18,602.06,606.32,3426984,141049049236,31301841824220
2017-02-16,607.11,607.7,599.14,603.42,3116019,137331315780,31218869686460
2017-02-17,600.91,604.31,597.65,600.52,2772886,104122251040,31040163758090
2017-02-20,601.52,602.58,597.22,598.22,2822820,104001291400,30863601727980
2017-02-21,598.69,605.07,598.51,604.83,3381157,120069640480,31161607422610
2017-02-22,606.26,606.65,602.8,604.95,3393012,131611079520,31116137539990
2017-02-23,607.72,608.4,604.58,607.26,3194688,118230937840,31189281348150
2017-02-24,609.13,609.79,603.6,605.9,3214029,136241301898,31153417683760
2017-02-27,607.29,608.84,604.46,605.6,1791397,80429443126,31142683183000
2017-02-28,605.7,607.39,598.71,607.03,2884698,126936918860,31130049717290
2017-03-02,608.78,610.83,595.79,597.72,2835195,122288214920,30715251830380
2017-03-03,594.43,595.09,587.47,590.86,2595021,101682634465,30384254655410
2017-03-06,589.35,593.7,584.55,593.39,2382231,103305815450,30459156900490
2017-03-07,594.06,599.39,591.4,598.11,2192833,94694349880,30748082768490
2017-03-08,598.15,598.17,591.1,594.52,2623921,112446232770,30576404405850
2017-03-09,592.93,596.04,590.68,593.71,3511637,128908336530,30424364645920
2017-03-10,592.17,596.1,588.17,594.9,3753177,130344432385,30431144960570
2017-03-13,596.54,598.68,593.98,596.45,2281869,86564219720,30531684125380
2017-03-14,597.73,598.37,592.44,593.95,2721860,115539681510,30368437188890
2017-03-15,593.25,593.68,587.95,589.53,2046775,91453712280,30129018319920
2017-03-16,595.13,600.08,588.78,591.92,3208151,131504910730,30301366700730
2017-03-17,593.51,595.88,590.89,595.82,2622838,97130000140,30692877832920
2017-03-20,593.98,595.03,588.86,590.78,1788167,78342435240,30450334876640
2017-03-21,593.88,601.17,592.9,598.5,2995133,144863816445,30789115963660
2017-03-22,598.02,598.17,590.52,591.81,2734463,115312521105,30428834503150
2017-03-23,595.83,604.66,593.58,603.66,3016624,123172929655,31064936544230
2017-03-24,604.38,608.66,602.62,606.6,2670148,109289397405,31212819830580
2017-03-27,606.64,607.25,599.01,603.31,2220267,89612946575,30960643229390
2017-03-28,602.54,603.36,598.22,601.86,2829143,139348948690,31605971813450
2017-03-29,603.96,603.96,597.04,598.73,3033461,126443981450,31445113135990
2017-03-30,597.81,599.6,592.05,596.77,2525827,99465112755,31363508364520
2017-03-31,597.69,604.44,596.25,604.0,2711947,108592287635,31725260456440
2017-04-03,605.79,605.95,597.33,598.32,2370366,103039486275,31401125313720
2017-04-04,597.88,598.82,595.46,596.85,1948593,99975061330,31265814054960
2017-04-05,598.5,598.77,592.33,594.66,2392144,117185414595,31195419363900
2017-04-06,592.56,595.73,589.98,594.57,2172295,103083461052,31193705873070
2017-04-07,596.29,599.62,595.68,599.56,2447848,96280038476,31502206299090
2017-04-10,596.82,598.03,591.24,592.57,2686648,103817930727,31091990982650
2017-04-11,592.75,595.37,586.37,589.86,2212913,99773527415,30970966967860
2017-04-12,591.71,593.99,589.93,591.17,2119144,91222860010,31051977925860
2017-04-13,593.41,594.49,590.33,592.58,1813342,79226654105,31102905436130
2017-04-14,591.09,592.34,588.33,589.77,1400075,59719935030,30930856407360
2017-04-17,591.0,593.67,589.84,592.25,1631398,66781191975,31101773674210
2017-04-18,594.64,600.44,590.32,598.76,3828831,165628118784,31391494945890
2017-04-19,599.02,602.17,597.69,600.59,3490931,172511327775,31436199404500
2017-04-20,600.99,607.26,599.24,605.93,2592127,133640330175,31698075937550
2017-04-21,606.63,613.56,603.68,613.42,2617905,125717822885,32144420191430
2017-04-24,613.17,614.49,608.4,609.61,2624847,116203226465,31939964636110
2017-04-25,611.56,612.92,609.57,612.47,2147913,101705493939,32081736362100
2017-04-26,614.4,617.09,612.88,615.35,2348005,121857498780,32222137427030
2017-04-27,621.55,624.52,615.77,620.83,3489434,168021063610,32433114639820
2017-04-28,612.91,615.05,610.24,614.1,3188865,148004633915,32111725085650
2017-05-02,613.47,617.39,609.9,612.21,2063261,106708327260,32053596908040
2017-05-04,612.22,624.18,612.22,623.8,3196381,140432075030,32616600814540
2017-05-08,625.05,627.54,619.3,627.43,2925505,133662932910,32798312533900
2017-05-10,628.96,640.13,623.74,628.35,3788190,173146122430,32891527966600
2017-05-11,633.34,637.85,630.23,637.75,3378440,169784971985,33414070195810
2017-05-12,636.44,636.74,628.54,631.1,2335225,108900470185,33039522845300
2017-05-15,632.93,633.59,626.37,628.41,1766867,85151748400,32908786672860
2017-05-16,631.7,632.68,622.41,625.09,2908846,145567530240,32798285328600
2017-05-17,622.82,624.29,619.18,623.68,3160874,159120221740,32751079978650
2017-05-18,620.54,625.25,618.33,620.8,3225480,129737705470,32585901631250
2017-05-19,622.74,629.32,621.77,628.12,2682108,134681780480,32927060795670
2017-05-22,632.11,632.44,625.49,630.1,2664545,130964378848,33084830035100
2017-05-23,629.11,636.34,629.11,631.34,2255758,119647969010,33188942367360
2017-05-24,634.41,640.66,632.98,638.25,2893793,139491336220,33497950589860
2017-05-25,641.27,648.41,638.17,647.17,4016368,189931373885,34037485083700
2017-05-26,649.24,655.75,648.76,652.38,4476191,186120552620,34276281518850
2017-05-29,653.25,653.72,646.79,648.78,2780876,148532664095,34077963810280
2017-05-30,649.67,655.99,646.64,650.19,2154427,111041151530,34190449282650
2017-05-31,648.68,655.42,648.68,654.46,3272749,156829682845,34409325216200
2017-06-01,652.6,653.31,646.92,651.51,2311928,117786394787,34255272042160
2017-06-02,651.31,658.04,650.17,656.4,2594192,120455900015,34522287700420
2017-06-05,657.6,657.6,649.28,653.04,2045703,102415660211,34296707335100
2017-06-07,650.76,656.43,648.48,652.44,2896469,134973397550,34243720817500
2017-06-08,653.66,657.11,646.92,657.11,3905257,169969734025,34440734782610
2017-06-09,656.68,657.56,652.14,653.69,9586298,187851572875,38491314033710
2017-06-12,653.13,654.01,647.0,648.33,7115265,130313844695,38191119285810
2017-06-13,649.79,659.07,649.26,657.02,6395386,130396386741,38757086090290
2017-06-14,658.29,659.67,653.59,655.51,8519654,155923412175,38683223973680
2017-06-15,655.74,656.52,645.04,645.6,6298184,150448184148,38084872106570
2017-06-16,645.82,649.38,644.51,646.93,4318188,130057663042,38163835364390
2017-06-19,645.72,646.43,638.34,640.22,7829321,211135073490,37673626799710
2017-06-20,639.99,639.99,627.05,627.74,8788022,211289021945,36991937253140
2017-06-21,628.92,632.22,626.37,630.63,5124113,147918018650,37149693680950
2017-06-22,629.72,629.74,623.02,626.53,5099618,130914177885,36871868691300
2017-06-23,628.77,633.76,627.33,630.7,4740820,112835614885,37109212372980
2017-06-26,631.23,631.58,624.68,625.92,3806793,99751780890,36866639278880
2017-06-27,623.91,626.36,620.59,620.78,4135732,112260665320,36510774776710
2017-06-28,622.78,624.25,618.27,623.88,4896913,123295903070,36751063918750
2017-06-29,626.89,629.93,624.82,627.28,7694758,133874340610,36961432170000
2017-06-30,626.15,631.87,625.49,630.05,4329280,109781751585,37123891225100
2017-07-03,632.25,634.4,627.72,630.42,4458438,118755825105,37195351914840
2017-07-04,636.98,638.74,627.8,629.82,8121301,195026503405,37172165731020
2017-07-05,628.66,629.2,624.63,626.76,4294277,106060903665,36951484511830
2017-07-06,625.93,630.04,624.1,624.62,3876992,96993450345,36849392535170
2017-07-07,623.01,630.71,622.84,628.19,11282834,168272625825,37051760626460
2017-07-10,630.19,632.18,623.98,624.53,4198334,108660781515,36857194355010
2017-07-11,624.18,630.6,623.9,629.47,9846928,139593929475,37117410351650
2017-07-12,633.31,636.68,628.68,629.72,14519685,185326287560,37184509737770
2017-07-13,635.15,639.52,630.16,636.54,10113315,157669478115,37591997312460
2017-07-14,636.97,637.18,620.72,624.44,10364414,307086599055,36993363857550
2017-07-17,615.03,618.59,609.82,611.38,10662519,353224203580,36338107069390
2017-07-18,610.1,615.33,607.59,609.05,16492797,433407461325,36316889462480
2017-07-19,612.7,620.54,611.54,618.48,9720483,279115795185,36785256322100
2017-07-20,621.47,623.28,616.33,621.7,6903333,184704074960,36956759389400
2017-07-21,618.68,619.76,614.27,616.32,6877603,143052663735,36625836236850
2017-07-24,616.26,621.65,615.21,621.42,7347093,129805166745,36956206248450
2017-07-25,624.08,626.67,619.74,620.92,9752972,178036534930,36855557616480
2017-07-26,625.88,630.46,624.4,627.88,9559290,221194290160,37346614586570
2017-07-27,628.21,632.81,624.2,631.85,5223545,152207718230,37586556077680
2017-07-28,631.42,635.41,625.91,632.18,5078733,168341578445,37592311090020
2017-07-31,635.45,637.26,627.77,629.34,5573937,133689441165,37424458509330
2017-08-01,630.4,643.4,627.97,639.46,5778278,182150768350,38112764953400
2017-08-02,638.34,639.33,613.83,618.01,9287890,341431488645,36968439476700
2017-08-03,614.3,616.5,601.66,602.85,15799705,543484493220,36221575186660
2017-08-04,603.11,615.41,603.05,613.23,10387498,367896948930,36844907255790
2017-08-07,614.52,620.52,612.07,616.0,7147004,252722599290,36936526103090
2017-08-08,616.13,616.73,609.66,611.0,7328522,232676281491,36625255915380
2017-08-09,609.5,617.49,609.5,614.49,6310146,182352392740,36841202410930
2017-08-10,615.26,619.12,609.06,617.27,6178307,182459598205,37014839110650
2017-08-11,609.31,613.21,604.42,607.55,6397142,177320284000,36443320470900
2017-08-14,608.4,610.16,598.6,600.84,9442865,221456173105,36105349935120
2017-08-16,601.85,616.11,601.39,608.76,15602189,539184848170,36403400614610
2017-08-17,607.38,614.92,605.35,613.94,7878830,244909826875,36766498353240
2017-08-18,608.63,613.03,607.08,607.65,9517615,172788562100,36444731939370
2017-08-21,605.75,606.32,599.33,601.0,6061589,167437158115,36093368998500
2017-08-22,606.73,609.97,599.06,599.88,9216042,180726361753,36037142729350
2017-08-23,602.89,604.22,599.44,601.51,5699487,136113644540,36115274767080
2017-08-24,601.76,602.84,596.83,598.69,6138564,138535372895,35890318247300
2017-08-25,601.44,606.82,598.25,605.61,6401245,181332723155,36272782099160
2017-08-28,609.96,614.4,607.72,611.38,7096632,207497700260,36571737890590
2017-08-29,609.27,610.89,602.9,610.62,5429731,162016053715,36544464222960
2017-08-30,609.76,612.5,607.37,612.28,3326623,114347466640,36634828748960
2017-08-31,612.37,613.67,608.05,610.08,4735840,134706307210,36485838712820
2017-09-01,609.54,610.22,602.1,602.12,3703449,116945482030,36020496306370
2017-09-04,595.04,601.32,594.63,594.94,4560231,126115331300,35627508479980
2017-09-05,596.59,599.0,594.15,596.79,3284810,94113859380,35753225830320
2017-09-06,597.01,597.57,588.68,589.18,3845955,127627820595,35294172535040
2017-09-07,591.36,602.85,591.36,600.08,5766520,174417607316,35900955430340
2017-09-08,601.32,604.04,594.21,597.96,6979478,197654553695,35784027671260
2017-09-11,597.7,603.54,595.07,599.32,6574991,137315849965,35879875497310
2017-09-12,600.56,601.12,595.25,598.47,4058047,105779377400,35844611784860
2017-09-13,597.74,598.01,593.01,594.83,4224399,118964617510,35658068605870
2017-09-14,594.84,596.9,587.74,592.04,50422856,444206403495,35374181672800
2017-09-15,591.48,596.48,588.61,596.48,10937280,168880328720,35393128584150
2017-09-18,592.93,594.95,590.91,592.59,6776932,138027228660,35211408276450
2017-09-19,592.33,597.53,590.5,595.38,7504877,125442689480,35346452675700
2017-09-20,596.04,597.74,589.14,590.24,6780416,134060106300,35007488887060
2017-09-21,589.7,589.7,573.28,573.28,12715195,209861769850,34062229110810
2017-09-22,570.28,572.66,566.13,566.86,11691739,169152628530,33592750738380
2017-09-25,568.11,572.16,561.71,561.71,8561468,143686613010,33346316790610
2017-09-26,563.44,569.6,562.97,567.14,5380720,118879641430,33705044619820
2017-09-27,565.81,569.3,562.28,568.07,4196814,109524473611,33812341368470
2017-09-28,560.89,565.42,558.95,564.56,5949113,115939305170,33619398098090
2017-09-29,565.3,572.53,565.3,572.37,3916229,96839088360,34056588292660
2017-10-10,573.96,579.4,572.26,577.94,6190551,191410614970,34336605081540
2017-10-11,575.77,580.22,574.76,578.15,4123025,95062625010,34333446496060
2017-10-12,578.98,581.72,577.93,580.41,3394898,80436284300,34459610394060
2017-10-13,580.03,584.76,578.46,581.64,3755673,85797469570,34530711976800
2017-10-16,583.69,587.12,580.99,585.96,3416817,76537568270,34789040517930
