날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2023-01-02,913.55,914.56,887.71,893.0,8469707,335225368470,91956396804230
2023-01-03,895.8,897.33,879.52,887.0,4553911,251017838510,91299823680420
2023-01-04,882.95,884.18,874.02,878.15,4135036,268399692209,90318701914430
2023-01-05,881.01,889.13,880.5,885.82,4947982,318768528310,91051584256180
2023-01-06,880.68,891.46,880.18,885.57,4288831,240754757868,90946596790250
2023-01-09,895.99,911.66,892.59,911.09,5126635,330927215980,93532997414770
2023-01-10,911.52,912.68,896.44,902.05,4346190,290736420310,92703024690030
2023-01-11,902.71,913.32,899.66,906.08,4351782,312730633085,93119053616830
2023-01-12,906.52,906.96,897.1,897.57,5604898,336157408300,92368927884040
2023-01-13,903.87,909.63,901.23,905.27,3627613,230595846880,93106620435180
2023-01-16,906.21,918.76,903.75,912.99,3677994,221251355940,93841086691270
2023-01-17,914.0,914.92,906.36,911.52,3493493,229711148688,93715285072140
2023-01-18,911.54,914.0,902.33,914.0,3505292,239348947760,93946070260420
2023-01-19,910.3,927.7,908.34,926.93,4266451,299102139290,95165705331060
2023-01-20,925.04,928.58,920.67,927.42,3396626,253569813350,95312088952390
2023-01-25,929.19,931.41,918.54,920.71,4024995,280025561234,94556894273370
2023-01-26,920.5,922.5,914.07,920.43,3981236,283751774975,94459187316230
2023-01-27,917.3,929.98,911.62,927.85,4437279,358499498466,95258989232250
2023-01-30,927.4,931.9,916.42,917.92,3878895,291347196762,94211929052750
2023-01-31,919.32,925.02,913.41,916.22,5353004,317150909602,94259692748170
2023-02-01,907.77,907.89,896.35,900.7,5546063,450927175260,92721349763420
2023-02-02,908.62,914.41,902.36,903.41,6879260,489092284180,93060806631370
2023-02-03,900.21,907.94,895.61,906.36,4899887,324608606382,93290425411340
2023-02-06,906.75,907.19,895.52,900.44,4171513,258907622819,92815950037970
2023-02-07,900.54,902.99,893.41,898.18,4560888,265473804920,92527416745040
2023-02-08,899.13,903.94,897.86,903.94,4850354,254083701350,93164028241750
2023-02-09,899.69,910.78,899.67,902.67,5023314,330814059160,93143513036310
2023-02-10,900.68,902.19,893.47,900.71,4311036,298392446355,93111508299490
2023-02-13,897.73,900.76,888.76,898.77,3762281,230183979220,92859309058700
2023-02-14,902.08,904.67,898.94,903.09,4163390,305684334455,93229214155350
2023-02-15,902.93,903.82,887.34,888.45,6833521,332422444942,91574240598200
2023-02-16,891.8,895.39,888.64,891.04,4520417,250197247150,91859158014050
2023-02-17,886.19,891.69,879.37,884.87,3551244,182121039170,91242023474650
2023-02-20,885.4,897.8,883.92,896.19,3395944,189019900340,92379410926390
2023-02-21,897.28,899.18,892.02,893.5,3841255,210258319070,91990865082050
2023-02-22,888.81,891.92,882.32,884.2,4080677,258369038330,91063233159730
2023-02-23,886.53,897.98,886.39,893.51,3661607,228481080180,91945247173570
2023-02-24,890.12,896.75,889.1,892.08,4042926,206573997210,91826288820710
2023-02-27,885.67,885.67,869.36,881.29,5461662,289612924361,90646051019530
2023-02-28,883.88,884.08,874.6,874.67,4816374,300595006520,90024347526410
2023-03-02,875.97,887.91,875.97,880.09,5167853,335439285987,90516725855780
2023-03-03,881.71,884.54,878.67,879.84,3220504,221352432150,90456364572110
2023-03-06,883.11,886.4,876.89,876.89,3812444,250445280970,90183414848620
2023-03-07,876.61,880.07,873.12,875.52,3468363,235224102770,90060133866150
2023-03-08,867.97,870.29,860.86,862.43,4427778,302487916400,88771024183640
2023-03-09,863.97,866.71,855.3,856.31,5391053,353604795471,88245257051150
2023-03-10,850.77,850.77,841.24,843.14,4147450,290103308868,86818470551010
2023-03-13,845.79,846.11,831.81,844.45,3629872,241280349950,86914054553600
2023-03-14,838.28,838.84,830.16,830.79,4126986,247411780044,85434524484920
2023-03-15,835.44,842.58,834.08,837.64,3904127,237983016751,86117255901290
2023-03-16,832.19,832.19,824.67,827.5,3484915,281801625890,85081378897760
2023-03-17,835.59,848.36,834.26,846.21,6345908,371221078620,86871230151690
2023-03-20,849.65,860.05,847.17,849.1,4213499,231640603170,87223994607780
2023-03-21,853.2,855.67,846.6,853.76,3422360,187610903580,87703722685550
2023-03-22,858.11,858.58,843.86,845.09,3296939,205987104630,86883325031420
2023-03-23,844.53,849.46,839.75,847.59,3495586,209045938060,87146417028180
2023-03-24,839.69,845.32,838.12,842.72,3495022,190135321060,86660721513830
