날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,1580.02,1586.35,1570.7,1584.51,5988810,412705766150,135227680582850
2018-01-03,1571.59,1589.91,1571.38,1579.91,7187695,549273965800,134680933650100
2018-01-04,1588.94,1589.8,1557.28,1557.28,6981118,681675297175,132773380328600
2018-01-05,1561.17,1586.44,1560.53,1586.44,10082165,735336651710,133826080247450
2018-01-08,1597.58,1608.92,1584.8,1608.78,8333458,897760236040,137079355527130
2018-01-09,1610.6,1628.63,1605.38,1613.53,7738990,712672379860,137632853846550
2018-01-10,1620.43,1630.53,1611.3,1623.39,6838368,679248311550,138415298650530
2018-01-11,1631.9,1631.9,1598.71,1608.76,8187527,712744934542,137212890535300
2018-01-12,1616.58,1625.88,1609.4,1618.45,6950717,649216746810,137986351130820
2018-01-15,1623.43,1639.12,1621.31,1629.9,8696793,666507159540,138980697749820
2018-01-16,1628.77,1629.73,1613.26,1621.31,9157432,511245471960,138325989062100
2018-01-17,1617.85,1624.56,1595.22,1604.99,5635445,471816938550,137006865255100
2018-01-18,1605.53,1609.37,1582.57,1585.92,6001868,538148611550,135455831486550
2018-01-19,1587.21,1607.97,1585.04,1606.07,4858941,402338804800,137200083363000
2018-01-22,1614.69,1620.28,1597.05,1617.49,5344858,527724512850,138454883015950
2018-01-23,1614.19,1640.98,1608.91,1640.98,6489656,528366940250,140340619157950
2018-01-24,1643.54,1656.84,1641.81,1648.07,6873872,602672122450,141026085290250
2018-01-25,1649.26,1672.63,1648.81,1668.54,9874458,610585047750,142896893630500
2018-01-26,1667.86,1680.47,1656.29,1665.38,7460570,453479667650,142627926192300
2018-01-29,1671.02,1718.44,1669.57,1715.74,10189200,776871135950,147036080071150
2018-01-30,1712.13,1733.58,1700.55,1700.55,8224655,660021885064,145721798791050
2018-01-31,1684.36,1694.13,1650.83,1687.1,7056285,566996004473,144567109530750
2018-02-01,1694.58,1704.49,1676.86,1676.91,7042993,701760406848,143934318061600
2018-02-02,1677.06,1680.72,1631.52,1639.69,6298144,617681890950,140845423050000
2018-02-05,1610.93,1626.14,1607.39,1608.33,6631226,602611109966,138245747667130
2018-02-06,1573.48,1593.16,1545.06,1586.47,9637500,815518334300,136324711643960
2018-02-07,1605.8,1606.35,1534.59,1534.59,7028528,670201885840,131742299122800
2018-02-08,1531.19,1555.07,1521.82,1541.12,7513626,596089674840,132415671877060
2018-02-09,1504.43,1533.03,1501.36,1526.15,7614705,615413959810,131285617158150
2018-02-12,1534.84,1546.83,1512.08,1538.26,4720940,436515035410,132360121856070
2018-02-13,1546.63,1558.9,1531.15,1537.56,5298098,505742456220,132237673639240
2018-02-14,1541.73,1549.63,1532.21,1546.05,4295266,349769800440,132808873959310
2018-02-19,1570.75,1591.1,1569.76,1591.05,4448191,406113102186,136780755993730
2018-02-20,1585.64,1586.48,1569.26,1574.13,3167707,266206328120,135416853674200
2018-02-21,1568.57,1575.95,1558.48,1572.86,3761297,386676896680,135113988549910
2018-02-22,1557.2,1567.02,1549.53,1557.19,4435323,357656034410,133726230817480
2018-02-23,1570.06,1603.13,1569.02,1603.13,4875682,465145556710,137681060216570
