날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2021-01-04,3559.27,3758.37,3559.27,3735.91,61748252,5721977155732,717219054798700
2021-01-05,3735.44,3808.06,3686.14,3808.06,55669804,5338932424816,728649788500500
2021-01-06,3808.35,3902.43,3747.64,3769.3,74459924,6927320795630,717099999025600
2021-01-07,3783.47,3972.1,3782.9,3899.2,64740606,6551975368524,729755601001000
2021-01-08,3910.47,4057.72,3897.87,4045.72,93372763,9587920563852,771915177573200
2021-01-11,4077.61,4176.82,3916.98,3988.18,128720997,12956030186164,778543584070100
2021-01-12,3988.18,4007.78,3833.69,3968.63,80123039,7892250916770,773667591398200
2021-01-13,3961.07,4053.03,3954.85,4022.59,59749595,6041379994800,773225285393500
2021-01-14,4015.14,4076.6,3985.91,4052.55,53881805,5203399083240,774093640397200
2021-01-15,4060.99,4118.14,3952.43,3956.57,52579487,5116809759757,758129986403700
2021-01-18,3938.52,3955.85,3841.62,3882.29,63304605,6044160000700,738102211976500
2021-01-19,3880.01,4013.32,3862.33,3988.07,57256007,5537503228750,755198342428200
2021-01-20,4016.08,4094.7,3994.17,4094.7,54434465,5888562907274,762241552977100
2021-01-21,4099.3,4213.44,4089.86,4206.7,79139337,7171543229550,774003982322900
2021-01-22,4209.84,4253.7,4184.29,4184.35,59112882,6297857654970,764402664203100
2021-01-25,4190.8,4283.9,4175.22,4270.0,43513203,4451868325906,786067445206400
2021-01-26,4257.86,4282.69,4150.28,4174.85,56411818,5774146099758,763514279945400
2021-01-27,4179.32,4255.36,4126.52,4143.04,48319519,4656598104070,755797776133600
2021-01-28,4141.77,4141.77,3993.67,4046.07,52915210,5226722623180,737838502516200
2021-01-29,4064.12,4108.13,3884.82,3906.22,67326615,6610373399212,720217764596600
2021-02-01,3906.45,3989.22,3823.88,3981.3,47117305,4474285916536,730859620784900
2021-02-02,4004.86,4110.12,3996.4,4038.45,42878425,4187147288827,743626962659100
2021-02-03,4047.9,4112.1,4016.43,4080.41,36623847,3675331181900,747150273582800
2021-02-04,4083.11,4084.42,3954.09,3983.76,42127464,3884565058907,728290703368100
2021-02-05,3999.66,4056.37,3975.13,4047.23,30529356,3077989652200,738460872616400
2021-02-08,4044.41,4076.41,4006.41,4008.99,26011770,2570946341436,732727870913600
2021-02-09,4021.01,4093.65,4020.12,4028.14,40051541,3742296858448,732327251376700
2021-02-10,4029.5,4084.23,4007.35,4070.5,38419033,3734613727926,729010935362600
2021-02-15,4101.57,4185.15,4101.57,4160.0,41111141,3928355815350,750578813316200
2021-02-16,4166.43,4226.96,4165.45,4204.38,35744043,3463807263553,757270510152000
2021-02-17,4200.79,4200.79,4118.28,4170.41,31410811,3235122775222,744962737378100
2021-02-18,4164.09,4171.42,4065.16,4074.42,34373021,3349457096681,731899225301800
2021-02-19,4090.56,4111.29,4011.29,4106.3,43973231,4355347793150,739057833456400
2021-02-22,4134.09,4166.0,4053.03,4057.87,42668597,4480715677442,735252280484600
2021-02-23,4042.18,4047.83,3941.19,4000.47,37208863,3925320240200,731720746415600
2021-02-24,3996.55,4054.72,3895.33,3897.26,47378245,4879670959243,724786103973200
2021-02-25,3953.81,4074.8,3953.02,4064.84,51667449,5282700192680,757028650447400
2021-02-26,4042.51,4042.51,3864.47,3902.12,61593827,6033982290204,729772261929100
2021-03-02,3905.15,4067.62,3905.15,3968.53,51410427,5333934460947,740399801711500
2021-03-03,3967.83,4012.64,3922.61,4012.64,31189757,3176154249718,746084891750400
2021-03-04,3970.0,3976.62,3874.66,3906.63,37684671,3777114355300,729427620063200
2021-03-05,3904.39,3908.07,3794.9,3884.39,34934031,3403443210750,725668775643600
2021-03-08,3887.55,3931.16,3790.64,3795.95,29073740,2950425169500,718487289406400
2021-03-09,3771.16,3802.61,3669.83,3768.3,42462353,4233406045150,713930659739000
2021-03-10,3773.08,3865.97,3721.66,3726.72,32153212,3219474757521,707497195827400
2021-03-11,3735.62,3885.09,3735.62,3860.47,39093195,4025618234232,722769364081800
