날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,316.13,320.69,315.08,319.8,3362953,67964504065,27976300307660
2017-01-03,320.59,323.27,319.09,321.72,7127417,148110295575,28022759244700
2017-01-04,323.16,323.16,313.94,314.36,6402202,191007418375,27254663270180
2017-01-05,318.06,322.11,316.91,320.68,11140710,169687957892,27749127520280
2017-01-06,320.77,324.85,318.81,324.25,7716641,146686170485,28024466149720
2017-01-09,324.28,325.92,321.77,323.03,7936519,131792584385,27903153722540
2017-01-10,322.93,327.41,322.4,325.4,8053337,139760927477,28076347110760
2017-01-11,326.34,332.68,325.3,331.09,8596779,157792635170,28576195899760
2017-01-12,331.47,333.36,329.62,331.59,6456479,116250508530,28626555505400
2017-01-13,331.41,331.66,326.9,329.59,5385816,110352672445,28468077798060
2017-01-16,329.41,329.44,323.83,325.83,7136319,116966123535,27926015795460
2017-01-17,326.44,329.67,325.34,325.66,5313164,125512904130,27963154450700
2017-01-18,326.39,326.65,321.52,323.89,4112262,89461214455,29792793048600
2017-01-19,324.26,326.49,318.99,319.76,6121041,105816069585,29435102444940
2017-01-20,318.93,321.83,317.74,317.93,4795295,95204576310,29272724199320
2017-01-23,319.59,320.34,316.84,316.98,5133695,81977804940,29176152925260
2017-01-24,316.82,318.85,314.58,317.69,6733044,108328949725,29259569499800
2017-01-25,320.09,321.13,310.98,311.95,7490103,126141427715,28716795482780
2017-01-26,313.32,316.15,310.29,315.02,5661672,94819604840,28987996858500
2017-01-31,313.3,313.94,309.26,310.24,4520861,106152975630,28510514269960
2017-02-01,311.33,321.45,311.25,320.9,6295554,126496716645,29495226642660
2017-02-02,320.02,324.3,319.05,320.64,5558579,116938200105,29527412449840
2017-02-03,321.11,322.05,317.24,318.43,5423402,105962089150,29384319566280
2017-02-06,321.49,323.26,318.76,322.12,3950905,82028351140,29754220871020
2017-02-07,318.17,320.45,315.04,319.78,10314285,151290066660,29586350059720
2017-02-08,320.15,321.94,318.27,319.57,4437253,80351631410,29610613424280
2017-02-09,320.48,325.32,318.75,323.94,5177490,117561744165,30005094708260
2017-02-10,326.15,327.82,324.88,327.08,8362057,172522748905,30250404076660
2017-02-13,329.58,332.04,328.13,329.79,6579874,142205876320,30475681604800
2017-02-14,330.94,332.0,327.06,328.62,4747607,105164537505,30352883421240
2017-02-15,330.65,331.18,328.51,330.75,3903121,90150539055,30534842496360
2017-02-16,330.2,330.96,323.15,324.2,8387776,128235048415,30022955192120
2017-02-17,322.03,323.34,318.29,320.72,6468405,128795108150,29702132851140
2017-02-20,322.31,322.38,318.5,320.68,5452241,126051121815,29812920217180
2017-02-21,321.63,328.43,321.16,327.48,5763572,162743674705,30481290237680
2017-02-22,328.97,336.26,327.1,335.15,11099755,235223556960,31100830208420
2017-02-23,336.92,337.13,332.96,335.08,7734205,160661451950,31063584714860
2017-02-24,335.24,336.36,331.63,333.48,6981524,133454042375,30901651601480
2017-02-27,335.46,337.66,333.99,334.68,7329549,134299355205,31038864380620
2017-02-28,333.05,340.61,329.31,339.44,13190486,335537955780,31616069873720
2017-03-02,342.51,346.92,338.09,341.47,11944227,257407262763,31778985321040
2017-03-03,340.01,342.9,338.69,340.87,7504561,169972385785,31803421505060
