날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2020-01-02,687.57,687.98,678.82,681.14,1128368,79439078330,37583201106000
2020-01-03,682.5,690.14,679.62,683.24,1409825,102512651310,37683091754850
2020-01-06,678.56,679.11,668.19,668.57,1535477,86915238790,36851991095060
2020-01-07,672.52,675.39,669.94,670.81,1193159,64487060510,37044129474280
2020-01-08,661.24,662.54,652.73,657.76,2298205,141324974500,36506830255910
2020-01-09,662.53,665.57,657.62,663.04,1576824,122095550240,36977410585330
2020-01-10,661.98,665.52,659.51,663.27,1322751,95517088870,37203801211550
2020-01-13,662.14,668.83,660.01,668.01,1202392,82018756700,37412482718940
2020-01-14,672.77,680.06,670.22,678.75,1839372,110589158980,37919383587170
2020-01-15,678.42,681.85,672.72,680.9,1177992,81867645599,37996853373800
2020-01-16,677.36,677.97,672.2,676.46,1128348,93686825290,37804754745540
2020-01-17,675.92,680.51,673.48,674.94,1067684,75410357170,37719310401230
2020-01-20,677.84,684.6,676.7,679.0,1164829,118569686840,38267028255230
2020-01-21,679.55,681.01,673.62,675.6,918674,66211469660,37906816782870
2020-01-22,676.19,677.87,672.39,674.76,1701326,88504233020,37677202757600
2020-01-23,671.33,672.8,665.63,667.74,1172378,91036128490,37380362113120
2020-01-28,656.47,659.8,634.98,635.98,3947896,206038091150,35500473726640
2020-01-29,637.94,640.05,631.88,636.31,1792585,83926544630,35581337543290
2020-01-30,635.3,639.43,626.64,627.88,1885771,101266355430,35208175830795
2020-01-31,630.92,632.48,618.16,618.55,1595491,121446901280,34640624002840
2020-02-03,609.63,609.77,597.09,606.11,1839732,132764324405,33814382936135
2020-02-04,603.85,614.94,603.3,610.42,1476110,102807572010,33924229832185
2020-02-05,613.2,616.06,606.48,614.64,1750339,105483683005,34101429850860
2020-02-06,620.28,652.85,620.28,651.27,2184721,179947651670,35973989784110
2020-02-07,650.57,656.61,640.24,654.16,1454284,138808077120,36082295209400
2020-02-10,648.25,655.15,644.08,654.0,1038526,105501704320,35964365958120
2020-02-11,654.2,657.72,650.92,654.95,1193570,93594817800,35995333941980
2020-02-12,651.8,657.2,647.62,652.03,1197514,95074318370,35851883582800
2020-02-13,653.03,658.87,650.69,651.33,1814287,133001549530,35761767995290
2020-02-14,648.98,653.33,643.96,651.25,1400183,94770687920,35711442358590
2020-02-17,650.93,658.29,648.25,655.25,1041776,106978033230,35877922453810
2020-02-18,651.0,655.02,646.9,649.96,846470,71173687230,35625482826610
2020-02-19,655.13,658.73,650.2,653.99,1369758,112728324640,35893076471020
2020-02-20,655.47,655.67,639.91,639.91,1833069,99332499205,35390375079205
2020-02-21,635.35,636.5,626.77,626.86,1486262,90784460092,34703364665385
2020-02-24,616.42,618.55,600.81,601.0,2086613,119345041465,33341539075270
2020-02-25,602.73,606.48,597.14,603.88,1507701,102770018900,33290152156755
2020-02-26,595.84,605.11,593.97,600.0,1472137,104423688420,33034349084860
2020-02-27,599.4,603.7,597.11,599.4,1333742,94085978130,32951327199785
2020-02-28,587.43,593.71,579.08,582.4,2317295,161556620055,32122667495310
2020-03-02,582.72,585.65,572.43,577.31,1620151,123169057730,31657336504475
2020-03-03,586.7,588.53,575.77,577.2,1660765,113204545665,31682294716135
2020-03-04,577.17,589.77,577.17,583.01,1302240,104183849690,32016299171375
2020-03-05,587.96,594.2,582.68,592.45,1434278,120079692640,32551775959295
2020-03-06,585.14,586.33,574.76,576.86,1832921,97367889705,31735917976070
2020-03-09,559.44,560.72,547.91,550.52,2416786,150764359000,30094251854415
2020-03-10,545.28,553.01,544.12,549.81,2324270,133135736930,30098993931050
2020-03-11,554.54,555.67,536.02,539.2,2461178,136027690493,29645105607065
2020-03-12,539.93,540.46,510.03,518.14,4382441,255585079680,28968805304475
2020-03-13,491.67,503.9,471.93,495.89,4751605,213146704815,27895055922275
2020-03-16,504.66,504.66,477.35,477.59,2853714,135534204745,26687426706450
2020-03-17,456.08,472.98,451.93,461.77,3419574,134601664685,25731865817725
2020-03-18,462.2,463.83,429.78,429.78,3655799,158928284470,23986483401110
2020-03-19,439.77,439.77,382.52,382.65,5614030,166995465000,22068992473360
2020-03-20,389.7,404.39,377.38,404.38,4614511,157765403965,22812118461410
2020-03-23,384.2,388.62,369.16,381.14,3194847,109698315235,21862226520600
2020-03-24,390.71,419.21,386.47,419.21,2674860,115243452560,23770081611090
2020-03-25,437.83,459.65,435.81,459.65,4166259,165088469015,26105395937175
2020-03-26,456.87,470.99,452.8,460.54,3550666,142733197910,25754458521450
2020-03-27,479.26,488.99,456.35,471.51,2809165,144998974595,26585219919785
2020-03-30,457.53,476.43,449.99,469.82,2311249,122070858750,26274322256940
