날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,2196.95,2200.5,2186.72,2196.13,20645431,2345747065188,1098744878382350
2018-01-03,2208.17,2216.12,2201.47,2205.53,27049586,2843764751323,1102490712346800
2018-01-04,2222.49,2222.49,2184.23,2186.16,30200150,3717877946964,1092731169801000
2018-01-05,2196.17,2217.45,2194.16,2217.34,25188932,2897252989995,1107719926980750
2018-01-08,2230.01,2235.89,2213.06,2234.13,27369188,3363921427703,1116857575233150
2018-01-09,2228.76,2241.05,2208.49,2220.78,29308935,3702417058080,1112513374619450
2018-01-10,2224.35,2225.22,2189.39,2191.8,34992616,4121719446435,1100359265231900
2018-01-11,2184.42,2195.57,2174.6,2178.5,27953210,3839010842655,1093636386181750
2018-01-12,2189.51,2190.22,2161.21,2183.41,31038565,4148084185345,1096564746923300
2018-01-15,2195.53,2199.26,2178.32,2187.23,23465008,2620187237046,1099046250764600
2018-01-16,2188.6,2213.96,2184.18,2210.63,31234402,3377431487316,1110110804944750
2018-01-17,2206.56,2213.87,2197.72,2207.19,30490144,3171146007452,1108125946504550
2018-01-18,2221.1,2228.0,2206.28,2208.56,30589159,3344646036413,1108466082403350
2018-01-19,2214.56,2218.71,2199.8,2208.32,26049249,2839073289227,1108500607025050
2018-01-22,2201.37,2201.37,2171.69,2181.37,27616854,3059301417355,1096472889597850
2018-01-23,2189.89,2210.05,2187.88,2210.05,35399044,3386075957337,1111068694827600
2018-01-24,2205.65,2220.36,2201.32,2209.99,28646781,3062158220903,1110453589287250
2018-01-25,2208.44,2233.97,2207.97,2231.49,31624518,3536525670224,1120633147906500
2018-01-26,2229.49,2238.96,2218.06,2238.96,29661132,3606843576064,1124542045658600
2018-01-29,2252.67,2262.36,2247.6,2254.32,27731647,3488038100384,1133562960422950
2018-01-30,2241.0,2247.76,2218.52,2218.56,30242477,3467118312181,1116152360461750
2018-01-31,2213.92,2262.55,2208.62,2221.44,37609616,6699295354308,1117293080959600
2018-02-01,2234.33,2238.01,2219.8,2220.91,25975655,4016984396175,1118516936124500
2018-02-02,2214.62,2214.62,2170.97,2174.74,31067371,4501367820852,1096846607196350
2018-02-05,2141.39,2165.25,2131.58,2158.02,32606038,4339960699182,1087787084918100
2018-02-06,2115.15,2131.57,2089.79,2121.39,38889095,4430048350837,1069339207780350
2018-02-07,2149.64,2149.74,2072.06,2072.21,34866983,4237104313394,1044502163953350
2018-02-08,2075.85,2098.57,2072.02,2079.87,33271487,4122497370708,1046538703102400
2018-02-09,2026.14,2043.59,2022.1,2029.39,34195019,3711206061041,1021441989870400
2018-02-12,2044.94,2069.07,2036.63,2058.69,25323871,2896527627515,1035087331423600
2018-02-13,2076.17,2108.91,2072.03,2088.32,33609883,3600910012460,1048705560787350
2018-02-14,2106.15,2123.78,2103.75,2115.88,23582993,2868465968200,1061922677341050
2018-02-19,2143.9,2146.16,2109.84,2124.12,20975244,2631823546227,1066259184552600
2018-02-20,2113.9,2116.5,2093.52,2098.33,15499293,1837589388039,1053808035491400
2018-02-21,2100.33,2112.15,2084.68,2108.48,22005015,2558957973550,1059464454760650
2018-02-22,2097.55,2102.81,2087.25,2093.83,17984275,2117800105722,1053135950518050
2018-02-23,2105.28,2124.61,2105.28,2124.29,20716617,2442072261441,1069415954613500
2018-02-26,2135.26,2135.7,2120.1,2127.97,23282988,2646345702288,1072178382609000
2018-02-27,2143.68,2151.41,2125.8,2125.8,24005061,2644248482947,1070094898429500
2018-02-28,2121.19,2133.19,2100.48,2100.84,34067507,3500438985089,1057353842773350
2018-03-02,2084.97,2086.79,2062.76,2072.13,24482697,2796010608792,1044410724636150
2018-03-05,2073.29,2076.51,2046.88,2048.18,19635428,2396960125604,1033149165742450
2018-03-06,2073.1,2092.38,2065.37,2090.92,29683142,3334067284524,1051983614598950
2018-03-07,2100.56,2120.64,2084.7,2103.07,31250522,3474055573639,1056699069598950
2018-03-08,2120.87,2127.0,2099.07,2127.0,33481975,3595600228518,1068412578973050
2018-03-09,2135.14,2160.44,2126.96,2139.45,35463093,4846077399150,1115790196696800
2018-03-12,2165.54,2167.6,2153.54,2157.74,27296841,3441757263164,1125537664873500
2018-03-13,2163.87,2182.93,2159.33,2182.93,33904254,4779595073958,1136943824526300
2018-03-14,2167.52,2181.29,2164.96,2178.01,26854202,3632856459271,1134278442162250
2018-03-15,2179.16,2187.56,2162.07,2181.63,24864142,3208661659409,1135915919719000
2018-03-16,2181.98,2185.33,2163.53,2182.16,30275436,3590288549807,1136456555264300
2018-03-19,2179.15,2181.85,2158.47,2163.38,22871618,2676470307668,1126553773700300
2018-03-20,2145.03,2175.0,2144.63,2175.0,21129598,2673314691016,1132560007123300
2018-03-21,2178.88,2182.02,2172.11,2172.38,22672806,2686438403637,1131862117582400
2018-03-22,2181.87,2189.8,2171.94,2183.33,26241434,2944448481070,1137241412807650
2018-03-23,2137.54,2141.14,2104.7,2109.38,34811372,3995192936217,1100588769919800
2018-03-26,2103.72,2124.0,2091.54,2124.0,27907627,3118933016527,1108461728058900
