날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,2050.55,2053.45,2004.27,2010.0,326367773,4295871822881,1323645396533233
2019-01-03,2011.81,2014.72,1991.65,1993.7,427976017,5358519356361,1312758913016841
2019-01-04,1992.4,2011.56,1984.53,2010.25,408990897,5490147620731,1323719372668579
2019-01-07,2034.24,2048.06,2030.9,2037.1,440191435,5301385184683,1342381870636242
2019-01-08,2038.68,2042.7,2023.59,2025.27,397831202,4826641977635,1333996220969886
2019-01-09,2034.19,2068.23,2034.19,2064.71,386247767,5532688944833,1360852002032056
2019-01-10,2065.73,2072.81,2057.16,2063.28,382877104,5434257496719,1359857820274138
2019-01-11,2070.36,2076.99,2063.99,2075.57,380061043,4592460536252,1368311381419713
2019-01-14,2070.49,2073.94,2059.46,2064.52,432890569,4941021266486,1360565230505129
2019-01-15,2069.14,2098.01,2067.58,2097.18,439488652,5236963734010,1382450777672374
2019-01-16,2098.65,2106.35,2091.92,2106.1,500078131,5352467226713,1388695520077813
2019-01-17,2110.14,2117.43,2101.7,2107.06,475884760,5857766808901,1389975886942780
2019-01-18,2116.43,2124.5,2113.44,2124.28,456737721,5356125356124,1401233933236199
2019-01-21,2133.87,2134.17,2114.45,2124.61,398034986,5320635085503,1401780023623738
2019-01-22,2126.03,2129.37,2108.91,2117.77,419441359,4897406432421,1397318461758313
2019-01-23,2108.72,2131.05,2106.74,2127.78,408600062,5170561792658,1403936953766212
2019-01-24,2127.88,2145.08,2125.48,2145.03,413652271,6035836296861,1415738357524606
2019-01-25,2147.92,2178.01,2146.64,2177.73,410001961,7065652406289,1437842917491483
2019-01-28,2184.41,2188.15,2169.17,2177.3,371618518,6060559291829,1437491622562736
2019-01-29,2172.83,2183.36,2162.53,2183.36,552586618,6504582924510,1441345148964529
2019-01-30,2183.49,2206.2,2177.88,2206.2,480390487,6875692507420,1456059990001788
2019-01-31,2222.88,2222.88,2201.22,2204.85,545247910,7762306856437,1455505296056499
2019-02-01,2211.93,2218.78,2201.41,2203.46,479378556,6873999624152,1454699810793706
2019-02-07,2215.77,2215.79,2196.77,2203.42,427842793,6339360759652,1454323219046604
2019-02-08,2192.01,2192.48,2171.96,2177.05,391029097,5728529606483,1436388008944814
2019-02-11,2180.54,2181.58,2167.36,2180.73,406059815,5327610302057,1438816002281247
2019-02-12,2182.71,2195.05,2178.59,2190.47,429940461,5929463237358,1446167642881578
2019-02-13,2200.0,2203.71,2194.75,2201.48,421989698,5585494555665,1453501270517371
2019-02-14,2195.92,2225.85,2186.09,2225.85,573362007,6426022765504,1469357630739561
2019-02-15,2210.94,2210.94,2187.71,2196.09,400591521,5097630832616,1449296807078938
2019-02-18,2207.36,2217.32,2203.0,2210.89,314370950,4668186939202,1458936951056956
2019-02-19,2208.96,2213.87,2193.34,2205.63,389093896,4534559338232,1455230606553823
2019-02-20,2216.74,2234.68,2213.83,2229.76,374342331,5948416944791,1471936799830701
2019-02-21,2224.26,2234.31,2213.19,2228.66,382510920,5480909639767,1471404502700458
2019-02-22,2222.32,2230.5,2217.08,2230.5,409310838,4645184004326,1472581253373874
2019-02-25,2241.13,2241.76,2224.64,2232.56,339233786,4689860737887,1473911027224693
2019-02-26,2230.37,2235.7,2221.76,2226.6,331962323,5024237669533,1469933629795979
2019-02-27,2234.46,2237.77,2228.16,2234.79,301513165,4914612941695,1475176574151260
2019-02-28,2231.58,2233.93,2195.44,2195.44,510022158,8307295774617,1448767023638722
2019-03-04,2210.97,2216.02,2188.56,2190.66,373166073,6405237020767,1445642000022302
2019-03-05,2183.35,2185.74,2171.33,2179.23,313145801,4980940796207,1437785625516105
2019-03-06,2177.11,2179.01,2168.46,2175.6,328943179,4828088089894,1435423976972670
2019-03-07,2173.19,2181.19,2155.19,2165.79,292578442,4858918520562,1429496101537032
2019-03-08,2152.8,2159.67,2137.44,2137.44,313314909,4497331235658,1410568349920833
2019-03-11,2140.29,2145.31,2125.54,2138.1,272103487,4077476409974,1410561695000350
2019-03-12,2154.61,2161.69,2150.96,2157.18,355282965,4222805054027,1424679600994820
2019-03-13,2152.66,2154.11,2134.16,2148.41,285600820,4088450721573,1419083069943012
2019-03-14,2154.35,2158.34,2142.31,2155.68,341009699,5882524412188,1423787458371483
2019-03-15,2152.96,2181.77,2152.59,2176.11,387135808,6821323565354,1437037920963024
2019-03-18,2179.69,2183.9,2172.34,2179.49,257951275,4093226224639,1439426927693641
2019-03-19,2183.03,2183.76,2171.05,2177.62,319702553,3867859299559,1438506503408298
2019-03-20,2171.41,2177.19,2152.21,2177.1,317606686,4175741034585,1438253702940605
2019-03-21,2183.11,2200.32,2173.7,2184.88,342747152,6229925336110,1445055041479256
2019-03-22,2192.72,2195.42,2178.77,2186.95,333617567,6881722527179,1446842699649707
2019-03-25,2158.8,2159.25,2143.7,2144.86,307071247,4136472112423,1418438626634458
2019-03-26,2152.98,2153.9,2143.63,2148.8,301253574,4248900137963,1421123429431263
2019-03-27,2147.19,2152.91,2132.42,2145.62,363169415,4490155588700,1419130931621688
2019-03-28,2131.25,2136.4,2120.93,2128.1,288036217,4403905967205,1409454255770860
2019-03-29,2138.45,2143.3,2124.07,2140.67,364618638,5248941127868,1417246090700786
2019-04-01,2153.31,2171.49,2153.31,2168.28,263312768,4365111400005,1435481137484246
2019-04-02,2177.2,2181.37,2171.84,2177.18,257453028,4247457375716,1441635794811690
2019-04-03,2176.81,2203.29,2172.83,2203.27,358644921,5466968835112,1458945250841842
2019-04-04,2201.04,2216.15,2198.66,2206.53,431013240,4857554113287,1461266733697704
2019-04-05,2206.36,2214.82,2205.26,2209.61,517153053,4215786976690,1463238721453826
2019-04-08,2217.66,2217.87,2202.49,2210.6,347910204,4660047203880,1464185952042604
2019-04-09,2212.32,2221.62,2203.54,2213.56,414809277,4904129876338,1466472414510091
2019-04-10,2206.2,2225.02,2203.82,2224.39,399694690,5135093645085,1473098586564393
2019-04-11,2227.69,2230.41,2217.18,2224.44,402016393,6022086522472,1473103445557845
2019-04-12,2221.1,2233.45,2212.88,2233.45,449634273,6098417861762,1479300934871201
2019-04-15,2242.31,2251.22,2240.29,2242.88,404160070,6668128939191,1485758717089295
2019-04-16,2241.06,2249.89,2235.72,2248.63,569056241,7083490839974,1489660939148968
2019-04-17,2249.05,2252.05,2242.01,2245.89,452474829,5586183776794,1488430885486793
2019-04-18,2248.8,2250.11,2210.43,2213.77,573343371,6501103720627,1467185238379835
2019-04-19,2223.42,2225.37,2215.58,2216.15,525263603,4965672211178,1468420930045869
2019-04-22,2218.5,2227.94,2207.25,2216.65,493984426,4639971396933,1468803476988435
2019-04-23,2217.61,2223.92,2212.14,2220.51,481177693,4922937803418,1471093767629332
2019-04-24,2229.75,2229.75,2190.29,2201.03,575099947,6342430060053,1459265698733680
2019-04-25,2195.47,2200.89,2187.44,2190.5,441137220,5610697148270,1452279955041841
2019-04-26,2178.13,2186.52,2168.15,2179.31,570172114,5346145628898,1445304534300290
