날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,327.88,331.33,327.88,329.66,820651,28866515150,31058475861400
2017-01-03,329.43,329.72,323.54,325.62,1890242,64381794500,30677900178900
2017-01-04,325.47,325.47,322.08,324.7,1921351,71666866664,30590577906700
2017-01-05,324.78,330.37,323.87,330.09,1921046,64656735789,31099178689200
2017-01-06,329.14,330.57,327.59,327.74,1512303,45351770089,30877682260100
2017-01-09,326.97,327.82,325.08,327.45,1283126,40690555150,30850364995000
2017-01-10,326.75,327.88,324.61,326.51,1513891,50944786474,30761058058500
2017-01-11,328.16,331.24,326.27,328.65,1652539,74917900750,30962922336000
2017-01-12,329.43,330.63,327.12,330.39,1518746,57885793357,31127488286450
2017-01-13,329.77,331.01,327.22,330.43,1235448,38025405290,31130562814900
2017-01-16,329.24,330.51,326.29,326.63,1087551,43692522341,30772693812450
2017-01-17,329.08,330.77,327.61,328.84,1153112,38183475624,30981134651150
2017-01-18,328.26,328.49,325.99,327.23,1506584,48012031250,30829624291100
2017-01-19,327.47,327.58,324.64,325.32,1060778,39317952092,30649706801800
2017-01-20,327.35,327.55,325.34,325.95,1247860,38600158760,30708505724600
2017-01-23,326.55,328.99,323.69,324.41,1762538,58487107992,30563571925750
2017-01-24,324.26,326.34,323.3,324.8,1340011,43897474346,30600442748500
2017-01-25,325.89,325.89,320.85,320.85,1408022,67488113600,30228642043650
2017-01-26,322.93,325.25,321.71,324.69,1534688,60155335924,30589799326700
2017-01-31,324.26,328.43,323.74,325.44,4603079,87867382768,30660350223600
2017-02-01,325.64,325.87,321.56,322.08,2192692,80275894891,30343846408800
2017-02-02,322.71,324.21,320.49,321.43,3617666,103725174885,30282946601550
2017-02-03,323.21,326.4,321.73,325.13,3667458,88754095840,30631145826200
2017-02-06,328.46,329.99,327.14,328.15,2084320,67468363550,30915624258850
2017-02-07,329.13,335.55,328.7,335.19,3128742,85296033550,31579686041850
2017-02-08,334.86,337.35,333.7,334.92,3789524,99431046661,31553458640900
2017-02-09,335.82,338.16,334.71,335.88,2550884,76543717692,31643855441550
2017-02-10,337.56,337.94,333.81,336.14,4419207,114291105698,31669206730500
2017-02-13,338.31,340.13,336.89,339.89,2474158,68766878750,32022465147900
2017-02-14,341.16,341.16,336.6,340.07,1901869,55472339499,32038809018900
2017-02-15,338.98,339.64,335.07,335.3,1731987,52921208225,31589550883650
2017-02-16,335.81,337.56,333.9,334.66,1637651,56922515450,31529759628700
2017-02-17,334.94,337.16,332.58,335.47,1472269,41610808470,31606010974800
2017-02-20,335.37,336.4,332.96,336.4,1121646,34268079050,31693119494850
2017-02-21,337.06,339.32,335.94,337.44,1368310,47104501720,31791415161150
2017-02-22,337.29,343.04,336.35,343.04,2764452,87206721986,32318442010950
2017-02-23,344.21,345.78,341.37,344.01,3449887,88768428840,32410044895900
2017-02-24,344.91,345.03,341.4,343.51,1878276,64058774135,32363095479200
2017-02-27,344.74,345.17,340.62,342.32,1571305,44725246928,32250654358350
2017-02-28,341.37,344.44,339.57,342.12,9799942,171371866569,32232112070900
2017-03-02,345.64,348.51,344.71,344.71,4467368,107326066594,32476412712050
2017-03-03,346.08,352.1,345.88,348.08,2741991,90417229140,32793695106850
2017-03-06,347.73,350.79,345.65,346.02,2420663,73389572400,32599515942850
2017-03-07,347.73,349.82,344.28,346.23,1681921,46767563750,32619361846600
2017-03-08,348.28,361.62,348.28,358.31,4248029,210638610750,33757916833650
2017-03-09,364.17,368.04,361.16,363.94,3483201,158724513790,34288036900050
2017-03-10,365.64,368.84,363.9,365.35,3360639,133890988730,34420888752500
2017-03-13,365.05,366.45,362.31,364.06,2160500,99010421090,34298991606000
2017-03-14,365.77,369.73,362.67,363.1,2050394,92640495849,34208594805350
2017-03-15,365.55,381.08,363.9,379.44,4389624,193415184297,35748563710800
2017-03-16,378.97,381.53,376.09,378.25,3077080,114802980080,35636220121950
2017-03-17,377.21,378.77,369.36,369.36,3163405,116093660973,34798603658700
2017-03-20,369.9,375.67,368.32,373.04,2213760,77134382892,35145383046900
2017-03-21,373.6,376.88,372.15,373.78,3166895,99146274380,35215057831800
2017-03-22,377.59,383.39,377.59,382.83,3433559,129132597516,36067149721900
2017-03-23,381.77,390.37,378.84,385.95,3303916,143964805664,36361395464350
2017-03-24,387.72,390.53,383.0,384.5,2869560,82866176809,36225022891000
2017-03-27,385.37,389.55,383.46,384.12,1782782,68859509170,36189144400400
2017-03-28,383.92,384.34,377.23,382.94,2609290,89371035250,36078336868150
2017-03-29,382.23,382.23,371.71,372.94,3711991,118002085597,35135945709400
2017-03-30,374.68,377.39,370.49,376.39,2019271,99487421520,35461010749700
2017-03-31,374.16,374.25,370.66,370.66,2817187,72599759180,34920928309500
2017-04-03,372.63,379.02,371.83,375.75,2188558,62281620508,35400462018150
2017-04-04,376.79,381.57,374.55,377.4,1561657,63179489130,35555590631100
2017-04-05,376.4,376.89,370.2,372.16,3423455,79513139800,35062457607600
2017-04-06,371.88,377.72,371.61,376.26,2292301,73490886450,35448519987150
2017-04-07,378.58,381.46,376.54,377.76,2770653,75872926618,35590360569400
2017-04-10,377.76,379.17,371.61,373.91,2047227,56786025259,35227334842200
2017-04-11,374.56,377.95,358.46,363.37,5559738,160911226522,34233713654000
2017-04-12,361.49,361.92,356.79,359.25,2349585,91756294598,33845569078150
2017-04-13,361.17,364.12,360.23,363.7,2282907,84763810456,34265525284000
2017-04-14,362.28,363.56,358.79,361.76,1584689,44176529300,34082203293950
2017-04-17,361.1,364.43,359.01,361.5,1050484,36155196000,34057960557300
2017-04-18,364.09,367.66,362.31,365.73,1407391,59348298194,34456202415250
2017-04-19,366.25,368.49,364.34,367.71,1765168,61821044002,34642598933750
2017-04-20,367.49,369.63,364.09,366.1,1844824,59693113947,34491204793850
2017-04-21,367.64,368.98,365.19,368.75,1614212,59649657437,34741224572350
2017-04-24,370.24,373.56,369.66,371.16,1802364,56767213869,34968091478350
2017-04-25,367.66,369.06,365.22,367.5,2375557,74290269333,34623394286450
2017-04-26,367.58,368.15,360.87,362.33,2390698,148732683900,34135845492000
2017-04-27,363.59,364.66,357.74,358.25,2019937,81794982636,33751651556600
2017-04-28,355.12,363.62,354.83,361.47,3353448,131156986542,34055432168550
2017-05-02,361.31,364.07,360.54,360.54,3265627,96561545956,34120538506600
2017-05-04,357.97,359.72,353.53,354.33,3191192,107211789750,33532247897250
2017-05-08,357.39,357.65,351.49,355.54,3962000,135527212338,33646887434550
2017-05-10,357.76,363.42,355.97,357.39,5160087,154987030690,33822441776350
2017-05-11,358.54,358.54,347.66,351.39,6098045,186805099918,33253801942800
2017-05-12,350.73,355.28,350.51,352.8,4110269,110343273397,33387265121150
2017-05-15,354.57,355.9,347.9,349.57,3659220,95360358340,33081850920600
2017-05-16,351.16,354.67,349.37,354.67,3623377,114916017088,33564372509550
2017-05-17,356.55,357.03,352.45,355.71,7175212,91951818249,33662848370500
2017-05-18,355.08,360.95,353.69,360.54,5200577,108861503780,34119770874400
2017-05-19,362.3,366.34,362.29,365.61,3806094,103066414733,34600131717800
2017-05-22,365.69,369.21,364.49,368.11,3707007,102413014979,34836304385350
2017-05-23,366.23,368.55,363.84,366.72,3347282,91616240463,34707218916400
2017-05-24,367.33,374.25,365.27,374.24,3333718,109821634135,35418918103260
2017-05-25,375.44,383.36,375.36,375.81,4990611,134507142715,35567658787100
2017-05-26,376.94,382.7,376.06,380.7,3765073,104469607231,36030205460300
2017-05-29,380.04,381.14,374.95,377.18,3641266,87873796654,35697591229300
2017-05-30,378.85,379.25,373.52,374.98,2601101,62050435056,35489271034330
2017-05-31,375.19,382.8,374.96,382.4,5168339,134244089508,36191697389550
2017-06-01,381.49,382.22,378.02,378.29,2647600,67507030135,35802564905130
2017-06-02,379.04,387.05,378.46,380.23,4956264,140691858921,35985867699780
2017-06-05,381.81,384.03,375.47,375.66,1791688,76717021285,35553611371800
2017-06-07,374.87,377.43,372.9,374.34,3249501,123241767933,35428309217300
2017-06-08,376.0,376.0,370.14,373.76,3974220,148698645822,35373448678710
2017-06-09,376.35,377.41,370.86,373.86,3682099,110626327273,35383239100240
2017-06-12,371.97,374.55,369.7,373.84,2989351,79717267749,35380958430860
2017-06-13,374.87,376.04,371.6,376.04,2134673,62400285345,35588971765260
2017-06-14,374.11,375.22,369.31,370.45,3500202,100679881944,35060174003310
2017-06-15,371.01,372.43,367.39,369.15,2009323,71058392533,34936876215760
2017-06-16,369.09,373.34,367.15,371.82,4855581,123096417879,35189710039850
2017-06-19,372.27,377.23,371.97,376.29,2374902,78019905190,35613210585580
2017-06-20,377.87,383.28,376.86,381.34,4374926,114358104893,36090498639820
2017-06-21,386.35,388.11,383.13,385.09,3879764,164339121220,36445736363725
2017-06-22,385.63,397.29,384.95,394.91,6215380,180589015920,37375192003075
2017-06-23,387.22,393.04,384.25,387.35,5026426,140837045204,36659882427050
2017-06-26,385.5,388.38,383.77,386.74,3615599,92721095200,36601634930400
2017-06-27,386.58,400.36,384.52,393.95,7545609,222358649110,37284470516575
2017-06-28,396.35,403.82,392.16,392.16,10488002,252673432662,37115459130075
2017-06-29,395.78,395.78,386.48,388.77,5387406,95274639460,36793745299800
