시가,고가,저가,종가,거래량,거래대금,상장시가총액
411.68,412.15,405.83,409.74,3813620,86749481485,26765890738750
408.9,409.92,404.12,407.72,3445286,99960313120,26634022601600
407.52,416.83,407.14,414.76,4973497,133758689695,27094038335200
413.76,415.8,409.62,409.73,10677065,126932166125,26765274793450
408.22,410.42,403.48,405.86,4480788,94866910370,26512264058650
404.35,409.37,403.74,408.95,3244967,76328103705,26714279877050
407.55,410.12,405.22,406.55,3226322,79554963695,26557563419050
408.02,409.84,406.45,407.78,3145893,90042358225,26638041177100
408.43,410.8,407.85,409.95,3749021,92815488860,26779238584200
407.47,411.1,406.63,408.81,5313674,84240648325,26705211395250
410.29,410.83,403.56,404.23,17395157,496847568661,26405998167350
405.37,410.18,404.29,407.97,3110938,93166867905,26650085198500
406.56,410.54,404.16,407.93,3373912,92038277945,26647450628600
410.54,413.36,407.49,410.25,2744281,76640505160,26798922169850
407.14,414.46,405.92,413.42,2890054,79351646595,27006419201550
411.84,414.39,408.48,409.42,3264591,81252010530,26744997661750
406.68,408.2,400.06,402.65,4352747,93997223470,26302624682650
404.45,408.67,403.65,406.56,3245639,72016432160,26557953525100
406.56,406.72,396.66,398.3,4202387,100668405060,26018601763600
403.32,404.95,395.93,404.95,3848617,104626151600,26453189557050
404.74,414.48,404.41,409.78,4285101,117643715930,26768336899350
410.52,413.2,409.23,412.08,2555743,72560926090,26918356978650
410.68,411.08,403.99,409.13,3106178,95471605070,26726184255950
411.63,413.73,406.59,409.32,2537431,80943562710,26738405097100
411.13,413.49,409.04,412.46,3084164,88686401319,26943499233200
413.2,413.35,408.18,409.37,3226229,104681334761,26741428989800
406.6,407.98,404.78,405.22,2636394,77807788940,26470405541650
403.82,405.4,401.75,404.52,2686177,64932739190,26424978321000
405.59,408.07,402.79,405.01,2437167,61053488200,26457057712050
409.43,410.38,406.54,408.72,2301778,59727628409,26698917402400
409.59,411.83,406.94,408.87,3008466,76761800380,26708783042500
406.82,408.8,405.27,405.98,1590936,40257168075,26519934447100
402.21,404.52,399.97,403.65,2360116,49120938395,26368047842350
400.71,405.17,399.61,404.62,2411269,57989811765,26431500823550
406.23,406.23,402.68,404.67,1718271,35763439895,26434796266550
401.8,402.37,397.73,400.63,2945679,68703946265,26170741835500
400.43,401.75,398.09,399.6,2391836,48909447035,26103239915850
400.19,403.69,398.85,403.27,2135945,61650499110,26342995266550
401.61,404.34,400.79,401.02,2702718,75961807522,26195935141900
402.56,404.82,401.91,404.17,2100402,54849785050,26401744576100
403.82,413.49,401.52,412.64,3882701,107651904685,26955461394400
411.59,412.84,406.9,410.56,3511646,97085068735,26819400215050
409.77,413.12,406.98,409.61,2892148,82884082765,26757098461200
413.55,414.7,410.27,413.51,3233933,85409049475,27011911192850
412.14,415.34,410.6,414.27,1979505,48204054725,27061452968650
414.58,429.22,414.02,427.68,4257781,118021545105,27937928186050
429.13,429.13,422.5,423.47,3082279,88748269370,27662886001400
421.09,424.65,420.63,422.37,2543459,65567824890,27591035085550
426.22,427.98,416.37,416.37,3007810,82790533650,27198639634650
416.41,421.42,414.74,421.41,2718603,83095538200,27527893530650
423.35,423.35,415.56,417.74,2393986,64263403915,27288650917600
417.65,424.33,417.65,422.82,3053626,74246880545,27620451222400
425.28,431.38,425.28,429.03,3472040,83938144490,28026181632550
426.69,430.14,425.13,428.5,3650410,80617381285,27991544480000
428.94,431.62,425.59,429.1,3315067,95479121525,28030339260000
429.02,435.96,427.66,435.45,3199441,94634507235,28445442189250
437.55,438.21,432.75,433.76,2961516,84666970345,28334791441600
432.96,433.21,422.03,423.11,4408936,135245422180,27639208347700
423.68,432.74,423.68,431.72,3573388,95959208865,28201669780700
428.11,436.91,427.34,435.98,3781454,115492393035,28480053853800
437.04,442.44,435.58,442.17,3584365,91475575295,28884574150350
441.53,441.7,437.57,438.85,2400270,59514643460,28667380909300
437.88,441.66,436.82,440.99,4790835,71534569175,28807479835400
437.58,439.88,435.37,436.7,3443733,91218633640,28526761427000
440.26,448.34,438.65,447.96,4902432,137396965690,29262568202600
445.66,460.3,443.39,459.22,5195740,148564059695,29998294812500
457.56,458.15,452.34,454.67,3981078,133860651125,29700984612900
456.47,457.84,449.0,450.15,3335383,100752854910,29405801136350
449.34,450.21,441.0,444.16,5122772,149888299780,29013962744500
442.66,443.56,434.07,440.36,4207407,136554679715,28765836287950
438.48,445.41,437.13,442.64,2387766,62183489145,28914863378950
444.97,454.62,444.18,453.53,4271786,117152494925,29626503411550
453.13,457.48,450.72,453.82,3299649,108337591840,29644955588300
456.09,456.99,452.64,455.92,2755517,82387912640,29782223684950
453.51,455.14,451.11,454.18,2421654,68522281140,29668566376200
447.46,451.83,444.65,444.65,2976455,80712401650,29046247478600
444.75,445.14,441.11,443.11,2375497,84660881025,28945553137900
442.11,442.11,424.74,427.42,6235088,192155612025,27920418375300
426.01,428.72,421.63,428.37,4440897,131473935865,27982910248800
428.52,432.99,427.91,432.31,3577276,95889374570,28240327187400
431.31,431.63,428.46,430.45,1544043,44908081660,28118447560130
429.18,433.09,428.84,432.29,1906505,58478992455,28239208887720
433.56,437.21,432.69,434.17,1826992,57198813805,28362062789725
433.73,436.73,432.04,432.57,2596313,76865105105,28257414062780
432.77,435.28,430.84,435.28,2742805,95482328775,28434520406045
433.87,441.63,429.52,441.63,3201901,89273909520,28849180424390
439.14,441.24,435.35,438.85,2495647,80549062515,28667215337225
438.84,444.04,438.26,443.56,4735444,160404918195,28975480057900
445.15,453.22,442.8,450.38,4393805,157041510130,29420858096300
452.74,452.74,438.42,438.42,2896170,78458083170,28639640533885
441.07,444.17,438.48,441.05,3135340,96854195615,28811292361120
441.98,442.92,432.89,433.82,3140919,98718837804,28339111905870
432.77,432.77,426.74,430.39,3420578,106470922470,28114669334290
434.28,436.91,429.76,431.49,3851835,115913237880,28186728480945
431.95,431.95,426.52,431.49,3389227,97305924014,28186704419060
430.56,432.08,426.84,427.38,2474010,68962331800,27918501639585
429.39,432.96,428.73,431.88,2955496,91318277435,28212265242255
431.41,436.28,429.96,435.48,2652872,83770859980,28447674157320
438.69,442.19,438.16,440.04,3017110,103694422800,28744975301260
442.55,443.59,437.77,438.64,2201204,74833317245,28653533422110
439.82,442.41,437.47,439.74,4439903,157600294896,28725938011705
438.91,440.17,433.08,434.37,2904094,91844190325,28374739617850
436.29,439.28,434.58,436.5,1876536,55598274745,28514060751095
435.56,436.5,432.85,432.86,2328163,71232224865,28276223847455
434.05,435.27,431.81,433.93,1619069,54389812785,28345943418005
433.39,434.57,428.65,433.52,3295713,101283453705,28319354753305
432.04,432.2,427.98,430.08,2790524,77483227838,28094554223630
424.4,427.18,422.4,423.77,3018693,86216945465,27682655145160
421.43,425.29,418.37,423.02,4449188,129084794165,27633291603935
422.26,422.26,413.53,413.88,3708526,105894226170,27036132614020
417.26,418.17,406.02,406.02,3707039,112288704430,26523124532360
402.28,418.34,400.62,414.3,4950524,165322882487,27063944881225
417.65,419.6,411.83,414.98,2860467,82175095213,27108011818815
