시가,고가,저가,종가,거래량,거래대금,상장시가총액
73.99,74.03,70.87,71.0,21963257,113784689880,14512366684165
71.22,71.45,68.72,71.11,12676884,88489118105,14530686156925
70.42,73.73,70.39,73.49,20506834,148563807585,15017967382945
73.32,74.77,72.86,74.55,39586635,180309665815,15234566215820
73.66,78.15,73.44,77.64,29201487,273812924265,15859607115915
78.07,78.32,77.46,77.99,13767147,97941616960,15929745596155
78.09,79.86,78.07,79.6,21520581,180211456290,16254607271420
79.86,79.95,78.11,78.33,11272321,122255294490,15998170912510
79.01,79.43,77.99,78.38,14980864,138811950665,16008073668135
78.8,79.65,78.65,78.83,10084158,113527120175,16099007770660
79.3,79.33,78.01,78.18,7791274,86923031485,15966191289805
78.21,79.35,77.59,77.68,8484859,83836217865,15865342659960
77.66,77.66,76.17,76.82,8348185,83665401870,15692202247760
76.37,77.24,76.23,76.9,5049380,60800792740,15708698945840
76.88,79.93,76.88,79.9,8249311,117414837185,16315003767625
80.36,80.59,78.74,79.0,25436287,114912013791,16132664683725
79.09,79.73,78.71,79.63,10851257,69136243434,16262340079545
79.9,81.29,79.49,80.49,10607595,100488186925,16437074221460
80.49,80.79,79.72,79.76,11310891,77604062450,16286086558855
79.59,80.89,79.15,80.05,19240964,165506628239,16178362804635
80.38,80.59,79.46,79.57,22759477,194069594247,16083369773290
80.46,81.0,79.07,79.39,19057650,137603753433,16046744503645
79.55,79.99,79.22,79.22,9068504,90866262425,16014912211135
78.93,78.93,77.43,77.69,10750979,132866987974,15710220400755
77.63,77.96,76.51,76.68,8142515,100362231580,15508895732065
77.05,77.76,76.8,77.65,6913423,66096372054,15703013773315
77.25,77.67,76.88,76.91,7250913,71617118049,15551618334085
76.84,77.56,76.07,77.56,8084582,71257814233,15681123083370
77.59,77.78,76.6,77.49,5671699,74098157996,15665404903220
77.87,78.29,77.37,77.59,5115653,55407227094,15685503554190
77.61,77.86,75.71,75.9,7839724,80192674474,15344305585560
76.36,77.08,76.34,76.83,11494681,60668613031,15530546605825
76.11,78.58,76.03,77.54,7492875,85351041265,15671834374175
77.67,78.06,76.9,77.86,4863646,47306825813,15734320334445
77.92,81.08,77.63,80.61,92158872,291221997526,16287113716855
79.55,79.97,78.76,78.79,25158284,102694711247,15922496587285
79.14,79.92,78.28,79.59,12013272,83912786743,16082614201180
79.31,79.81,77.83,77.9,10115684,68730801483,15741619275795
77.33,77.33,76.16,76.42,9193129,57711716003,15442980366215
76.69,76.86,75.27,75.37,17375795,92054989428,15235001610400
75.27,76.67,75.27,76.16,7455133,64419093953,15387650733850
76.56,76.7,75.44,76.02,5708028,49548686596,15360654649315
76.36,76.46,75.25,75.81,6561752,57041505834,15317133100245
75.96,76.67,75.63,76.23,7350178,58754373885,15401394908800
75.75,75.81,74.59,75.61,7232491,78877466782,15275683756400
76.44,77.93,76.44,76.92,13588232,130977000995,15539218201250
76.57,77.92,76.09,76.16,8009884,78418207784,15387449206230
76.12,76.12,73.81,75.33,7249786,73975131069,15215159114015
74.93,74.93,73.05,73.26,7250729,72039730390,14798100565215
74.39,76.23,74.17,75.61,5764203,80862223991,15267705157410
74.95,75.26,74.28,74.49,5858936,64457658967,15042984650470
75.32,75.51,74.61,74.78,6161295,72205717116,15102010736610
74.87,76.29,74.6,74.91,5323416,58887835780,15127064421780
75.31,75.32,74.14,74.2,5554096,51892600353,14985352716535
74.78,74.86,73.78,73.86,5231177,56530896743,14917757462030
73.46,73.46,72.34,72.59,6960931,67696651937,14661651297835
72.36,72.93,72.32,72.57,5395782,45556965071,14655806232610
72.91,73.01,71.45,71.87,6880435,53056135239,14513021600320
71.94,72.5,71.82,72.46,5305220,45850299775,14631852503720
72.47,73.21,72.17,72.81,5160820,53297656105,14702592101070
72.86,74.28,71.97,73.92,8487679,91468540819,14923612934500
74.12,75.11,73.63,73.95,9352093,81645146114,14929503101820
74.59,76.04,74.54,75.61,11513956,111431333244,15266898155105
75.84,76.28,75.08,75.74,7536062,69475384344,15292899807890
75.71,76.02,74.84,74.97,7122485,77195755669,15145247066430
75.05,75.94,74.5,74.75,11007143,138971204004,15100976632385
74.88,75.42,74.48,75.35,6399442,67759690753,15218823269305
75.15,75.15,74.21,74.34,7907951,56421518602,15013298909365
74.42,75.39,74.32,75.27,6400344,59618844213,15199537708940
75.18,77.12,75.13,76.58,8783790,88770217217,15463805659265
76.31,76.6,75.73,76.22,6810308,82828220398,15391880577655
76.74,78.27,76.43,77.66,10969397,107988996126,15681801862625
77.68,78.53,77.22,78.43,6940865,87179318854,15835665475315
78.29,78.29,76.79,77.41,7958489,81645698507,15631835049685
77.53,79.03,77.53,78.03,11098559,81142190624,15755274106645
78.17,78.83,77.31,77.46,8096238,75645432156,15640305421025
77.37,79.56,76.82,79.17,11941375,107228689343,15982266191565
79.65,80.14,77.33,77.59,15059945,106094736086,15665478175525
77.75,78.34,77.04,77.29,15002531,96956364786,15606088375785
77.17,77.96,76.08,77.09,7420723,69124213890,15565817744135
77.22,77.37,75.92,77.08,6616859,58725988088,15562091432815
77.14,78.61,76.96,77.74,8164445,85864688217,15695407402620
77.48,77.48,76.18,77.14,12180903,116039273192,15577690515415
76.51,77.15,76.09,76.38,5450336,70176955498,15426425603735
76.23,77.35,76.11,77.04,6699860,75642463002,15559970043560
77.03,79.54,76.92,78.98,9681340,105403099099,15947365483790
78.59,78.95,77.88,78.53,5209197,53383233538,15855364924150
78.22,78.52,77.47,77.76,7537173,65046527441,15702116251750
77.92,79.37,77.92,78.57,8151826,81772101846,15866033787590
78.48,78.48,76.9,77.25,13879551,88778789466,15601282558325
76.78,77.61,76.42,77.11,7445188,52636019828,15571337281455
77.0,77.45,76.28,76.46,12051147,63180327159,15440857144820
76.21,76.39,75.62,75.87,16269658,78764229727,15322154474430
76.23,76.56,76.02,76.43,19681711,86203200883,15434425203255
77.0,78.03,76.78,77.63,49389896,120797577873,15675455508180
77.94,80.38,77.94,79.53,91208970,217975192314,16059332223465
79.73,80.55,79.65,79.77,151116161,335292003440,16107266384640
79.56,81.96,79.26,80.66,286007723,783050638535,16298534593330
80.76,81.02,79.45,79.6,78117593,288538023344,16103643914330
79.4,79.43,78.01,78.09,40651516,171041205498,15787734006835
78.73,78.84,77.82,78.28,55445035,150987116935,15833118775870
78.32,78.63,77.4,77.45,81534369,229811252302,15666528418065
77.74,77.88,76.78,77.09,27727413,99859211380,15590368915765
77.4,77.67,76.91,77.66,45053765,130024305919,15708769676450
78.19,79.47,78.19,79.08,46322636,143541826696,15988719285745
79.36,79.6,78.95,79.15,39146083,124215138873,15999751604675
78.85,79.52,78.49,79.42,18941370,91656365028,16049586992640
79.8,79.93,79.11,79.69,39205861,159977588811,16101917584325
79.83,80.02,78.91,79.28,74368464,231719666390,16022408810035
80.0,80.41,79.24,79.77,65942815,237064398035,16125089198645
79.95,79.95,78.3,78.54,29104132,136289087524,15875826677795
78.66,78.84,77.02,77.57,29072425,120889729599,15683117301755
77.77,78.79,77.77,78.75,83483022,282995987264,15917004347075
79.25,81.93,79.25,81.61,160355707,645758168762,16491067229430
81.77,82.61,80.61,80.64,127132867,532482427507,16296351214355
80.77,81.53,79.81,80.36,98678355,446893010224,16237763327575
80.8,81.03,79.58,80.34,35165429,196092332275,16235395787625
80.47,80.47,77.99,78.0,55592508,264906895709,15766545797210
78.6,82.36,78.6,79.42,73114200,625832440844,16055822977185
79.29,79.95,78.51,78.8,55233348,298898597447,15926690080290
79.14,79.23,77.75,77.78,43562524,208155527931,15718814760755
77.72,77.75,75.7,75.76,35115918,223726382805,15311330185900
76.0,76.34,74.96,76.18,25171461,137007288764,15394546218775
76.69,78.06,76.44,77.49,56570342,251877015973,15659743414415
77.33,77.39,76.52,76.75,61641561,274707297857,15505056984330
76.68,76.97,75.09,75.09,30496584,190285513521,15172785953335
74.84,74.84,71.35,71.53,39149707,318070296781,14457842842470
71.35,71.35,70.09,70.58,142548334,658363459777,14270417953785
70.77,73.71,70.68,73.43,207490304,1037578076824,14836459190245
73.77,74.58,73.55,74.58,107158146,565629791938,15065172444045
74.44,75.58,74.21,74.47,114048794,616756351028,15041710946530
75.17,75.33,74.52,74.91,51875612,311748621700,15129258923310
75.18,75.38,74.05,74.94,56442652,323204527122,15135441852245
75.91,78.1,75.91,77.64,93702030,595721991990,15677648743120
77.3,77.3,74.38,74.64,50500142,294524858497,15076001136495
74.78,75.1,74.01,74.23,72518165,341181780759,14992001281080
74.03,74.51,73.52,74.02,27863829,158261204423,14951959923590
74.17,74.58,73.38,74.19,29732850,177845015361,14984554085655
74.21,74.34,73.05,73.32,28436943,176152646149,14837104301125
73.39,73.54,72.29,73.05,50884859,276383385518,14782126559290
72.66,72.7,69.41,70.04,66511390,333326489420,14171398034900
70.15,71.53,69.86,71.2,38803593,204785055049,14407692961450
70.74,72.09,70.44,71.64,33185664,160845768805,14497341086745
72.14,73.25,71.73,73.16,30822513,177003835357,14805107151255
72.9,73.58,72.47,73.49,24756594,146713344721,14868731305720
73.09,73.84,72.37,72.64,17744929,109957984991,14696872008160
72.65,72.65,71.44,72.2,29131490,140162179018,14608870157325
72.0,72.47,71.38,72.36,18873836,96739019971,14641468406675
72.13,72.19,71.42,71.71,21180753,93520521594,14510958035410
72.0,72.36,70.96,71.09,15737109,89853976592,14385164367200
71.13,71.64,70.68,71.64,16908154,90332824290,14493930232660
71.42,72.35,71.42,71.82,15907759,101642818025,14529026296735
71.99,72.74,71.88,72.45,12734317,76846420887,14654572239075
72.37,72.48,71.44,71.66,15889490,83389154343,14497162491605
70.92,71.02,70.04,70.42,15080819,85801692456,14244658743950
70.36,70.5,69.48,70.08,40470241,166734906741,14176511531215
69.51,70.04,68.9,69.87,57097270,220257944640,14135106883685
69.82,70.48,68.95,69.16,17357649,90867715307,13990146924370
69.29,69.58,68.73,69.22,12163223,73253545163,14003242775265
69.15,70.21,69.02,69.48,34337298,137643483170,14055710136860
69.89,69.96,69.4,69.57,24483536,103562467750,14071978125565
69.11,69.29,68.79,69.15,19831298,92806278967,13986401705890
69.62,72.03,69.19,71.74,18657625,165200027229,14511462778725
71.85,72.62,71.56,72.2,15780546,95928709403,14604586103920
72.6,72.6,71.83,71.95,10309091,60293266778,14556183304090
72.05,72.18,71.42,71.8,26137170,113846346124,14523581139350
71.99,73.65,71.99,72.13,113629477,494457536842,14592747868450
72.63,73.26,71.89,73.17,70866605,331735216464,14803745825165
73.11,73.11,72.22,72.47,25608630,133440456790,14662131080450
72.36,72.56,71.48,71.76,24707698,128250159059,14517931422805
71.32,71.63,70.79,71.08,15828039,87112537805,14380545447760
71.1,71.64,70.88,71.59,17410441,87832154092,14482309798465
72.01,72.9,72.01,72.66,45679635,197992819611,14694490628295
72.74,72.79,71.12,71.13,14665151,79797487139,14387659077050
70.99,71.71,70.83,71.64,16888491,83631793817,14491403550355
71.82,72.64,71.7,72.63,25244746,139118003356,14690258997440
72.54,73.77,72.54,73.59,18399045,126012730865,14886686024150
73.66,73.96,73.31,73.44,36719204,131404097651,14857447254030
73.89,73.99,73.1,73.91,19174459,107620949947,14953842530720
73.67,73.93,73.08,73.39,28897570,108969552869,14845360404720
73.09,73.47,72.14,72.14,14133916,75500385173,14591132558050
72.03,72.07,70.96,71.3,27824940,115151324473,14422129892375
70.93,71.31,70.48,70.92,20032307,84188946885,14344482924275
70.63,70.94,69.09,69.4,11673536,70900280483,14037179641360
68.87,70.51,68.87,70.4,18510759,69182756207,14241454496070
70.02,70.02,68.83,68.95,14302537,79967095663,13948145952185
69.16,69.49,68.43,68.59,9939589,57595438431,13875125963585
68.71,69.05,68.53,69.03,14301836,58953425918,13965357752225
69.16,69.52,67.68,67.94,14040256,88344462855,13744476899655
68.33,68.82,68.0,68.45,7867027,56366437627,13848176252925
68.72,70.05,68.71,69.84,9319870,68540264717,14127272144910
69.64,69.79,68.54,68.87,8584553,58385870530,13932504961410
68.41,69.11,67.95,69.05,9649008,61735602614,13967663898520
69.25,69.76,69.24,69.39,6253463,41668401782,14036983108770
