시가,고가,저가,종가,거래량,거래대금,상장시가총액
6035.84,6036.13,5968.29,5981.42,34292168,509338456929,72486516444581
5948.19,5948.19,5813.58,5813.58,17830372,453564238039,70453428778049
5769.87,5838.35,5732.23,5792.85,27634669,392605670277,70201668127756
5794.54,5923.83,5761.52,5879.0,16151490,389009352558,71246565364994
5880.84,5881.73,5788.8,5791.22,12483655,275824150134,70183310059125
5841.7,5845.33,5723.96,5725.16,31525509,329704174839,69384555955962
5695.17,5710.24,5639.29,5639.31,22096933,453856637990,68342191758473
5661.18,5714.59,5623.07,5632.73,14693187,334982078168,68260905311491
5615.09,5636.98,5545.63,5588.75,12683054,302696304871,67727777805061
5551.14,5577.04,5512.14,5531.06,11150873,255406053148,67029008571536
5511.4,5549.49,5449.34,5487.74,10572508,283206886717,66504003434003
5477.56,5481.22,5295.83,5298.32,21114679,437763423166,64208142291051
5309.46,5414.1,5271.35,5309.5,30441105,385341220317,64343540307727
5368.21,5384.93,5225.81,5274.2,35163524,452959777938,63915652366932
5290.03,5295.35,5153.39,5153.39,16273350,490743969196,62451901382915
5183.24,5247.73,5139.48,5200.36,19680793,406936513510,63021189298019
5196.5,5227.43,5143.21,5165.93,13642418,301640254195,62604191875232
5121.71,5202.14,5059.39,5172.33,23287321,441014935451,62681487328039
5128.87,5317.94,5115.89,5269.24,21379638,391024091380,63855702167856
5313.57,5455.77,5243.74,5393.9,41374127,521055724928,65366542704075
5464.46,5610.75,5432.5,5432.5,51215027,690599463672,65833699679573
5406.86,5486.05,5398.09,5407.1,14491978,301264700733,65526026753906
5369.35,5547.49,5326.05,5522.84,26722499,514023562347,66928885627806
5552.34,5653.05,5546.34,5639.34,38217530,590876808023,68340841464587
5625.78,5650.14,5511.45,5610.01,24450992,408311677525,67984686416884
5565.75,5592.76,5470.18,5507.82,13538254,348191902730,66746646964908
5598.54,5705.87,5596.52,5662.97,21512125,550240230830,68626485752225
5708.15,5761.96,5676.79,5677.86,26096821,652149729757,68807277728132
