날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,542.63,542.63,537.71,541.95,25977528,511691329467,314506539440802
2018-01-03,538.37,542.78,538.37,540.7,31798089,621663758984,313781753766024
2018-01-04,542.97,542.97,535.65,535.92,36032078,731970524360,311115312167827
2018-01-05,537.71,542.73,536.16,542.34,43038619,768794898055,314817500539830
2018-01-08,544.61,549.08,543.51,549.08,42335504,788515194007,318718125128176
2018-01-09,550.58,554.72,549.94,553.44,37485555,820227685102,321236166473114
2018-01-10,554.56,559.31,554.14,556.58,70960772,852251671303,323050255137829
2018-01-11,559.07,559.5,554.9,557.79,43218339,857797944870,323753226876195
2018-01-12,561.98,565.82,561.88,563.1,68304485,1045108483366,326838707781535
2018-01-15,565.71,567.85,564.34,565.73,69022208,865676052333,328360759911403
2018-01-16,565.64,566.17,561.26,563.07,45131438,802064277614,326829564205582
2018-01-17,561.77,563.59,560.46,563.22,37591136,673829950836,326910378684865
2018-01-18,564.96,567.52,560.38,562.45,58976999,879999434171,326488268110409
2018-01-19,562.75,569.09,561.94,568.65,37672918,696870090089,330067666492135
2018-01-22,570.33,571.69,561.18,564.75,39397926,792723237783,327834870860722
2018-01-23,566.69,577.63,564.61,577.63,63378795,988731325773,335257230110517
2018-01-24,576.55,577.16,571.84,572.65,58182106,841804391489,332394728050415
2018-01-25,572.24,578.72,572.01,574.24,68113380,882333349250,333312941761600
2018-01-26,573.23,576.49,570.53,576.48,53006817,822705705007,334593753674747
2018-01-29,579.09,585.7,578.61,582.57,83668303,1158690960915,338118408950619
2018-01-30,581.37,585.5,576.84,577.95,58747439,1169546616737,335449412763471
2018-01-31,573.92,577.88,563.47,577.19,61703871,1219653151976,335000648952432
2018-02-01,577.27,578.78,574.22,576.47,43707218,838297431908,334619157893988
2018-02-02,576.97,577.94,569.17,571.72,55204487,846778029864,331866649279197
2018-02-05,567.4,571.56,564.3,567.76,49030005,932868196754,329552488696418
2018-02-06,557.46,560.17,545.44,553.25,75507641,1208299288985,321161571977612
2018-02-07,558.98,559.17,542.21,542.21,56313237,979986221802,314794325649187
2018-02-08,540.96,548.93,539.62,542.12,43537174,923100704141,314749743778760
2018-02-09,530.63,534.31,527.85,530.35,45776818,894931965463,307931797710362
2018-02-12,533.58,539.67,530.34,537.5,36237750,687063719314,312041657628714
2018-02-13,539.03,540.9,534.45,535.28,40907955,858281303355,310766480997859
2018-02-14,537.95,538.93,532.69,536.24,34672984,656561797709,311313112803180
2018-02-19,543.86,546.53,542.54,546.04,33941159,639888646487,316962973403721
2018-02-20,544.07,544.78,538.83,539.97,30826565,464979933303,313478120134665
2018-02-21,539.62,543.05,535.33,542.48,67684671,770226436297,314932714704588
2018-02-22,538.67,541.21,536.68,539.4,39008697,627593054024,313155118482809
2018-02-23,541.96,549.16,540.74,549.16,35068743,685351565291,318777126688521
2018-02-26,551.03,551.59,547.04,549.55,33980053,779891615478,319022396989946
2018-02-27,550.56,553.03,545.11,545.16,41171131,715502110532,316510328598568
2018-02-28,543.27,544.54,539.3,540.16,46228749,963783200347,313624493678651
2018-03-02,536.23,536.23,529.86,533.18,49142101,781600117076,309600674034466
2018-03-05,533.9,535.66,527.72,528.13,33569622,546934451258,306676657109241
2018-03-06,532.65,534.81,529.01,530.02,39013858,684850385651,307776868058375
2018-03-07,528.49,528.84,522.05,524.39,37790678,747998000089,304523747383143
2018-03-08,526.49,528.78,522.47,528.78,49731021,899160878766,307046145169002
2018-03-09,530.07,538.44,527.62,535.47,47387847,833407034932,310929261233374
2018-03-12,539.7,546.55,537.21,545.89,40194617,774038207750,316963843798914
2018-03-13,539.25,540.27,535.38,537.63,41100364,823147765812,312190630072030
2018-03-14,533.45,536.7,532.65,534.11,33068176,613752061656,315450689744740
2018-03-15,533.32,534.73,528.9,533.84,32546345,645088364459,315291186281922
2018-03-16,534.82,538.18,534.78,537.77,34549418,748804683221,317589585275988
2018-03-19,537.38,537.8,534.03,535.49,33803096,503086032293,316211960240607
2018-03-20,532.11,535.39,531.28,535.23,24925380,474800365994,316061433922971
2018-03-21,533.59,537.17,533.38,535.43,33099789,606124795437,316383177985890
2018-03-22,538.9,543.02,537.43,538.95,43727772,788259038748,318446591191017
2018-03-23,528.65,528.65,520.65,521.97,49963880,806748146820,308600210672176
2018-03-26,522.31,523.49,517.02,522.99,30229319,555436759961,309200415794476
2018-03-27,527.17,530.5,525.66,526.2,28264270,570118750816,312763997940092
2018-03-28,522.14,522.55,515.83,518.99,31763719,593255879285,308508646024774
2018-03-29,519.28,523.97,517.67,523.93,25059959,894885621356,311399292370605
2018-03-30,527.69,527.78,525.17,525.55,25689331,522557184663,312388954243228
2018-04-02,527.15,533.13,524.35,525.17,34546692,683997519233,312172799090596
2018-04-03,521.24,521.24,515.78,518.43,42669950,869238315795,308212455442368
2018-04-04,519.17,519.17,510.49,512.1,36798388,746555703183,304455459775458
2018-04-05,516.35,517.3,511.66,513.94,29855585,610233688448,305517632737451
2018-04-06,512.59,514.88,511.09,514.53,47927603,1326987114192,305872462592459
2018-04-09,511.11,511.57,507.98,511.41,34961369,809630317023,304010426664324
2018-04-10,509.6,516.63,506.69,515.69,39630042,859393229857,306527842255808
2018-04-11,513.81,515.53,512.18,513.65,49740496,970772078423,305320955032394
2018-04-12,514.53,517.63,513.78,513.89,37489549,827720503168,305509358603112
2018-04-13,515.35,518.19,514.75,517.52,38539321,776965562352,310672022145771
2018-04-16,519.68,520.03,515.25,517.41,26683445,506807005856,310602129141790
2018-04-17,518.8,519.51,514.46,514.82,29565288,599739825078,309072400133519
2018-04-18,515.39,520.4,515.39,518.8,44306177,809449593287,311462675171505
2018-04-19,518.16,519.08,516.53,518.27,37227389,747150092638,311142610686957
2018-04-20,519.7,520.69,516.66,518.58,33377076,657797685099,311334785663883
2018-04-23,519.18,523.58,517.11,523.58,39899679,817998452236,314289050254840
2018-04-24,524.65,530.31,524.14,528.93,48431924,893467092820,317487488392947
2018-04-25,526.75,527.36,522.43,524.32,36868350,743561251539,314742577107282
2018-04-26,525.06,528.78,523.96,526.37,34400272,732469470715,315973853031428
2018-04-27,527.69,531.38,524.72,525.22,43089126,756947801459,315298068017007
2018-04-30,528.33,530.21,527.53,529.81,35796854,624890711110,318391513498598
2018-05-02,531.61,531.75,527.7,530.2,45140871,854282532566,317862772768392
2018-05-03,530.12,530.12,525.85,525.97,43809122,695316046163,315350699689178
