시가,고가,저가,종가,거래량,거래대금,상장시가총액
435.43,435.66,422.05,424.16,33364464,553056180212,256083870853401
424.76,425.91,421.54,422.31,32831682,556435416695,254962156021837
421.8,424.3,420.17,423.66,29419624,538651730354,255765326560977
428.01,431.57,425.53,426.2,49214471,669240831466,257303063900882
428.5,428.5,424.3,425.23,28394944,484574207582,256709479987712
425.81,431.7,425.81,430.46,30423382,520037186913,259849831259850
430.33,431.12,427.95,428.39,30987534,565348276211,258609038027864
429.03,430.3,427.25,428.68,22140884,442834839391,258777435579497
427.9,429.6,424.01,426.0,25662631,419747829223,256586907670924
427.23,435.51,427.23,435.05,38767360,581150518839,262011773908828
435.45,438.77,435.35,438.44,36430190,550209653091,264096910093536
439.6,442.01,438.61,441.2,37497500,658066886701,265739677066757
442.06,442.42,440.28,441.79,36137225,534278480714,266103240227805
442.71,443.05,439.13,439.65,32674340,480766269789,264846166121699
439.29,440.74,437.59,439.2,26081397,486156080278,264586400465210
438.91,440.82,437.17,439.97,28980345,620425747239,265145204728883
440.2,445.08,439.94,444.57,43548571,659560854870,267915217376275
442.83,448.49,441.86,448.38,33265451,613700557027,270194380038961
448.61,448.61,445.48,446.31,27092160,533467849739,268947681862127
445.39,446.33,442.89,446.33,27327394,519213330547,268949053947348
446.25,448.69,443.19,448.69,33766583,599959392842,270355169260793
451.32,452.63,446.91,451.09,58312191,956567811191,271805889690507
451.31,455.9,451.18,452.05,31845271,757825966416,272378499481543
451.86,454.08,449.43,453.22,31057363,566315558622,273089037529026
452.27,453.49,449.81,450.41,34134657,601501710032,271402396510154
449.78,450.18,447.54,448.61,29580559,552950173288,270331716242321
450.29,450.29,447.05,449.9,27950691,611874772025,271105864960991
450.75,452.73,449.73,452.28,36515933,651131673288,272654837414155
450.73,457.63,449.13,457.63,33256070,716111962255,275843718636465
455.97,455.97,451.17,452.95,26343474,529562598692,273045176794644
454.66,457.49,454.57,456.2,25861909,565054202522,275002913628846
456.18,456.77,452.76,453.97,21456080,482536294891,273672646336922
453.92,457.43,451.37,457.13,29992175,725270716774,275578183109527
456.39,457.1,454.43,456.48,26528760,583416314535,275211621198843
455.96,455.96,453.53,455.46,25457974,521690940874,274611116057876
457.23,458.12,454.36,457.0,23698814,471315024282,275547581933687
454.62,455.03,452.55,454.23,28662681,599289298199,273893531029489
453.76,456.18,451.66,456.18,26805470,557861582921,275070701629982
456.81,458.28,453.44,453.81,41019594,861770064636,273658559420242
454.54,456.38,449.09,449.67,39130528,819778083215,271177840597385
449.14,451.16,448.69,450.45,27837106,552389101277,271632243526987
449.04,451.92,447.5,450.98,23353062,497708468567,271949344589993
451.95,452.29,446.22,448.41,33944118,522364337909,270418316093635
444.85,445.93,442.0,442.34,27413923,515322024709,266771739015105
441.55,444.57,441.05,444.36,29154289,439103891796,267971430940857
445.79,447.95,445.76,447.05,24091870,404184440224,269577087679970
446.8,446.87,443.24,445.99,21289839,469924982755,269160453409681
447.82,451.47,446.99,450.14,34920492,737445155791,271648441680622
449.92,459.39,449.79,458.35,51525769,1071269875924,276585549516414
459.1,460.68,458.02,460.49,21473460,401328326719,277887459808259
461.28,461.39,457.33,459.65,20300676,373764402268,277385965852698
457.75,459.6,454.51,459.13,24221624,418161628326,277074098252806
457.54,459.27,451.8,453.33,30962733,638425429235,273604701363385
451.07,453.1,449.39,451.26,47876591,800696501491,272374132008803
448.25,448.33,443.02,443.23,29775154,495321754465,267556819938602
444.11,445.65,442.47,442.99,25632126,516880125239,267428856658819
444.05,444.92,442.27,443.39,22686963,427889065752,267676534764892
443.04,443.04,437.95,439.68,22686390,428529380669,265436880444730
442.74,442.74,439.45,442.16,30857849,690481155188,266915993044662
444.74,450.84,444.44,450.01,31399252,594262417165,271611247606568
451.81,453.14,449.84,452.86,32041507,695380289793,273302845971366
450.12,455.61,449.04,455.61,31396004,660600765134,274975641939646
455.8,457.18,454.88,455.81,25103845,521075089894,275103326289370
454.86,457.62,453.93,456.66,29586913,405677153378,275627537525529
457.85,459.13,455.78,456.78,41522764,801409481765,275700490750206
456.58,458.15,455.06,456.34,40762775,1018336434844,275576279088706
455.74,458.11,453.87,458.07,36572310,935984481138,276612580356203
458.37,459.74,455.48,457.51,35487709,941161036934,276279262443713
457.42,459.8,455.7,459.8,37954124,1017999208781,277719510935100
461.36,465.15,461.22,464.07,59432261,1385294166465,280342561655013
461.79,463.02,460.26,462.44,41509882,1127010786328,279380813971504
461.93,462.83,460.29,461.83,44893442,873996676895,279081525623481
462.93,463.32,455.7,456.79,41783357,908280372741,276012286590505
457.53,457.63,455.39,455.47,29869961,598261981584,275258740202078
455.26,456.21,452.79,454.78,34658815,722068951114,274884897710827
455.47,457.89,454.29,457.54,29520081,571666230154,276518085250567
458.48,459.07,452.9,454.35,39083239,718888407599,274588656210128
454.77,455.34,451.68,453.73,30200817,697985626675,274197444012497
452.9,453.68,448.55,449.47,29591260,562637559293,271630227879386
448.31,455.16,447.11,455.16,21008967,445942915461,275030647425392
455.54,457.03,448.13,451.03,30605030,674778390098,272555111537911
449.27,455.63,448.9,455.63,24291273,440477432400,237085418541575
454.26,454.26,450.84,451.92,31754034,364603206298,235179929365449
448.35,450.82,446.47,450.82,29672389,493942915933,234607547326188
447.15,451.84,446.45,449.92,26759056,430441106542,234155049352727
448.48,449.32,439.81,439.81,41303589,768529154799,228925201864433
443.66,444.88,438.98,441.27,32568112,649840880786,229665694019131
437.42,438.55,434.02,436.05,25362068,480719300470,226956208844646
434.48,436.7,431.76,434.9,33516643,526770241519,226371604192362
434.31,438.34,433.19,437.55,34129527,545654196669,227740694553045
436.13,437.21,433.74,434.89,25469429,490443098931,226364683699657
436.01,437.95,432.99,433.03,25111675,469732109880,225414447151989
