날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,925.4,933.73,919.53,926.84,14910399,126092221890,21460172255762
2018-01-03,924.81,943.7,924.52,938.74,17517007,158709204754,21728808739042
2018-01-04,941.39,942.81,934.0,938.93,20461869,162511485128,21735689810118
2018-01-05,944.22,951.24,940.74,949.1,27177021,208886845946,21972709275333
2018-01-08,950.7,951.64,940.24,941.56,30468815,233476434057,21792089228462
2018-01-09,942.32,959.83,941.58,952.98,44214157,416971732850,22108905391905
2018-01-10,956.89,965.36,954.01,959.09,31268756,292269712354,22250508026459
2018-01-11,959.09,965.39,955.21,958.26,19612960,153648240633,22231286178680
2018-01-12,959.81,967.48,943.48,949.79,19246110,157203919323,22034735799855
2018-01-15,955.53,955.53,937.23,940.88,16864311,153133329995,21828071863481
2018-01-16,946.89,955.94,942.92,954.09,15024599,149130914783,22134376996718
2018-01-17,950.31,950.93,932.73,943.61,20473316,201099282780,21891312379080
2018-01-18,948.59,952.25,942.15,947.61,17812734,168286915429,21984229357115
2018-01-19,949.15,960.54,944.99,957.09,25935317,152503387053,22203925208776
2018-01-22,956.66,958.2,941.91,948.76,17946901,181598180791,22010950181712
2018-01-23,952.74,961.87,949.02,961.2,34086073,203447474625,22299406006023
2018-01-24,968.06,980.17,966.9,980.17,26180932,212904525704,22739452847465
2018-01-25,978.45,1004.45,977.13,1002.65,27548105,269805596582,23260891506910
2018-01-26,1006.62,1007.92,992.38,1006.77,25225683,214355668465,23356356726650
2018-01-29,1008.21,1017.87,1003.42,1012.64,28685380,253967795665,23492712080755
2018-01-30,1013.42,1017.05,999.39,1003.34,27954978,246479252880,23276713383475
2018-01-31,994.49,1002.84,989.11,999.13,17542207,161723336050,23179275538555
2018-02-01,1004.42,1007.63,993.86,1005.38,32648144,239431791200,23325529973395
2018-02-02,1004.7,1008.76,992.56,1003.84,19638458,175779561810,23289657358175
2018-02-05,988.08,991.56,977.61,978.35,18200565,160604185415,22698780761540
2018-02-06,946.41,969.53,934.06,967.25,22808128,194274362553,22441373356450
2018-02-07,981.91,984.23,943.16,943.16,18239651,178533288210,21882298819145
2018-02-08,949.75,962.62,947.35,956.87,17887692,196090952359,22200359316050
2018-02-09,928.79,955.82,928.79,945.72,21693991,209668247493,21941708765045
2018-02-12,949.57,949.78,919.98,920.43,17397379,167501705540,21355090587265
2018-02-13,927.64,927.64,894.24,897.77,16613872,178937122177,20829313260665
2018-02-14,904.29,911.53,899.65,911.53,13017300,129037701059,21148683762045
2018-02-19,922.53,936.95,921.12,935.6,72444287,275235950128,21707041170575
2018-02-20,936.13,937.07,922.76,926.35,60630642,207019794160,21492512346430
2018-02-21,928.15,933.49,922.5,929.45,31746357,152296506190,21565577950320
2018-02-22,921.78,924.8,916.19,921.62,21844155,157833552415,21384042272220
2018-02-23,924.55,935.31,920.53,934.61,20648229,148749088935,21685546811070
2018-02-26,935.08,940.3,931.49,938.72,15436229,117866020145,21780977856225
2018-02-27,940.51,948.23,937.96,940.21,39510978,162818173490,21815487518185
2018-02-28,935.2,935.34,915.88,918.11,19126128,131833451610,21302542917770
2018-03-02,907.91,917.02,899.75,904.25,23533606,154058787660,20981073124860
2018-03-05,904.96,905.93,890.85,892.71,29375088,144227089650,20713242029970
2018-03-06,901.24,908.03,894.24,904.94,27528047,156016701490,20997042031965
2018-03-07,908.32,908.71,882.32,883.23,22788886,249634179985,20493163157145
2018-03-08,890.49,900.15,883.9,900.15,15894598,157835102480,20885920155565
2018-03-09,905.3,929.86,900.8,920.16,22492778,362007496756,21350003211990
2018-03-12,927.49,931.01,921.13,925.37,25790013,248356408300,21471013881595
2018-03-13,923.03,927.04,916.37,923.3,30572997,187081121955,21427100504270
2018-03-14,917.84,928.74,915.88,926.92,36436038,252646710960,21513944656845
2018-03-15,925.93,927.1,917.05,923.12,63683188,404986665235,21425694923475
2018-03-16,926.26,933.88,924.87,930.86,36447871,257310775460,21605248220040
2018-03-19,937.93,945.38,931.67,942.59,45629123,403266937390,21877596355865
2018-03-20,937.46,941.71,928.33,932.0,28545905,203240626365,21631767663025
2018-03-21,934.18,950.74,933.61,936.34,33542918,270854102472,21732489137995
2018-03-22,943.67,951.28,934.23,935.39,27509328,218642634580,21710325171730
2018-03-23,915.77,927.31,904.54,909.77,30171851,239356346030,21145451373215
2018-03-26,911.79,935.18,903.95,933.43,27143489,200919905700,21695293953895
2018-03-27,945.92,947.43,937.48,944.83,21027390,201638187045,21960375031140
2018-03-28,934.8,946.07,931.22,938.83,22437416,284373402435,21820786463775
2018-03-29,939.5,940.78,915.91,925.07,15658007,166891171845,21501239162670
2018-03-30,930.18,931.77,923.99,930.8,25892721,187841848800,21634404150170
2018-04-02,930.88,935.19,911.02,919.28,38786025,394938523390,21366699167890
2018-04-03,910.16,925.51,908.69,920.2,27273229,285360638240,21388037366425
2018-04-04,923.28,925.81,895.4,901.14,24980765,242308699440,21068568532795
2018-04-05,909.52,914.99,905.78,909.09,21852660,262604758535,21254314451885
2018-04-06,909.28,910.2,890.31,893.85,23175814,237480948565,20898030599255
2018-04-09,893.4,896.55,875.37,881.04,17612294,206975795120,20598572563710
2018-04-10,886.64,887.66,872.25,883.84,22749742,230308893190,20664085654335
2018-04-11,887.82,905.65,879.15,905.65,16898502,209849510670,21173773499400
2018-04-12,907.3,911.29,902.18,904.38,25658605,323474818465,21152041193250
2018-04-13,907.47,911.38,901.86,907.6,41763653,274908040010,21227208170090
2018-04-16,912.74,914.34,906.68,912.7,24974751,232573648445,21346568616410
2018-04-17,916.32,927.23,913.98,926.74,27980690,407601965815,21674923157690
2018-04-18,936.31,944.43,933.31,940.98,35338324,462222286760,22007812028100
2018-04-19,943.19,961.81,940.99,959.72,63556601,722729970780,22446243013930
2018-04-20,962.11,963.01,948.52,960.09,48435453,448336349645,22476146683535
2018-04-23,976.26,976.26,948.71,954.92,90753004,625789275110,22355318143370
2018-04-24,959.21,965.3,945.67,957.92,48344987,352735542835,22425609460490
2018-04-25,946.59,950.74,926.37,930.21,70039536,437263740145,21777093564755
2018-04-26,933.66,942.18,928.12,937.55,48700058,351030585705,21948938096775
2018-04-27,943.31,949.42,934.26,939.07,44602391,422238278420,21984511769270
2018-04-30,951.23,971.92,947.48,964.35,75259056,826490942510,22576269200585
2018-05-02,975.47,983.83,962.42,973.07,88762902,752205003130,22780359294505
2018-05-03,969.54,971.64,953.29,955.91,35989310,390575381705,22378580894315
2018-05-04,962.87,977.35,960.93,975.43,48096816,458363850795,22835545863595
2018-05-08,968.51,973.7,952.6,956.24,26984478,333195548500,22386604571375
2018-05-09,958.65,964.1,936.92,961.27,25341781,470313975380,22505965421870
2018-05-10,969.25,989.75,964.67,988.63,35050285,552054909595,23148409714165
2018-05-11,986.08,1001.36,981.76,999.9,33238636,539579534770,23436786558035
2018-05-14,1010.41,1027.39,1008.74,1018.7,55269711,653743971235,23880763051860
2018-05-15,1023.39,1030.72,1012.87,1020.11,49707295,577302898340,23918226181330
2018-05-16,992.66,1009.99,984.01,989.27,40493233,644578555090,23195637677090
2018-05-17,992.89,1006.61,985.3,994.52,29416316,506997733315,23324359050590
2018-05-18,994.12,998.94,983.27,995.04,18577575,333761082905,23343959129335
2018-05-21,993.21,995.73,977.82,984.43,16192454,280836038325,23095573138460
2018-05-23,972.98,977.92,959.77,963.19,26851826,510342122148,22589622170025
2018-05-24,969.06,976.72,953.9,961.72,21437760,339368642394,22555333854250
2018-05-25,945.67,948.26,913.24,920.91,30183199,629431793406,21614818070637
2018-05-28,934.99,996.66,934.21,984.63,46352700,715943346747,23109989513445
2018-05-29,979.27,979.79,963.87,965.5,28087139,619156917975,22657255770862
2018-05-30,966.35,971.84,950.61,968.5,29680359,691872344643,22728206821408
2018-05-31,973.49,978.77,962.79,978.42,32362243,543182030604,22960302649207
2018-06-01,980.93,982.34,960.85,964.37,21563512,426586394362,22629617928737
2018-06-04,982.54,988.61,972.56,982.02,18322984,362059971364,23041362513418
2018-06-05,975.61,986.89,963.11,986.12,69176648,613519844865,23138712113270
2018-06-07,986.27,1005.34,986.07,1003.26,60629037,504323160373,23539422680930
2018-06-08,1006.34,1006.34,982.35,985.44,50061900,380341634440,23120924905900
2018-06-11,994.53,1006.5,988.35,1005.57,48725127,467402662465,23593602235920
2018-06-12,1003.23,1007.28,983.13,993.14,96472993,965370698530,23300709680290
2018-06-14,980.09,985.07,957.0,960.57,48651450,570819924819,22537583353265
2018-06-15,961.24,963.44,946.13,952.75,43500839,414257726635,22353891028345
2018-06-18,955.35,959.74,936.38,942.96,39201157,398575180210,22125258313310
2018-06-19,935.53,941.58,906.39,907.72,35820308,326694174655,21109458474235
2018-06-20,905.2,922.17,902.49,921.68,38017672,279174822600,21433339001405
2018-06-21,918.1,923.78,904.11,904.85,27534800,235016331225,21041829258375
2018-06-22,904.1,907.17,887.49,898.46,22580474,249421210760,20892905174690
2018-06-25,899.03,913.94,892.17,913.59,20114350,182412844826,21244847791820
2018-06-26,900.87,911.01,892.35,895.63,24443324,268003574076,20828371664407
2018-06-27,894.6,894.86,872.44,875.64,23625135,311062680826,20362280934875
2018-06-28,872.81,880.19,858.4,860.46,23394036,227708394287,20008680400795
2018-06-29,868.36,875.09,848.66,871.59,24809977,252602899692,20270731638079
2018-07-02,871.58,877.37,839.19,840.44,34895291,286099304874,19544194116290
2018-07-03,849.29,852.22,816.73,839.38,29526868,262699067742,19519766250617
