날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,18704.46,18717.45,18407.6,18485.33,2272390,57204973100,55745824223850
2017-01-03,18475.83,18613.99,18314.49,18463.05,2910250,84411079000,55679376456500
2017-01-04,18495.09,18939.58,18417.83,18867.12,3712840,95329255780,56895282322075
2017-01-05,18819.54,18903.98,18761.41,18881.73,3094507,78313513020,56940475852200
2017-01-06,18881.5,18915.31,18741.81,18830.98,2505860,74415149325,56784296097800
2017-01-09,18764.41,18773.14,18581.64,18669.74,2514897,64502517530,56298256838550
2017-01-10,18528.74,18606.37,18422.87,18451.28,2827741,75477466700,55810563140450
2017-01-11,18375.2,18609.43,18323.73,18549.76,3041482,97854660000,56105375134725
2017-01-12,18552.71,18687.93,18426.56,18533.76,3014203,102929843805,56055814077650
2017-01-13,18561.07,18655.49,18469.43,18579.19,2666554,71890804980,56193374146425
2017-01-16,18689.92,18929.38,18625.59,18685.57,2559239,89063585756,56520123420150
2017-01-17,18702.57,19029.71,18596.39,18969.16,2235511,78253856086,57370568447550
2017-01-18,18921.43,19270.37,18888.22,19160.71,3779858,98439301570,57944098687400
2017-01-19,19105.15,19143.45,18861.43,18881.73,2550171,78331806660,57110807223875
2017-01-20,18879.21,19043.1,18865.94,18920.05,2952014,59597183880,57215929224950
2017-01-23,18890.01,18995.86,18688.52,18690.9,2456694,63213502335,56534587745350
2017-01-24,18696.89,18761.32,18568.44,18598.46,2482293,70417054270,56260890392975
2017-01-25,18643.99,18722.94,18498.77,18513.07,1802736,62121831478,56003661059575
2017-01-26,18551.36,18611.83,18321.24,18336.17,2345946,69441188005,55477159540350
2017-01-31,18301.9,18560.83,18234.68,18441.28,2418463,73753621876,55809419401750
2017-02-01,18451.35,18496.52,18252.6,18313.56,2531820,76454670945,55433474195950
2017-02-02,18233.98,18409.62,18150.38,18162.62,3204696,82679539482,54970135512250
2017-02-03,18229.09,18515.2,18188.65,18380.79,3777988,104433513668,55620056812950
2017-02-06,18481.59,18699.25,18481.59,18519.7,2886448,77605845175,56050265837875
2017-02-07,18554.58,18756.38,18473.8,18756.38,2508906,69368150945,56762057869950
2017-02-08,18753.66,18864.64,18616.7,18841.21,3357209,91456508035,57008016287875
2017-02-09,18886.44,18893.01,18668.33,18735.98,2398560,73205995330,56700919997375
2017-02-10,18797.53,18902.71,18735.47,18822.26,2531846,68378819340,56957489269150
2017-02-13,18824.23,18914.61,18702.5,18888.92,2180545,60940729291,57158763115650
2017-02-14,18917.7,18987.17,18745.32,18943.78,2856536,81754988220,57323119847050
2017-02-15,18904.61,19019.9,18782.2,18785.38,3602901,78764303039,56850955101300
2017-02-16,18626.86,18655.29,18127.67,18232.17,4396549,198797983997,55167867542300
2017-02-17,18104.17,18244.05,18032.09,18125.63,2390340,95803533650,54837696241725
2017-02-20,18125.74,18148.92,17933.91,17994.98,1899844,62678970335,54451205014150
2017-02-21,18048.69,18297.15,18035.34,18121.19,2519802,101796840020,54825897920375
