시가,고가,저가,종가,거래량,거래대금,상장시가총액
13302.2,13435.83,13262.97,13399.3,4388086,66316555510,39760505863410
13377.03,13726.95,13351.39,13719.53,5930552,100258992415,40708401019850
13693.15,14199.74,13691.63,14012.44,12159262,180761039435,41575832934065
14081.19,14133.57,13933.59,13981.53,6636063,111683923650,41475684610890
13904.13,14227.04,13892.62,14196.11,4238716,90904647885,42104399304155
14238.4,14824.4,14238.4,14745.66,12970287,205780845265,43725498222940
14668.6,14764.23,14496.19,14592.88,8056063,119045737720,43277911332460
14636.76,14861.0,14526.14,14841.66,6970888,112183632535,44006600013190
14829.19,15000.51,14829.19,14920.14,6038936,110710809520,44233285322845
14910.84,14960.67,14509.7,14724.85,6838255,139129151300,43657858448440
14647.45,14723.97,14561.07,14620.92,4350112,93512136595,43348393245325
14728.93,14768.59,14578.85,14644.91,4250845,97235759175,43413883392165
14694.14,15026.26,14631.83,14859.08,7403533,147790981045,44042901553860
14878.31,14879.54,14467.37,14563.41,4729279,119331058405,43175953356990
14487.31,14718.31,14430.97,14691.28,4723247,97576480380,43552103774990
14666.73,14683.6,14359.94,14436.11,5445305,99624293410,42797966076850
14342.04,14392.51,13947.73,14067.72,6653490,120438175540,41708910535735
14168.77,14306.77,14054.23,14228.57,5421912,100839131100,42189715797775
14228.57,14249.24,13696.94,13775.61,5877318,108796846950,40854728161890
13866.4,13927.59,13625.43,13705.46,6468910,126431332880,40654142048195
13752.87,14521.18,13752.87,14345.6,6527580,125653702620,42536079475820
14423.96,14547.69,14342.12,14517.6,5997410,82575859625,43044742779910
14538.14,14590.47,14360.61,14580.98,3973646,91931260675,43225679815595
14730.07,14802.7,14461.55,14555.21,4427381,88671234015,43154766826685
14598.72,14745.36,14586.58,14745.36,3954378,88224436885,43715206855690
14721.57,14721.57,14535.39,14655.78,8386570,140535663500,43455963663955
14551.87,14635.51,14380.5,14512.83,5801556,110221182275,43032336883325
14421.51,14421.51,14167.59,14256.63,5082210,79297242185,42278491829765
14292.6,14292.6,13973.3,14008.83,5335114,86813091580,41552530568840
14126.56,14276.41,14035.13,14244.83,4477000,79752693650,42248655517580
14268.94,14425.48,14148.72,14295.66,5459704,103929246960,42399146144425
14182.53,14372.58,14150.21,14327.44,4358964,64813418720,42495558708180
14129.77,14203.09,14064.46,14116.68,3017215,65970201255,41873484680720
13971.6,13971.6,13647.23,13731.69,6394236,195776961020,40729643779980
13834.2,13885.08,13754.32,13815.63,4320267,133807447910,40975515765010
13676.23,13770.85,13475.59,13557.99,6496328,134679303080,40217635622105
13623.61,13674.01,13546.16,13584.07,9195493,124709619185,40290765209905
13607.24,13607.24,13432.43,13520.54,8399504,254774684720,40109504451180
13472.09,13472.09,13189.45,13244.83,7666720,159535886140,39303857422095
13330.49,13430.25,13272.8,13414.54,4774506,87696951690,39805653248600
13375.28,13387.8,13245.76,13321.16,3203401,66970097805,39530487494825
13221.36,13221.36,12828.33,12926.5,9418247,118498874559,38363278361240
12773.38,12842.79,12707.39,12791.58,4170931,89156870445,37966214415670
13043.5,13138.46,13001.23,13096.78,4982240,114642658700,38865148650095
13055.25,13190.27,13019.16,13163.82,5513168,72284568705,39063093745135
13116.08,13298.32,13106.64,13262.46,3540509,65517866530,39347312212325
13221.03,13366.14,13176.7,13215.07,4017490,76492979685,39210142258095
13297.33,13342.02,13120.02,13337.84,3698505,68800594875,39572922861650
13453.52,13582.89,13447.21,13472.0,6686544,93052796035,39965894976180
13440.7,13731.16,13427.75,13691.4,5753050,122025210000,40607064471295
13713.79,13798.27,13651.62,13693.15,3312648,55967920430,40610578993200
13744.0,14155.85,13732.53,14110.4,9203605,133442458825,41842445032440
14125.11,14416.97,14125.11,14397.41,5787383,106120862205,42686426911740
14294.66,14394.75,14218.72,14356.87,4297049,75576809640,42561194866390
14282.83,14424.75,14280.77,14372.11,4385981,72728320705,42610708249585
14321.29,14771.4,14310.12,14767.79,7125356,111067324150,43779735125320
14855.48,14923.91,14607.55,14722.59,4529932,79455947300,43642472424510
14793.71,14801.04,14532.22,14655.31,6333916,81477089585,43448648146000
14705.83,15169.81,14705.83,15102.99,7147619,152139558485,44776004010275
14969.17,15182.49,14936.42,15108.31,4697129,89053820970,44791599681220
14991.95,15181.43,14966.81,15084.76,4046331,69049479140,44722444245085
15041.62,15055.03,14709.05,14926.34,4074367,78341342370,44258450400680
14956.19,15318.4,14956.19,15266.73,10746530,138883408325,45263861016245
15252.72,15427.49,15118.62,15235.97,11088863,136907235510,45175368796650
