날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2020-01-02,1490.58,1491.69,1477.06,1481.44,3281198,37379748900,10689505644500
2020-01-03,1485.86,1489.36,1472.95,1477.11,4418398,77103412060,10658241261535
2020-01-06,1465.25,1469.52,1448.49,1454.93,4522419,91899048175,10498031469230
2020-01-07,1464.1,1467.42,1452.23,1457.29,3470525,117124048330,10514791166020
2020-01-08,1441.65,1441.65,1393.09,1396.74,7542089,157148463915,10078420517715
2020-01-09,1422.16,1429.14,1407.73,1412.2,5411917,82348225573,10190117468465
2020-01-10,1419.07,1453.07,1419.07,1449.34,5100032,122629866125,10457386190055
2020-01-13,1451.06,1480.66,1449.25,1465.46,4750516,87939471695,10573611190450
2020-01-14,1481.87,1493.07,1460.26,1464.59,3982299,80972001210,10567682480825
2020-01-15,1466.94,1493.07,1461.62,1493.07,3679844,45707916860,10772100991525
2020-01-16,1490.45,1497.55,1484.33,1488.9,2768480,40385307030,10742188190270
2020-01-17,1491.24,1498.09,1477.44,1480.23,3560510,42614967580,10679124742990
2020-01-20,1498.56,1513.49,1488.66,1500.01,9798669,120609686680,10820952523675
2020-01-21,1515.82,1518.7,1496.4,1504.43,11026952,167967873915,11319308838380
2020-01-22,1501.23,1508.6,1494.91,1500.73,7054361,117117084985,11291419624175
2020-01-23,1498.97,1508.42,1493.25,1500.3,6082584,98519534625,11287963467765
2020-01-28,1464.44,1466.96,1445.75,1464.67,14256940,152708506695,11019395397140
2020-01-29,1474.37,1474.37,1456.41,1459.64,5651650,77795190790,10981776582365
2020-01-30,1473.26,1484.83,1440.59,1448.56,5528286,107693496425,10898615815275
2020-01-31,1453.79,1457.32,1405.95,1408.72,5054801,86678599830,10599391473480
2020-02-03,1380.87,1412.8,1372.11,1408.38,6138110,104557735950,10596051431070
2020-02-04,1416.23,1445.31,1416.23,1442.93,4388758,105287964295,10856116925310
2020-02-05,1457.73,1458.78,1429.16,1435.92,7255930,93289326705,10803855991390
2020-02-06,1428.91,1453.31,1427.63,1453.12,3969559,70787261960,10933262211630
2020-02-07,1457.3,1470.71,1449.77,1462.85,4793335,74681462720,11007177974000
