시가,고가,저가,종가,거래량,거래대금,상장시가총액
2075.65,2240.26,2054.2,2199.28,12433444,308720646860,16709096786495
2198.9,2285.76,2178.37,2274.04,20741644,264585443290,17243414719910
2283.48,2359.06,2240.61,2315.79,19811590,282033553135,17522962754975
2343.3,2358.86,2302.17,2327.3,21379034,201268986210,17612476719505
2327.75,2365.48,2318.2,2334.75,12121923,169573347880,17650520345120
2334.87,2381.03,2249.73,2291.04,23622301,261361252470,17328916871475
2290.54,2297.73,2230.29,2290.23,13519752,148242935780,17322257795940
2299.34,2314.31,2272.2,2279.88,9509925,106255547350,17270156585685
2279.97,2351.16,2279.97,2332.62,8355869,117494905445,17617627380455
2335.28,2355.87,2282.47,2299.44,19972781,137755131195,17378243571525
2272.7,2290.9,2221.64,2239.68,21810808,157806127005,16961460123125
2243.51,2342.4,2243.51,2335.96,18727083,196095118670,17703330890695
2351.17,2382.68,2312.32,2382.16,12196130,137579909655,18020282818385
2402.8,2413.99,2362.49,2380.76,19074402,153405050635,18016476127190
2385.3,2551.28,2361.3,2487.17,14935168,323147472500,18794320305200
2485.81,2520.77,2475.44,2491.69,31381744,221436379875,18824565780235
2489.99,2492.38,2435.46,2451.68,9319179,106560444605,18509970419090
2461.67,2513.23,2439.29,2472.1,11219316,138706743445,18625548792685
2461.15,2461.15,2391.51,2436.0,8623696,112403670060,18352318995850
2436.18,2458.73,2315.82,2357.91,9825119,134872289385,17780746148400
2339.09,2390.39,2308.49,2390.39,8729305,129835789905,18055854640490
2391.43,2432.23,2372.4,2400.75,6587604,105472238285,18136021582665
2402.14,2477.22,2398.65,2477.22,16117975,187433252155,21008407108075
2483.66,2512.92,2416.94,2427.99,39502966,297691963035,20591074000575
2428.35,2465.89,2405.03,2463.18,8379114,123322470855,20889029350485
2463.64,2492.9,2442.66,2475.56,11845783,125954363175,20993806412305
2494.79,2549.78,2468.9,2485.69,7631565,161303465285,21079151010515
2488.08,2536.86,2463.62,2535.59,8478118,138648076755,21502067575900
2536.15,2607.52,2536.15,2585.69,6465871,153873133820,21926400418305
2585.49,2649.03,2563.39,2638.42,24520133,209802933935,22373271278130
2638.88,2709.87,2625.52,2705.96,31927265,298199870505,22945547304900
2703.96,2741.9,2669.41,2716.42,29713936,251681198405,23033876580150
2716.27,2848.66,2669.41,2822.23,177831230,1143290780305,23930325104360
2824.74,2930.36,2760.56,2760.65,93310571,848381471260,23408702235385
2756.99,2803.76,2684.01,2773.49,24583826,335628632795,23517468520830
2772.87,2803.26,2620.31,2636.26,137541071,1154764054990,22354422517620
2641.14,2706.09,2641.14,2706.03,98161253,702382334420,22945620499450
2649.87,2670.25,2619.7,2638.13,29389464,305782200145,22370231642015
2640.45,2706.02,2582.0,2618.41,34192335,382953388265,22203617684180
2618.33,2641.19,2592.45,2634.62,16244116,191140492565,22340585880375
2766.87,2792.22,2652.88,2660.32,21968767,454909912230,22558761979445
2660.56,2693.96,2593.44,2668.36,14716268,226891692335,22626620251035
2669.57,2682.97,2564.18,2564.29,25808638,241968275775,21744441833515
2538.41,2542.24,2426.53,2476.22,11250464,233229367575,20997833160490
2478.69,2537.33,2471.9,2495.34,9979196,147829234275,21159682308125
2505.62,2592.32,2489.08,2574.05,11321950,162588670055,21826906570225
2574.47,2648.15,2574.47,2634.38,8414117,106086899110,22338404196845
2631.11,2663.86,2602.69,2647.71,60096507,446443342310,22451875690590
2647.83,2669.72,2593.83,2611.6,12728172,164633431460,22145617661200
2611.4,2613.89,2521.98,2556.88,28100712,296602646765,21681931099245
2559.98,2609.0,2559.38,2570.82,9350461,115956334320,21799963157890
2570.2,2597.12,2517.9,2586.74,49108652,446807049850,21934820410520
2587.0,2593.74,2545.64,2561.9,11816331,143741075825,21724245526500
2562.05,2588.3,2525.11,2539.03,55618070,524972900345,21530673699680
2538.69,2608.9,2515.9,2603.58,20859096,250238277205,22077632028350
2604.96,2621.76,2584.05,2605.08,20791124,184265786820,22090863500670
2606.35,2665.47,2606.35,2654.42,33506406,298874599040,22509274484155
2651.65,2704.99,2632.76,2693.62,30983611,285910642725,22841702463025
2700.16,2771.0,2700.16,2755.13,17654963,244924900885,23362551107255
2754.28,2803.05,2734.09,2795.59,21258857,243389262100,23706343992155
2820.79,2830.74,2775.3,2777.91,13765565,154535257425,23556286665660
2803.93,2833.71,2780.37,2798.77,11229874,207085367060,23733153848180
2797.31,2871.66,2777.24,2845.96,10501525,206939252195,24132969127330
2853.21,2881.72,2812.95,2817.24,14195882,177482199195,23890326352915
2818.97,2848.14,2809.77,2843.47,9906764,154589356120,24112591088195
2843.61,2895.49,2826.66,2849.01,75974484,412469341180,24159474213885
2851.23,2868.62,2836.35,2856.33,112128916,696789802585,24221457781480
2857.76,2945.85,2852.62,2929.32,40640068,372330105970,24839413187760
2931.0,2955.1,2903.03,2913.56,84591839,522470486610,24705489958500
2924.18,2981.63,2903.86,2956.07,15941256,186634532715,25065577182280
2956.2,2990.85,2941.58,2949.2,14086562,171830285405,24891159019410
2958.49,2980.74,2949.42,2970.39,11738788,183818547250,25036687082775
2971.18,2993.35,2950.9,2960.87,40484044,433935392255,24941556079550
2961.48,2985.43,2929.17,2963.54,29448438,250901109725,24974016121630
2967.59,2970.61,2936.47,2960.71,32376476,273687669805,24966125985920
2964.12,2988.86,2953.33,2960.99,33781873,261479710115,24969905275515
2963.42,2963.42,2926.03,2949.68,11587478,143277945425,24870968701770
2949.57,2994.1,2922.67,2977.63,12730144,171083130360,25114541047215
2975.46,2976.3,2909.41,2944.93,13600951,205376564340,24846300312715
2946.26,2946.26,2879.84,2885.62,11329394,156286548255,24345759629605
2886.03,2912.51,2832.75,2854.55,17320763,188259747075,24085095947490
2856.12,2857.38,2783.02,2809.24,25242394,220664705125,23783797553585
2807.5,2808.33,2714.03,2727.4,11075682,150541355135,23093935777470
2726.47,2790.48,2704.98,2785.06,17307807,194849312730,23590619592875
2785.83,2811.04,2760.09,2807.18,18151251,237959873550,23769287927515
2807.89,2852.74,2793.61,2851.83,16632683,176916559330,24276667042895
2867.1,2902.8,2855.27,2885.23,10930529,140892059480,24565630117275
2871.25,2874.45,2815.88,2849.25,10886793,189973457975,24256216214805
2851.95,2888.18,2778.82,2822.03,31524202,284381406190,24030119725995
2815.02,2815.02,2745.98,2783.59,11544420,205439528025,23709148735365
2785.02,2822.26,2767.69,2798.25,7431145,97764867695,23874138306355
2799.7,2823.73,2736.64,2744.28,7887368,108192841465,23407237503860
2739.19,2789.89,2737.13,2785.9,11252476,152724895750,23762122138125
2786.08,2836.08,2779.76,2822.0,7907114,125971402800,24068887181360
2824.32,2865.07,2794.71,2812.21,5927543,106538222855,23982398384150
2816.76,2816.76,2760.17,2790.87,5709312,78587306950,23799797570045
2792.32,2810.22,2789.72,2801.81,12828083,101625875655,23892152302790
2801.62,2830.58,2794.18,2809.23,5897728,79764418695,23954381968685
2810.53,2822.95,2777.7,2821.24,12231739,171499088540,24057448344270
2824.16,2837.18,2803.87,2814.84,5162645,78769081590,24003151119670
2814.4,2814.69,2754.69,2776.93,11184840,133731501970,23678526330220
2777.35,2787.75,2759.7,2781.63,7060162,82182282475,23722133698730
2782.01,2802.91,2761.28,2776.76,42801296,217351013205,23679158126420
2780.57,2796.47,2755.42,2788.65,20796055,236145561700,23780902269485
2788.81,2788.81,2762.52,2772.41,12385523,123353018665,23640944464005
2774.29,2804.01,2766.24,2800.31,13397615,141076743010,23877409564925
2796.37,2835.24,2794.55,2797.16,20359010,217888318000,23851722352175
2797.61,2815.92,2783.8,2787.01,36660057,180400202340,23764487509385
2788.09,2836.23,2780.57,2827.58,78556056,268868336510,24114481468920
2824.18,2870.62,2821.48,2822.87,97777076,356852904895,24072907720870
2824.59,2861.23,2824.51,2855.37,194610990,524247523800,24355215270795
2854.97,2878.82,2828.04,2847.12,26084128,254419768075,24293521390370
2847.72,2854.6,2817.55,2849.47,16350698,142624419260,24309098933685
2845.85,2900.45,2843.31,2854.74,15896736,179660342980,24351789057315
2854.31,2897.84,2854.31,2875.38,88088611,340176591175,24526768161940
2874.68,2874.68,2807.12,2817.89,21214693,142553765930,24035334376375
2822.33,2844.21,2813.74,2815.84,51769437,186783809805,24017699811455
2820.65,2866.43,2818.81,2851.78,15664489,130588219770,24322738368500
2851.81,2866.37,2818.07,2819.45,39520124,197033254960,24048247687230
2820.82,2858.38,2820.82,2841.48,21676337,122136488430,24235575642910
2844.91,2851.31,2827.71,2845.35,186160342,573723070615,24271004164665
2855.41,2856.41,2821.65,2828.93,95533274,311488106885,24127694043505
2831.15,2843.66,2815.15,2820.75,30623417,151858490265,24057223642270
2821.07,2862.57,2814.76,2848.27,41053720,239962121540,24289896536245
2846.91,2865.33,2824.24,2833.19,67584677,386053534075,24160750361270
2842.99,2854.06,2831.66,2837.52,14986449,109217398120,24197978402690
2838.56,2867.61,2838.56,2863.62,39874131,252238738005,24421285637405
2867.51,2880.42,2832.06,2868.71,30219287,184922746760,24464979478425
2873.83,2960.89,2867.54,2932.57,15637624,350812336635,25007692299820
2931.33,2931.33,2836.75,2906.41,13735255,218626004950,24784494676450
2909.11,2962.46,2906.34,2952.11,11448413,194050936005,25173690763520
2953.15,3002.29,2945.53,2956.85,9498462,184298240920,25214589499435
2947.94,3014.49,2926.11,2978.15,10822725,230051173760,25394712759640
2984.05,2989.09,2947.85,2974.6,7226392,146576653005,25363797576560
2974.65,2999.18,2953.66,2977.04,12801236,152516345275,25384419561645
2963.77,2982.48,2934.26,2977.4,7086124,126214671830,25387030346990
2965.96,2969.12,2847.28,2893.26,9690751,240679695380,24670111959575
2910.18,2912.33,2852.95,2858.16,7111306,111309711240,24370132137815
2875.96,2894.23,2846.17,2861.53,9555873,127606947795,24398758240685
2881.77,2932.33,2874.92,2894.7,10483185,167211009410,24680761611540
2896.01,2901.42,2856.35,2856.35,57215048,432729981500,24357613029305
2865.76,2881.38,2836.99,2849.01,24569810,204242250725,24294547798965
2845.39,2874.17,2831.2,2862.92,12347938,129256064735,24413148394940
2873.99,2901.9,2863.5,2895.58,8263571,124344185660,24691658603660
2894.0,2913.83,2868.07,2880.31,26446290,175329706980,24561732875155
2884.73,2889.92,2846.71,2861.77,7470871,83815378420,24402237001190
2859.41,2867.41,2821.98,2833.68,7402187,85747898430,24162108561635
2838.76,2870.18,2812.61,2868.95,5393835,79294057845,24462804836705
2879.86,2917.43,2868.76,2915.42,8850683,106712420380,24858446436925
2920.86,2939.68,2900.9,2924.27,5551889,77561846625,24933432274645
2913.04,2945.25,2887.6,2916.29,10085895,141683732715,24865103577830
2922.57,2922.57,2851.99,2878.14,6347572,106481432140,24540020454355
2863.76,2883.41,2843.48,2846.05,5358018,85829729045,24266273397870
2848.45,2869.02,2844.12,2859.77,4383409,104733362845,24382899734585
2868.12,2886.91,2819.54,2865.92,8080617,139906118475,24434023751705
2870.63,2871.4,2747.18,2767.31,7454065,147922005635,23592641004965
2744.23,2826.99,2734.3,2814.33,5746357,88264577045,23994166361530
2778.25,2831.11,2763.49,2764.47,6751550,110060466690,23568221896020
2773.44,2790.11,2662.19,2674.83,7993677,143519124745,22803529093970
2691.81,2704.47,2601.51,2657.47,5479333,123136018070,22657021860680
2693.22,2737.05,2671.95,2715.4,7978437,123837719140,23151171028375
2726.99,2841.25,2712.86,2829.55,4852401,203546013500,24122978272500
2826.13,2837.22,2773.26,2804.95,3509123,109288717845,23913421914135
2790.99,2831.33,2775.52,2820.98,4315704,78775700545,24050475328790
