시가,고가,저가,종가,거래량,거래대금,상장시가총액
291.81,291.81,286.53,287.84,4163501,18339045717,6877952317802
286.75,286.75,281.33,282.37,4604739,24918600340,6747915439354
281.81,281.96,279.13,280.81,2759438,14984923810,6710644621335
281.16,281.26,275.85,276.45,2934650,17615858762,6606508016204
276.76,280.18,276.76,277.26,2443547,13916623827,6626273170638
280.29,280.29,277.35,278.38,2513213,13055728812,6652887819975
276.56,278.16,274.32,274.78,2150005,12778683216,6567147009775
275.25,277.04,273.57,274.55,2961647,13800401304,6561600831583
274.91,275.22,270.14,272.63,3369324,19272138447,6515850664416
272.37,272.37,266.6,267.22,2066186,18480066378,6386953331456
266.03,267.74,261.58,262.16,2208854,18520634290,6266657592335
261.03,261.96,254.29,255.69,2820041,22171586663,6112641139694
256.27,259.92,254.24,255.07,2148331,17177220984,6097898028610
256.68,259.47,254.72,256.09,1815587,14418753091,6122314014153
257.15,257.75,253.17,254.07,2629184,12731426455,6074051547123
255.65,258.1,254.2,254.2,5265979,17432957238,6077131743483
254.91,255.81,252.39,254.05,2336987,20324004946,6073488450236
254.37,255.73,252.68,254.24,3790215,14875338735,6078345548327
252.71,259.41,252.4,256.44,1535236,10379784793,6130630768024
258.18,258.86,254.48,256.23,2546279,16664850350,6125734440075
257.42,259.83,256.38,256.85,2593843,17939503935,6140638982730
256.95,257.88,254.05,257.53,2052626,13834299809,6156804186214
256.22,258.99,253.39,257.67,3554369,26211370237,6160731501561
258.49,265.86,257.59,264.75,4236952,28907396780,6329214012614
264.68,265.05,261.01,264.19,2425294,15983270473,6316224075993
264.88,265.43,260.86,263.46,2075217,16727012849,6298511644646
264.52,269.54,264.17,268.97,2033872,23502141232,6429297720024
267.28,267.69,260.07,260.49,2314799,30482657338,6227973652148
259.88,263.41,255.65,262.8,2329019,35858487922,6282889028336
261.32,263.19,259.71,261.72,2114887,25945549236,6257425207963
263.22,263.24,258.3,258.64,2323818,17301836631,6184076566454
260.54,260.69,257.78,259.21,1974289,12363161981,6197706300128
259.96,263.41,259.54,263.28,2123234,14580622037,6294314538792
262.51,262.51,259.42,260.13,1710950,13325127214,6219258589829
260.82,268.08,259.84,265.39,2277551,25554386866,6343972222643
266.89,269.14,264.44,264.54,1608924,16007766754,6324635492210
265.46,267.82,262.95,266.64,1729720,18744459710,6374828763591
265.78,266.33,261.86,261.97,2383409,17793045983,6263677232322
263.57,265.18,259.08,260.12,2391017,17340834121,6219544408957
261.01,262.6,259.91,261.38,1833040,13772190445,6249651847496
261.84,264.82,258.99,260.64,3322475,136152527493,6232150123303
261.99,262.91,255.29,255.78,2579210,23181705845,6116679648033
256.72,256.72,252.88,253.82,3935483,28152114586,6076881262330
253.47,254.14,250.61,252.39,2523417,19498269716,6042732083753
252.47,252.96,248.95,250.72,2287907,20295128184,6002094053355
252.46,253.48,250.29,253.0,1845944,16129593474,6056324735387
253.04,257.38,253.02,254.46,1793785,15227652868,6067646477461
256.05,257.03,251.87,254.28,1649994,11600833346,6063770085554
255.07,255.26,252.71,253.58,2005030,11939176440,6047786199941
254.6,256.29,253.72,253.96,1356263,12347008232,6058211581777
253.94,256.41,252.27,254.78,1555700,12470386345,6077640251341
254.67,255.94,252.93,255.28,2598309,12159148015,6090262461228
254.61,257.86,253.67,255.77,2689480,15828750986,6101341365815
256.72,256.89,253.95,255.15,1549522,15736330553,6088840568391
256.25,257.68,255.34,257.35,2068142,18692257457,6140905244233
256.25,263.02,255.68,262.41,1915488,21513542943,6261086088534
261.85,261.85,258.42,258.81,1821754,11199643648,6179156256383
259.76,263.63,259.57,262.84,1582166,19022894907,6273159941346
261.57,264.48,261.33,263.72,1642386,14736174044,6294473930913
263.98,267.1,262.97,262.97,1957698,17756079463,6276608640974
264.39,264.39,259.76,260.7,2073964,17036604676,6223812517622
261.92,274.68,260.5,273.04,2925017,45443306588,6516697066736
273.07,274.43,268.42,268.93,2259144,22605354410,6420733938873
268.58,269.69,264.6,267.16,2358633,22531377494,6378980123815
269.4,269.73,263.35,264.5,1431475,16689640394,6314484650054
261.85,264.93,261.1,261.3,1625385,13113760644,6238724027351
261.03,261.03,257.87,258.42,1311395,12877045387,6170856147612
259.06,259.87,254.8,254.88,1923164,17637057099,6086979135560
254.31,255.12,250.45,252.47,2228119,29458827595,6029814487548
251.71,251.71,244.51,244.54,2857813,43883452593,5841675450315
243.03,244.4,241.35,241.58,1921394,17129142849,5771491561134
239.76,241.94,238.97,240.78,2036438,13849696676,5752427821075
240.52,249.97,240.52,247.08,4366723,35905697156,5895826205354
246.3,250.76,246.16,247.93,1606095,11442005613,5914611332650
246.37,248.23,243.06,243.75,2354259,12448046854,5814233363745
246.0,251.51,245.72,250.36,1663927,17466436704,5972016196058
250.04,250.89,248.23,249.31,1244938,8796127346,5946568571211
250.95,251.26,247.57,248.52,1431924,11635477412,5927652592981
247.24,248.61,246.36,247.15,1264721,7847469970,5894538521258
247.89,247.89,245.37,246.85,1666774,7189687560,5887515639812
247.95,252.5,247.95,252.44,2213922,11157704228,6019492278304
252.61,253.3,250.29,252.48,2716866,12972709541,6020290632643
253.59,259.54,253.43,258.8,3681318,29589516963,6170205702515
