시가,고가,저가,종가,거래량,거래대금,상장시가총액
2242.21,2249.24,2224.19,2237.99,20760536,493651254341,170158907407235
2211.82,2211.82,2174.25,2174.25,23061533,693655015498,165439419872199
2157.35,2157.92,2134.27,2146.44,19898170,571931209285,163271719287380
2149.3,2156.87,2119.78,2126.93,24873077,625349386206,161776924469208
2132.43,2136.89,2101.68,2101.68,16883883,421804759313,159984605705171
2120.27,2121.82,2090.74,2093.7,16331108,437297642147,159411877967430
2098.35,2118.2,2095.44,2112.15,15812172,513071009727,160773859329405
2121.83,2130.93,2097.73,2097.73,18588933,640609430094,159752079473300
2095.78,2109.14,2079.33,2085.0,15085261,454555210251,158825369741303
2091.76,2115.79,2086.38,2112.03,12405469,351815154301,160851983397081
2102.53,2107.6,2075.12,2080.6,12079208,309681486068,158523650664505
2074.8,2077.92,2020.86,2024.54,21518061,496537005444,154336233997143
2022.24,2041.03,2016.35,2019.45,13688106,474419649564,153897592185217
2042.43,2046.84,2030.8,2044.58,17388423,443395276628,155818529635931
2050.72,2051.86,2026.29,2037.63,16271785,441829114113,155287216300267
2054.54,2060.0,2044.84,2059.93,20881583,415972164793,156960086120464
2055.97,2055.97,2028.61,2051.2,14933827,346696572090,156396598071329
2038.31,2104.87,2030.18,2104.33,28136155,748894017418,160377542641994
2111.4,2119.64,2094.74,2099.71,16175139,566787362654,160114745150421
2103.58,2151.96,2096.62,2141.41,20050110,932610668132,163488196812507
2166.01,2176.96,2105.15,2105.15,30573981,866235571024,160726780058068
2105.79,2156.93,2105.25,2156.93,21407097,984414969936,164573979775459
2147.37,2229.64,2142.79,2223.25,39128568,1579322163937,169706977474111
2278.12,2383.62,2267.6,2377.98,68157797,3371055125349,181462679544486
2415.07,2424.42,2331.7,2405.06,71730941,3043530399119,183724443983932
2379.34,2406.76,2322.06,2337.14,45467180,1923703603177,178834803915945
2366.96,2410.01,2363.72,2399.61,53868543,1957230552443,184109568901474
2386.01,2423.5,2376.99,2409.29,32282861,1603363669718,184800873604291
2438.79,2486.08,2426.69,2435.28,30274478,1650436835048,187015969366331
2399.9,2443.29,2399.08,2427.31,30693844,1265931915829,186791077454125
2458.11,2458.11,2371.61,2379.08,38674507,1316925556411,182890148112646
2390.71,2434.31,2362.32,2433.48,24951031,1232677335590,187366149625822
2438.58,2482.33,2438.58,2473.94,23967606,1287529358756,190600821729418
2454.96,2484.6,2395.41,2423.29,24361222,1309164533135,186522806446897
2430.53,2454.36,2405.7,2426.8,31906489,924258613131,186579085347235
2430.6,2478.24,2415.06,2467.08,78222999,1719941403021,189723191817192
2466.1,2488.2,2450.21,2459.65,23606780,1297696779906,189200767969977
2428.58,2435.48,2382.31,2426.53,25916191,1486672710357,186495197640274
2422.42,2460.71,2412.58,2423.28,32590569,1847222687627,186117627197842
2416.5,2522.66,2408.93,2515.74,35585631,1891389483702,193019289349389
2516.06,2576.51,2500.92,2547.38,57913307,2285553388529,195637439431521
2567.58,2592.54,2553.98,2564.21,39850231,1532957559368,197338024163027
2541.12,2565.07,2519.57,2524.97,22502782,1214980617019,194359151474683
2511.09,2581.91,2511.09,2571.36,26553269,1479772179735,197562577346216
2581.37,2596.43,2542.05,2556.41,21038580,1040994210372,196307906407558
2580.93,2588.64,2561.81,2576.5,19646159,1021196892991,197866676377655
2572.44,2596.64,2537.68,2542.01,24377047,1065444184556,194991117076826
2549.99,2554.26,2510.26,2527.14,25704833,947652585572,193943558355436
2543.47,2559.49,2514.49,2545.17,19077896,959218840954,195474538972573
2548.43,2634.45,2545.67,2621.23,88326218,2001860084855,201334167832693
2630.32,2654.86,2575.67,2575.68,52088631,1511010012723,197551702186625
2596.19,2622.12,2577.35,2609.63,37864019,1017371460559,199883841458020
2573.25,2580.28,2516.66,2517.97,46244565,1442437161274,192875788063468
2540.59,2568.06,2500.05,2522.25,35614419,1144734130526,193394788885015
2560.55,2590.17,2546.12,2579.58,28508979,1274446676300,198117149838994
2587.84,2597.17,2534.78,2545.13,31793441,1489836959686,195377250990599
2546.32,2563.4,2511.64,2515.54,24553230,910473103300,193082955993504
2528.04,2567.17,2526.91,2549.38,23705784,1073377725214,195578471242498
2550.72,2561.38,2529.76,2548.29,28237083,983869733072,195680757848664
2547.04,2547.04,2490.69,2494.91,23396006,949241795233,191627669252321
2515.33,2515.33,2463.86,2465.47,33720861,1238645718784,189312835659061
2482.27,2483.52,2440.81,2449.97,30645755,933671046312,187874844696852
2429.89,2439.58,2397.45,2429.95,44114964,1955872760619,186078569401711
2419.32,2435.55,2371.33,2373.42,29324294,1356182979306,181819973847411
2395.96,2441.11,2367.6,2431.06,29181937,1200039345600,186491816352006
2404.2,2453.85,2391.47,2403.44,32860978,1082943185192,184388008641679
2405.97,2474.32,2405.23,2433.66,20297714,949088358785,186768525231157
2457.1,2488.47,2425.64,2425.77,40468693,1290517156030,185941307114832
2379.68,2493.73,2376.18,2489.06,25000562,1298896729998,190814197948912
2476.53,2489.96,2449.85,2474.69,27169973,984849731391,189701837420263
2458.87,2520.81,2429.67,2513.54,49752367,1248760968187,192683507222387
2491.75,2512.27,2458.29,2489.45,30852961,1151143130655,190120048357897
2490.23,2492.45,2448.34,2456.83,23949367,1007171614546,187554614571875
2487.8,2515.85,2459.62,2497.36,62223316,1509263549964,190507512166487
2486.09,2522.72,2449.29,2506.33,47838260,1749077808531,191226316259868
2549.73,2570.3,2533.29,2557.58,48890781,1386773765938,195255648727000
2586.35,2619.2,2578.69,2607.95,42420358,1446003808258,199113086969079
2603.32,2642.94,2594.1,2634.87,34665992,1327599528142,201223135489964
2606.19,2641.35,2598.58,2615.52,28535379,1255769060412,199784944468672
2622.09,2654.77,2586.68,2630.62,38274383,1445747514020,200883062542305
2659.78,2659.78,2607.49,2631.25,31839563,1211741531619,201132468812296
2625.12,2640.31,2597.73,2597.86,36356082,1111182311059,198651414947874
2591.45,2611.12,2585.93,2602.12,22059257,863753427171,198838627267366
2615.83,2617.85,2535.35,2535.35,18033895,752116809302,193853535591290
2557.36,2581.64,2542.79,2572.9,21617147,793988720734,196684449168481
2571.63,2590.87,2557.97,2577.86,19320815,584972737609,197068583379666
2576.8,2577.75,2516.05,2526.38,25663395,834055985326,193149678205189
2558.67,2562.17,2532.04,2555.38,19083277,634228287532,195235090515754
2561.94,2607.64,2554.93,2589.39,29964516,759085773047,197710517215505
2591.27,2599.78,2561.37,2581.12,21996590,635820715453,197190222326862
2600.87,2601.52,2576.25,2588.84,27880588,687943826918,197864424155417
2585.65,2588.35,2542.0,2542.0,26554561,1107615083131,194449276530543
2550.05,2605.6,2540.73,2570.29,20432631,753560651271,196660578224089
2557.97,2576.45,2550.68,2567.8,20990580,624415502889,196469796618687
2563.33,2660.83,2546.42,2655.24,38176363,1697786871651,203406317425186
2638.04,2664.53,2605.05,2653.49,21722606,1119478315513,203061933966940
2627.23,2661.2,2621.37,2639.89,19991142,830577094567,202010581231449
2648.74,2676.96,2610.95,2653.39,21161522,954468552982,202928315476182
2657.53,2680.45,2644.97,2664.25,18778607,899212229781,203350484989832
2643.5,2651.52,2602.7,2631.77,26570812,1004114685758,200801571786687
2623.21,2633.61,2573.16,2573.83,31852917,904724004049,196473654326966
2600.42,2603.37,2552.91,2552.91,33384540,1192923232853,194845002155750
2600.07,2668.92,2600.07,2643.35,39050505,1683585447599,201763333820312
2626.44,2634.59,2585.96,2595.88,29246273,921065828791,198075640273057
2607.44,2623.16,2579.46,2608.32,20797328,854139598741,199070125280450
2628.91,2645.13,2612.54,2633.22,25715590,788893923225,200879421081611
2613.46,2661.99,2603.63,2643.17,19292436,730774450699,201667363891664
2679.08,2680.04,2637.23,2650.41,17629537,786330832166,202393603872329
2661.48,2672.07,2636.1,2663.85,28002027,761752195030,203316958962361
2675.29,2720.42,2661.26,2661.26,39970371,1595064845522,203098070319703
2654.86,2741.64,2648.49,2697.42,29618575,1407974250892,205720108838649
2742.68,2796.08,2741.22,2780.84,101424184,2500401618943,211895525263416
2798.72,2835.83,2779.39,2794.71,64262605,1815461139144,213020407507804
2814.65,2877.7,2806.21,2850.36,39450400,1732385077332,217155593742387
2840.88,2841.93,2806.01,2826.76,43240032,1142905618193,215451516560965
2832.8,2840.88,2774.43,2783.81,37030880,1337635436798,212135865963803
2774.83,2817.04,2764.56,2803.96,30316337,886898690201,213607599218022
2814.26,2878.83,2811.84,2849.12,75309315,1788958287574,217212411896181
2843.0,2869.87,2831.16,2861.35,59333454,1396205770951,218389510265920
2836.43,2898.52,2831.8,2893.88,36254271,1236260602104,221537777039621
2901.01,2906.82,2870.1,2889.7,29115898,1207820677931,220924327720977
