시가,고가,저가,종가,거래량,거래대금,상장시가총액
2118.06,2121.67,2101.77,2116.36,16005409,414935641682,159832798331335
2122.58,2136.44,2109.59,2136.09,35352550,641373725282,161260851489101
2155.53,2196.4,2155.53,2168.01,37835065,1247836241012,163693010824397
2150.56,2216.27,2146.32,2194.74,31227937,1197646617025,165570258381499
2200.95,2219.0,2194.93,2210.65,22111598,799545666858,166744277023228
2204.14,2211.94,2159.64,2164.17,21263410,757449970040,163311124252178
2169.54,2174.55,2134.14,2149.0,19385437,562281589891,162262933240325
2157.36,2175.4,2144.83,2170.28,39049010,576098041110,163888931702103
2168.5,2184.04,2147.69,2152.66,47148878,750574700383,162641112239657
2141.5,2156.67,2135.35,2140.58,22676705,586671693695,161764272614359
2141.64,2141.64,2087.5,2098.32,45127356,709367138958,158663813342575
2107.27,2108.77,2059.32,2066.7,26583435,567646305529,156314788785485
2052.37,2079.16,2038.62,2043.13,19589526,547874482651,154534906827705
2041.11,2061.53,2032.65,2059.95,24410119,623733233854,155741884013744
2041.81,2041.81,2022.81,2039.02,19861398,607983396475,154247471340569
2027.23,2030.88,1978.44,1992.67,35699869,667350603573,150733131013307
1990.9,1993.2,1916.65,1947.86,45754601,819832505998,147451425615239
1951.31,1964.72,1923.67,1932.09,22318751,656705204166,146180847178217
1932.09,1957.74,1897.5,1902.38,30316543,834147374297,143944108618585
1912.03,1960.97,1865.82,1957.79,25504453,779152625757,148039664585384
1981.12,2000.16,1969.26,1969.26,39812469,710231773783,148948914339471
1963.94,1978.81,1947.7,1969.91,19132089,497349074955,148979900414234
1962.29,1962.69,1931.37,1945.83,19028442,625805245389,147175155866773
1959.18,1976.97,1926.23,1935.41,15979103,611083713379,146380109147685
1953.13,1963.25,1935.65,1963.2,11964529,489530107972,148424415579775
1972.22,1972.58,1939.32,1955.66,18765480,626786724787,148001039782796
1930.3,1947.75,1920.8,1928.9,18799709,481711382008,146063063279243
1897.13,1906.68,1871.85,1871.85,31705646,620025267196,141809842837548
1882.98,1910.24,1874.01,1888.06,18327095,468392536390,142999491483903
1925.49,1929.21,1909.89,1923.1,14471162,387912141715,145567011725393
1924.04,1952.04,1905.28,1929.3,23289963,591036869242,146033407455577
1906.09,1935.96,1901.77,1930.38,21821758,379648823463,146056993536332
1903.29,1940.18,1894.19,1936.66,16389169,342809652597,146489145850911
1903.86,1925.84,1899.16,1910.53,15725578,429258626840,144466451901664
1926.41,1949.06,1924.74,1947.33,30277267,619649271033,147083535949283
1933.23,1933.23,1856.81,1869.02,39577527,1249194942846,141262114981543
1889.29,1910.54,1877.37,1891.48,23374962,672574419482,142863552541083
1874.58,1901.41,1853.1,1901.41,25351850,872540135099,143528263323802
1885.47,1913.81,1883.87,1899.09,32650260,980579287982,143263589315876
1922.04,1938.65,1904.77,1930.64,27044807,789352353529,145712943487149
1924.73,1934.83,1906.82,1916.12,22051047,631801167712,144574277496992
1914.83,1914.83,1867.01,1880.92,21714484,748534485575,141880738669948
1850.22,1878.49,1844.22,1851.48,20612184,610083759477,139749171094365
1876.03,1883.84,1852.45,1863.6,17943871,717829690563,140659338832227
1858.62,1865.28,1836.83,1853.77,19815836,619334223577,139942183823635
1837.68,1837.68,1807.79,1822.78,17669457,621542272951,137565446846706
1810.89,1824.39,1793.64,1799.28,30961836,520994427669,135736565860213
1816.71,1840.26,1803.75,1840.26,22637726,519020261536,138792790553818
1863.03,1871.07,1845.57,1845.57,22982613,730096495821,139235611101587
1858.05,1859.43,1842.83,1856.52,29394956,712397730555,140054349624842
1861.63,1861.63,1832.17,1833.72,32795298,468251202440,138307052216246
1840.06,1882.33,1839.06,1880.03,30810915,776447299777,141718872866282
1886.69,1912.16,1882.77,1897.53,43472872,625243584115,142992098631226
1882.37,1900.08,1878.53,1900.08,18895335,433412872764,143199644350907
1904.74,1904.74,1885.83,1891.48,22244671,442819626632,142531088990077
1884.32,1905.98,1873.11,1902.21,46354369,507834071753,143330804728825
1916.49,1927.38,1896.76,1907.76,38298620,680373418145,143812105573091
1933.09,1949.19,1921.69,1931.89,31307645,746081320418,145708470292771
1925.03,1942.77,1923.58,1934.16,24418826,495221464190,145813391753083
1917.91,1924.73,1901.16,1923.68,31776206,471608120631,144990294336261
1911.13,1926.87,1901.81,1922.58,29324399,359924037454,144926622133747
1928.26,1937.55,1916.15,1936.76,90029217,535545781246,145966825082772
1921.14,1964.17,1912.07,1951.69,326016592,1448622065797,147087947334804
1939.34,1948.05,1915.38,1915.38,68735861,722455238308,144421566948045
1916.17,1922.02,1891.81,1903.2,54346488,472093230950,143539915673448
1895.18,1940.65,1895.18,1933.46,26709262,555041263884,145812816010054
1917.38,1939.02,1913.3,1926.69,36985545,535470048410,145283472418316
1936.14,1980.26,1936.05,1979.46,42044050,682197196534,149155228953727
1980.8,1992.78,1963.47,1967.49,47669267,771397278701,148334542901939
1955.07,1992.19,1954.55,1989.48,47955973,718364654310,149958549336535
1986.5,2002.92,1981.34,1999.83,25321833,511856014017,150779433895193
2002.93,2029.85,2000.24,2028.22,31767267,567746767896,152957878050364
2029.24,2048.56,2020.46,2037.74,34049649,819537451094,153700816624762
2040.22,2046.26,2019.99,2031.8,31822241,715497143392,153358612207736
2018.77,2023.93,2002.72,2011.35,36523030,709989938251,151877901634642
1987.23,2009.58,1968.31,1991.7,30640271,828376499743,150387571092938
2028.91,2053.35,2028.6,2035.85,45098564,1256481263248,153720439263239
2020.81,2045.67,1997.8,2037.17,31769019,740302948970,153852217508376
2051.65,2055.61,2027.59,2055.61,55333318,632914548278,155240749135726
2042.26,2044.89,2026.81,2036.16,27913280,525312651804,153809955851814
2026.56,2055.38,2023.76,2048.08,23680921,600252576298,154712139160004
2041.67,2044.15,2020.27,2024.17,65001167,599305629896,152904786038655
2025.36,2028.83,2005.94,2019.79,131580645,600127812872,152592609419159
2007.9,2021.36,2000.22,2011.3,142964824,638980457011,151921451463331
2008.42,2008.54,1980.92,1985.92,75341951,568420083020,149990389540963
1973.05,1986.18,1940.22,1984.17,56107308,685051377270,149875251861703
1970.15,1995.94,1964.52,1988.76,35591267,736801239364,150209308329185
