날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,1426.26,1443.03,1418.91,1441.08,22725581,68259939076,19195777827797
2017-01-03,1442.1,1449.63,1435.48,1447.9,24690096,83958162345,19285199684285
2017-01-04,1450.24,1463.18,1438.33,1455.49,106502498,175787637340,19380883442317
2017-01-05,1457.36,1463.02,1449.02,1462.95,200973131,211860683396,19480911344175
2017-01-06,1451.47,1456.23,1442.35,1453.93,205490797,260830443208,19362435899504
2017-01-09,1455.84,1456.12,1433.2,1438.41,139340309,172517677681,19155648510201
2017-01-10,1434.49,1443.34,1425.7,1434.3,139271370,207291237419,19100371032030
2017-01-11,1431.39,1442.43,1429.26,1434.35,9939667,64462039100,19103548492885
2017-01-12,1434.61,1490.64,1434.61,1486.36,190703610,474831654050,19785330264560
2017-01-13,1483.23,1493.44,1474.17,1478.13,169075471,448811657850,19722552964545
2017-01-16,1482.5,1487.08,1463.59,1480.89,376965082,598567382885,19759730233560
2017-01-17,1479.75,1495.8,1476.0,1489.3,338922097,589962049564,19871748300420
2017-01-18,1493.58,1495.77,1478.14,1489.04,235641210,337974411635,19868072805225
2017-01-19,1493.42,1505.54,1492.26,1498.44,137783206,243185927125,19993024773355
2017-01-20,1502.45,1514.83,1499.86,1509.74,110713810,211345493610,20143359598035
2017-01-23,1509.15,1511.67,1496.69,1500.33,194586080,300736866264,20018571269460
2017-01-24,1502.56,1502.56,1471.75,1473.88,100623282,176368782308,19533721094424
2017-01-25,1477.42,1477.59,1451.15,1451.31,107462121,154077044854,19237954276825
2017-01-26,1456.29,1458.43,1439.56,1456.29,55470305,98404931141,19294531599568
2017-01-31,1444.87,1444.87,1426.74,1428.34,61045018,111318520625,18915990843174
2017-02-01,1432.99,1442.7,1430.3,1441.97,213151064,331091239531,19087599376547
2017-02-02,1436.56,1451.55,1420.79,1422.92,352812754,587921374473,18825233117960
2017-02-03,1430.19,1437.2,1409.19,1415.0,34681972,135662280785,18723543780595
2017-02-06,1421.0,1424.85,1411.01,1416.51,21507262,84098138880,18752722198300
2017-02-07,1419.31,1426.11,1416.64,1423.87,15379798,76085823290,18843570663680
2017-02-08,1427.36,1429.61,1416.25,1426.2,12853630,74609543710,18881361402735
2017-02-09,1423.98,1438.57,1421.95,1434.95,12907045,77024273765,18996008038455
2017-02-10,1439.91,1442.53,1432.72,1438.8,16847165,93105534520,19033234620425
2017-02-13,1447.11,1447.2,1436.62,1446.78,10077123,63331095405,19143403772955
2017-02-14,1450.48,1457.68,1437.8,1455.1,11381609,69117691180,19249592074220
2017-02-15,1459.72,1484.56,1459.24,1482.29,12754221,110205265926,19630108159075
2017-02-16,1490.21,1501.73,1483.66,1498.48,37014375,163581792855,19866762821550
2017-02-17,1495.48,1501.52,1489.16,1495.71,29321200,152950555360,19832035007960
2017-02-20,1497.99,1498.03,1482.0,1486.55,11594287,84155588535,19700060191075
2017-02-21,1487.34,1519.89,1486.27,1519.89,22429721,153242994040,20130520741300
2017-02-22,1520.23,1526.73,1509.01,1513.65,25248923,174115825280,20037374641310
2017-02-23,1512.03,1530.17,1510.95,1527.43,126511571,190692233255,20210013118725
2017-02-24,1530.65,1533.31,1511.28,1519.68,103062097,119018249820,20110015563426
2017-02-27,1520.63,1523.36,1501.33,1504.35,84939718,79856942618,19908293445643
2017-02-28,1500.81,1529.98,1484.67,1528.25,82618895,144802588872,20223931830785
