시가,고가,저가,종가,거래량,거래대금,상장시가총액
1611.51,1611.51,1578.7,1586.9,14839914,138590307030,38057205182015
1592.39,1592.39,1552.18,1581.17,14013067,131300734183,37921336214185
1569.04,1596.63,1565.79,1581.71,16877611,142758798725,37936352917235
1597.35,1604.14,1579.4,1589.01,12378671,142900518331,38112092470830
1576.51,1615.64,1571.95,1606.61,13377448,125020258579,38533361722725
1629.57,1640.32,1618.35,1634.56,16495268,142371167675,39202883787785
1634.0,1666.32,1633.01,1641.29,14265946,144069043352,39363400543900
1649.48,1658.52,1643.39,1646.15,10233358,109478254671,39479431186605
1653.79,1655.02,1637.25,1637.25,10699862,123397154026,39265270116180
1656.1,1717.31,1656.1,1714.29,21101784,236670706438,41110127489715
1709.17,1721.55,1701.26,1712.51,11796527,122246564780,41068161852274
1713.98,1732.84,1697.97,1728.77,13201109,140029493930,41457177784940
1725.85,1753.16,1718.87,1753.16,24517031,204729799036,42040068118817
1733.51,1756.22,1733.25,1749.72,14621666,148882535476,41957205834841
1743.64,1748.85,1722.75,1744.1,19883301,175838549516,41822976390196
1753.89,1762.67,1740.01,1752.96,14996407,164889000781,42034850421256
1746.49,1753.39,1735.46,1750.9,15627479,147942667960,41986034583122
1758.64,1818.67,1757.65,1803.53,48703894,479333366880,43245576249539
1800.2,1801.15,1755.18,1755.18,23304070,229805392596,42089216639456
1759.14,1766.04,1735.07,1737.26,16834049,234856048514,41660905858087
1744.53,1768.53,1734.56,1763.78,19404809,213362975169,42297545796504
1782.17,1785.37,1752.38,1753.49,13918806,220235280405,42051310647453
1756.83,1756.83,1736.7,1751.01,12529929,173601708801,41990643970407
1744.68,1748.78,1718.42,1730.05,13177951,158598168644,41489332122724
1727.51,1730.66,1717.39,1723.79,9778761,149929075779,41340480343027
1730.09,1733.4,1721.87,1727.0,10650164,136049421700,41416678848515
1717.83,1734.76,1716.07,1718.24,11730538,140600406891,41206871252561
1715.71,1727.44,1700.77,1714.89,14520496,152326450446,41126799718823
1709.15,1709.39,1681.21,1703.66,13879257,143268050889,40857280749265
1722.29,1731.01,1718.34,1718.96,12020243,157280363470,41223731986428
1723.86,1728.44,1695.94,1697.02,12821169,160473951727,40697421446501
1708.41,1717.33,1701.2,1710.12,11530459,137654714734,41011246958190
1697.84,1728.47,1693.61,1716.46,8890267,111207916003,41163525465301
1708.64,1713.17,1688.62,1701.94,8405373,104347632700,40815985623292
1707.34,1715.97,1698.91,1712.63,12254731,137347324631,41071797603317
1696.53,1708.36,1688.1,1692.43,19099992,180831450458,40589514948503
1710.69,1740.87,1706.6,1728.03,25244340,273048417379,41547521227521
1733.13,1755.51,1732.33,1739.17,14676902,171914501913,41815077919953
1733.88,1734.61,1708.77,1730.94,11954710,134123238781,41617089921106
1738.98,1745.62,1714.03,1715.6,13510868,173719254419,41249254288573
1723.45,1756.46,1723.45,1743.21,17458801,193791576858,41912287702528
1752.13,1752.76,1722.37,1735.41,12255209,135416890405,41728981615248
1742.92,1742.92,1713.69,1727.95,15600305,156069662149,41556445517299
1725.32,1727.26,1702.32,1702.37,14120403,163210439885,40941987959596
1686.17,1693.72,1675.71,1689.39,13602568,172583830045,40627756598168
1694.79,1699.03,1677.89,1678.64,11095963,156856502811,40370900401575
1659.96,1662.48,1647.33,1655.04,9910277,113535495528,39801752643275
1651.36,1663.77,1631.23,1656.18,11670024,120886504381,39828472681988
1643.59,1643.59,1612.05,1612.05,12919601,143742783517,38767183754854
1635.26,1642.11,1608.64,1614.13,9114571,106765657612,38818242820897
1596.65,1610.49,1582.68,1608.1,10717625,112456980446,38673454650716
1619.19,1630.38,1603.79,1630.3,10831273,136223060607,39205973586715
1632.5,1644.4,1619.12,1619.29,9051516,71491088459,38941060184917
1631.3,1637.49,1624.92,1630.86,7351104,80340974268,39218177476541
1641.8,1641.8,1620.82,1622.88,8385012,80904646050,39025113426341
1618.22,1631.54,1608.42,1622.13,10168927,106177076313,39005345615244
1616.32,1623.36,1608.58,1622.71,7762352,93766048656,39018010046221
1624.86,1624.86,1595.97,1604.05,8567740,95636689800,38570380775689
1611.1,1632.54,1611.1,1632.54,10633179,98151598183,39254391018696
1637.06,1653.63,1637.06,1645.9,17447689,156746382691,39575953412345
1652.73,1668.83,1645.63,1662.3,13405183,132759957249,39970282654834
1664.67,1677.87,1652.31,1663.97,10550611,135306408016,40010474859477
1662.51,1667.18,1648.55,1650.67,10046666,109858643730,39691064113735
1650.44,1656.0,1642.49,1652.78,9666112,99490851266,39741501969408
1657.88,1667.09,1647.91,1647.94,9084858,99111972779,39625124577447
1646.74,1646.74,1618.39,1618.39,9961920,109494562919,38915360533422
1618.01,1624.26,1613.38,1615.83,8490015,92289876474,38854734143477
1614.33,1627.03,1605.34,1611.04,11184913,106478311825,38738049240134
1617.85,1636.89,1612.73,1633.88,10436637,111788950821,39286153960459
1641.72,1649.2,1633.02,1646.94,9847393,129547550915,39600191807113
1640.81,1673.56,1640.18,1657.9,15166368,174067611680,39862908590610
1659.13,1671.96,1654.44,1663.73,11353689,121363239017,40003100864675
1664.98,1686.67,1653.01,1686.48,12501854,152553331679,40548865641246
1681.33,1699.65,1673.24,1696.39,18576762,186389751913,40786151549971
1700.48,1708.9,1695.47,1707.12,12506972,150161807906,41043618260584
1702.61,1731.18,1698.99,1709.34,18395244,199642848935,41096410775833
1701.34,1701.34,1667.89,1691.17,13250589,147825440470,40660322463284
1690.3,1691.89,1655.42,1656.99,13386827,125779665770,39835538350731
1657.37,1662.77,1635.27,1636.22,12412042,132649448873,39334664779824
1636.78,1636.78,1597.32,1597.89,32757361,462029920294,38415053165214
1596.45,1596.45,1572.66,1580.46,15694127,200513495563,37995792348625
1588.9,1605.51,1579.55,1596.55,21712265,315961471900,38383678385964
1591.34,1604.28,1583.49,1601.8,11592487,158431415533,38510107089556
1592.25,1605.7,1589.54,1592.08,10523084,114835506095,38276342808692
1588.89,1594.68,1580.25,1593.88,7343994,96347832473,38318504421190
1590.36,1605.59,1589.33,1597.62,8315749,103228159212,38408926848417
1599.72,1599.72,1589.73,1590.71,7267949,96649435606,38242561150228
1589.79,1596.57,1572.95,1578.57,10592409,118428587689,37951066859563
1584.37,1600.14,1582.56,1589.71,8638073,98235499764,38218734739498
1590.38,1592.06,1569.2,1578.54,8116091,86355396045,37950697996287
1569.14,1571.5,1554.9,1560.7,7374515,81535339090,37522091768823
1561.71,1567.25,1544.25,1546.51,7595257,86183904830,37181156113745
1541.34,1548.18,1535.72,1539.67,7754177,100190733905,37017096506935
1545.62,1545.69,1530.76,1541.17,8602093,99807020034,37052690483949
1540.23,1550.18,1538.62,1549.43,7399052,92598681150,37270360936396
1553.9,1590.85,1552.78,1589.17,8601711,137540373495,38224479457778
1594.45,1599.6,1581.14,1585.33,6687239,92086052650,38132547488765
1579.42,1591.3,1574.13,1577.21,7191092,89383701989,37937340250983
1570.63,1572.89,1551.6,1552.11,12719113,141932614737,37334261362500
