시가,고가,저가,종가,거래량,거래대금,상장시가총액
368.08,368.08,364.02,365.26,96828830,351749076654,69190911985869
362.89,364.49,361.09,362.0,47560225,293587497153,68584014163716
360.43,362.48,358.32,358.75,179572471,476465156519,67967226161226
358.59,358.76,355.72,356.95,42630918,237398712923,67705562047802
356.02,358.13,354.36,354.36,26879309,183259537929,67215912844668
357.88,358.05,353.5,354.2,27127185,207198404964,67185500268300
354.28,354.55,349.14,350.13,43644990,195294378582,66413776214051
350.67,350.76,347.24,347.24,27220463,378045162589,65867599316042
347.61,349.33,345.84,348.69,30839190,248030669102,66141145411836
348.34,348.34,344.58,345.42,30076069,248364310800,65521529468260
344.34,344.63,341.08,341.97,19926426,186589657091,64866946236502
342.1,342.25,335.12,335.27,26578877,270193567583,63597066511786
334.96,337.16,332.9,333.88,15563126,169861156506,63333837606725
336.3,339.31,334.99,337.07,52027741,428949498090,63940458894906
338.02,339.17,335.72,337.21,38085700,328306615333,63970712576385
338.31,339.57,335.96,338.6,73332307,554157251193,64235632025587
339.41,342.76,338.16,338.58,55189839,526115331290,64230340661071
337.63,340.91,336.29,340.53,20781966,212723837718,64598929604449
339.95,346.11,339.15,344.13,44993733,495000137618,65282347636934
345.57,359.81,343.91,357.38,56676944,517705815476,67793700521744
360.43,365.08,359.27,359.63,107650490,534396207303,68223128190965
359.25,369.64,359.25,369.36,61063460,590011049465,70065878455790
369.87,386.03,367.79,386.03,84916193,921373873992,73228437510495
389.41,391.36,379.19,389.37,39769578,727718680587,73861525972093
387.13,396.93,381.41,390.29,23860589,526097450234,74030497392692
387.65,389.26,381.31,385.86,22158095,326124399053,73186803154515
388.38,396.21,386.45,396.19,28116512,410095909018,75149359949850
396.16,399.77,395.72,398.31,18681038,385865240159,75559504027480
398.7,399.51,394.78,396.57,29689056,396755273996,75234906824922
392.66,393.48,388.14,389.64,36615235,332525083726,73923118221333
394.96,398.47,391.39,393.33,18270660,383708592490,74624240378248
395.43,402.69,393.83,402.39,20291819,388245773043,76346205088605
404.41,413.17,404.41,411.65,25821797,392986178228,78102349040469
410.53,411.38,399.39,402.71,218864539,665623867058,76400622668682
402.82,407.66,400.04,401.14,184446428,557949681217,76103103985751
403.09,406.41,397.76,404.39,56708050,365374315267,76722845444875
405.41,411.78,399.03,399.73,88781175,602088744534,75836258902960
397.37,397.37,385.44,387.52,78804923,530614664075,73516317287345
387.1,387.41,379.82,380.4,98308568,538362627231,72166111636595
382.99,391.82,380.25,390.75,17515526,265385615682,74132178883658
392.67,394.58,388.5,389.28,52293564,564664574817,73852086819934
395.45,398.22,392.73,395.95,37278996,392344724330,75124870182359
393.06,403.91,392.45,395.74,21067817,251687098775,75086090114777
393.17,394.86,390.97,393.51,28540919,220241090096,74663860373997
394.03,397.13,388.95,392.57,35638424,234188820318,74487488196769
398.28,398.28,393.8,397.09,30770169,257776529078,75341449858205
396.94,397.47,394.04,395.0,16030685,188620658535,74948279315952
397.86,399.08,393.73,396.61,26518393,474338784858,75245892874670
397.99,400.63,393.36,399.19,19418146,283255988128,75736428375438
400.11,404.23,396.99,403.66,28812832,411694943291,76584327872317
401.12,402.36,383.75,384.13,82955458,730636329985,72871076898612
385.2,385.2,380.0,381.09,35553908,360136860894,72294980560923
380.96,381.09,377.67,378.02,34877578,271459753391,71710138089470
381.42,383.72,378.57,382.67,36737101,348379858032,72598472432402
387.37,392.81,386.67,392.81,32859944,354124488152,74429610290927
390.91,393.96,387.48,387.94,33967933,309424760048,73507465090693
388.22,388.33,384.27,384.97,38334884,310616174581,72944072085227
386.5,388.06,385.3,386.5,28083716,272982542626,73234004917890
384.69,386.67,382.53,383.25,23140819,263568321910,72616413533920
383.38,384.63,381.6,384.15,22678072,247030663223,72790605099064
385.12,385.87,381.14,381.14,18361673,190922855583,72216225736867
383.21,385.7,381.89,384.01,37576388,286034347790,72757288720112
382.34,382.51,379.44,379.99,69480943,251654415109,71995046496223
377.85,378.59,371.54,372.31,37047156,285780772504,70539464024898
374.01,375.96,371.69,372.19,21065136,188008987010,70519462380326
369.21,371.63,367.51,369.13,22543302,192301170070,69942766984084
368.98,371.41,366.29,368.6,12512880,185487177704,69843882775479
370.22,371.73,366.43,366.45,12388501,162128663971,69434220520079
356.15,362.25,352.5,362.25,10367990,240788464221,68634317251754
358.89,359.86,351.51,352.02,12172185,237712162901,66698072040594
350.92,355.58,348.97,353.94,10000197,203724389437,67064714686153
350.9,351.62,346.83,350.7,18328564,225354875624,66447168299531
349.41,351.7,343.27,344.76,12014608,187559965685,65323055177727
346.11,351.25,344.89,349.88,11592392,195880498093,66305337186902
344.92,348.12,342.68,346.32,15202674,200417907598,65630931477053
352.53,360.93,351.45,360.57,16090735,199691393696,68330954443540
359.3,364.98,358.94,364.07,7287175,156422558580,68997774187359
366.7,367.79,363.9,364.68,8280745,138893366582,69113586696781
364.1,366.83,362.85,363.57,12692586,160087516949,68905051875800
364.25,368.12,362.42,365.64,9710900,117810647661,69297163484439
368.72,371.21,366.31,369.76,18355517,221122515843,70074824328386
369.47,371.24,368.19,368.76,12530832,197675990187,69885128644077
368.09,369.84,362.18,363.2,11066426,172453218097,68829351247320
365.16,365.16,362.35,363.54,18375117,126518560647,68890847738085
366.65,369.43,365.28,369.26,9611221,152441127638,69974451190360
369.54,373.2,368.15,373.2,15215317,209739087359,70723740778786
373.17,374.8,368.23,368.81,13986091,244025901165,69891802805133
372.04,374.94,371.49,372.46,16845801,216894695298,69393754161505
372.93,374.52,369.15,370.1,15414436,166269594036,68956343897747
370.42,370.44,367.68,370.14,9653681,125304031904,68963176263267
374.53,375.55,370.04,372.83,18832866,291653087562,69466395595594
