시가,고가,저가,종가,거래량,거래대금,상장시가총액
394.68,401.22,390.72,400.54,85751801,625659341334,72126078827467
400.12,406.52,397.32,405.32,103610003,666710926912,72992207892425
405.57,408.79,397.53,398.92,155557589,772900568729,71838955018293
399.27,412.23,399.27,411.16,93910990,911468984493,74040643224236
411.35,424.31,411.35,421.76,118031045,1350275110608,75958920039977
421.79,430.31,407.95,416.02,107569093,1299538403849,74937924412580
416.01,421.16,407.18,416.79,93265043,1228541000399,75094306165616
417.25,423.97,416.49,419.46,77847623,815139241285,75575579154969
421.23,431.64,421.23,427.02,50770562,848637906553,76939514963784
430.21,434.08,420.99,423.37,61305007,660269790587,76289648397622
423.35,423.35,403.84,405.31,103502046,1201716755653,73032012354171
404.85,412.86,402.18,412.21,92549011,733405309868,74263843806792
412.26,415.85,405.74,411.58,52035996,584685277190,74148553893693
412.5,427.22,412.5,425.5,86841558,884862625946,76662194437493
424.32,428.38,420.73,420.99,57564578,832214879896,75856905082718
421.88,428.68,420.88,425.31,51730251,651632860576,76632673412357
424.49,425.15,413.86,414.93,49065646,695268449646,74762451836694
416.85,419.43,411.7,413.09,48527126,561692867769,74429271677267
412.15,412.15,397.41,401.21,57135360,740362656020,72287255795658
401.4,404.24,386.87,392.02,73415552,712152412587,70626671638744
391.46,396.34,384.97,396.28,94713390,715638627380,71390649975119
396.59,406.17,395.36,400.21,63828403,580387936297,72098559387248
400.68,407.7,400.68,406.73,38635328,480246743744,73274951203133
407.39,409.02,402.12,405.33,496494635,1036390924425,73021211844746
405.62,410.87,404.78,410.48,318816395,697827159854,73948820366931
410.95,416.4,409.19,414.09,500639190,845253085342,74594345909519
414.73,417.35,411.82,411.92,1353261846,1098801285953,74203673780200
411.92,416.58,408.31,415.08,1412835173,1155745419717,74770838771161
416.95,419.02,414.95,415.49,809279195,1034553886135,74844313835365
415.53,421.56,414.57,419.12,487572447,998772167553,75496605693797
419.37,419.37,412.87,416.53,49358339,562940262596,75031325860317
415.5,417.92,410.8,410.8,315363319,975285490539,74000676167704
411.91,412.96,401.8,410.42,970316773,1294735816233,73929278681294
410.74,416.86,406.72,408.13,214766612,726925830897,73517102590034
408.04,413.06,402.59,410.18,292270483,798032371317,73882803216749
410.92,413.17,398.0,398.69,221246117,823881332655,71813322762476
399.32,408.87,399.32,408.74,177458244,666708874352,73620009955327
407.47,407.47,395.34,399.95,175984842,593914906719,72038459365202
400.58,407.39,399.47,402.13,360265813,614434794370,72431153509456
403.06,412.38,402.06,412.26,965929024,1154528682682,74272149508426
