시가,고가,저가,종가,거래량,거래대금,상장시가총액
3181.84,3181.98,3102.49,3148.82,3667761,81878465840,8030871711110
3193.84,3249.16,3185.62,3241.53,2851999,98915349030,8267305183720
3229.95,3261.2,3175.66,3231.31,3467256,106592658420,8241255314910
3187.78,3243.6,3165.82,3188.46,2276056,60064626390,8131952858200
3217.48,3268.85,3202.89,3216.8,1826366,58691086320,8204237315590
3226.08,3236.69,3142.08,3143.05,5789755,82846428490,8016157289610
3139.52,3206.05,3090.07,3155.21,2039663,60164492760,8047151492780
3146.68,3162.0,3110.23,3116.04,1584812,45433451150,7947253108330
3113.07,3113.07,2924.68,2944.23,1818933,64965801440,7509075397800
2902.76,2920.33,2801.86,2811.05,2307648,67656494120,7169393445950
2839.46,2861.81,2795.94,2857.24,21371124,232922855280,7287199148590
2860.63,2969.71,2860.63,2951.91,3916567,63026482630,7528652911300
2926.32,2986.32,2891.81,2901.13,3209550,49928348500,7399151960320
2913.43,3001.15,2908.91,2999.36,1940420,40740687470,7649674715780
2993.18,3052.51,2987.33,3036.4,2791659,53721826180,7744144920640
3078.04,3084.64,3002.93,3042.55,2310190,58996074520,7759832388850
3072.84,3093.07,2940.32,3004.31,2960017,76114618590,7662292852150
3044.37,3120.94,3011.33,3060.2,4431215,131807807940,7804848091660
3060.2,3148.42,2937.06,2962.74,2971248,92321898020,7556281194570
3025.56,3215.72,3025.56,3206.78,6760574,345908656090,8178687534150
3425.52,3960.69,3384.67,3957.84,14300300,972519701850,10094226017980
3993.44,4047.79,3484.19,3535.38,15786729,1077291349038,9016753094440
3659.24,3721.86,3495.14,3629.23,8942461,530140314290,9256106218560
3610.88,3610.88,3335.49,3429.02,9775116,423736838700,8745493689350
3416.21,3551.03,3296.09,3324.01,7076573,273500189220,8477678275390
3329.79,3455.65,3267.13,3325.37,5867139,300322407970,8481131570780
3408.64,3429.23,3199.93,3208.16,4458443,229366134120,8182204305950
3191.19,3275.43,3140.88,3172.09,3411045,139571164230,8090220849600
3191.97,3195.82,2960.06,2967.84,2779985,123670722350,7569278477740
3061.28,3140.43,3015.46,3066.37,4125923,164627369080,7820585156270
3094.23,3108.65,2869.88,2968.97,4158354,152985092390,7572168076410
2928.84,2986.86,2909.26,2982.83,3328786,106810953270,7607526326570
2941.49,3003.1,2898.17,2932.86,1825877,60716611760,7480060466460
2860.54,2937.75,2847.51,2860.5,2085192,69631207670,7295523199340
2919.78,2954.79,2894.53,2936.54,1516933,62057675680,7489444446300
2891.15,3046.44,2882.71,2933.87,3658752,152081211970,7482639704500
3007.42,3015.44,2917.94,2919.19,5438766,103426576430,7445212378920
2919.41,3009.01,2904.71,3008.83,12189077,171298616270,7673827511430
3002.25,3045.75,2984.8,3023.62,3058471,71079808570,7711549426070
3037.11,3117.22,3029.64,3102.65,4021449,174963904600,7913116461870
3109.14,3166.49,3085.46,3126.6,26865653,374914520260,7974204602950
3120.47,3127.25,3025.31,3025.95,6336691,108818582600,7717502049940
2983.31,3111.95,2977.85,3047.52,6208979,107666116180,7772499770900
3092.55,3138.64,3076.67,3108.11,6557619,108045961060,7927037226390
3105.8,3150.7,3036.41,3039.42,13653761,186471448960,7751843422430
3050.03,3083.87,3008.53,3043.2,11820297,170601130910,7761476154870
3068.31,3186.74,3068.31,3165.29,8389577,169982120300,8072878216150
3192.19,3270.04,3136.17,3227.59,4514605,115698957660,8231769083340
3238.59,3285.93,3223.64,3234.11,3815665,93664288690,8248390736900
3235.23,3320.22,3235.23,3263.02,3815961,139890429320,8322123213780
3234.94,3234.94,3120.62,3135.36,2740375,69307506800,7996546794730
3164.48,3197.41,3134.96,3179.19,2243898,47997930680,8108325833360
3188.38,3232.51,3174.93,3180.97,6864159,100706387740,8112866483840
3165.91,3239.35,3165.91,3220.07,4522554,77519265830,8212589185710
3251.03,3311.62,3219.74,3283.27,2743235,70177135600,8373768529230
3279.92,3286.23,3176.87,3178.98,3358483,68267360120,8107777291700
3193.92,3220.41,3171.51,3174.66,1891616,39208609130,8096776561570
3215.06,3283.14,3214.41,3233.99,2818049,64560318780,8248081382450
3238.31,3245.67,3151.77,3159.01,1986367,46087103330,8056850059840
3152.26,3169.81,3089.99,3132.03,4316984,88152666210,7988030441580
3115.0,3171.36,3103.4,3146.24,2708678,58064822250,8024293213660
3150.83,3169.4,3134.92,3164.4,8595366,181070066020,8070588101650
3162.34,3165.68,3118.48,3145.45,5676853,108844610660,8022267498920
3122.85,3125.66,3082.31,3082.31,3978793,69147825340,7861243889840
3112.95,3150.87,3043.55,3064.9,2951853,71715949620,7816837952770
3040.66,3049.56,2918.72,2961.26,2197518,62376249470,7552497550690
2956.87,3038.37,2956.12,3008.29,2359133,49861617040,7672445385910
3007.56,3028.05,2977.69,2990.76,3401142,44745604040,7627733691020
3002.52,3005.21,2939.97,2966.58,1644208,29716111090,7566076720170
2947.21,2947.21,2853.01,2862.44,1171912,33769494040,7300462432320
2858.2,2874.5,2795.82,2852.14,1405786,28288174270,7274211962240
2859.65,2908.36,2859.65,2889.78,4029067,63503908120,7370193867660
2915.64,2962.31,2893.92,2905.61,2336772,44123775600,7410580544930
2920.94,2927.86,2852.92,2863.65,5646881,75069556090,7303566972950
2848.99,2880.74,2841.73,2870.38,1859674,30818903060,7320716351580
2832.42,2832.42,2734.77,2734.88,2098039,42807741360,6975129276360
2755.33,2784.43,2712.57,2725.18,1435276,38630111650,6950409298470
2709.93,2714.87,2642.55,2684.17,1270994,24286780770,6845810452280
2704.53,2716.38,2663.25,2678.19,1081230,22204651320,6830550023050
2702.88,2717.51,2686.8,2711.91,1490698,23346674280,6916545108270
2688.47,2769.91,2688.47,2769.19,2182438,35515209930,7062633075510
