시가,고가,저가,종가,거래량,거래대금,상장시가총액
1178.1,1194.03,1173.94,1190.61,31516618,1124201915364,177338026860552
1178.16,1178.16,1158.85,1163.23,57973772,1461466889857,173256241484177
1155.8,1166.46,1152.75,1160.02,52823963,1025508650233,172787910682876
1160.34,1164.88,1149.44,1152.61,31805428,782218896811,171678782711247
1156.36,1180.18,1155.45,1168.23,27841973,943867038197,174002789502383
1183.04,1185.66,1174.96,1179.48,22303237,766178097756,175678164693976
1181.15,1189.01,1177.82,1184.05,37659863,1009823901968,176359059533408
1188.22,1201.15,1184.52,1190.89,35628217,1476986616475,177374322909750
1186.94,1191.18,1175.44,1181.97,26517701,794439892421,176050417573525
1179.64,1186.69,1170.57,1178.98,36873112,730732507475,175605625858212
1174.29,1184.26,1159.51,1161.6,45257166,835444997999,173016895351531
1161.77,1165.46,1123.9,1127.75,37661917,954116143385,167842420250096
1127.06,1134.65,1116.58,1121.97,51973175,981661002704,166984687985199
1136.34,1141.25,1121.14,1127.16,97404859,1165881488988,167757200413449
1135.82,1141.63,1122.51,1124.65,31149660,708752863383,167383221118362
1131.18,1136.45,1121.78,1132.22,38300321,602088767071,168508157204343
1130.55,1134.04,1120.35,1127.91,29137354,666838889046,167866600993722
1124.1,1125.95,1108.77,1120.43,28168807,701166792777,166750584365528
1119.16,1141.43,1116.53,1131.33,29438962,710924441579,168374398240058
1135.85,1137.98,1117.06,1118.56,26370491,848348995144,166472053195087
1126.95,1127.35,1109.9,1113.03,24580173,777170951431,165641748951236
1108.16,1110.4,1089.9,1092.48,30329410,995580743446,162147026099839
1086.5,1099.78,1085.47,1098.97,29940886,866154680071,163122305385400
1112.41,1148.96,1112.41,1147.4,27479402,1111678498309,170317482987899
1146.12,1146.12,1117.39,1124.25,28464702,1031695502483,166876455576243
1119.95,1129.62,1113.76,1115.8,61071396,1118672522391,165623254331946
1126.05,1130.53,1112.01,1115.37,25950177,704656032417,165558771095180
1121.47,1126.17,1115.54,1120.36,25867752,767308420353,166309783110830
1128.49,1134.82,1123.32,1127.35,25014556,802849223941,167347577106637
1110.07,1132.16,1107.17,1128.85,31692514,725301078202,167711821630882
1145.23,1158.65,1142.78,1142.78,50159776,1244908425612,169780598811885
1150.11,1157.27,1146.91,1148.35,24032017,900388946498,170607368446655
1152.52,1157.94,1145.86,1149.88,36902830,715013887980,170834206357451
1148.61,1157.15,1142.31,1144.76,50357509,851045066787,170074684240582
1146.38,1150.62,1140.89,1142.39,55137143,774631713010,169722387367817
1147.3,1153.92,1141.39,1147.87,50224636,747348590745,170535995233843
