시가,고가,저가,종가,거래량,거래대금,상장시가총액
616.95,618.95,613.0,616.95,1188584,22582846945,16265824909550
616.07,632.2,613.99,627.07,2514847,48735422610,16532633908960
624.91,625.01,617.41,617.76,18911292,195391794980,16286969273430
617.21,618.81,611.34,616.65,3264302,41021705220,16257805707310
617.84,618.03,608.62,608.7,1657318,25343161385,16048240157320
613.96,627.38,613.71,624.67,11479306,129651640250,16469283538610
622.61,624.32,617.67,618.99,4284115,50782528425,16319390295760
621.14,622.78,610.47,610.47,1935594,30793084000,16094948822700
613.72,615.12,607.86,610.59,8808848,97044820805,16098054893740
611.89,617.45,610.74,613.95,27494428,322702575155,16186606015770
618.71,633.28,616.25,626.37,20677794,274226045070,16514019823310
625.18,629.52,616.91,617.03,18675161,244056990415,16267843869230
620.38,620.38,609.86,610.34,5903351,78615052990,16091405343300
606.33,608.64,591.37,592.33,4989362,80624723315,15616550631560
593.61,606.07,593.37,603.31,10448295,129103554215,15906206919560
604.34,605.14,594.45,598.16,2873479,40832875420,15770334839450
599.88,601.82,597.82,599.37,2977719,40837936605,15802107808280
599.9,619.51,596.87,619.51,3074518,52010621420,16333179150310
613.59,623.6,613.43,621.67,1927674,31719922275,16390029261620
620.96,653.88,620.73,652.37,6907920,133481661690,17199447560190
650.19,650.5,636.42,643.96,3470000,75406683365,16977739332350
640.18,648.58,636.42,648.58,2227666,42690976345,17099624114260
646.06,676.06,643.87,669.77,6725588,156002994510,17658328330500
666.25,675.07,657.18,668.6,3097260,70461881595,17627503837270
669.93,670.27,655.13,664.5,2435320,50813216955,17519254818410
661.87,669.98,656.49,666.14,1900271,38809557600,17562581175730
669.26,684.5,666.74,683.05,2760926,61319797705,18008324323890
681.75,686.34,671.03,671.03,2303549,49547585135,17691473382090
677.97,694.0,676.05,692.27,3335240,73543841070,18251464017770
686.39,702.06,680.22,684.96,4410215,76326674625,18058711729940
686.63,689.45,672.32,672.38,1956506,40188699090,17727215982950
679.94,689.74,672.7,684.86,2024540,41441350590,18056090753660
701.13,758.03,701.13,754.74,15791003,402222783185,19898545951150
754.29,772.12,732.78,755.07,8026916,204049912515,19907256856920
749.46,755.15,737.14,742.39,3525237,87479925070,19572870573400
744.15,754.02,735.73,747.91,3577630,84023340265,19718433679250
749.08,769.81,743.38,759.21,5210224,125166203980,20016370479050
763.66,801.75,734.4,788.96,15514271,416107861040,20800693236730
782.6,786.32,770.96,772.31,4935698,132549071405,20361753625090
765.35,787.17,749.84,775.32,5938343,152409155945,20441043810910
775.4,792.23,774.92,786.02,4359747,114193286110,20723105690930
785.15,787.85,773.47,785.11,3430088,86726110260,20699091473100
778.97,778.97,767.66,777.4,2638349,65861567087,20496017640080
774.06,792.58,771.12,783.79,3229257,81884467760,20664435626090
784.85,784.85,768.61,772.14,2300422,58591945270,20357201808640
775.27,775.28,745.6,765.1,3880075,95947040155,20171524841970
766.56,767.11,752.6,763.03,1970094,49814692345,20117198950240
764.05,765.31,741.61,754.1,2187831,54845781945,19881562210340
754.39,765.34,744.66,759.82,2478864,60714360015,20032314284280
763.56,798.86,761.9,783.02,7287269,183781880225,20644076019870
780.71,793.32,778.99,783.06,3441291,86386410690,20645075053610
780.21,783.55,764.26,767.13,2722377,67199088050,20225142906020
759.37,759.37,710.51,716.47,7159429,163743900455,18889459432300
721.2,724.49,701.03,713.76,3506677,77643931570,18817973355300
721.09,737.47,719.42,730.09,3224847,74799195005,19248542508250
728.25,742.17,726.39,729.15,1780807,41395170930,19223946494040
728.02,729.07,706.5,717.04,3508158,75207484330,18904687190920
720.82,726.7,701.05,709.35,3246850,71373191140,18701865243130
707.92,713.11,701.35,710.22,1697514,37541165180,18724843372150
713.85,716.46,705.39,708.3,1425274,33440499570,18674213016330
715.33,715.5,701.98,704.09,1563288,34951303905,18563133003890
706.01,708.04,697.02,706.73,1378754,31260551035,18632801928280
702.14,702.14,688.44,692.35,4287380,69301774585,18253503814320
692.29,692.4,679.25,686.05,4991492,71011489700,18087463386640
690.92,706.61,689.21,696.71,3141855,60172754380,18368635838850
692.37,700.0,687.89,693.73,4285247,57262451050,18289922854600
696.56,716.9,688.91,709.63,3878187,71326758445,18709141251290
709.59,717.41,704.78,709.72,3217081,55329343640,18711654732970
700.09,715.31,682.39,684.54,4636072,92606568965,18047790608610
680.0,680.0,650.57,653.03,5317645,103399917150,17216898699340
654.28,680.14,649.55,677.66,9032985,125758076980,17866390722610
677.95,687.59,656.83,663.85,3894647,64075315055,17502218612250
665.83,666.86,643.48,644.05,3205284,59564102105,16980223745370
652.66,673.39,651.33,661.52,2633135,48844646520,17440827229820
650.34,659.58,645.17,654.15,13514790,159583610770,17246455273900
667.2,682.22,667.2,675.73,3469925,59260628845,17815500156330
673.1,699.84,671.69,694.49,4218983,73989236775,18309987058430
690.87,690.87,676.46,681.1,2931897,56843307455,17957122012220
683.7,688.52,678.47,682.35,1756371,31463452365,17989833057780
683.66,687.55,679.47,685.41,1269770,24905575100,18070521588010
690.34,699.11,681.39,693.47,1950950,39980539720,18283199342370
688.84,695.84,682.91,689.35,2087250,44352818560,18174596705720
693.69,701.98,682.65,692.53,1773418,35814025420,18258432982810
693.41,693.42,686.98,691.06,1705207,28037420080,18219509821640
697.07,708.91,694.29,706.97,2251930,42938146350,18639028101860
706.48,709.51,696.83,698.48,1656958,33807540265,18415224340490
703.65,729.27,702.39,707.64,5108977,98070084155,18656730611760
718.98,738.91,676.03,680.2,9723731,203138506185,17933202794370
670.84,671.13,641.51,643.36,10377657,206032397505,16961876364240
647.77,657.63,645.04,656.96,3699033,75102687865,17320691646280
659.28,666.5,657.19,660.43,3866123,79113057555,17412133501430
660.04,665.73,659.56,664.89,2056951,41430965690,17529676343320
668.34,673.88,666.81,670.68,2400535,45276898215,17682343247080
670.13,675.81,666.44,671.99,2447267,48768035330,17716865812810
672.44,680.01,671.43,675.66,2117725,44729194420,17813494967250
675.51,680.48,671.12,673.43,2720653,49935614490,17754879525110
668.4,668.4,662.47,663.29,2187242,42776755540,17487464872930
664.98,670.85,664.37,666.03,2060989,39794598375,17559632695900
666.34,668.89,663.41,664.82,1319171,26698918485,17527697942120
664.15,665.07,656.26,659.0,2271893,43618697045,17374377905920
658.51,658.51,643.24,644.09,2326037,45195638910,16981253793530
650.09,659.8,646.29,657.96,2537765,52358102775,17347028154400
663.97,729.34,663.85,715.47,34691889,833017291845,18863207244280
721.82,753.37,706.83,711.37,56567262,1832137923775,18754983997580
710.52,732.79,705.11,729.48,31058056,1075163201925,19232456452750
730.27,733.91,700.77,703.06,10062149,225995043860,18536009231620
695.86,713.18,690.73,707.56,5035025,122860589365,18654532580960
719.3,726.43,708.16,718.0,4705145,128055291285,18929891798890
716.85,734.0,711.66,725.14,14678404,594314180705,19118148120340
723.76,756.43,722.05,742.52,22773034,1016585258390,19576373374920
745.49,762.92,740.64,744.38,12070149,556076270915,19625259786310
753.27,765.47,743.87,750.9,9189654,432438994560,19797218041150
754.52,780.28,752.22,764.97,17674666,830587144120,20168107387040
772.0,774.25,756.37,768.55,8763110,402185825165,20262701322670
779.33,800.53,769.76,797.46,14465845,784278260280,21024709455990
791.58,796.7,758.67,769.91,11353546,483486571750,20298418779900
769.51,778.54,762.12,777.39,7357932,375279675210,20495752648370
776.92,780.99,759.74,762.49,5626077,275389775520,20102780489170
757.77,759.6,743.7,753.03,7151248,351492213675,19853392981130
749.34,754.38,736.89,738.37,5588580,254298796910,19466832482890
742.25,750.98,739.23,742.37,5910977,255830085700,19572390635900
744.23,747.06,735.54,741.23,4694704,205396092855,19542365569310
744.37,745.56,709.96,711.65,11378609,479760667350,18762537953380
710.89,713.08,701.41,705.72,5562829,219594944775,18606192667450
707.75,716.28,705.41,709.71,6119812,256176114715,18711338472120
709.33,722.28,709.33,721.22,7391233,288457647395,19014855252180
720.92,737.31,715.71,730.98,6368127,249714801465,19272119955260
733.39,733.7,724.29,724.94,3662133,134408507900,19112883068380
726.21,726.44,713.35,714.93,4321187,160771606735,18849033584210
718.02,729.27,713.37,727.04,5192000,198539234455,19168090741050
724.7,733.7,708.84,713.2,6198771,216452532340,18803412215690
717.68,718.46,705.56,707.25,3172205,105624663535,18646550269610
709.81,712.63,702.69,703.1,4457520,151639670000,18536909902780
703.2,704.58,697.56,697.95,3239104,104533299855,18401310661300
713.09,717.09,699.89,702.93,8649394,271311888705,18532530024020
703.26,711.23,702.03,707.31,2973193,96866352505,18648048023650
707.21,708.32,697.93,698.92,2701874,82531661180,18426698177650
700.12,703.3,696.67,696.67,2875686,86643082355,18367609138020
695.13,703.0,693.93,695.33,2079322,66124557650,18332279075640
694.5,696.49,686.41,688.08,3060788,96964084395,18140917108250
689.28,697.19,687.9,693.77,1992214,55437137300,18290951899210
707.72,723.58,707.55,715.79,13118252,524819239910,18871584106270
717.44,718.34,705.25,708.16,5080682,184536922770,18670347511700
709.29,723.03,706.4,720.16,13497497,283589582010,18986792981690
717.5,732.24,715.45,726.2,5967483,142242553740,19145968516130
721.38,729.22,704.66,707.01,7852559,168838320370,18640129331350
698.75,698.76,649.63,660.35,22081462,345086794410,17409942992470
676.2,696.38,670.15,685.85,10523608,200877832950,18082325810860
690.83,711.35,687.52,705.18,8692418,251134052235,18591767949720
698.78,706.2,691.84,693.51,4578939,102335439310,18284276016790
697.83,703.09,687.77,688.87,5711635,137719902925,18161782611220
694.01,718.08,693.74,712.65,10721055,417217593590,18788757855380
713.65,717.06,709.04,714.51,15069743,356189880305,18837963534170
715.1,720.79,711.53,716.83,6123782,208142956440,18898927114860
721.51,730.89,720.57,726.72,6799144,270338758970,19159840091230
726.4,728.6,708.63,711.65,5351087,203542745225,18762564153180
718.44,732.0,711.54,728.83,6361253,212589077540,19215500032880
727.66,761.2,727.17,757.27,8253665,222034139270,19965244839540
758.26,766.42,753.59,758.92,5637428,180111816180,20008673223030
758.56,770.6,757.94,768.21,5082095,183148738444,20253718973140
771.51,807.59,767.03,797.65,11654167,384663972362,21029725359230
796.07,824.52,793.02,819.81,8757620,296882363870,21614096110250
815.05,823.83,804.49,808.01,5859784,195339321761,21303041564610
804.61,809.95,792.98,801.34,5654227,195032407020,21127072237760
805.24,806.34,775.78,794.21,8101392,277108366556,20939154945940
792.34,796.02,778.42,782.62,3247566,111796913330,20633423138650
788.41,814.96,788.41,801.37,5589696,220805172400,21127826413780
790.17,811.04,785.49,789.47,5942553,202235039505,20814277608100
797.55,806.51,788.57,795.34,7407054,266108152525,20968892378180
793.12,796.91,770.3,771.99,5120461,178085410480,20353415706040
765.57,780.27,757.64,770.63,3493203,126726399160,20317358940840
771.49,774.18,761.23,763.05,2506329,78277753735,20117694067120
767.38,778.32,759.3,766.47,3140535,95705498480,20207839009710
766.47,777.0,762.21,774.06,3672033,111676723065,20407970306610
776.43,788.8,776.39,785.79,3474014,131115670700,20717147885380
795.65,796.19,772.31,787.73,3292550,102639209005,20768194120270
788.11,804.1,777.64,795.88,7468697,292528775855,20983126569680
769.38,776.21,744.81,748.09,8838205,215407815935,19723138915950
754.01,754.85,739.17,744.05,5025370,151069101905,19616717012640
749.55,753.52,727.34,727.49,5676365,189351002635,19179952148890
730.68,744.68,730.68,744.68,5697431,135573435245,19633289077400
746.8,759.5,737.74,752.33,5033605,128574550910,19834914748970
754.04,756.44,744.55,746.5,2576281,64949783775,19681140039850
740.1,741.11,719.85,721.34,4823925,134775442210,19017814214190
718.45,730.55,717.65,729.46,5566776,102971486945,19232081227690
722.13,728.24,714.24,724.67,3141578,75617507915,19105837438620
723.94,730.21,719.24,722.67,2419717,65046422065,19053099483900
723.46,726.11,718.08,718.11,2536730,65085001030,18932812473030
718.21,724.83,716.61,718.19,1794893,48038641275,18934982496700
719.03,735.06,717.56,734.27,2499637,58659837915,19358839143580
731.72,744.72,731.66,736.35,1994459,53188090180,19413568262280
736.37,741.19,726.96,731.19,2643286,91014582235,19277490711110
729.78,734.01,724.5,727.94,2345594,70380086860,19192056794500
730.34,740.11,722.99,737.63,2379032,60937022775,19447498966650
744.08,751.2,740.78,742.02,2800309,75606057640,19563163805620
744.91,759.9,744.91,755.79,3612190,88674611930,19926319675390
755.09,798.61,748.67,760.61,10029041,237946192445,20053179410990
771.06,789.96,770.41,784.68,6271557,148979363925,20687865578590
781.29,793.41,771.39,778.41,3605721,88101368620,20522628997900
785.0,787.74,773.85,780.03,2461034,59596773140,20565311007900
779.15,787.2,769.54,780.76,3844957,107057609308,20584587177290
778.37,781.91,772.86,777.78,2412746,60507382058,20505934311510
770.99,782.34,759.77,780.15,3282138,82388271220,20568477474640
774.06,781.85,771.65,773.73,1984333,54379719075,20399044789990
776.74,785.05,771.03,784.62,3144774,95978407185,20686349825640
783.26,786.84,778.51,783.96,1800272,55383835895,20668863131140
784.16,784.16,769.26,779.63,2196335,61588282000,20554667066460
774.96,791.58,766.75,782.1,3820029,126551281260,20619720326610
784.07,785.43,757.68,765.57,3381476,98204515020,20184092126750
763.45,768.76,754.89,762.71,1958126,54833703515,20108693997750
761.81,761.81,738.2,743.17,4075231,124123239135,19593587648750
740.06,776.45,731.47,760.65,5107658,136170755735,20054284030110
773.33,793.14,765.43,784.76,5539848,138942841350,20689882217160
788.08,788.08,769.1,772.01,3220070,82399836370,20353737971240
782.87,804.32,782.87,803.08,4624109,126151098735,21173031123730
802.87,827.8,800.26,825.92,5756786,194081123440,21775227817790
819.76,825.58,813.7,817.23,2598290,89139302830,21546141034930
817.58,830.86,814.7,820.38,3797461,125755056670,21629071687230
823.68,829.59,816.7,822.74,3087195,86521215645,21691201867320
828.29,836.74,819.89,828.65,4196452,128278534510,21847051617350
832.27,850.56,828.58,844.13,4745663,136072358145,22255132768100
844.4,846.35,831.44,835.7,3430401,120740509055,22033011125840
835.62,838.08,827.31,833.68,2346332,80621919040,21979706885450
834.57,837.67,819.49,823.84,2470926,69555915755,21720209142620
829.08,829.08,804.16,809.09,4135144,142273047070,21331323932900
808.99,814.81,799.35,806.64,3160742,93080589105,21266873268090
