날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,1161.87,1161.87,1148.68,1160.38,1493672,58547179210,31185779090050
2018-01-03,1159.04,1164.94,1147.17,1153.56,1358832,51944187560,31002529382850
2018-01-04,1152.65,1152.65,1139.62,1145.37,1763247,66429839890,30782403651150
2018-01-05,1147.27,1148.79,1138.26,1143.79,1110421,42126723030,30740064166750
2018-01-08,1146.45,1148.54,1139.6,1146.69,1336394,51439040484,30817962618100
2018-01-09,1145.72,1148.68,1139.83,1148.68,1508078,57066537890,30871256331800
2018-01-10,1149.83,1155.88,1145.09,1155.87,1371084,54681354860,31064544024200
2018-01-11,1151.9,1151.9,1136.12,1137.79,2194775,83312058620,30578615101300
2018-01-12,1143.74,1155.65,1141.72,1142.92,2586617,106003127130,30716567894450
2018-01-15,1148.35,1157.59,1140.48,1141.58,2092643,85788294530,30680663751900
2018-01-16,1145.84,1151.34,1140.85,1142.15,1325266,52924247140,30695974043850
2018-01-17,1144.95,1148.38,1138.89,1142.08,1378564,53306298330,30693996186800
2018-01-18,1140.69,1142.07,1118.47,1125.01,2823969,103981510200,30235134602300
2018-01-19,1117.26,1120.65,1109.25,1117.51,2069241,75851258770,30033735710300
2018-01-22,1116.77,1127.15,1101.86,1107.06,2133313,79307642420,29752913218800
2018-01-23,1107.62,1121.18,1103.33,1116.62,1772479,64849309837,30009635745750
2018-01-24,1120.61,1135.04,1120.61,1132.33,1906069,79842435331,30431826915600
2018-01-25,1134.74,1142.58,1131.84,1136.82,1754912,69661292920,30552722896550
2018-01-26,1140.17,1151.38,1137.92,1149.54,1510214,57445232350,30894446391450
2018-01-29,1152.09,1160.93,1150.68,1153.98,1526577,59025069540,31013790027250
2018-01-30,1154.6,1155.29,1140.53,1143.15,1663903,64776642920,30722854721000
2018-01-31,1139.43,1141.03,1120.96,1135.9,2194829,84186668160,30527905582250
2018-02-01,1142.05,1146.98,1134.84,1143.6,1473917,56523672250,30734709848600
2018-02-02,1142.95,1142.95,1130.15,1135.06,1652924,66231997414,30505241185500
2018-02-05,1126.5,1150.16,1125.68,1143.45,2496819,96468817982,30730762316900
2018-02-06,1129.88,1134.16,1117.82,1126.23,1810880,68929427470,30267915291650
2018-02-07,1128.8,1129.91,1115.91,1119.66,1580674,60873523610,30091520201950
2018-02-08,1112.54,1122.48,1104.46,1104.57,1857262,68267736790,29685775226200
2018-02-09,1105.7,1106.22,1090.99,1092.87,1530010,55681001340,29371428862600
2018-02-12,1092.34,1096.23,1077.89,1079.47,1173464,43030478570,29011247388350
2018-02-13,1080.38,1083.54,1059.63,1063.96,1754736,62029343000,28594510224700
2018-02-14,1046.2,1056.48,1037.76,1053.8,2207141,74192495650,28321401422850
2018-02-19,1056.52,1063.76,1052.95,1063.76,1309250,47195563090,28589063371400
2018-02-20,1064.74,1088.85,1063.2,1082.34,1381319,51510395750,29088530975600
2018-02-21,1083.94,1085.13,1071.62,1080.46,1617699,57515463746,29037957729300
2018-02-22,1069.44,1074.09,1063.01,1067.54,1185530,41526364440,28690568793200
2018-02-23,1072.15,1083.61,1067.78,1081.67,1180952,42679205980,29070376661750
2018-02-26,1083.56,1086.94,1079.59,1084.4,1728110,61232712460,29143740455200
2018-02-27,1083.66,1086.22,1070.9,1071.51,1046517,37659973550,28797490828450
2018-02-28,1063.96,1065.87,1055.59,1062.04,1322641,46216498010,28542753479100
2018-03-02,1058.23,1076.74,1053.87,1069.14,1976026,75053579526,28733581149600
2018-03-05,1064.81,1069.19,1058.16,1059.25,1152821,42877110530,28467786468100
2018-03-06,1060.23,1060.23,1044.87,1045.88,1617884,56138486680,28108546428350
2018-03-07,1049.97,1052.2,1033.0,1034.56,1851595,62712680150,27804326876350
2018-03-08,1033.11,1039.54,1028.96,1031.28,1829993,62363084180,27716141669300
2018-03-09,1040.69,1060.31,1037.28,1052.8,2249211,77633332400,28294634920450
2018-03-12,1059.4,1077.55,1056.93,1075.61,1542949,57501961550,28907523463750
2018-03-13,1067.96,1071.21,1056.67,1063.86,1026190,37296637520,28591675252050
2018-03-14,1055.38,1059.83,1050.11,1054.87,851330,32055539380,28350176534800
2018-03-15,1053.25,1054.7,1043.08,1047.89,1136303,39699289910,28162490917450
2018-03-16,1045.46,1049.5,1034.62,1039.92,1939811,64864703740,27948476723200
2018-03-19,1035.48,1036.64,1029.73,1031.69,1168144,39484810010,27727275805850
2018-03-20,1028.99,1033.25,1023.49,1026.8,1218799,41717372290,27595750099550
2018-03-21,1027.13,1034.37,1021.63,1026.53,1225233,41831356940,27588409725150
2018-03-22,1031.0,1047.38,1030.26,1040.03,1365288,48122191820,27951463477500
2018-03-23,1029.19,1030.02,1016.0,1019.35,1491821,48927388810,27395487191250
2018-03-26,1016.7,1019.55,1004.7,1015.21,1542632,52775179910,27284264353700
2018-03-27,1018.24,1028.34,1018.24,1022.22,1006348,34946925870,27472629278150
2018-03-28,1020.72,1043.9,1013.92,1039.78,1273086,44561189940,27944704933400
2018-03-29,1035.47,1066.24,1025.67,1062.77,2306150,77359224440,28562379355100
2018-03-30,1063.08,1075.75,1059.2,1061.96,1503635,52068882250,28540664872400
2018-04-02,1061.31,1079.0,1060.8,1070.52,1316867,46980999310,28770750111800
2018-04-03,1065.4,1121.71,1063.25,1112.96,4742722,166642707670,29911354624350
2018-04-04,1120.75,1139.89,1110.28,1110.35,4059100,150226123530,29841151911450
2018-04-05,1111.71,1121.08,1091.13,1106.84,2088955,75795689480,29746916799850
2018-04-06,1105.66,1108.25,1088.71,1094.05,1484791,52457233170,29403080113600
2018-04-09,1097.4,1112.96,1094.15,1102.03,1347658,48336213350,29617619367950
2018-04-10,1095.35,1116.73,1093.05,1107.85,1359571,49006195980,29774069863150
2018-04-11,1093.63,1120.28,1092.87,1104.69,1535076,59728049520,29689085708900
2018-04-12,1105.33,1107.74,1093.63,1099.86,1132658,41532037720,29559311083050
2018-04-13,1103.6,1105.94,1087.43,1101.93,1141696,41698384990,29614830362800
2018-04-16,1096.25,1097.83,1073.25,1082.5,1333220,46220486850,29092632110650
2018-04-17,1084.17,1108.92,1082.25,1099.73,1991177,71588706530,29555739037100
2018-04-18,1098.06,1110.56,1094.15,1104.59,1218714,44368177050,29686480727800
2018-04-19,1110.4,1127.77,1100.25,1110.57,2228084,84971001358,29847240584800
2018-04-20,1122.21,1145.33,1116.87,1134.75,2854119,104582255300,30497034252900
2018-04-23,1144.11,1188.77,1142.92,1166.9,5969999,229355037290,31361085049300
2018-04-24,1171.84,1185.01,1155.9,1175.12,2148975,86231455146,31581871663100
2018-04-25,1169.81,1171.26,1154.41,1162.11,1566502,63458051110,31232292020050
2018-04-26,1160.04,1160.66,1130.15,1139.22,2067177,77437839020,30617185404550
