날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2020-01-02,20247.64,20337.26,19986.29,20058.37,109776910,1491673126952,499157733122537
2020-01-03,20376.86,20550.63,19960.6,20126.27,165554809,2094445767750,500757094894633
2020-01-06,19839.11,20152.66,19798.49,20107.24,91533903,1521569823095,500348442802705
2020-01-07,20203.43,20403.1,20172.43,20191.29,57308580,1295425796583,502770948475603
2020-01-08,20286.89,20735.14,20211.42,20489.12,132506598,3068802840046,509911250139482
2020-01-09,20961.34,21069.62,20717.81,21068.89,106033044,2750567417139,524635289549766
2020-01-10,21122.97,21410.72,20995.55,21366.71,91959825,2224682650809,531622001721452
2020-01-13,21334.65,21599.68,21235.9,21583.94,68824308,1676433100396,537395630414946
2020-01-14,21797.04,21996.68,21574.47,21625.93,122289169,2429739266924,538587827769209
2020-01-15,21406.74,21488.24,21249.95,21295.35,55876723,1741015457398,530586061281440
2020-01-16,21379.67,21777.74,21277.4,21775.72,67409529,1737183251188,542564504051567
2020-01-17,22167.71,22215.15,21840.14,21930.52,57331815,1780276282785,546529194943252
2020-01-20,22128.68,22431.76,22101.06,22271.47,59601742,1684300165047,555445634700607
2020-01-21,22155.54,22298.55,21921.39,21972.49,47244408,1307736059381,547583691503471
2020-01-22,21825.49,22395.35,21759.74,22318.85,60003257,1832429823708,555632835750385
2020-01-23,22033.4,22130.22,21780.85,21826.41,53223164,1789626457803,543660136698879
2020-01-28,21181.97,21326.77,20987.58,21192.38,69872304,2492058100334,528088880306531
2020-01-29,21349.6,21540.79,21241.34,21341.05,56164542,1884791240191,531921163602673
2020-01-30,21229.69,21283.93,20552.19,20685.73,61687676,2381095749588,515516696160295
2020-01-31,20858.66,21134.1,20403.97,20403.97,102868400,2621693662145,508646409192102
2020-02-03,20004.14,20742.86,19991.63,20667.96,134408355,2830581848872,514913853092554
2020-02-04,20629.27,21348.96,20629.27,21324.96,102929595,2820047263605,531603343802941
2020-02-05,21660.57,21751.1,21312.55,21501.75,81419756,2458945437388,536549159078848
2020-02-06,21703.23,22074.01,21597.24,22073.17,82386326,2211416112631,550192774566446
2020-02-07,21981.89,22037.52,21600.09,21831.62,73808532,1980846207431,544576313863574
2020-02-10,21427.79,21675.01,21412.15,21637.24,61761602,1579720578669,539940106472234
2020-02-11,21776.98,22056.11,21680.81,21827.93,53261792,1925246075064,544383760721267
2020-02-12,21975.3,22074.94,21752.85,21988.27,74962901,1996713576561,548022148529824
2020-02-13,22210.08,22406.07,22033.39,22087.78,66814247,2457300147369,550696404272231
2020-02-14,22155.08,22506.93,21922.3,22461.93,100834577,2090254035212,560353247499560
2020-02-17,22416.64,22581.7,22293.43,22417.03,98241116,1882211888701,559163210228360
2020-02-18,22176.93,22238.23,21817.52,21855.52,70517232,2269692590526,545044849170178
2020-02-19,21988.5,22103.49,21687.89,22006.72,66746933,1937355318924,548596350164564
2020-02-20,22239.91,22347.23,21782.38,21979.1,87266242,2257511929402,547794926235012
2020-02-21,21557.22,21915.26,21557.22,21685.29,65375661,2045407387944,540605089050270
2020-02-24,21091.4,21257.76,20828.6,20828.6,90511002,3099026915629,519479645870165
2020-02-25,20735.42,21097.78,20640.82,21088.09,139161204,3452910092359,526189261956616
