날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2017-01-02,363.08,363.27,360.04,361.96,17159399,25550829105,2959688896980
2017-01-03,362.66,365.53,361.38,365.13,8846658,16065548515,2986529959620
2017-01-04,369.37,373.61,369.37,370.35,24040097,156205917481,3028871655580
2017-01-05,369.84,376.5,369.49,376.17,40592424,92539033976,3076740647975
2017-01-06,375.99,375.99,373.58,374.71,12684630,39456781950,3064916546872
2017-01-09,375.82,380.61,373.84,377.37,23780462,111908962779,3086800850589
2017-01-10,377.24,380.5,375.37,377.13,25557009,84334474545,3084581079370
2017-01-11,378.5,379.83,375.93,377.01,13748562,48186519700,3083238178999
2017-01-12,378.49,378.96,375.38,376.83,13746545,29047274897,3081396529620
2017-01-13,376.43,379.26,376.17,378.08,13645775,58016176956,3091241023850
2017-01-16,378.18,379.76,374.87,376.69,9235733,24622678107,3079951402288
2017-01-17,377.32,378.17,375.61,377.56,8821433,33932962820,3087111154487
2017-01-18,377.89,378.98,376.45,378.7,6924559,28657461623,3096124909536
2017-01-19,379.02,380.59,375.71,375.84,16011675,24777620442,3073304675519
2017-01-20,376.24,376.24,372.33,374.67,8317044,19922235081,3063639605673
2017-01-23,375.11,376.84,373.44,373.44,9147432,19924743036,3061989314493
2017-01-24,373.15,374.15,370.35,371.05,6601359,19021883315,3042480580953
2017-01-25,371.72,372.26,366.65,367.67,6233666,18434572618,3014541120230
2017-01-26,366.75,371.92,366.75,371.12,5066792,12048574790,3045430475544
2017-01-31,370.57,372.2,368.83,371.87,3820434,14081740577,3051881648900
2017-02-01,372.23,373.81,371.84,373.18,5978952,15619905267,3062757276164
2017-02-02,372.81,373.52,367.22,368.64,8656643,24115323607,3025063302182
2017-02-03,368.97,370.33,367.02,368.24,5661772,21546586938,3021812127961
2017-02-06,368.36,369.77,365.2,368.59,5670010,17099450375,3024581505400
2017-02-07,369.57,370.22,367.89,367.9,12951245,23363605854,3019104925335
