시가,고가,저가,종가,거래량,거래대금,상장시가총액
2113.66,2113.66,2088.55,2095.98,18862604,126953359793,28306690319859
2096.79,2103.72,2075.21,2103.56,13307744,101996851176,28419633320618
2091.91,2104.19,2079.31,2085.63,13316957,100993612647,28186193367408
2074.11,2083.25,2037.34,2041.26,16853747,134274092394,27613209575343
2044.13,2060.3,2038.21,2058.41,10962874,84742914003,27845085974352
2056.6,2063.87,2045.96,2059.45,11115918,75557564786,27856071658239
2055.39,2072.68,2044.68,2060.57,15054762,98980127992,27865891395143
2071.35,2105.68,2069.26,2104.96,11432772,89557413904,28428093466189
2107.29,2139.64,2107.29,2139.64,11810185,90089455215,28861987625063
2131.91,2137.86,2095.53,2112.47,12004089,91709450852,28509007548370
2102.11,2105.16,2078.85,2090.06,9686855,65936714417,28214124334000
2090.33,2099.42,2067.1,2074.3,9553726,69468904779,28008617475422
2065.02,2098.19,2061.0,2070.23,9826905,70393969172,27945376842743
2076.24,2083.53,2058.04,2082.6,7353961,57131941400,28095603225352
2070.15,2083.28,2064.68,2071.12,6924279,54551315517,27944759348126
2068.84,2073.18,2030.75,2040.39,10480892,72547431530,27522083060842
2031.96,2037.58,1975.94,1982.82,14000421,95838772388,26761266493276
1986.71,2025.4,1982.55,2010.19,11662209,76550224498,27117221902876
2010.19,2018.15,1942.39,1951.56,15570663,97474297199,26354700293691
1965.31,1986.37,1946.13,1985.76,12507149,89666473509,26818370565108
2007.17,2064.26,2007.17,2045.06,11239995,94432969322,27591938924278
2043.7,2055.03,2027.84,2044.39,7311039,57868571767,27590500186959
2048.66,2049.13,2020.51,2046.61,9165092,66733772061,27613771583590
2063.27,2071.61,2038.71,2055.14,9139420,72261217348,27730550885129
2057.24,2106.85,2057.24,2106.67,10061669,86143400753,28392860466975
2104.26,2104.56,2080.91,2085.21,6822020,60865714069,28126758584492
2073.48,2091.18,2063.75,2080.73,6448454,53444547778,28071330758011
2071.2,2071.2,2042.75,2064.22,7738402,53516580191,27826689038825
2064.89,2066.28,2027.08,2037.31,6911530,48125272814,27309047844168
2058.17,2078.66,2054.24,2072.41,18399360,84031459528,27772586317990
2076.72,2090.91,2055.86,2069.99,9075861,67956900229,27752492286885
2054.23,2079.93,2048.22,2072.19,6058609,39622128387,27776699844088
2049.39,2071.94,2044.14,2069.75,5969875,43559421885,27754838186869
2057.58,2075.92,2043.14,2056.5,9512337,66625075793,27573859341887
2068.62,2074.27,2048.17,2056.76,6126624,45407116197,27583308238525
2039.92,2050.42,2013.85,2021.36,9090268,62965924436,27121034985982
2034.44,2054.47,2028.02,2051.48,9069769,53414050238,27504777506858
2051.44,2053.7,2033.0,2044.34,12273323,89603786536,27423147273442
2043.98,2066.91,2039.96,2058.19,7637743,62330309142,27627162639185
2065.93,2097.89,2059.37,2097.89,7747683,60372770788,28139899061308
2092.1,2092.58,2061.17,2069.71,5225591,44723726117,27780391137080
2060.09,2060.09,1999.43,2005.54,8896253,70128234963,26952790511438
1997.74,1997.74,1976.33,1980.46,8455528,51827613647,26636389695498
2012.41,2027.82,1989.31,2002.72,8059705,71142334960,26923798492878
1993.05,1996.87,1968.98,1982.27,7496880,61355408691,26659754808939
1979.54,1993.91,1975.88,1982.17,6320116,55599465357,26654155340145
1973.82,1979.39,1953.5,1957.24,6236932,57443548862,26339796384031
1970.64,1978.6,1955.42,1978.6,8432300,64005834194,26614774167164
1993.6,2034.81,1993.6,2025.59,14457782,101948305720,27217736497577
2025.26,2035.56,2014.42,2027.52,12977997,105981852038,27229100791158
2031.94,2031.94,2008.54,2011.57,6184551,52668251519,27032880633394
2012.69,2025.54,2012.03,2024.27,6205339,45204042471,27197330131703
2028.54,2042.5,2022.9,2033.23,6773758,54031626772,27310364716883
2024.7,2028.95,2013.04,2023.07,6977545,52231299973,27189748368230
2025.31,2042.08,2018.5,2039.53,7236829,56180953429,27792669544133
2034.39,2050.72,2028.1,2049.41,6182279,43403411737,27931862303895
2055.91,2066.07,2052.27,2056.69,8676023,55944196825,28031749419195
2067.53,2067.53,2051.16,2058.51,6705945,48237955113,28036726936500
2055.8,2077.07,2055.8,2069.99,6163625,49438352872,28188837845576
2060.82,2078.19,2053.19,2074.03,8802962,67157002157,28249088836539
2068.81,2092.77,2065.25,2090.23,7298658,50204794883,28460434857787
2093.39,2093.97,2075.59,2079.93,5750731,43790677586,28326619065031
2073.59,2075.25,2058.1,2060.59,6684428,62662050339,27932889616070
2051.25,2058.6,2044.11,2046.45,7511252,58096877040,27739649255873
2051.42,2065.43,2042.26,2057.37,5478379,43031968121,27881915697330
2048.62,2075.14,2048.62,2067.13,5550578,43582116443,28008510768960
2056.91,2061.35,2044.98,2050.27,6345998,48769856621,27786816788371
2061.23,2075.17,2052.94,2075.17,4963111,41055592084,28106333345829
2069.71,2089.68,2063.85,2080.24,7477161,71446492223,28176810555118
2070.23,2071.14,2046.73,2053.95,6986682,58822288301,27841861311991
2043.72,2051.61,2040.28,2043.02,4875075,39903675459,27702748446345
2046.57,2056.32,2040.66,2050.34,5032256,45360850500,27792979435890
2044.62,2046.44,2031.72,2031.72,6066819,65985783643,27561156534306
2040.11,2051.02,2034.13,2046.36,5371309,49898356594,27744226303184
2031.4,2033.46,2015.4,2024.08,7464130,63419944442,27455657987323
2011.93,2011.93,1986.86,1986.86,9634100,73503157912,26975082649235
1992.31,2006.48,1988.83,2000.13,6668662,50762732764,27145883043966
1996.15,1996.15,1952.08,1966.01,6370473,52905398828,26696210449004
1971.3,1978.33,1964.56,1978.33,5292069,43766900055,26850452191938
1973.98,1996.45,1969.32,1994.07,5706033,47154172717,27047363330260
1980.37,2004.6,1977.5,2000.46,4921391,45344617600,27131868083921
1994.77,1998.74,1979.15,1979.96,4607529,39246541992,26874196483521
1983.25,1987.05,1968.58,1969.34,4676958,35664899972,26737107649052
1962.59,1962.59,1946.73,1951.78,5827010,47498279755,26501757802313
1938.72,1943.76,1908.88,1916.82,6514245,52197342083,26049144662039
1908.54,1908.54,1872.21,1904.37,9856385,74983629571,25884722672696
1891.7,1896.21,1861.37,1861.57,6334796,51402298511,25338592995110
1847.5,1857.0,1826.83,1829.86,11843661,77375135120,24919225892962
1844.1,1868.44,1837.34,1859.91,7393540,58101256016,25305858715343
1869.94,1876.12,1849.34,1852.14,6926409,53151535454,25206134418515
1859.35,1876.39,1856.28,1870.83,7293492,55901700507,25443604491757
1873.77,1893.98,1864.52,1869.35,5403227,44786429587,25425886774887
1849.27,1853.98,1832.17,1849.13,7185450,54961987577,25159086093834
1862.63,1890.42,1862.63,1885.55,6125913,52066176938,25619755045793
1888.68,1895.93,1871.81,1895.19,4756496,39609002836,25738349976992
1891.13,1904.17,1884.02,1887.37,5809233,43670883035,25637596863375
1899.66,1910.22,1888.3,1898.36,5464066,38213595790,25775387708830
1895.59,1912.77,1890.75,1899.11,5501914,41358418660,25784056818482
1912.63,1930.11,1910.82,1922.94,5038514,42140457793,26093947112891
1932.97,1943.97,1932.63,1939.36,4689816,35134768561,26318711554883
1940.44,1944.37,1923.72,1942.52,10854458,96317734637,26365241370670
1929.53,1930.71,1909.63,1913.45,5676137,44038004885,25995037714086
1922.27,1925.38,1902.67,1905.97,3676844,28616161322,25905389636582
1901.46,1901.46,1862.78,1865.92,5774895,42399153211,25385399228321
1870.82,1876.77,1858.11,1860.52,4376772,29606054641,25321721960295
1856.78,1858.99,1840.4,1856.5,10390533,75345171674,25277453879688
1850.15,1855.36,1834.76,1845.97,9264661,58669249048,25162888456020
