시가,고가,저가,종가,거래량,거래대금,상장시가총액
1331.45,1347.1,1326.28,1340.57,22964646,2683786714913,962342167077300
1323.35,1323.35,1299.94,1299.94,29310048,3220867167424,931966067485700
1292.04,1301.42,1286.17,1292.3,21663561,2404747950702,927454180294700
1291.97,1295.42,1286.2,1288.04,16163234,1907026011600,926050619310600
1292.24,1295.59,1276.71,1277.0,17266181,2051557986948,921425949428900
1292.61,1293.27,1271.09,1272.78,33074208,3302020818997,911478905859400
1272.39,1273.89,1254.79,1258.79,27622935,2959393028794,898641342346700
1260.83,1270.82,1260.47,1261.04,65504623,5730566470231,899153943140600
1259.17,1261.75,1242.82,1247.81,17985004,2067683793098,893574308611400
1241.59,1247.31,1236.0,1246.12,18172473,2068892900924,895973769407700
1239.2,1248.21,1233.56,1236.12,21484688,2409286165553,885314116664100
1235.13,1236.56,1198.39,1199.61,31164043,3459132571250,863988084541000
1196.84,1211.96,1188.53,1202.37,24598361,2692629733148,870985677773100
1216.63,1219.52,1201.54,1209.84,32031755,3454029878466,891333181288000
1219.13,1220.33,1198.04,1198.04,27837709,3291572285417,889669106020200
1202.79,1206.28,1196.62,1205.3,21162594,2466787050370,891869083804500
1203.83,1209.13,1190.85,1204.62,18699524,2201644021920,886219811884700
1199.17,1207.12,1190.03,1203.35,22993113,2822055697056,882631111704700
1198.46,1230.95,1193.27,1215.63,19648076,2467431676482,883173103547500
1226.71,1250.87,1222.38,1241.64,23330193,2929330328138,895513874311300
1254.0,1261.45,1239.3,1239.3,21793947,2867090013363,895259210540000
1236.22,1254.85,1235.65,1245.41,26094312,3023431847377,888417077042300
1237.74,1263.59,1235.4,1261.61,32706102,3807280228044,897150692902400
1284.01,1332.65,1280.17,1332.25,36916035,5228810788766,928524083173000
1337.69,1337.85,1305.43,1324.0,38179817,5098673465005,920206801035400
1314.66,1327.03,1300.01,1305.44,30055646,3908122501268,916430641242300
1318.35,1335.76,1314.28,1321.84,29800269,3891286182301,925466357472600
1333.74,1339.78,1326.02,1330.88,35332499,4614363849863,926371693942100
1341.59,1356.5,1340.82,1345.63,37803902,4838610499667,940113625388600
1320.73,1336.37,1312.56,1330.39,22064402,2896414619800,927580959214300
1347.45,1349.33,1323.53,1328.55,24687734,3207195477300,922406792420500
1343.06,1356.53,1337.13,1355.85,24114761,3371450535570,930379451481400
1353.45,1366.47,1351.68,1357.44,22462693,3040739471561,936488245495300
1347.66,1350.99,1334.64,1344.91,23976871,2980784981008,930099299532300
1340.79,1350.83,1335.21,1344.18,20433158,2597958440996,928433161657400
1352.94,1358.74,1346.81,1350.24,27881841,3495417956808,934585733872400
1359.59,1360.94,1343.05,1345.05,29221202,3769288680103,933344386268200
1335.75,1342.47,1326.17,1337.56,25298314,3159503100632,931779536107900
1343.97,1346.17,1317.21,1318.82,24577569,3147667124150,922429722848800
1320.76,1342.32,1318.63,1339.89,20885443,2722599443348,931675324330600
1331.82,1344.01,1321.38,1334.43,36113579,4437167927174,930043550873500
1344.8,1364.24,1344.65,1357.84,36418085,4533749023326,949511886786300
1341.6,1355.61,1335.1,1335.1,30348617,3756432323378,934584344965300
1327.94,1339.91,1326.04,1333.97,29884697,3270350180677,928597742286200
1346.03,1359.39,1336.47,1352.55,23955217,3358385794854,932547718061800
1372.82,1389.08,1371.98,1378.46,31538128,4361310864006,950388251277700
1367.72,1372.89,1353.29,1354.0,18184376,2509796151800,935546184972200
1365.34,1384.44,1360.93,1381.37,21738119,3219123673409,950341888206300
1384.57,1391.14,1373.57,1380.96,26048196,3615062535675,953355636302300
1378.7,1383.33,1372.51,1377.92,32893741,4059747619550,952859460522200
1366.98,1371.04,1344.99,1344.99,33052823,3955909924484,929434380165400
1354.26,1371.65,1348.22,1368.83,19082055,2586833182000,942123032378900
1359.98,1359.98,1332.94,1343.21,26393744,3344980392927,931900144683600
1351.81,1360.67,1340.03,1346.35,61732249,6181190193329,954268873102500
1369.81,1381.34,1363.93,1375.39,60851489,6672671135465,983198643229700
1374.09,1383.77,1365.44,1371.92,38982153,4628805230800,979214771066800
1376.78,1385.89,1369.01,1373.12,26808269,3338846887631,975424402926000
1379.88,1394.98,1374.11,1375.77,42449698,4998558129429,987535725193800
1375.88,1389.54,1375.68,1384.08,27203043,3503758469880,992120839194000
1385.26,1386.08,1367.36,1368.13,32996608,3804732630263,990376140903400
1374.95,1374.95,1357.02,1366.04,34317331,3856097075700,999804782766200
1373.75,1375.3,1354.17,1354.92,27505975,3333856730000,995533078524300
1351.62,1356.77,1339.89,1343.55,47875314,5340766559569,1008625154978600
1328.52,1331.32,1307.89,1307.89,42070279,5110509231552,987904319728000
1328.09,1343.25,1321.71,1338.97,36282938,4455559051368,1008061969927800
1320.31,1331.07,1313.3,1318.97,27863326,3466082559742,995165787516400
1317.27,1330.76,1308.83,1325.52,28372374,3730834723046,996070418616100
1335.7,1339.92,1317.57,1317.63,29963644,3318243584444,989652393916500
1295.9,1336.03,1294.62,1330.56,36583001,4483163119809,999592611016500
1332.64,1335.96,1319.71,1320.48,24285882,2982547206804,992660615357000
1307.49,1326.82,1300.48,1324.4,34485619,3741893153104,986263537497500
