시가,고가,저가,종가,거래량,거래대금,상장시가총액
240.82,249.48,239.02,247.8,20741250,490133712235,31950744843400
248.0,258.94,246.68,258.09,84026428,1007852131050,33291289473170
259.45,263.61,254.87,259.66,52046330,740672696060,33572204273460
261.64,265.77,261.01,262.73,25175587,426976118120,33913493465670
263.55,266.07,261.64,263.86,26385090,487532203570,34023299597850
263.86,273.51,258.78,264.98,37825575,846406195420,34002095536430
264.72,268.32,259.44,266.64,22206966,547665077900,34170058067860
267.12,269.44,262.85,264.87,15482800,321753623520,33959198484380
264.99,269.4,263.82,268.65,19739209,328619579510,34517490235950
269.3,271.18,261.85,262.66,14944329,301910142960,33760442769940
260.48,266.34,256.45,261.48,35450826,491627220670,33560845974260
263.33,271.58,263.32,271.58,36196924,542207541970,34941987497270
272.93,274.41,266.84,273.26,17352056,348322851910,35246206890170
274.21,274.63,271.42,272.31,14827276,303324134170,35127883234780
272.96,279.99,270.68,274.65,17682932,503016750370,35637362640810
274.61,277.74,273.85,275.5,19830878,565305349620,33978255905000
276.19,277.55,270.28,270.28,14892049,594257230250,35782563053530
270.91,273.93,265.65,266.77,12737647,447537713210,35477326002060
266.02,268.38,258.97,263.63,27991054,498662740690,35077465896360
263.89,266.04,248.63,251.17,24846454,554703360530,33532899424150
250.59,263.28,247.13,263.24,22212333,460343930580,34965765422280
263.29,267.93,261.06,265.68,18534659,468119021620,35205457876790
266.13,274.8,266.13,274.34,22127478,600571204380,38654107453160
274.61,278.98,265.88,267.54,34141961,803788665740,37665403659770
267.53,269.42,262.53,267.42,13199711,387191693180,37780370817150
267.48,272.47,265.97,268.29,14254823,333297054060,37929932608200
269.28,273.01,267.02,267.85,9845041,331834818470,37957440672940
267.84,271.51,265.45,271.51,10266648,297753836240,38543861710540
272.32,274.45,271.25,271.95,9349461,275267951550,38787232438530
272.05,273.68,270.31,273.21,9655157,257904254130,39119312329540
273.12,274.13,270.7,272.82,9479786,303539124630,39322766549360
272.76,274.9,270.85,271.15,8984060,318505350400,39187492972620
271.03,277.64,265.49,277.27,11414879,409824135680,40313711277870
277.53,283.31,273.06,273.06,11584728,439773898180,39664911586990
272.96,277.7,269.13,275.34,11891878,398571535600,39985914602100
275.6,277.24,261.62,262.26,11849261,462031212650,38072422574330
264.05,271.37,263.91,271.37,8272967,317380338820,39245850691430
268.15,268.32,260.38,262.9,12550697,378754490760,38075750307910
264.28,268.35,258.32,261.5,8928458,324210777950,37848827239940
261.19,264.46,259.23,263.91,5874131,202735542320,38163215771240
269.7,269.7,260.45,262.89,11498291,510965736310,38192577034010
262.42,262.42,256.02,260.41,9502507,280447074410,37989401116600
261.01,264.62,257.41,257.51,13707222,314676161310,37253688484430
257.13,259.75,251.1,258.83,13864881,424772465895,37058618365860
259.14,262.87,253.86,255.66,9153502,281733033300,36831692284770
256.26,263.81,256.24,261.87,50675616,587303483270,37816884312310
263.29,269.56,263.28,269.22,17112924,316283040280,38826696947630
269.05,276.57,267.28,273.89,23671840,424061578470,39399201418200
274.69,277.25,272.23,273.35,12442975,292345495770,39217469161850
273.59,273.99,267.45,271.29,8831367,274119926810,38790156546470
272.1,275.93,271.02,271.51,10471330,264887629990,38840120331580
270.99,272.43,265.69,271.48,9833761,277680040810,38861911400600
271.74,274.48,270.56,274.06,15712419,330067165110,39031940050040
274.65,279.12,272.64,273.34,31867907,613762097850,38874198627030
273.34,274.24,269.1,274.02,13471666,284209775740,39103370796610
274.24,277.36,272.59,276.37,11357483,322822558493,39326744933420
276.83,281.96,276.83,280.74,32377566,482263597350,40017431874810
281.64,285.33,280.39,283.1,28953501,474666410590,40374494396110
283.27,287.13,281.53,282.87,19676919,451913809690,40571293572630
282.74,285.78,280.56,283.88,15568579,336309243950,40818175695980
284.85,286.46,279.63,280.39,13123391,353398391370,40393444799770
281.78,283.57,279.41,281.93,13922495,367532696270,40712181505730
282.03,287.02,281.45,286.54,11852112,361868047020,41413850319340
286.67,290.39,284.75,285.77,15469381,369235247280,41218811722920
286.56,288.55,285.19,287.98,10250164,265874770250,41545350240820
288.35,298.11,286.79,294.51,45945478,904452467150,42279589707150
294.67,296.89,291.89,293.74,18372849,384566512290,42197687193980
293.77,296.45,290.84,295.28,11902671,394232511130,42724166064680
295.44,296.51,291.62,292.65,14004277,406417175270,42356596843160
293.07,298.88,293.07,298.16,14173601,410902365520,43150825345790
298.16,303.77,297.34,301.19,23713511,550233371270,43431531272990
301.8,303.67,300.88,302.81,12190761,357041037740,43649838539500
302.97,304.97,302.01,303.61,18324382,389980008440,43705462495430
303.94,310.53,303.59,309.54,30482011,605988448880,44479581879930
309.53,310.22,305.12,308.15,18944619,439731530570,44321414854340
308.61,312.88,308.61,309.96,16258720,513783354900,44542938280680
309.38,309.38,305.06,308.45,13177734,383460781930,44176766114420
308.59,315.51,307.64,315.42,18683360,473136658840,44982690400280
315.22,319.03,311.76,318.56,16605322,494547484300,45142919038180
318.52,320.21,311.76,313.8,19174482,487123739270,44443407247970
313.87,320.18,309.44,315.45,41965991,706204484480,44486510494920
315.39,315.76,305.19,306.97,25319129,592592275600,43464395136870
306.59,309.74,301.33,303.01,20649547,481877839800,42618879260560
302.97,304.79,295.24,302.66,18297051,424808400650,42771300881840
302.61,311.55,300.43,311.19,18827453,417384028120,43694531932300
311.31,318.25,311.26,317.38,16282703,412172265180,44554248659480
318.49,322.08,318.03,320.66,17664236,425429113620,45057198603180
319.78,323.82,318.89,322.99,21191501,552061977380,45135169276090
322.85,323.01,310.5,314.08,20078944,664154283670,44115536678640
313.92,316.02,304.86,311.65,18652848,592115386440,43795218736310
312.94,315.41,309.46,312.31,9831243,281603255630,43950900961400
312.8,314.31,306.41,308.17,10461212,346488892760,43395135494400
308.56,316.83,308.56,316.22,20030147,413714887120,44458816139960
314.9,320.5,313.67,318.05,15012489,406569011640,44887735335460
318.49,321.06,310.78,313.73,17563306,536832875950,44341910563360
314.23,316.2,310.54,314.52,12875481,319999084650,44397923252130
314.79,317.33,311.3,312.62,14094012,331398487430,44187615401350
312.82,314.2,310.47,313.41,15115770,449556140960,44462361871160
314.32,321.29,314.23,320.44,26533931,764732807920,45293588599040
321.9,322.43,319.47,321.12,22580173,492952174360,45396870061690
321.29,321.47,316.33,321.13,22543399,482055540960,45291946693010
321.22,322.05,318.83,321.12,12556898,317820053780,45275776400750
321.52,329.68,319.47,326.15,41901330,763037539550,45823015648210
326.5,329.44,321.65,324.48,28792600,567140517520,46143763189460
324.32,326.18,321.98,323.89,17865205,384321364400,46068597960820
324.08,327.46,322.7,327.12,18967031,536588908940,46612017932720
327.09,334.65,326.04,330.04,40277857,829965258640,46794992048150
330.57,332.41,325.6,325.6,18364125,460291808660,46269784101020
324.81,326.27,321.24,323.51,21201353,564519234870,46107139457890
323.74,326.24,323.0,323.58,12106564,366624365110,44842592591290
323.6,325.15,322.88,324.91,11374860,267328624610,45102659929800
325.03,326.15,321.76,324.14,19314753,418124761940,44938083284460
324.12,326.14,323.33,324.56,14726443,351318557644,45073803759360
324.38,326.58,321.94,326.2,12267724,323567873055,45251705967090
326.28,329.33,325.9,327.93,16183780,396529262130,45497213494190
327.98,329.1,321.92,324.16,14063743,369094336150,44869912874130
325.4,332.35,325.4,331.75,34844068,563063811610,45691679387000
331.91,335.08,328.54,329.54,21938841,467279915470,45558370171850
329.72,334.48,327.62,332.31,22200550,537214207570,45716112303960
333.13,338.27,331.05,331.7,25746690,626214645750,45802411130480
331.68,337.34,330.86,336.25,24015044,554527170520,46126927677510
337.11,337.66,329.63,331.34,26800861,598066580300,45620550719450
331.74,334.12,329.93,331.45,17747205,413353605360,45563570870150
331.82,333.63,329.88,331.52,17337462,454488285690,45634241471240
332.18,340.06,332.12,338.22,18504878,577306008010,46268002149290
339.05,340.35,336.59,338.12,11055336,325273245740,46250842635420
338.12,344.3,338.12,339.5,22842609,642074707590,46548715665570
338.86,338.86,333.71,336.08,18789870,456198533760,46191608814950
336.41,340.2,332.36,334.24,15751588,644830041820,46290670414690
333.16,333.58,327.14,333.17,15873421,546425298390,46166670214500
333.67,337.89,332.67,336.68,10429890,378569758080,46639155200400
337.08,342.55,337.08,338.1,12371032,413718662690,46795186209840
337.6,340.36,334.42,338.2,10899207,408538878970,46884793398970
338.46,339.29,336.62,337.1,9253741,352353924310,46800734256220
336.39,338.39,334.15,337.47,6758491,261338479650,46813636339530
334.75,335.62,332.22,335.24,7400651,255211548210,46625705116320
333.08,336.73,328.97,333.05,15183211,709069946290,46192334515830
335.3,337.26,331.32,332.0,8855879,340726532920,45885627911760
334.51,335.87,331.87,332.74,9681157,337206327310,45977878244230
334.07,337.44,331.14,333.18,11723565,443666372950,46081800402030
333.17,333.2,326.26,326.45,7783636,316487872230,45214611780470
327.8,332.13,327.8,329.17,9910470,308363605450,45395189030550
329.47,333.56,327.71,331.29,10357401,318076566800,45668330201810
333.91,334.18,329.57,332.04,9141623,264059104280,45823914029590
331.59,332.25,327.69,328.93,8861957,268807881800,45426834581500
330.01,330.51,325.01,327.46,6286335,179256260220,45202585605580
326.74,329.0,322.33,325.49,7047167,218365934310,44886503393860
325.34,327.33,322.69,327.19,6282442,188395389000,45190578889320
327.22,328.66,326.35,327.39,6833033,198778539150,45397532984850
