날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,1308.1,1312.22,1274.86,1280.97,6516516,330060417525,132673490721610
2019-01-03,1287.72,1308.21,1275.88,1295.09,10763675,361812495881,133973921010940
2019-01-04,1294.66,1335.5,1294.66,1331.07,12538882,571354888309,137592917130840
2019-01-07,1340.05,1341.96,1320.92,1327.13,8761960,335610953483,137351062467620
2019-01-08,1336.85,1339.89,1303.06,1307.62,9568181,381668794145,135411052191690
2019-01-09,1307.75,1349.74,1307.31,1341.84,11187835,477150380144,138811214848890
2019-01-10,1333.22,1334.66,1320.31,1329.12,9059323,404806264080,137626448107880
2019-01-11,1328.71,1338.54,1323.83,1333.95,9876392,332707004045,138157510891550
2019-01-14,1330.28,1342.73,1326.14,1333.48,8266817,397864450445,138021810601370
2019-01-15,1339.82,1368.39,1336.56,1363.01,10460798,463141240130,140970061998370
2019-01-16,1361.74,1365.87,1349.84,1360.26,9810749,357608638734,140679730839310
2019-01-17,1361.43,1379.31,1354.42,1372.44,9519165,458517496621,141803159713200
2019-01-18,1380.37,1403.88,1377.69,1403.34,11428171,498128352845,144993997009260
2019-01-21,1405.62,1416.35,1382.84,1385.71,10143253,442998295805,143231246999900
2019-01-22,1386.68,1393.59,1380.56,1390.33,9034737,399640941225,143622621667000
2019-01-23,1391.45,1424.95,1391.45,1422.41,10348635,556626712209,146729486697770
2019-01-24,1405.31,1422.65,1398.87,1420.72,10106749,466759831835,146517114520040
2019-01-25,1406.72,1416.91,1401.94,1407.01,9468386,495371562930,145230831776450
2019-01-28,1418.43,1420.36,1406.71,1411.98,9398685,561941335223,145619460435920
2019-01-29,1404.59,1423.69,1400.01,1422.44,8886573,418232847515,146674043728820
2019-01-30,1425.42,1439.03,1416.88,1438.4,9441929,402618388183,148210657285490
2019-01-31,1449.16,1450.84,1424.64,1440.74,9614231,426528581570,148491421193320
2019-02-01,1438.97,1445.33,1424.81,1430.63,10848642,406297427187,147407595505670
2019-02-07,1432.82,1433.62,1415.75,1421.3,7483821,351093189233,146448895144740
2019-02-08,1417.36,1420.04,1401.89,1408.13,6979997,342458970948,145210076359370
2019-02-11,1413.49,1423.53,1406.67,1416.17,7680796,370256118750,145983464096120
2019-02-12,1422.08,1427.84,1414.62,1421.97,9260687,395450365967,146595595800810
2019-02-13,1420.79,1426.28,1409.53,1415.24,9996629,431118913563,146066080079280
2019-02-14,1404.33,1415.1,1382.32,1415.1,11672538,558677906797,146016333715250
2019-02-15,1402.49,1405.5,1391.3,1399.61,9511074,456747548220,144336792637500
2019-02-18,1397.62,1401.1,1385.94,1397.94,8079607,424523897500,144265505379500
2019-02-19,1399.77,1399.82,1384.89,1388.65,7408583,358415312400,143366269059910
2019-02-20,1395.14,1415.76,1391.16,1398.72,10087955,575393881820,144269055497570
2019-02-21,1400.9,1414.1,1398.5,1407.27,8760537,466196695420,145008692146170
2019-02-22,1404.81,1413.96,1402.3,1409.95,6138468,309368891196,145297496706990
2019-02-25,1415.62,1422.27,1407.35,1413.36,6964759,345949781980,145637058620610
2019-02-26,1415.28,1428.32,1413.41,1419.06,9628611,533187230367,146164708802270
2019-02-27,1438.44,1452.43,1433.57,1448.27,8664364,550368088950,149038689171180
2019-02-28,1445.22,1453.74,1433.62,1435.88,11086213,592830612234,147797721756090
2019-03-04,1430.61,1432.65,1401.53,1407.97,10580491,576278114376,145155961713030
2019-03-05,1397.97,1400.72,1387.81,1400.72,8203465,402202126461,144422208163250
2019-03-06,1398.55,1413.29,1392.23,1404.7,7866448,446990496681,144757252507140
2019-03-07,1414.86,1418.35,1391.02,1401.8,8289303,480491229131,144491759920350
2019-03-08,1392.8,1397.63,1370.02,1371.43,7023206,387041680350,141449805274880
2019-03-11,1368.43,1383.12,1368.43,1382.7,7775908,398883415644,142616210758655
2019-03-12,1389.51,1400.13,1388.72,1398.93,6955996,378419778615,144279103637000
2019-03-13,1400.22,1401.02,1369.85,1388.61,6418414,339736371329,143194284250285
2019-03-14,1395.3,1396.85,1358.67,1372.87,11032664,582909194833,141720601340610
2019-03-15,1371.22,1402.19,1370.05,1400.86,14579596,649200670905,144444080614780
2019-03-18,1404.81,1430.52,1402.86,1428.2,8130265,478957404714,147078724988680
2019-03-19,1422.44,1431.95,1412.91,1426.39,6666887,325922448013,146883093243680
2019-03-20,1414.15,1432.67,1412.06,1432.66,7076659,342201086690,147414330199775
2019-03-21,1427.32,1435.77,1404.78,1415.81,8143252,390496446100,145595752627690
2019-03-22,1413.49,1422.82,1397.71,1411.69,23983769,2068018051855,144979241317270
2019-03-25,1395.67,1395.67,1378.89,1379.28,6488508,286730499295,141724505983330
2019-03-26,1388.33,1395.47,1382.58,1387.8,6153808,331363918085,142513124969700
2019-03-27,1392.89,1395.97,1385.63,1389.35,6977599,323800480040,142749967645430
2019-03-28,1386.9,1388.03,1372.82,1380.61,6366208,283386618600,141725572301685
2019-03-29,1390.15,1397.14,1383.88,1389.51,7455065,370076445545,142639785633930
2019-04-01,1392.41,1404.82,1392.23,1400.47,6501784,353775038618,143830982854225
2019-04-02,1394.88,1397.12,1383.37,1388.72,6981897,363626479410,142808302603955
2019-04-03,1386.2,1423.38,1382.45,1423.38,10687436,566914508835,146270788839335
2019-04-04,1420.36,1442.46,1418.01,1434.27,8729801,442346570370,147254046620910
2019-04-05,1437.69,1453.29,1435.7,1451.6,7685917,351460200155,148926480746660
2019-04-08,1455.18,1463.79,1451.95,1460.8,8397549,421945331269,149906884042325
2019-04-09,1453.63,1469.53,1449.05,1460.79,7647028,427393637161,149881353369715
2019-04-10,1458.32,1474.86,1455.5,1472.4,10723441,440314238657,150992488533355
2019-04-11,1470.84,1477.4,1464.89,1475.52,11916830,552010094555,151377634907525
2019-04-12,1474.32,1478.09,1464.28,1474.59,8641830,394909984010,151342413823555
2019-04-15,1475.18,1480.0,1463.2,1466.75,12677602,412451846680,150660374548700
2019-04-16,1466.77,1491.08,1465.87,1488.31,34988282,643764448288,153066196144855
2019-04-17,1489.43,1502.41,1483.14,1501.88,16580598,476263719090,154455582445465
2019-04-18,1506.05,1532.18,1505.2,1506.1,15572663,713102999333,154829034939300
2019-04-19,1510.46,1515.34,1498.68,1503.17,7811608,279437298660,154554827711065
2019-04-22,1497.5,1506.25,1490.99,1502.59,7493136,261745970640,154460990763510
2019-04-23,1503.1,1519.54,1500.3,1518.16,6410395,332999661395,156008054860400
2019-04-24,1527.48,1527.73,1502.16,1515.57,10105688,606626124582,155746369441670
2019-04-25,1511.24,1513.01,1487.42,1494.08,9683770,542789494113,153560964245645
2019-04-26,1485.82,1487.53,1468.78,1478.85,9591490,498801564475,151924816839055
2019-04-29,1489.48,1519.29,1482.42,1519.29,10195522,587899113835,155839551895125
2019-04-30,1520.93,1528.55,1501.44,1514.94,9515499,516963619483,155306563671320
2019-05-02,1507.46,1526.56,1503.85,1515.85,8672833,439870718575,155545918049430
2019-05-03,1508.95,1511.49,1484.4,1489.81,8738828,427386254476,152900509169645
2019-05-07,1471.36,1482.02,1462.3,1480.8,10505385,495439961646,151926320244705
2019-05-08,1462.27,1481.06,1460.56,1476.83,8111113,397091807155,151578387855315
2019-05-09,1467.26,1471.91,1424.9,1424.9,12214830,640143409555,146394952823015
2019-05-10,1444.51,1451.75,1408.48,1426.3,10265095,514995793540,146383801167435
2019-05-13,1413.43,1429.73,1404.09,1410.42,7481934,413215880215,144879785994180
2019-05-14,1408.85,1412.65,1396.72,1402.26,8361628,424818454424,144078859166200
2019-05-15,1390.73,1412.26,1380.22,1401.02,8208318,488738536050,143644956193605
2019-05-16,1439.04,1439.43,1391.64,1393.76,11022782,607198775750,142900387409395
2019-05-17,1394.99,1402.72,1379.59,1382.21,6558490,300832458175,141642758471340
2019-05-20,1389.45,1407.38,1389.4,1398.63,7034815,382211638525,143214409571795
2019-05-21,1393.99,1394.42,1372.05,1376.34,8062845,371478584046,140986471915360
2019-05-22,1375.86,1383.14,1368.99,1375.46,6674339,319804826625,140893866130150
2019-05-23,1375.5,1379.82,1357.69,1368.33,7306091,426653593375,140248137608095
2019-05-24,1363.04,1380.22,1361.77,1377.74,6669738,355001950250,141168868354020
2019-05-27,1383.73,1402.18,1379.2,1399.38,5840685,333864205719,143379663177890
2019-05-28,1396.85,1402.29,1385.43,1399.4,11833424,671150049770,143468659812790
2019-05-29,1402.77,1403.03,1372.86,1382.03,7871126,395591789862,141505930717585
2019-05-30,1370.99,1393.87,1370.99,1391.42,9256141,412996398355,142310497243110
2019-05-31,1374.42,1382.87,1358.69,1377.66,11448139,570697389721,140913951062035
2019-06-03,1366.8,1392.0,1362.84,1390.47,8601357,400291057310,142289321189255
2019-06-04,1388.78,1405.28,1387.08,1393.86,7979016,389490135508,142674192234480
2019-06-05,1405.61,1413.47,1397.41,1407.76,6610093,363148467325,144040072836440
2019-06-07,1414.68,1420.86,1395.63,1402.48,7626340,349402808648,143483471306310
2019-06-10,1422.56,1433.06,1410.46,1432.3,6887484,353400196285,146439928056925
2019-06-11,1425.82,1435.15,1415.95,1433.44,6834050,327805627093,146642304120575
2019-06-12,1433.46,1440.78,1421.08,1426.2,6293499,331925770945,145884330448055
2019-06-13,1422.49,1429.02,1397.3,1412.09,9989603,564527789045,144839358880015
2019-06-14,1411.11,1425.18,1402.25,1415.09,6631939,401945519170,151386665016845
2019-06-17,1418.37,1427.08,1413.65,1414.83,4757775,278550835740,151288419932535
2019-06-18,1418.55,1427.1,1417.29,1423.46,6509413,328569533185,152080959214920
2019-06-19,1425.79,1433.13,1422.25,1425.42,5724232,331403923180,152343401137685
2019-06-20,1425.27,1435.1,1424.28,1433.19,5460359,279233044315,153248323185545
2019-06-21,1425.68,1434.3,1424.38,1429.52,7637973,431232180370,152851293592160
2019-06-24,1439.39,1445.99,1435.5,1438.93,5928894,315346832218,153835539054970
2019-06-25,1440.79,1445.51,1430.54,1437.2,5718332,300313132365,153596061023270
2019-06-26,1434.54,1439.83,1426.54,1432.84,6227430,279676097183,153049888164275
2019-06-27,1422.86,1447.58,1417.52,1440.7,7278234,432340085415,153880805492890
2019-06-28,1433.05,1438.47,1427.69,1430.93,6447577,347333852365,152906626597150
2019-07-01,1446.89,1448.0,1427.12,1430.5,6742958,336519491600,152857989255680
2019-07-02,1423.39,1425.22,1408.89,1413.02,7152920,413007191660,151039010626810
2019-07-03,1409.8,1420.68,1390.83,1395.23,7050403,368484131845,149130229449930
2019-07-04,1402.64,1413.44,1388.79,1410.2,6557566,366176365030,150755042926040
2019-07-05,1410.81,1427.81,1409.48,1425.41,6739794,311949331715,152342484979985
2019-07-08,1415.53,1424.05,1399.62,1401.77,7280053,317392606825,149749553722040
2019-07-09,1406.99,1414.41,1388.61,1388.61,8416484,404503389335,148157951654160
2019-07-10,1391.32,1394.72,1377.24,1384.86,7412084,371611035035,147706784049480
2019-07-11,1382.35,1403.03,1377.56,1395.28,9841136,526501309711,148862464208850
2019-07-12,1398.0,1418.56,1394.6,1404.94,7453919,382769842530,149816286891325
2019-07-15,1403.0,1409.03,1389.64,1398.02,6507375,334595431123,148856699333215
2019-07-16,1400.73,1406.57,1374.94,1381.3,8066677,422993009445,147378071754590
2019-07-17,1377.91,1388.66,1375.73,1386.3,7440119,305728229000,147866187004720
2019-07-18,1379.44,1388.69,1375.47,1381.4,6204696,292936881060,147289922560210
2019-07-19,1389.32,1398.21,1374.12,1394.44,6977131,317009675921,148760226530565
2019-07-22,1390.4,1394.45,1378.06,1382.28,5566837,322563486957,147525659727695
2019-07-23,1380.85,1388.85,1369.13,1386.91,7489680,436562621286,148024824855280
2019-07-24,1386.36,1400.76,1384.27,1390.71,7577392,370107728100,148354351466795
2019-07-25,1394.47,1404.7,1382.7,1395.08,8510227,489655050790,148599397911120
2019-07-26,1392.75,1404.41,1390.97,1395.03,10681533,498919962245,148672312916590
2019-07-29,1389.64,1392.52,1358.55,1367.78,8450637,416968904285,145682780771925
2019-07-30,1374.91,1379.05,1362.78,1373.97,6743872,349087583630,146346907762695
2019-07-31,1373.93,1380.75,1365.4,1365.4,8192556,415398796710,145356378419675
2019-08-01,1367.27,1384.34,1355.9,1367.28,8959873,356438358935,145421600589530
2019-08-02,1364.65,1371.87,1345.36,1366.07,8996972,447732195929,145249341319630
2019-08-05,1361.84,1364.89,1343.12,1351.3,10815718,495121109856,143560693188205
2019-08-06,1330.27,1343.51,1307.95,1323.52,11940593,563763955670,140647286991320
2019-08-07,1327.18,1330.85,1310.61,1319.23,9011937,420594091145,140146715857060
2019-08-08,1329.86,1352.82,1324.22,1337.54,11170072,603180111630,142147415566210
2019-08-09,1347.98,1362.05,1340.17,1356.56,7789337,381441989693,144112000424090
2019-08-12,1349.75,1363.36,1343.19,1355.37,6389131,326249874410,144080743179245
2019-08-13,1342.63,1356.45,1342.25,1345.46,7779089,381413739050,143137658102015
2019-08-14,1351.15,1353.98,1337.77,1337.77,10262676,512769124411,142364285465210
2019-08-16,1327.68,1331.07,1314.47,1327.81,8939217,368030695371,141195451618800
2019-08-19,1329.45,1338.99,1325.97,1336.57,8071983,337990070780,142327205457350
2019-08-20,1334.28,1338.97,1324.03,1336.09,8512859,435629765563,142266361175195
2019-08-21,1335.66,1340.92,1321.15,1332.06,8171524,414878977347,141931927690550
2019-08-22,1331.58,1335.43,1320.3,1320.39,8466898,421720158157,140712272295105
2019-08-23,1316.84,1333.86,1316.63,1329.95,6645973,344003825879,141733478118600
