시가,고가,저가,종가,거래량,거래대금,상장시가총액
1341.96,1358.22,1337.12,1343.91,10487069,531995018870,132570534004565
1346.02,1357.09,1319.6,1350.02,9678754,456022772420,133235450463390
1340.34,1353.5,1334.37,1346.37,7186855,345083934705,133024934467130
1346.67,1362.52,1343.3,1355.31,8811020,472804067195,133524228659230
1342.8,1376.33,1341.96,1366.72,9720991,547823395488,134436109710625
1380.83,1407.69,1370.57,1402.6,9797036,516347105500,138175039133030
1403.73,1409.67,1392.66,1400.5,8374462,388942808945,137988151961630
1408.66,1413.25,1395.86,1402.34,7100857,351048747780,138242882619820
1410.91,1411.65,1396.77,1397.61,11999540,570738504776,138126654539505
1409.66,1427.38,1409.66,1416.84,11203167,535130041049,139952231459420
1408.36,1416.3,1394.8,1409.18,9235416,463573045350,139092429766700
1413.68,1417.94,1402.53,1409.43,7027774,371797239510,139075113203600
1408.78,1411.01,1392.35,1402.71,8866711,463470094058,138626670894375
1390.01,1401.64,1386.99,1399.78,6273712,313064963555,138293434763480
1396.32,1404.01,1394.09,1403.38,6168950,290124116123,138647648049365
1414.45,1421.5,1410.78,1414.57,7703549,343585721590,139795587120885
1422.13,1466.62,1419.98,1462.1,13029835,823927838085,144740898726200
1468.92,1476.22,1449.26,1453.03,12233758,755723970270,143859900382100
1457.74,1463.46,1428.4,1429.92,9884300,623500500345,141706348532030
1429.36,1436.75,1416.19,1417.52,10507359,565323801148,140364960307715
1425.44,1445.25,1424.52,1439.49,9731546,508946973265,142637030756435
1448.13,1454.85,1431.24,1435.72,11671102,555275085400,142390830359860
1437.18,1466.9,1434.05,1460.21,13405666,628318094410,144890738301235
1458.85,1460.34,1441.49,1441.49,9751270,447299757570,142994577669700
1444.72,1446.18,1435.11,1445.99,8618773,428946376720,143413001531660
1451.08,1460.08,1443.15,1458.67,9177049,418607017555,144599937481270
1451.68,1468.71,1448.7,1453.25,12513087,552152757281,144177076298545
1450.7,1458.29,1443.19,1456.83,17473707,579929883965,144472127614680
1453.91,1460.6,1440.31,1451.56,11306298,471475717108,143881470802375
1461.22,1479.76,1457.21,1467.16,9930978,513196048110,145358684176390
1469.92,1476.61,1445.12,1450.57,10883986,469981849612,143677155779715
1460.51,1494.0,1459.47,1491.41,11815253,657493428680,147997517340075
1477.11,1492.54,1474.56,1483.38,7465764,396424320592,147254198910000
1482.21,1491.57,1471.63,1486.67,7150729,340686288685,147501442480170
1490.28,1491.52,1473.16,1485.08,7573860,383201204715,147360059704750
1470.17,1472.62,1456.7,1458.21,9879642,448690607770,144547778308530
1463.86,1492.73,1463.64,1478.56,8325626,440247631690,146547930216845
1478.5,1486.82,1465.37,1468.01,6773932,351101061098,144978798133455
1456.3,1458.81,1432.75,1456.69,6848120,367013994865,143983679922540
1464.99,1481.89,1460.38,1461.17,13988262,677082906985,144554367297680
1467.94,1497.9,1467.94,1488.62,14870302,711035106908,147286459142330
1494.57,1500.82,1478.06,1486.42,10544228,553327080118,146927476626590
1496.98,1498.91,1484.3,1492.76,9727333,469927753155,147608516994915
1485.84,1489.32,1473.33,1473.33,11917388,468822958462,145687122163565
1460.99,1473.16,1459.66,1470.79,9849444,458643288369,145577193918070
1474.07,1490.55,1474.07,1479.25,12428938,638227428675,146396028880650
1466.99,1474.58,1461.76,1464.14,8195192,383756337453,144901896553170
1462.96,1468.99,1450.56,1465.64,12674957,490121551640,144991746077635
1456.67,1458.67,1420.65,1421.7,11920922,496654522145,140591022626595
1438.34,1461.68,1437.19,1452.0,9357655,476141302720,143548054400980
1438.92,1442.35,1421.86,1436.13,7920069,370376691437,142109015399455
1450.0,1456.76,1437.12,1456.72,9693746,470342434060,144093964361815
1457.67,1459.21,1436.66,1437.28,7455052,365176998130,142273525949685
1449.4,1454.67,1439.18,1445.92,7016912,310535380541,143026495672595
1456.14,1458.18,1445.88,1457.59,8891534,430344024480,144437829962610
1446.71,1465.89,1443.1,1457.29,9958124,506102724920,144314808895305
1446.64,1451.22,1427.26,1437.96,7517309,425437118385,142510694758230
1437.65,1437.86,1421.43,1433.84,7946541,402179770885,141941489135915
1438.92,1446.64,1434.23,1446.64,6592009,299862219915,143234251189785
1451.15,1472.2,1450.83,1471.23,9414829,467249261630,145740841866190
1461.83,1479.48,1456.95,1472.06,9956711,455259369020,145918484742805
1481.94,1497.24,1479.72,1494.5,9907548,492725893440,148174598240000
1495.5,1501.6,1484.23,1487.66,9170641,418324754547,147539452475815
1488.43,1497.57,1481.42,1485.76,9883787,431037763975,147388313040430
1491.3,1502.05,1487.06,1498.73,9751542,451056796554,148759880066420
1502.0,1507.42,1480.65,1482.2,12843226,533009668522,147145721162550
1483.69,1483.69,1472.35,1475.04,8300462,396830367440,146539238174205
1475.21,1488.18,1465.68,1477.44,13056924,446968891415,146845804513310
1480.26,1530.19,1477.02,1527.93,19861701,982165633760,151949129208700
1546.36,1568.37,1544.86,1564.35,21198844,1072668556910,155488475437435
1556.44,1566.47,1546.02,1566.47,13440715,633000351609,155773449972270
1570.39,1574.62,1555.23,1558.84,10572372,529889849950,154851034430330
1556.94,1557.82,1540.72,1547.71,9504914,444366896797,153866734764890
1536.13,1536.6,1508.97,1534.4,13675370,743358641064,152407147211990
1537.69,1558.96,1533.65,1554.13,9765170,513183540795,154372355279165
1548.81,1554.66,1535.44,1542.25,9459081,440744946274,153081792213415
1528.62,1533.38,1508.51,1524.17,12223396,579470699285,151193914200550
1529.43,1541.61,1525.12,1537.65,9579132,476835303635,152588060441330
1543.36,1564.03,1523.0,1561.09,12330109,961497784746,155279741966920
1573.12,1581.29,1533.26,1535.13,13483500,1172434836260,153223291881210
1532.74,1552.66,1525.67,1534.02,9417546,590337055720,153169787717985
1534.74,1536.67,1514.68,1519.95,9235631,601987190550,151592163129960
1527.62,1557.7,1525.77,1556.65,9777644,579142343990,155158756766855
1548.27,1558.26,1537.39,1543.57,7396668,385319217355,154008383576420
1539.24,1539.24,1527.23,1534.25,6777505,345954960205,153124999724315
1542.96,1558.67,1541.23,1553.6,8951755,431950034590,155079388914210
1548.85,1564.19,1537.3,1561.93,7644332,440396494757,155938948913955
1561.07,1593.18,1559.2,1585.96,12541043,794052302170,158514656361200
1593.7,1600.61,1580.29,1586.55,10958888,648061434162,158377396718210
1582.89,1583.44,1568.64,1573.91,11054495,492700539355,157376564346190
1573.55,1583.55,1558.82,1581.64,13833312,514722948950,158054861409280
1569.96,1573.67,1540.24,1547.71,15175839,692641162274,154657876356155
1549.9,1567.57,1549.61,1564.93,12655162,518940457617,156365850533420
1575.04,1587.45,1570.65,1586.67,13516213,573890057550,158443816871420
1581.36,1589.82,1571.28,1579.33,10369514,500878116910,157636359442855
1582.31,1594.92,1572.69,1587.48,7696927,422483591655,158423091507350
1595.16,1597.61,1583.45,1586.87,7282519,346738230420,158408318818310
