날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2018-01-02,879.91,879.97,868.14,875.75,9164760,206176525150,164575550200100
2018-01-03,870.97,880.7,870.97,877.34,12449688,284769505645,164826604683980
2018-01-04,881.25,881.54,870.33,871.18,13458104,325600382578,163590494235820
2018-01-05,875.16,885.62,872.43,882.14,17709521,347230872520,165547237046720
2018-01-08,887.6,909.22,887.38,908.44,21311774,450671429153,169907212779960
2018-01-09,913.86,919.4,910.46,916.76,17718320,443669398715,171509795381860
2018-01-10,917.72,925.95,913.58,915.62,15826743,413553891200,171389088550650
2018-01-11,921.43,924.66,911.39,921.04,17389380,448631092520,172141533354970
2018-01-12,930.48,938.41,927.42,932.3,23014663,535927954350,174201020755420
2018-01-15,938.32,944.23,934.74,936.35,20675468,423672292905,175424557890530
2018-01-16,936.23,937.14,918.79,922.84,17882627,424316146120,173277342033530
2018-01-17,920.64,926.1,917.98,925.24,14552674,356445745760,173770858452160
2018-01-18,928.18,934.99,916.86,920.68,18563136,437075666793,173088548230850
2018-01-19,925.82,939.41,923.25,938.31,13797934,368899581432,176153606855970
2018-01-22,943.64,946.96,919.92,922.72,17352419,463493164334,173538445381440
2018-01-23,927.06,951.44,923.71,951.44,24543312,549613091100,178531225217300
2018-01-24,949.77,949.77,938.6,939.84,16660025,409965852874,176445196406000
2018-01-25,937.53,944.89,929.72,932.0,15046395,375015708855,175183149308640
2018-01-26,929.45,933.82,923.2,933.02,16928061,420232291838,175316673566400
2018-01-29,939.66,951.09,938.93,939.84,22535021,493854158392,176577502110570
2018-01-30,938.6,948.36,932.79,935.87,20654883,561360419698,175258442351110
2018-01-31,929.83,943.63,909.76,943.18,23247446,634032101346,176994060106200
2018-02-01,940.25,942.5,930.32,935.95,14903841,394415372210,175840948223590
2018-02-02,936.52,940.97,925.87,933.56,18303927,423187793000,175182516761240
2018-02-05,928.73,943.12,925.27,937.68,18096214,498145206645,175639818758590
2018-02-06,920.69,925.66,893.42,903.85,24427300,606897756980,169850727005390
2018-02-07,913.78,914.09,886.99,887.18,20425008,504694534301,166994861441940
2018-02-08,880.09,898.45,877.73,880.7,20503543,505852238061,165612690980030
2018-02-09,862.54,871.59,856.86,861.45,21776366,492946711887,161871511903790
2018-02-12,868.91,890.16,865.6,886.49,17033487,390953035732,166177210458250
2018-02-13,887.73,893.77,880.74,881.85,18047022,432650766190,165271804226430
2018-02-14,885.27,887.72,875.34,880.4,13568268,330901587315,165090018005890
2018-02-19,895.49,903.78,894.52,901.62,14443112,320975306630,168890407739660
2018-02-20,898.43,898.88,890.03,892.76,9240137,235807908937,167004472837500
2018-02-21,889.68,894.79,879.16,892.39,13295191,353001379842,167230040165990
2018-02-22,886.23,892.22,882.18,889.9,13198082,326439433621,166910173135210
2018-02-23,893.71,904.13,887.06,903.7,14621042,372719966007,169798924621480
2018-02-26,904.07,904.51,893.52,897.12,15227648,423165878570,168798812125910
2018-02-27,898.31,903.94,888.08,888.65,13468986,376568472676,166980272152020
2018-02-28,886.49,887.43,879.06,883.92,25233145,597167221884,166003011957660
2018-03-02,880.24,880.59,864.66,872.65,17055847,407928859754,163788173585240
2018-03-05,874.36,875.19,856.17,856.54,12809508,291512315555,161101910945360
2018-03-06,861.48,866.5,852.24,853.45,14981957,348900193854,160541252014890
2018-03-07,850.22,851.38,837.13,841.68,17777994,425210621516,158354094724800
2018-03-08,847.09,851.76,837.02,849.32,22781940,510697088369,159685451186630
2018-03-09,851.16,862.98,844.02,856.49,24107816,483810909360,161107193178160
2018-03-12,862.18,880.03,857.59,877.09,19091719,411639046570,164639232431910
2018-03-13,863.42,865.26,852.66,857.76,20648524,481674861993,161191537597590
2018-03-14,850.55,856.15,847.43,849.8,13811718,310720797608,159813434919900
2018-03-15,847.62,851.36,839.56,848.77,13574043,340936393359,159546605863650
2018-03-16,848.97,860.84,848.97,857.99,16077475,398595279251,161295005958610
2018-03-19,857.8,860.98,854.02,858.56,12323485,256984980797,161115800972660
