시가,고가,저가,종가,거래량,거래대금,상장시가총액
663.85,663.85,652.16,661.16,13231052,303663755585,169103425870510
658.68,658.68,647.43,647.43,12065510,308276084722,165656154421010
644.55,644.55,634.87,635.55,12786220,300268380150,162679223841520
635.32,636.03,629.13,631.46,9658884,214019826327,161666364591000
633.44,637.11,630.6,632.23,8225499,181936261135,161705642248220
638.86,641.1,636.24,637.18,7642050,194668182967,162998147837430
636.18,637.96,632.07,632.5,11250237,375627326260,161983143617170
635.03,652.34,634.68,642.41,31119902,1145152130790,164502682170250
642.57,645.57,639.31,642.75,11816927,364066709980,164651228261590
644.02,655.32,641.41,654.67,13155513,408793449401,167569894198700
650.32,651.05,642.74,646.39,10727547,330494380649,165567971551960
646.78,648.25,634.19,634.2,12825410,374655459518,162365545863480
633.05,633.82,627.3,627.96,11716119,308581051689,160678118907110
631.79,633.36,626.25,628.63,9925516,296375738238,160796786778460
630.17,633.75,628.58,628.58,8101164,242182858660,160792710624250
636.11,648.83,634.81,648.83,14228088,407252892610,165623390714750
647.1,661.23,645.81,656.36,17717678,481535330635,167334138917740
653.51,660.95,651.14,660.18,17950933,564351501911,168449232432640
657.71,668.43,655.86,665.71,14442289,392776209150,169717184135360
666.02,683.5,663.16,677.82,24192194,600565691400,172660341427850
681.15,687.49,678.32,679.86,33572128,571569560731,173265824392960
678.73,695.83,676.88,694.88,22978409,583987308750,177363268948680
699.37,735.61,699.37,734.21,94449593,1745525389796,187276859334360
748.01,772.45,731.54,771.84,66365970,1679772629851,196035649894560
766.84,767.99,730.57,749.42,54743930,1524608728330,191076087249320
742.64,756.7,738.08,741.35,29478841,735555098280,188873127287400
741.04,765.62,736.62,758.12,33540661,932353465516,193346936453120
759.25,779.06,757.55,779.06,32113579,989069348987,198350264762040
789.06,797.06,772.36,780.4,35014244,979362566818,198698184094290
768.31,770.36,758.37,761.58,23391703,626318897287,194206502355220
762.9,763.31,752.65,752.65,25273591,943106936360,192151752873530
762.56,780.6,755.54,780.59,23911800,678194451280,198959452892150
785.79,803.58,785.79,799.8,26972900,811564142467,204021262715100
796.04,800.87,766.47,776.25,22589671,691089657550,198017220110490
774.5,785.8,763.69,774.34,21326766,736817444955,198365125428190
772.59,778.45,762.0,774.54,19665092,674737721938,198605868288670
781.12,800.8,780.79,793.1,27649206,942381446935,203741048375540
780.4,780.4,744.34,767.76,36072126,1029316431657,197738522103110
768.03,775.23,758.16,766.09,26715082,724320917028,197212813153700
761.9,772.99,752.32,771.91,23248557,685557215227,199601367883480
770.53,782.34,770.18,777.97,32480141,1021331559658,200471081633170
783.63,805.53,778.24,802.29,43686247,1230378210747,206319663315120
807.23,822.58,797.34,797.75,27935363,995399985594,205100692122070
796.2,801.99,787.38,795.71,23097127,785296406683,204021001263250
791.8,808.32,791.8,805.72,30446507,1119789928860,206643373160960
810.13,812.09,801.86,807.16,19417123,660953740664,207102586861080
801.4,806.58,791.22,802.62,14943152,498133098074,205761993645830
806.24,816.78,798.05,802.94,21456111,701439882684,205403943757000
808.16,833.15,803.91,826.73,24650203,851122274895,210943240429520
826.51,858.46,823.53,858.46,48873368,1377272533432,218667189083900
846.07,855.47,835.48,835.48,42058492,1535547429266,212921454489810
832.91,833.64,805.92,825.17,21400937,734409405070,210358298281730
814.7,820.97,808.84,809.61,19669371,615635233279,206258741962010
825.33,840.53,819.04,820.28,18054741,676014635120,208892523041710
828.31,850.65,826.13,847.72,22782880,762047657305,215521625823410
836.56,851.89,836.56,843.77,17895152,607709862647,214984881673930
841.78,849.49,825.83,832.88,18284028,658086918563,212629610430950
828.78,844.67,825.82,826.76,18536914,660339830179,211064293348450
814.1,819.38,796.23,797.21,45470473,1790708754565,203783474861060
796.35,802.74,794.32,797.21,24420681,677896367291,203330616793580
802.02,802.56,783.03,783.93,16929113,439795681815,199882232513210
788.73,789.47,771.23,774.89,15016609,399557436180,197712294971930
765.19,780.53,762.9,773.79,15871650,527834493007,197533273342380
771.3,773.42,760.46,760.65,17153157,576752170669,194618736491010
769.15,781.47,765.45,774.97,12623151,452608193645,197793105109350
767.4,778.7,766.9,769.36,10808104,360757320116,196142653942250
770.55,785.15,769.12,776.83,12465724,413820583382,198001216406510
784.81,786.65,767.95,769.26,10490350,356018562272,195921002410690
740.22,764.37,737.94,757.2,23826972,838710756206,192382894495010
748.36,749.23,728.73,731.86,21678499,688596055528,185362017670690
726.94,737.02,714.47,734.32,13909678,437431549694,185895169927000
728.92,730.49,711.47,716.85,13886648,478996034005,181715370853830
717.84,721.99,705.66,705.66,10901888,345926648245,179054839307290
709.45,725.32,708.48,720.25,13315233,417488503045,182678009017510
709.9,716.58,703.36,714.44,14800627,449540432925,181209260425410
737.18,763.8,734.97,762.05,18442959,598508939445,192867912373440
761.48,778.82,761.33,766.45,18593066,593588700780,194050327757160
769.16,776.67,756.47,757.07,12786513,398312910216,191505020384620
752.01,768.85,749.73,759.31,11393003,311414933994,192143649274300
769.58,804.54,769.58,796.36,19984635,703630731164,200431639438890
793.38,805.35,788.46,799.88,13905713,482989199635,201606106592990
798.68,803.2,790.42,793.32,16283526,573343502570,199920069654950
783.25,785.23,771.31,773.15,13512801,449480986430,195024293131920
780.37,788.69,780.37,780.88,9115065,288092363040,196524068880180
791.36,795.48,781.73,788.99,16244703,502835740487,199111186076430
793.88,811.04,793.87,808.64,15337029,519850950938,203496964896920
806.08,809.32,793.23,795.57,16980175,533778877270,200270987664240
807.76,826.51,803.7,817.51,17894306,575642302165,205646865520190
822.55,840.68,822.55,827.5,14803655,558950089291,207977939055110
823.35,824.33,815.1,821.02,15645925,545757579189,206874910414970
830.37,850.44,829.87,838.41,25001619,946426898248,210896460166760
834.83,837.53,824.96,827.78,12693049,461764326145,207865115172830
833.42,850.58,830.77,839.3,13258531,446203383485,210552411109150
830.93,839.52,830.71,835.85,10493629,361674633940,209689504059720
834.12,834.34,814.03,814.33,11849823,459199456978,204005115074050
806.94,810.05,800.08,805.07,11456385,383950441635,201907418501630
796.6,800.26,788.23,797.68,10785532,370947603750,199957132300220
799.38,808.64,795.21,799.04,11154578,342886725705,200171674825860
797.48,801.9,792.05,798.21,9231645,299960171868,200227896651450
790.62,804.41,788.89,797.39,12995933,439535685937,199777064624560
798.54,804.37,791.71,794.82,10853386,397222866298,199180627882450
807.73,815.27,802.25,804.34,35809635,1292141734718,201351089064340
812.16,814.26,803.37,807.88,10487573,350992999505,202125614197640
801.96,806.48,783.81,787.78,14343138,452742426077,197198389241320
787.86,792.73,776.27,786.64,11047280,388853697561,196921624534170
797.19,812.61,791.03,801.19,12830632,466249651292,200306628539780
792.73,801.11,785.54,791.66,8035779,286202289105,198141499147370
797.54,802.41,788.82,788.82,10351043,336038296485,197365165526020
785.31,796.17,783.36,796.1,8531655,302578847655,198878793545180
804.23,810.88,792.11,792.39,21940349,775534174149,198079728191110
790.22,794.4,785.77,789.26,15596116,502624463428,196897521735970
787.51,790.66,777.5,781.33,10333331,326918512920,195356535766340
787.3,787.3,775.77,780.67,15227613,365388334593,195511003148870
783.59,792.8,780.1,792.46,12223449,358245391980,198505012833480
792.39,811.05,789.84,809.67,11007177,354618222652,202519980073080
811.02,813.39,801.03,804.63,17273145,598446487596,201374381473480
804.1,807.33,799.13,804.07,11043098,350108871070,200849371312980
810.09,810.75,803.17,806.32,10506846,372333715976,201659425530310
795.57,807.83,791.92,806.91,11550290,393582327147,201752445468480
796.97,803.77,789.59,803.61,11630578,352936381345,200956365506520
810.62,820.43,810.55,817.71,15319858,479617993400,204910365168080
817.97,819.06,808.12,810.79,9275538,309856324540,202914638127430
804.56,837.11,804.03,830.03,19092206,772904617887,207060356679250
834.74,866.77,832.38,843.13,22269418,862018842292,210095509741150
842.52,871.56,839.57,860.58,19871484,707153163949,214403540372870
867.31,883.93,866.6,871.96,17046603,627776063601,216997615367640
865.52,867.14,852.85,854.02,11008974,393930035235,212538770587360
855.34,856.18,829.67,843.82,14810373,587674503215,210445786735590
842.99,848.79,836.95,842.27,11131648,462436016145,210793313188610
849.75,862.65,849.09,856.32,20932331,611370335502,214207905889800
854.9,865.88,849.43,859.61,12357848,443462542297,214735367739280
858.71,861.26,846.7,849.01,10765198,365803420170,212070810979130
848.36,858.33,845.67,848.33,12144158,445886604415,211899427805360
849.25,856.07,842.63,852.38,13525570,481119577920,212867131387920
852.38,854.83,842.89,853.24,14618554,478862102566,212833963435630
843.98,853.41,839.19,852.97,10444281,391337547835,212893795980680
849.17,865.7,848.86,861.15,12230342,449451983860,214341121341710
865.86,878.43,857.75,861.5,17292346,597148782705,213916203999010
859.75,871.16,845.63,848.43,13231719,601197624454,211376539635960
845.81,850.6,838.52,839.47,13922147,505483890635,208959358395850
845.98,877.74,844.82,874.36,34315391,1009411870792,216747484654430
877.42,917.52,873.88,894.06,32601930,1074207797950,221506094471230
883.94,892.92,877.77,884.22,30711767,756360571315,218967517060140
887.24,896.14,879.33,889.96,18648697,633728278365,220868281738970
881.99,898.93,881.21,891.96,13868412,440542380249,220863760656570
875.67,878.67,846.17,852.84,20951658,691192580990,211690125558320
822.59,822.59,772.19,786.1,35298525,1010360745539,195471417729470
816.16,828.72,796.53,802.11,24498993,759228921889,199330068600470
795.97,834.51,790.52,826.17,18126960,596210896989,205321810920300
820.71,837.53,817.31,833.22,18847525,595229883162,207455882308800
832.63,841.94,824.76,836.0,15099671,484606984765,208277353721420
