시가,고가,저가,종가,거래량,거래대금,상장시가총액
1215.94,1222.65,1184.19,1187.76,4536948,341468136030,125562104440080
1194.89,1211.17,1191.94,1204.78,4715836,318388897962,127264283886680
1207.82,1217.51,1198.87,1214.81,5996724,440348913428,128219553407960
1219.81,1225.44,1202.13,1208.45,4870037,331527957704,127631789854810
1223.22,1225.58,1214.67,1217.86,4612557,292292890525,128504731061760
1216.2,1224.95,1211.1,1213.74,5877697,361333342524,128007638174750
1207.58,1212.81,1200.82,1206.83,5704634,338866024620,127314010443040
1208.53,1212.63,1204.01,1210.59,4239299,285134042755,127799415777830
1207.45,1223.02,1206.74,1218.72,4056671,315959827678,128083388330260
1220.78,1231.97,1220.13,1224.43,4023167,293835076138,128557817339910
1224.51,1224.99,1212.28,1216.07,4081395,277522159842,127663649478820
1215.63,1216.78,1201.75,1207.38,4433728,318068457280,126649490291610
1209.49,1214.24,1199.64,1204.92,4750284,293438831927,126341598203860
1206.9,1207.47,1190.46,1194.3,5045237,264705647400,125287423261720
1192.11,1198.1,1189.06,1196.28,3506539,259349158830,125423473615580
1198.33,1209.36,1197.93,1205.08,4137142,285165610749,126371377904580
1199.19,1205.68,1193.45,1202.15,4034392,302367352556,125950441301240
1196.63,1218.09,1193.28,1214.22,3969102,349593682998,127334904996360
1212.07,1212.84,1200.21,1207.31,3612576,260548670720,126713321975680
1203.87,1210.65,1201.44,1206.67,3861088,244555251780,126658696486700
1207.77,1220.54,1203.94,1218.96,4107427,311865506700,127791484338880
1227.33,1237.67,1219.32,1232.34,5705462,397730497840,129414021424850
1236.94,1239.41,1220.2,1221.04,4370171,376905626494,128330810050110
1222.24,1223.38,1210.92,1214.34,3878277,294013475114,127538110911780
1216.42,1216.46,1201.49,1203.46,4737261,314979623190,126446387867620
1206.43,1211.96,1203.68,1207.42,3899756,251767650464,126987893710460
1207.76,1207.78,1197.26,1198.53,3586149,254476984230,126058194153850
1197.52,1207.31,1196.28,1206.33,3720485,253604488714,126876563848220
1201.06,1221.53,1198.6,1221.53,5447725,412866065660,128347124521250
1213.47,1221.43,1211.69,1219.77,4463332,326882456083,128125806469980
1225.04,1230.39,1220.12,1228.34,3609805,280645906156,128910008897060
1229.55,1230.53,1216.21,1221.17,2888970,211149596720,128236036225430
1223.63,1254.41,1223.63,1253.1,5089438,488955690460,131685975818220
1251.05,1262.86,1248.37,1251.48,4565557,358214970530,131480085289030
1253.34,1263.35,1252.75,1262.67,5520846,344457262850,132601707759730
1265.85,1267.74,1258.2,1266.38,3813383,267700451995,133044499076760
1267.06,1269.43,1256.73,1260.26,4291701,320452851322,132531078465490
1262.85,1271.83,1253.6,1269.79,4354796,317584450590,133372400204350
1268.33,1280.73,1259.9,1262.25,5965387,416563551450,132326711181440
1274.95,1280.71,1270.08,1271.75,5998871,409860523430,133270044444480
1269.18,1271.28,1259.73,1269.35,3311694,237397619646,133134556888940
1269.42,1271.26,1258.72,1262.38,3550229,262480015546,132293942818740
1266.09,1267.28,1254.63,1262.69,3611910,268368462320,132153946495610
1255.06,1271.81,1252.28,1260.12,3457120,310712505685,131833470016740
1256.8,1265.64,1252.47,1265.64,3503580,302211264925,132171192481990
1266.23,1268.61,1250.69,1253.7,3451902,291054880120,131257461473850
1247.84,1269.2,1246.02,1267.33,3428687,277980534066,132572475697380
1261.8,1276.96,1259.59,1273.72,5138286,378618991800,133385767302160
1269.61,1295.68,1269.54,1290.71,7213644,504561165800,135141389829960
1302.61,1307.82,1297.92,1306.01,3890174,344479739390,136473790633450
1308.34,1309.56,1293.87,1297.23,3994427,294570961080,135480585325970
1293.99,1298.66,1275.94,1286.56,4534142,288724702053,134206872709040
1280.29,1283.48,1257.31,1262.7,4817769,335908583030,131725924248600
1258.62,1268.86,1250.78,1260.62,3924624,246330778330,131375253837760
1252.15,1258.85,1245.44,1245.67,3377960,218899831810,129767967380880
1255.51,1271.75,1251.55,1265.5,3122009,239530428030,131675641520870
1269.59,1269.59,1251.0,1256.59,2849020,217396004700,130877443945530
1248.98,1251.08,1235.15,1243.04,3480836,255198696355,129467530642140
1248.56,1250.82,1238.22,1244.19,5360821,361903456780,129764327194700
1244.98,1259.91,1242.24,1256.16,4377742,277875847863,130964863753760
1255.48,1256.45,1241.39,1247.59,4252061,257176361881,130074795533650
1241.12,1249.11,1237.34,1248.0,5660927,342611885275,130359103445050
1250.19,1251.16,1239.47,1247.0,3707856,289656607070,130317724776490
1247.5,1252.49,1234.81,1238.69,5781043,309329630894,129346114960730
1242.81,1250.29,1241.18,1246.75,5533895,353697541605,130136230314950
1249.75,1257.89,1240.55,1253.07,4627365,343160836470,130757873939740
1249.48,1255.58,1242.11,1254.14,5234811,316578909580,131004404661530
1253.0,1256.31,1245.51,1252.82,4683293,343192015670,130882993981580
1250.96,1261.52,1244.83,1259.67,5182477,425425244411,131890332530160
1262.67,1281.16,1262.67,1276.14,5028332,492997931267,133778658966490
1270.55,1280.03,1266.09,1276.07,4034667,279212308946,133536837878890
1276.39,1276.39,1269.8,1271.46,4261448,303490255258,133231178121150
1269.54,1269.88,1252.79,1255.65,5861149,310107482600,131528663366160
1258.49,1270.91,1256.61,1260.21,4750215,305113552950,132110370048860
1260.64,1267.34,1253.27,1265.64,3905952,221095073200,132524945910400
1265.13,1271.68,1261.42,1266.75,4079223,248918222230,132716848807330
1268.58,1270.4,1253.79,1259.12,7210682,358380424552,131746311391840
1256.37,1261.57,1240.72,1242.4,3792324,273484841489,129931382849550
1241.56,1252.11,1238.02,1239.48,5722099,315087885943,129634394093670
1236.72,1250.45,1232.16,1250.45,4439879,280615317190,130764192818730
1248.81,1250.12,1229.77,1236.59,4615640,344902282390,129134216123660
1225.72,1236.77,1222.83,1228.09,5677884,342648177930,128367656729840
1225.11,1231.28,1218.79,1223.7,5329636,316965637240,127934756848000
1210.89,1216.96,1204.26,1213.67,4215395,271956712778,126873982390390
1200.03,1214.51,1197.98,1209.92,3627139,238326535730,126383087884430
1207.47,1209.99,1173.42,1173.42,6060380,381740986850,122525802048160
1188.7,1195.67,1174.38,1183.79,4774228,311398884330,123429200286570
1175.96,1178.97,1161.16,1164.33,4332372,252301536510,121372266140010
1158.43,1168.8,1153.86,1160.09,5376764,337609386431,121085906570780
1154.89,1171.96,1152.99,1163.26,15383522,410352823730,121387317759850
1162.31,1163.31,1153.23,1154.46,5584518,342900336510,120542378156060
1158.85,1159.98,1137.59,1137.59,4655513,289539795646,118702478291070
1142.5,1153.72,1139.81,1143.16,3823534,269750934437,118939157486690
1143.79,1145.86,1135.83,1139.4,4259340,258213632808,118464463027310
1143.46,1146.3,1130.17,1131.27,4133623,243663646200,117768594230740
1131.09,1136.79,1116.89,1132.91,4904275,294734184380,117791696040210
1126.31,1135.38,1113.83,1119.72,4555651,259927944205,116396867998750
1115.62,1122.77,1110.84,1117.8,3255977,197660322960,116309830196000
1122.22,1127.28,1117.35,1118.1,6056827,454343580350,116341666453910
1127.99,1128.22,1108.31,1110.81,4652759,253771152558,115426078787940
1110.06,1115.94,1100.23,1108.99,3966379,254367248822,115066398448550
1109.34,1122.14,1103.18,1119.25,6061222,286393419695,116137654367660
1110.88,1130.06,1110.03,1127.97,5962284,279844720670,117104185520510
1127.99,1130.03,1119.56,1120.38,4484145,232200964210,116306281221670
1126.83,1127.68,1114.26,1117.5,4616276,236012642460,115994372361090
1119.61,1127.68,1110.74,1121.72,3427054,201307794580,116374169220020
1126.23,1131.11,1119.75,1128.23,4024558,221008300730,117072051996580
1126.58,1136.02,1123.57,1133.27,4478441,219844522674,117787377661230
1132.84,1142.38,1130.79,1136.52,4134503,239247819856,118109701122930
1134.94,1142.06,1127.19,1140.46,6845557,345855222910,118534223899580
1133.22,1133.51,1123.7,1126.78,4935865,304919585640,116828935089610
1125.65,1134.68,1123.34,1127.81,3553291,229476249200,116920858553260
1127.9,1134.03,1125.28,1129.57,3395044,222310602180,117157800555550
1136.13,1143.32,1135.3,1139.84,3650468,243053312449,118124929730270
1141.25,1142.96,1136.66,1139.32,3054846,194351777257,118213975366530
1135.4,1135.86,1125.65,1129.32,4531626,288281981470,117269718288780
1131.12,1131.12,1121.01,1123.13,2799312,194411518830,116667071706630
1124.29,1130.74,1121.73,1124.6,3398818,219211421232,116751625283550
1121.25,1123.33,1116.22,1116.85,3031699,210496111786,115974022731680
1114.03,1127.33,1112.24,1123.71,3514684,242887491238,116742156601120
1122.94,1125.7,1116.99,1118.98,3001249,186800402820,116267820923950
1128.74,1131.57,1118.41,1118.9,3127745,194840393170,116217350719060
1115.73,1119.14,1105.34,1107.46,3419326,211502273920,115197893314970
1109.49,1110.99,1101.97,1106.0,3882184,245635224160,115019751377990
1106.83,1110.04,1095.54,1108.86,3355128,209289640630,115380192428430
1110.44,1125.53,1110.44,1124.93,3560655,252462260230,117096850558100
1121.63,1124.72,1104.48,1106.5,4701856,252064065660,114956969421100
1105.98,1106.84,1092.52,1092.52,3416651,199395686250,113453290113060
1092.31,1097.27,1087.56,1088.27,3280282,184023214035,112940353127340
1089.16,1108.53,1089.16,1099.49,4391331,255604517172,114176939721200
1103.08,1104.86,1097.53,1100.26,3511417,228841838980,114201721805870
1100.64,1104.05,1091.77,1093.31,2776873,182541499300,113519444344230
1096.71,1108.71,1095.69,1107.68,3267114,234478771070,114961893667730
1103.78,1104.58,1086.4,1091.79,3824171,236475755820,113051969111450
1086.08,1096.99,1085.89,1093.45,3114714,216281268800,113232213285600
1095.51,1106.07,1092.22,1103.35,3394458,240724744000,114324274243180
1098.98,1102.47,1093.76,1097.31,2431183,153693085550,113678013619100
1096.74,1113.75,1095.42,1110.44,5635193,272795243750,115164715352560
1110.85,1112.94,1100.15,1101.02,3876569,196783962955,114184470788060
1098.58,1102.32,1088.06,1099.2,4819466,287793682532,113920254458050
1093.32,1094.04,1079.41,1079.41,4560479,324841900040,111971366789330
1079.59,1089.69,1071.77,1074.9,4638059,244819793390,111358601827210
1075.47,1079.64,1069.86,1075.46,3342459,202812742034,111321346504950
1074.41,1080.44,1068.98,1070.08,4745949,336262339940,110741859676710
1067.72,1068.03,1056.22,1057.37,5028852,321688146440,109376579946290
1055.18,1055.81,1045.35,1045.59,4734609,298316079580,108202084853860
1044.4,1046.62,1022.28,1027.52,5531340,361784855316,106043118154880
1010.2,1026.82,994.98,1015.47,5901889,362844618980,104782438625890
1015.92,1021.07,1003.24,1009.06,5043399,359392998215,104084317467890
